gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
3860127654,2022-06-04T08:57,2022,Québec,Neolentinus lepideus,https://www.inaturalist.org/observations/120602237,POINT (-76.470078 45.852354),31F,-76.4713207167126,45.853010709211,"-618029,47+240876,24",,,CP,,M,2,JIR,A,2BE,20.0,MF,45.0,JIN,"{'PE': 0.3, 'ER': 0.2, 'BP': 0.1, 'EB': 0.2, 'SB': 0.2}",5,1.5571130980576458
617554658,1989-05-27,1989,Québec,Neolentinus lepideus,CMMF000455,POINT (-74.079213 45.485445),31G,-74.080004449,45.4859744453204,"-436262,16+182609,83",,,CP,,F,2,VIN,D,1AM,20.0,F,45.0,VIN,"{'ES': 0.5, 'CR': 0.2, 'EO': 0.1, 'HG': 0.1, 'TA': 0.1}",5,1.3592367006650063
4130298489,2023-06-03T15:44:27,2023,Québec,Neolentinus lepideus,https://www.inaturalist.org/observations/165907714,POINT (-75.812028 45.558285),31G,-75.8116357611528,45.5589165005511,"-570377,64+202845,86",,,,,F,2,JIN,D,1AY,30.0,F,85.0,JIN,"{'ES': 0.3, 'EO': 0.2, 'FT': 0.2, 'FI': 0.1, 'PU': 0.1, 'RX': 0.1}",6,1.6957425341696346
4006501402,2021-09-03T17:23,2021,Québec,Neolentinus lepideus,https://www.inaturalist.org/observations/93591257,POINT (-74.169032 45.465829),31G,-74.1700736342716,45.4670597127384,"-443262,78+181136,32",,,,,M,1,VIN,A,5S,20.0,MF,65.0,VIN,"{'CR': 0.5, 'FT': 0.1, 'PB': 0.3, 'PU': 0.1}",4,1.1682824501765625
3355710489,2021-09-08T15:44:34,2021,Québec,Neolentinus lepideus,https://www.inaturalist.org/observations/94146445,POINT (-75.750472 45.439338),31G,-75.7506845289827,45.437995015191,"-566893,27+188829,64",,,,,F,2,JIR,C,5A,30.0,F,55.0,JIN,"{'EO': 0.2, 'PE': 0.2, 'BP': 0.1, 'EA': 0.1, 'FR': 0.1, 'FT': 0.1, 'PB': 0.2}",7,1.8866967846580784
2423612168,1985-06-11,1985,Québec,Neolentinus lepideus,CMMF018683,POINT (-74.005598 45.98895),31G,-74.0064602892429,45.9871286266794,"-426097,89+237816,10",,,,,F,2,VIN,D,1AY,30.0,F,75.0,VIN,"{'BP': 0.4, 'EO': 0.2, 'ES': 0.2, 'PE': 0.1, 'SB': 0.1}",5,1.4708084763221112
2423611556,1986-07-28,1986,Québec,Neolentinus lepideus,CMMF018828,POINT (-74.008677 45.992549),31G,-74.0103678886985,45.9939801328103,"-426508,94+238446,76",,,,,M,2,VIN,B,1A,40.0,MM,65.0,VIN,"{'SB': 0.2, 'TO': 0.2, 'PB': 0.1, 'BP': 0.2, 'EO': 0.2, 'FT': 0.1}",6,1.7480673485460896
617552466,1998-06-27,1998,Québec,Neolentinus lepideus,CMMF003174,POINT (-73.608926 45.76054),31H,-73.6101448212339,45.7622838194135,"-397396,67+210523,01",,,,,F,3,30,A,5A,40.0,F,25.0,30,"{'PE': 0.8, 'BP': 0.2}",2,0.5004024235381879
4872453862,2024-05-23T20:13:40,2024,Québec,Neolentinus lepideus,https://www.inaturalist.org/observations/217802933,POINT (-73.473124 45.502371),31H,-73.4534182976333,45.5076194325555,"-387192,26+181407,71",,,,,F,2,30,A,1A,40.0,F,85.0,30,"{'FR': 0.6, 'PL': 0.3, 'EO': 0.1}",3,0.8979457248567797
4137813663,2023-06-14T10:14,2023,Québec,Neolentinus lepideus,https://www.inaturalist.org/observations/167426017,POINT (-73.840906 45.681691),31H,-73.8399580009205,45.6808654211248,"-415909,37+202801,43",,,,,F,2,JIR,A,5S,30.0,F,65.0,JIN,"{'PE': 0.6, 'FT': 0.2, 'BP': 0.1, 'SE': 0.1}",4,1.0888999753452235
2423611580,1974-10,1974,Québec,Neolentinus lepideus,CMMF020233,POINT (-73.600492 45.503371),31H,-73.6023242173434,45.5006415942135,"-398861,24+181450,85",,,,,F,1,VIN,B,1A,30.0,F,85.0,VIN,"{'CR': 0.7, 'ES': 0.2, 'FT': 0.1}",3,0.8018185525433372
1412709024,1980-07-31,1980,Québec,Neolentinus lepideus,CMMF017520,POINT (-73.946667 45.43),31H,-73.9478260670457,45.4292763336656,"-426285,67+175462,48",P,,,,R,1,50,A,5S,30.0,R,85.0,50,"{'EV': 0.3, 'EU': 0.2, 'EB': 0.1, 'PB': 0.1, 'PG': 0.1, 'PR': 0.1, 'FT': 0.1}",7,1.8343719702816235
1412707788,1981-06-25,1981,Québec,Neolentinus lepideus,CMMF016236,POINT (-73.304807 45.459874),31H,-73.2861073158563,45.4702902942302,"-374408,02+176377,27",,,,,F,2,JIR,B,3AN,50.0,F,65.0,JIN,"{'EA': 0.7, 'PL': 0.2, 'OR': 0.1}",3,0.8018185525433372
1412703482,1951-06-04,1951,Québec,Neolentinus lepideus,CMMF012396,POINT (-73.626467 45.696284),31H,-73.6227405838704,45.6890012517978,"-398897,84+202518,06",,,,,F,3,JIR,A,5A,40.0,F,65.0,JIN,"{'EO': 0.5, 'PE': 0.3, 'FT': 0.2}",3,1.0296530140645737
1135068941,2006-08-13,2006,Québec,Neolentinus lepideus,CMMF007521,POINT (-72.538333 45.95),31H,-72.5379722891352,45.9484962900269,"-313023,86+225764,23",P,,,,M,2,70,A,5S,30.0,MR,65.0,70,"{'EB': 0.5, 'PR': 0.1, 'EO': 0.4}",3,0.9433483923290392
1135068014,1980-07-31,1980,Québec,Neolentinus lepideus,CMMF006577,POINT (-73.946667 45.43),31H,-73.9478260670457,45.4292763336656,"-426285,67+175462,48",P,,,,R,1,50,A,5S,30.0,R,85.0,50,"{'EV': 0.3, 'EU': 0.2, 'EB': 0.1, 'PB': 0.1, 'PG': 0.1, 'PR': 0.1, 'FT': 0.1}",7,1.8343719702816235
617553466,2002-07-08,2002,Québec,Neolentinus lepideus,CMMF003614,POINT (-73.748752 46.052398),31I,-73.749118200884,46.0499377075994,"-405841,67+243195,20",,,,,F,2,70,A,2BE,30.0,F,75.0,70,"{'EO': 0.5, 'BP': 0.3, 'FT': 0.1, 'SE': 0.1}",4,1.1682824501765625
617553460,2002-07-04,2002,Québec,Neolentinus lepideus,CMMF003611,POINT (-73.748752 46.052398),31I,-73.749118200884,46.0499377075994,"-405841,67+243195,20",,,,,F,2,70,A,2BE,30.0,F,75.0,70,"{'EO': 0.5, 'BP': 0.3, 'FT': 0.1, 'SE': 0.1}",4,1.1682824501765625
617553082,2000-08-03,2000,Québec,Neolentinus lepideus,CMMF003439,POINT (-73.748752 46.052398),31I,-73.749118200884,46.0499377075994,"-405841,67+243195,20",,,,,F,2,70,A,2BE,30.0,F,75.0,70,"{'EO': 0.5, 'BP': 0.3, 'FT': 0.1, 'SE': 0.1}",4,1.1682824501765625
4875423005,2024-05-25T09:19:07,2024,Québec,Neolentinus lepideus,https://www.inaturalist.org/observations/218105729,POINT (-76.275594 46.068092),31K,-76.2758587310451,46.0657668640103,"-600306,34+262743,68",,,,,M,1,90,B,2BE,30.0,MF,75.0,90,"{'PE': 0.4, 'BP': 0.1, 'FT': 0.1, 'PI': 0.2, 'SE': 0.2}",5,1.4708084763221114
