gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4993862885,2024-09-09T08:51:18,2024,Québec,Onnia tomentosa,https://www.inaturalist.org/observations/241387309,POINT (-71.92015 45.380388),21E,-71.9210129701979,45.3810199028508,"-268188,05+160327,11",,,,,M,2,50,C,1AY,30.0,MF,85.0,50,"{'EO': 0.4, 'ES': 0.1, 'FI': 0.1, 'EB': 0.3, 'SB': 0.1}",5,1.4184836619456564
4952198697,2024-08-26T09:26,2024,Québec,Onnia tomentosa,https://www.inaturalist.org/observations/245264474,POINT (-71.749886 45.345447),21E,-71.7510711356504,45.3460705860987,"-255039,28+155798,13",,,,,M,1,JIN,B,2A,20.0,MF,85.0,JIN,"{'EO': 0.3, 'ES': 0.2, 'BJ': 0.1, 'FT': 0.1, 'EB': 0.1, 'PB': 0.1, 'SB': 0.1}",7,1.8343719702816235
1412707628,1995-09-05,1995,Québec,Onnia tomentosa,CMMF016004,POINT (-70.888105 45.580134),21E,-70.8910984430172,45.5780644306688,"-186925,69+179033,81",,,,,F,2,JIR,B,1A,40.0,F,55.0,JIN,"{'PE': 0.6, 'BP': 0.2, 'EO': 0.1, 'RX': 0.1}",4,1.0888999753452235
3327782383,2016-10-04,2016,Québec,Onnia tomentosa,https://www.inaturalist.org/observations/71156272,POINT (-71.402151 46.957508),21L,-71.4024783904748,46.9565999880289,"-220487,32+333426,12",,,,,M,2,VIR,D,1AY,20.0,MF,85.0,VIN,"{'BJ': 0.4, 'ER': 0.2, 'HG': 0.1, 'SB': 0.2, 'RX': 0.1}",5,1.4708084763221112
1701210960,2003-08-31,2003,Québec,Onnia tomentosa,79cddf0a-6018-406e-a936-165582c19c02,POINT (-71.199812 46.908199),21L,-71.2012346192332,46.9080388157689,"-205382,94+327416,05",,,,,F,2,50,B,7T,50.0,F,75.0,50,"{'PE': 0.6, 'BP': 0.3, 'FT': 0.1}",3,0.8979457248567797
1412707535,2002-09-12,2002,Québec,Onnia tomentosa,CMMF016003,POINT (-71.246332 46.734052),21L,-71.246027505991,46.7354447230169,"-209529,36+308450,60",,,,,F,3,JIR,B,5SY,30.0,F,45.0,30,"{'PE': 0.7, 'BP': 0.2, 'RX': 0.1}",3,0.8018185525433372
3044623340,2013-08-09,2013,Québec,Onnia tomentosa,https://www.inaturalist.org/observations/16333757,POINT (-68.57575 48.4036),22C,-68.5746879182835,48.4034121457633,"-5531,92+489397,17",,,,,F,3,50,A,6S,20.0,F,35.0,50,"{'PE': 0.9, 'RX': 0.1}",2,0.3250829733914482
2013680276,2013-08-08T10:46,2013,Québec,Onnia tomentosa,https://www.inaturalist.org/observations/10117829,POINT (-68.791677 48.350289),22C,-68.791856650316,48.349890118435,"-21570,01+483443,61",,,,,M,3,JIR,A,6S,20.0,MR,85.0,JIN,"{'TO': 0.3, 'ML': 0.2, 'EB': 0.1, 'SB': 0.1, 'PE': 0.2, 'BP': 0.1}",6,1.6957425341696346
1135069706,1977-08-14,1977,Québec,Onnia tomentosa,CMMF008198,POINT (-68.127667 48.626),22C,-68.1259201077164,48.6271532880408,"+27424,79+514112,88",,,,,R,3,50,A,6S,30.0,R,55.0,50,"{'EB': 0.7, 'SB': 0.2, 'PE': 0.1}",3,0.8018185525433372
617555627,1989-10-15,1989,Québec,Onnia tomentosa,CMMF000894,POINT (-74.144994 45.402527),31G,-74.1424718397712,45.4039606642682,"-441851,59+173897,93",,,,,F,2,JIN,A,5S,30.0,F,35.0,JIN,"{'ES': 0.5, 'EO': 0.2, 'FT': 0.2, 'FR': 0.1}",4,1.2206072645530173
4946131563,2024-09-10T08:42:30,2024,Québec,Onnia tomentosa,https://www.inaturalist.org/observations/240927962,POINT (-74.023292 45.861392),31G,-74.0230417247317,45.8598999835179,"-428776,24+223694,11",,,,,M,2,JIN,C,1AY,30.0,MF,75.0,JIN,"{'BP': 0.3, 'EO': 0.2, 'BG': 0.1, 'FH': 0.1, 'SB': 0.2, 'RX': 0.1}",6,1.6957425341696346
4102609437,2022-10-01T10:43,2022,Québec,Onnia tomentosa,https://www.inaturalist.org/observations/137285382,POINT (-75.02887 45.623018),31G,-75.0279820160314,45.6223193284458,"-508792,87+203893,20",,,,,M,2,JIN,B,R1A,30.0,MF,85.0,JIN,"{'CR': 0.3, 'FT': 0.2, 'BP': 0.1, 'EO': 0.1, 'PB': 0.2, 'RX': 0.1}",6,1.6957425341696346
2013685280,2016-09-02T15:13,2016,Québec,Onnia tomentosa,https://www.inaturalist.org/observations/16781611,POINT (-74.915325 45.944847),31G,-74.9165758012652,45.9444087868453,"-496936,77+238872,10",P,,,,R,4,10,A,2BE,20.0,R,95.0,10,{'RZ': 1.0},1,-0.0
1135068526,2010-10-14,2010,Québec,Onnia tomentosa,CMMF007030,POINT (-74.241983 45.66275),31G,-74.2394629589227,45.6643448234511,"-447111,50+203370,25",P,,,,R,3,JIR,A,5S,30.0,R,65.0,JIN,"{'PS': 0.5, 'PG': 0.3, 'RX': 0.1, 'FX': 0.1}",4,1.1682824501765625
1135067946,2005-10-22,2005,Québec,Onnia tomentosa,CMMF006492,POINT (-74.215833 45.393333),31G,-74.2159153456954,45.394052244897,"-447680,03+173254,03",,,,,R,3,JIR,A,5S,30.0,R,65.0,JIN,"{'EB': 0.3, 'SB': 0.3, 'EU': 0.2, 'PB': 0.1, 'PR': 0.1}",5,1.5047882836811908
1135067941,2004-10-07,2004,Québec,Onnia tomentosa,CMMF006495,POINT (-74.215833 45.393333),31G,-74.2159153456954,45.394052244897,"-447680,03+173254,03",,,,,R,3,JIR,A,5S,30.0,R,65.0,JIN,"{'EB': 0.3, 'SB': 0.3, 'EU': 0.2, 'PB': 0.1, 'PR': 0.1}",5,1.5047882836811908
617551142,1995-09-11,1995,Québec,Onnia tomentosa,CMMF002584,POINT (-72.584529 45.931221),31H,-72.5842799668517,45.9351393306654,"-316622,30+224582,90",,,,,F,2,50,A,5S,40.0,F,75.0,50,"{'BG': 0.4, 'EO': 0.4, 'PA': 0.1, 'PE': 0.1}",4,1.193549604098133
4853005273,2022-08-22T11:12,2022,Québec,Onnia tomentosa,https://www.inaturalist.org/observations/209247955,POINT (-73.397541 45.395686),31H,-73.3931129314798,45.3956862402853,"-383326,32+168657,07",,,,,F,3,JIR,A,1A,40.0,F,65.0,30,"{'FR': 0.3, 'PE': 0.3, 'BG': 0.2, 'EO': 0.1, 'OR': 0.1}",5,1.5047882836811908
4417139452,2023-09-22T11:27,2023,Québec,Onnia tomentosa,https://www.inaturalist.org/observations/184728447,POINT (-73.804361 45.629556),31H,-73.8020590836224,45.6282874622396,"-413394,96+196742,83",,,,,F,2,JIR,B,5S,30.0,F,85.0,JIN,"{'EO': 0.6, 'FH': 0.1, 'FT': 0.1, 'PU': 0.2}",4,1.0888999753452238
4404995781,2023-08-20T11:19,2023,Québec,Onnia tomentosa,https://www.inaturalist.org/observations/180356580,POINT (-72.454758 45.243503),31H,-72.4559365777067,45.2430851277671,"-310941,21+147160,68",,,,,F,2,JIR,B,2BE,30.0,F,65.0,JIN,"{'EO': 0.5, 'FT': 0.2, 'EA': 0.1, 'FI': 0.1, 'TO': 0.1}",5,1.3592367006650063
2423612791,1986-08-18,1986,Québec,Onnia tomentosa,CMMF018851,POINT (-73.997854 45.991697),31H,-73.9973033453585,45.9918215019355,"-425434,12+238255,54",,,,,F,1,70,D,1AY,31.0,F,85.0,70,"{'PE': 0.7, 'EO': 0.2, 'ES': 0.1}",3,0.8018185525433372
617555300,1989-09-09,1989,Québec,Onnia tomentosa,CMMF000743,POINT (-73.748752 46.052398),31I,-73.749118200884,46.0499377075994,"-405841,67+243195,20",,,,,F,2,70,A,2BE,30.0,F,75.0,70,"{'EO': 0.5, 'BP': 0.3, 'FT': 0.1, 'SE': 0.1}",4,1.1682824501765625
