gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4606811487,2023-06-30,2023,Québec,Paxillus involutus,https://www.inaturalist.org/observations/204379078,POINT (-71.254232 46.850622),21L,-71.2590984558885,46.8507532689862,"-209968,45+321230,10",,,,,F,2,JIN,B,5A,30.0,F,55.0,JIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'PE': 0.1}",4,1.2798542258336674
4525215582,2023-08-09,2023,Québec,Paxillus involutus,https://www.inaturalist.org/observations/199366156,POINT (-71.254298 46.850622),21L,-71.2590984558885,46.8507532689862,"-209968,45+321230,10",,,,,F,2,JIN,B,5A,30.0,F,55.0,JIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'PE': 0.1}",4,1.2798542258336674
4522770541,2023-08-21,2023,Québec,Paxillus involutus,https://www.inaturalist.org/observations/199099277,POINT (-71.239001 46.918279),21L,-71.237950637423,46.9175805222307,"-208121,73+328557,01",,,,,M,3,JIN,B,1A,30.0,MR,75.0,JIN,"{'SB': 0.3, 'EP': 0.2, 'TO': 0.1, 'EO': 0.2, 'BJ': 0.1, 'PE': 0.1}",6,1.6957425341696346
3988691313,2022-09-06,2022,Québec,Paxillus involutus,https://www.inaturalist.org/observations/143798622,POINT (-71.330724 46.793227),21L,-71.3325614923049,46.7921684724692,"-215700,37+315184,57",,,,,F,2,JIR,A,5A,40.0,F,85.0,JIN,"{'EO': 0.6, 'FI': 0.1, 'FT': 0.1, 'ML': 0.1, 'RX': 0.1}",5,1.2275294114572126
3988606275,2022-09-06,2022,Québec,Paxillus involutus,https://www.inaturalist.org/observations/143797969,POINT (-71.330407 46.793341),21L,-71.3325614923049,46.7921684724692,"-215700,37+315184,57",,,,,F,2,JIR,A,5A,40.0,F,85.0,JIN,"{'EO': 0.6, 'FI': 0.1, 'FT': 0.1, 'ML': 0.1, 'RX': 0.1}",5,1.2275294114572126
3764532370,2021-10-02T17:32:24,2021,Québec,Paxillus involutus,https://www.inaturalist.org/observations/96944222,POINT (-71.322617 46.773487),21L,-71.3262828510776,46.784214709689,"-215432,57+314119,97",,,,,F,3,50,A,5S,20.0,F,65.0,50,"{'FH': 0.5, 'PE': 0.2, 'BP': 0.1, 'EB': 0.1, 'RX': 0.1}",5,1.3592367006650063
2596361140,2012-08-21,2012,Québec,Paxillus involutus,https://www.inaturalist.org/observations/41164628,POINT (-71.309902 46.833828),21L,-71.3099384930337,46.8326221104316,"-213879,20+319465,29",,,,,F,2,VIN,A,5A,31.0,F,85.0,VIN,"{'PE': 0.4, 'EO': 0.2, 'FT': 0.2, 'FH': 0.1, 'SE': 0.1}",5,1.4708084763221112
1135071328,2007-08-23,2007,Québec,Paxillus involutus,CMMF009829,POINT (-71.284979 46.950203),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",6,1.6094379124341
1135071250,2007-08-23,2007,Québec,Paxillus involutus,CMMF009842,POINT (-71.312257 46.907478),21L,-71.3130161072813,46.9059506537654,"-213823,34+327509,31",,,,,M,3,30,C,1A,30.0,MM,55.0,30,"{'SB': 0.4, 'EB': 0.1, 'EO': 0.3, 'FX': 0.1, 'PE': 0.1}",5,1.4184836619456564
1135070510,2006-08-30,2006,Québec,Paxillus involutus,CMMF009076,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",5,1.4184836619456564
