gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4606960054,2024-04-08T18:56:50,2024.0,Québec,Peniophora rufa,https://www.inaturalist.org/observations/206254811,POINT (-71.910758 45.35762),21E,-71.9100563417047,45.3564802444976,"-267465,54+157557,97",,,,,F,3,50,B,1AY,30.0,F,95.0,50,"{'EO': 0.4, 'BJ': 0.1, 'ES': 0.1, 'FT': 0.1, 'PE': 0.1, 'RX': 0.1, 'SB': 0.1}",7,1.7480673485460891
4867654341,2024-05-15,2024.0,Québec,Peniophora rufa,https://www.inaturalist.org/observations/216279860,POINT (-71.334531 46.790539),21L,-71.3352892601203,46.7924775535717,"-216094,99+315056,15",,,,,R,3,JIR,A,5A,50.0,R,75.0,70,"{'ML': 0.6, 'EN': 0.2, 'RX': 0.1, 'BP': 0.1}",4,1.0888999753452235
4854868813,2024-04-28T10:40:35,2024.0,Québec,Peniophora rufa,https://www.inaturalist.org/observations/213889401,POINT (-71.441118 46.732503),21L,-71.4402835824072,46.7325848624169,"-224540,03+308799,32",,,,,F,2,JIR,A,5A,50.0,F,25.0,50,"{'FO': 0.6, 'FN': 0.2, 'PA': 0.2}",3,0.9502705392332347
4596853467,2023-10-21T16:16:22,2023.0,Québec,Peniophora rufa,https://www.inaturalist.org/observations/188438859,POINT (-71.34049 46.773572),21L,-71.340143811475,46.7744056493545,"-216404,93+313150,85",,,,,M,3,JIR,B,5A,30.0,MF,55.0,JIN,"{'BP': 0.2, 'EO': 0.2, 'FN': 0.1, 'PE': 0.1, 'SB': 0.3, 'PB': 0.1}",6,1.6957425341696346
4596810354,2023-08-19T15:24:17,2023.0,Québec,Peniophora rufa,https://www.inaturalist.org/observations/179322674,POINT (-71.390522 46.772885),21L,-71.3895251081549,46.7732448432714,"-220305,35+313092,34",,,,,F,3,JIR,A,5A,40.0,F,65.0,JIN,"{'PE': 0.4, 'BG': 0.2, 'BP': 0.1, 'FH': 0.1, 'FN': 0.1, 'RX': 0.1}",6,1.6094379124341
4523426973,1938-09-24,1938.0,Québec,Peniophora rufa,6d8ea60c-f864-4858-8bc0-6dc5e170b8a1,POINT (-71.7 46.75),21L,-71.6989153106372,46.7529019450234,"-243968,64+311714,12",,,,,M,2,VIR,D,3AN,20.0,MM,65.0,VIN,"{'EB': 0.3, 'SB': 0.2, 'BJ': 0.2, 'EO': 0.2, 'FH': 0.1}",5,1.5571130980576458
4523426484,1938-09-24,1938.0,Québec,Peniophora rufa,64f19f9c-f0cf-4127-812d-25bc07625ef2,POINT (-71.7 46.75),21L,-71.6989153106372,46.7529019450234,"-243968,64+311714,12",,,,,M,2,VIR,D,3AN,20.0,MM,65.0,VIN,"{'EB': 0.3, 'SB': 0.2, 'BJ': 0.2, 'EO': 0.2, 'FH': 0.1}",5,1.5571130980576458
4507577232,2023-10-25T13:08:15,2023.0,Québec,Peniophora rufa,https://www.inaturalist.org/observations/189239246,POINT (-71.287485 46.778684),21L,-71.2883151052035,46.7787125836834,"-212567,19+313393,01",,,,,F,3,30,B,5S,20.0,F,75.0,30,"{'PE': 0.5, 'BP': 0.3, 'EO': 0.1, 'FN': 0.1}",4,1.1682824501765625
4133777402,2021-10-18T11:49,2021.0,Québec,Peniophora rufa,https://www.inaturalist.org/observations/99549936,POINT (-71.270143 46.784414),21L,-71.2720105484705,46.784168672611,"-211298,92+313945,42",,,,,F,2,JIR,A,1A,30.0,F,75.0,JIN,"{'EO': 0.4, 'ES': 0.3, 'FT': 0.2, 'FI': 0.1}",4,1.2798542258336674
4067626847,2023-03-14T17:33:23,2023.0,Québec,Peniophora rufa,https://www.inaturalist.org/observations/151202807,POINT (-71.294178 46.732472),21L,-71.2901270574993,46.7354518118801,"-212887,72+308574,05",,,,,F,2,50,A,1AM,20.0,F,55.0,50,"{'PE': 0.5, 'EO': 0.3, 'EB': 0.1, 'RX': 0.1}",4,1.1682824501765625
