gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
3455686163,2021-10-22T13:50:28,2021,Québec,Phallus indusiatus,https://www.inaturalist.org/observations/98998310,POINT (-71.842987 45.361877),21E,-71.8443042306924,45.3612913132051,"-262290,24+157851,01",,,,,M,1,JIN,B,4GS,30.0,MF,85.0,JIN,"{'EO': 0.3, 'BJ': 0.1, 'ES': 0.1, 'FT': 0.1, 'PE': 0.1, 'PU': 0.2, 'SB': 0.1}",7,1.8343719702816235
3985948646,2022-09-17,2022,Québec,Phallus indusiatus,https://www.inaturalist.org/observations/142600168,POINT (-71.343745 46.833459),21L,-71.3430773947679,46.8335796985944,"-216574,93+319615,05",,,,,M,2,VIR,A,5A,40.0,MF,75.0,VIN,"{'EO': 0.4, 'FH': 0.2, 'BJ': 0.1, 'EB': 0.2, 'RX': 0.1}",5,1.4708084763221112
3070595971,2020-09-17,2020,Québec,Phallus indusiatus,https://www.inaturalist.org/observations/72444020,POINT (-71.337973 46.833003),21L,-71.3394069794699,46.8330822238902,"-216340,75+319597,57",,,CP,,M,2,JIR,A,5A,30.0,MF,65.0,JIN,"{'EO': 0.3, 'PE': 0.2, 'BJ': 0.1, 'FN': 0.1, 'EB': 0.2, 'SB': 0.1}",6,1.6957425341696346
3947209741,2022-10-15T11:47,2022,Québec,Phallus indusiatus,https://www.inaturalist.org/observations/139065025,POINT (-76.539307 45.884235),31F,-76.5384719346652,45.8847605178556,"-622938,23+245078,82",,,CDL,1984.0,F,2,VIN,B,1AY,30.0,F,85.0,VIN,"{'ES': 0.6, 'HG': 0.3, 'FT': 0.1}",3,0.8979457248567797
3466368508,2021-09-26T11:33,2021,Québec,Phallus indusiatus,https://www.inaturalist.org/observations/105809778,POINT (-76.462638 45.911844),31F,-76.4612271018771,45.9124344743974,"-616508,38+247271,02",,,,,F,1,70,D,1AY,30.0,F,85.0,70,"{'PE': 0.7, 'BP': 0.1, 'ER': 0.1, 'SE': 0.1}",4,0.9404479886553263
3466080247,2021-09-10T09:46,2021,Québec,Phallus indusiatus,https://www.inaturalist.org/observations/105478672,POINT (-76.515947 45.944902),31F,-76.5158077684372,45.9429471064619,"-620473,56+251066,61",,,,,F,1,VIR,F,R1A,10.0,F,75.0,VIN,"{'BJ': 0.2, 'EO': 0.2, 'ES': 0.2, 'PE': 0.2, 'RX': 0.1, 'SE': 0.1}",6,1.7480673485460894
3399212293,2021-10-12T13:06,2021,Québec,Phallus indusiatus,https://www.inaturalist.org/observations/98563880,POINT (-76.598824 45.946952),31F,-76.6002206690545,45.9466879662025,"-626800,35+252348,73",,,CPS,2010.0,F,1,VIN,D,1AY,20.0,F,75.0,VIN,"{'ES': 0.3, 'BJ': 0.2, 'BP': 0.2, 'FT': 0.1, 'HG': 0.1, 'RX': 0.1}",6,1.6957425341696346
3986177937,2022-10-22T11:20:48,2022,Québec,Phallus indusiatus,https://www.inaturalist.org/observations/139634000,POINT (-74.244117 45.662025),31G,-74.2462658512336,45.6616603327294,"-447651,94+203120,54",P,,,,R,1,90,A,5S,20.0,R,85.0,90,"{'EV': 0.6, 'PS': 0.4}",2,0.6730116670092565
3985779869,2022-10-22T11:19:30,2022,Québec,Phallus indusiatus,https://www.inaturalist.org/observations/139645523,POINT (-74.24267 45.662742),31G,-74.2394629589227,45.6643448234511,"-447111,50+203370,25",P,,,,R,3,JIR,A,5S,30.0,R,65.0,JIN,"{'PS': 0.5, 'PG': 0.3, 'RX': 0.1, 'FX': 0.1}",4,1.1682824501765625
3355389237,2021-09-06T14:25:08,2021,Québec,Phallus indusiatus,https://www.inaturalist.org/observations/93907818,POINT (-75.929567 45.539305),31G,-75.9284488867455,45.5381200128269,"-579714,18+201544,81",,,,,F,1,VIN,D,1AY,30.0,F,75.0,VIN,"{'ES': 0.7, 'BJ': 0.1, 'CR': 0.1, 'TA': 0.1}",4,0.9404479886553263
