gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4901028647,2024-06-14T14:39:45,2024,Québec,Phellinus tremulae,https://www.inaturalist.org/observations/222694934,POINT (-71.945575 45.378314),21E,-71.9452680571388,45.3770198024225,"-270118,71+159975,33",,,,,F,1,VIN,A,1A,30.0,F,45.0,VIN,"{'EO': 0.4, 'BJ': 0.2, 'BP': 0.1, 'EA': 0.1, 'OR': 0.1, 'SB': 0.1}",6,1.6094379124341
1841191615,2018-04-02T14:20:40,2018,Québec,Phellinus tremulae,https://www.inaturalist.org/observations/10581882,POINT (-71.028336 45.624443),21E,-71.0288922176593,45.6235791611396,"-197334,74+184388,28",,,,,M,3,JIN,B,1A,40.0,MF,55.0,JIN,"{'EO': 0.4, 'BP': 0.2, 'PE': 0.1, 'SB': 0.2, 'TO': 0.1}",5,1.4708084763221112
1838307926,2018-04-12T13:35:46,2018,Québec,Phellinus tremulae,https://www.inaturalist.org/observations/10850177,POINT (-71.160204 45.839856),21E,-71.158841421048,45.8404729538717,"-206576,52+208860,15",,,,,F,2,JIN,D,1AY,30.0,F,65.0,JIN,"{'EO': 0.5, 'PE': 0.2, 'BP': 0.1, 'ES': 0.1, 'RX': 0.1}",5,1.3592367006650063
4096417567,2023-01-02T13:29,2023,Québec,Phellinus tremulae,https://www.inaturalist.org/observations/145689661,POINT (-71.361871 46.9064),21L,-71.3637069649867,46.9058265651157,"-217722,43+327737,56",,,CP,,F,2,JIR,A,3AN,40.0,F,55.0,JIN,"{'EO': 0.3, 'PA': 0.3, 'FH': 0.2, 'FO': 0.2}",4,1.366158847569202
2596124323,2016-08-08,2016,Québec,Phellinus tremulae,https://www.inaturalist.org/observations/40874650,POINT (-71.392833 46.961575),21L,-71.3912447909061,46.9623573719129,"-219574,76+333994,77",,,,,M,2,JIR,A,3AN,50.0,MR,35.0,JIN,"{'ML': 0.5, 'SB': 0.1, 'TO': 0.1, 'PE': 0.2, 'FH': 0.1}",5,1.3592367006650063
3889019371,2021-08-10T12:42:52,2021,Québec,Phellinus tremulae,https://www.inaturalist.org/observations/90786128,POINT (-69.784619 47.590742),21N,-69.7837698709679,47.592563876026,"-96268,27+400390,70",,,,,R,4,JIN,D,R,10.0,R,55.0,JIN,"{'EN': 0.4, 'SB': 0.2, 'PG': 0.1, 'RX': 0.1, 'BP': 0.1, 'EO': 0.1}",6,1.6094379124341
3759849669,2021-08-02T13:59:03,2021,Québec,Phellinus tremulae,https://www.inaturalist.org/observations/89890663,POINT (-69.957489 48.256096),22C,-69.9580606970707,48.2552334087563,"-107951,63+473980,66",,,,,F,1,70,B,3AN,20.0,F,65.0,70,"{'PE': 0.6, 'BP': 0.3, 'SE': 0.1}",3,0.8979457248567797
1806349827,2013-08-07,2013,Québec,Phellinus tremulae,https://www.inaturalist.org/observations/9573738,POINT (-68.57575 48.4036),22C,-68.5746879182835,48.4034121457633,"-5531,92+489397,17",,,,,F,3,50,A,6S,20.0,F,35.0,50,"{'PE': 0.9, 'RX': 0.1}",2,0.3250829733914482
4528284033,2024-02-22T10:19:41,2024,Québec,Phellinus tremulae,https://www.inaturalist.org/observations/200157189,POINT (-76.202599 45.606937),31F,-76.202551051244,45.6059437113689,"-600220,86+211272,50",,,,,M,2,VIN,D,R1A,20.0,MR,75.0,VIN,"{'PB': 0.5, 'PU': 0.2, 'CR': 0.1, 'ER': 0.1, 'FT': 0.1}",5,1.3592367006650063
4165348676,2023-07-17T10:49,2023,Québec,Phellinus tremulae,https://www.inaturalist.org/observations/174082306,POINT (-76.5105 45.838774),31F,-76.5116802828804,45.8383268311271,"-621322,67+239604,77",,,CP,,M,2,50,C,1AY,30.0,MM,65.0,50,"{'EB': 0.3, 'SB': 0.2, 'EO': 0.2, 'ES': 0.1, 'FI': 0.1, 'FT': 0.1}",6,1.6957425341696346
4112086856,2023-04-30T12:40,2023,Québec,Phellinus tremulae,https://www.inaturalist.org/observations/159339094,POINT (-76.134684 45.6401),31F,-76.1340249775555,45.6408896602754,"-594485,29+214570,65",,,,,F,1,VIN,D,1AY,30.0,F,85.0,VIN,"{'PE': 0.4, 'EO': 0.2, 'ES': 0.2, 'FT': 0.1, 'RX': 0.1}",5,1.4708084763221112
