gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4442626162,2023-11-06T14:54:03,2023.0,Québec,Phlebia radiata,https://www.inaturalist.org/observations/190242468,POINT (-71.928925 45.385442),21E,-71.9210129701979,45.3810199028508,"-268188,05+160327,11",,,,,M,2,50,C,1AY,30.0,MF,85.0,50,"{'EO': 0.4, 'ES': 0.1, 'FI': 0.1, 'EB': 0.3, 'SB': 0.1}",5,1.4184836619456564
4872191324,2023-11-26T13:57:55,2023.0,Québec,Phlebia radiata,https://www.inaturalist.org/observations/192514112,POINT (-71.350963 46.775964),21L,-71.3509001422968,46.7746848947869,"-217353,43+313133,90",,,,,M,3,JIR,A,5A,50.0,MR,75.0,JIN,"{'EN': 0.4, 'ML': 0.2, 'SB': 0.1, 'EO': 0.2, 'FO': 0.1}",5,1.4708084763221112
4129726409,2021-11-04,2021.0,Québec,Phlebia radiata,https://www.inaturalist.org/observations/100552670,POINT (-71.231512 46.912857),21L,-71.2300431563054,46.9122546066695,"-207559,90+328029,91",,,,,F,3,JIN,B,1A,30.0,F,85.0,JIN,"{'BJ': 0.3, 'BP': 0.2, 'EO': 0.2, 'ES': 0.1, 'HG': 0.1, 'SE': 0.1}",6,1.6957425341696346
3963625049,2022-10-05,2022.0,Québec,Phlebia radiata,https://www.inaturalist.org/observations/141167584,POINT (-71.341232 46.787662),21L,-71.3401360077422,46.788197225471,"-216472,58+314598,42",,,,,F,2,VIR,A,5A,40.0,F,75.0,VIN,"{'EO': 0.5, 'BJ': 0.2, 'ES': 0.1, 'PB': 0.1, 'SE': 0.1}",5,1.3592367006650063
1701212177,2003-08-29,2003.0,Québec,Phlebia radiata,055c690c-9f26-4fc2-908c-fbcbfed3448f,POINT (-71.393568 46.783668),21L,-71.3947620448483,46.7835628929619,"-220780,40+314293,83",,,,,F,3,30,A,5S,30.0,F,85.0,30,"{'BP': 0.4, 'BG': 0.2, 'PE': 0.2, 'EO': 0.1, 'FN': 0.1}",5,1.4708084763221112
1135069264,1980-02-10,1980.0,Québec,Phlebia radiata,CMMF007779,POINT (-71.33515 46.420983),21L,-71.3369458386607,46.4198781019431,"-217852,67+273728,02",,,,,F,1,50,A,5S,40.0,F,85.0,50,"{'EO': 0.4, 'BJ': 0.2, 'FT': 0.1, 'PE': 0.1, 'ML': 0.1, 'SB': 0.1}",6,1.6094379124341
4950385449,2024-09-17T11:25,2024.0,Québec,Phlebia radiata,https://www.inaturalist.org/observations/242604393,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4436484488,2023-10-28T15:03,2023.0,Québec,Phlebia radiata,https://www.inaturalist.org/observations/189501568,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
3963552250,2022-11-04T16:10,2022.0,Québec,Phlebia radiata,https://www.inaturalist.org/observations/141322344,POINT (-76.542975 45.846198),31F,-76.5443207016607,45.8465328852019,"-623743,59+240793,92",CPR,2006.0,,,F,5,10,A,2BE,20.0,F,75.0,10,{'FX': 1.0},1,-0.0
3947449301,2022-10-11T09:12:33,2022.0,Québec,Phlebia radiata,https://www.inaturalist.org/observations/138670507,POINT (-76.32386 45.776057),31F,-76.3232587795325,45.7765155230866,"-607519,52+231150,29",,,CP,,M,2,JIR,B,1AY,30.0,MF,55.0,JIN,"{'EO': 0.3, 'PE': 0.2, 'BP': 0.1, 'SB': 0.2, 'EB': 0.1, 'PB': 0.1}",6,1.6957425341696346
