gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617555305	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000745	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Picipes	Picipes badius		SPECIES	Polyporus durus (Timm) Kreisel	Polyporus durus (Timm) Kreisel	(Timm) Kreisel	CA	Rawdon	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.052398	-73.748752	11000.0						1989-09-09	9	9	1989	5246720	9439058	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000745		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Archambault, Raymond			2024-01-24T16:38:20.220Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617552216	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003058	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Picipes	Picipes badius		SPECIES	Polyporus durus (Timm) Kreisel	Polyporus durus (Timm) Kreisel	(Timm) Kreisel	CA	Carignan	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.459874	-73.304807	5000.0						1997-08-04	4	8	1997	5246720	9439058	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003058		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.665Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617551898	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002910	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Picipes	Picipes badius		SPECIES	Polyporus durus (Timm) Kreisel	Polyporus durus (Timm) Kreisel	(Timm) Kreisel	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1996-08-25	25	8	1996	5246720	9439058	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002910		Nadon, Richard		CC0_1_0	Université de Montréal Biodiversity Centre	Nadon, Richard			2024-01-24T16:38:20.860Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617551446	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000271	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Picipes	Picipes badius		SPECIES	Polyporus durus (Timm) Kreisel	Polyporus durus (Timm) Kreisel	(Timm) Kreisel	CA	Laval	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.609608	-73.705867	17500.0						1988-08-30	30	8	1988	5246720	9439058	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000271		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.706Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617550601	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002348	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Picipes	Picipes badius		SPECIES	Polyporus durus (Timm) Kreisel	Polyporus durus (Timm) Kreisel	(Timm) Kreisel	CA	Laval	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.609608	-73.705867	17500.0						1995-05-29	29	5	1995	5246720	9439058	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002348		Audet, Serge		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.455Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4994070238	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/242558434	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Picipes	Picipes badius		SPECIES	Picipes badius (Pers.) Zmitr. & Kovalenko	Picipes badius		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.787424	-71.338902	7.0						2024-09-08T16:07:20	8	9	2024	9439058	9439058	HUMAN_OBSERVATION	iNaturalist	Observations	242558434		Camille Boucher	2024-09-18T20:37:39	CC_BY_NC_4_0	Camille Boucher	Camille Boucher			2025-01-14T12:54:15.051Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4993843450	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/252658434	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Picipes	Picipes badius		SPECIES	Picipes badius (Pers.) Zmitr. & Kovalenko	Picipes badius		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.506177	-73.70848	396.0						2022-09-01T11:53	1	9	2022	9439058	9439058	HUMAN_OBSERVATION	iNaturalist	Observations	252658434		Ronald Wan	2024-11-23T00:20:13	CC_BY_NC_4_0	Ronald Wan	Ronald Wan			2025-01-14T13:44:32.798Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4982026602	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/252178790	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Picipes	Picipes badius		SPECIES	Picipes badius (Pers.) Zmitr. & Kovalenko	Picipes badius		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.171917	-76.25603	357.0						2024-11-17T13:21	17	11	2024	9439058	9439058	HUMAN_OBSERVATION	iNaturalist	Observations	252178790		Igor Khomenko	2024-11-18T18:20:06	CC_BY_NC_4_0	Igor Khomenko	Igor Khomenko			2025-01-14T12:55:37.897Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4973948754	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/247938018	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Picipes	Picipes badius		SPECIES	Picipes badius (Pers.) Zmitr. & Kovalenko	Picipes badius		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.445403	-75.811042	7.0						2024-10-18T13:23	18	10	2024	9439058	9439058	HUMAN_OBSERVATION	iNaturalist	Observations	247938018		oriannas	2024-10-18T17:24:53	CC_BY_NC_4_0	oriannas	oriannas			2025-01-14T13:43:52.808Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4935965164	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/237976247	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Picipes	Picipes badius		SPECIES	Picipes badius (Pers.) Zmitr. & Kovalenko	Picipes badius		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.033415	-75.667187	372.0						2024-08-25T12:38:09	25	8	2024	9439058	9439058	HUMAN_OBSERVATION	iNaturalist	Observations	237976247		Ariel Bonkoski	2024-09-01T04:41:39	CC_BY_NC_4_0	roberthossie	roberthossie			2025-01-14T12:52:58.352Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
