gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617552999	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003402	Fungi	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Plicaturopsis	Plicaturopsis crispa		SPECIES	Plicatura crispa (Pers.) Rea	Plicatura crispa (Pers.) Rea	(Pers.) Rea	CA	Longueuil	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.544154	-73.477185	5000.0						1999-10-06	6	10	1999	2526733	2526725	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003402		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.051Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617548736	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001535	Fungi	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Plicaturopsis	Plicaturopsis crispa		SPECIES	Plicatura crispa (Pers.) Rea	Plicatura crispa (Pers.) Rea	(Pers.) Rea	CA	Contrecoeur	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.876777	-73.209987	12000.0						1991-10-04	4	10	1991	2526733	2526725	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001535		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.644Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
5008209902	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/176488038	Fungi	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Plicaturopsis	Plicaturopsis crispa		SPECIES	Plicatura crispa (Pers.) Rea	Plicatura crispa		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.548154	-78.567414	1989.0						2023-07-27T10:02	27	7	2023	2526733	2526725	HUMAN_OBSERVATION	iNaturalist	Observations	176488038		Marlene Duhig	2025-01-04T22:32:35	CC_BY_NC_4_0	Marlene Duhig	Marlene Duhig			2025-01-14T13:28:13.981Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5007871799	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/139250352	Fungi	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Plicaturopsis	Plicaturopsis crispa		SPECIES	Plicatura crispa (Pers.) Rea	Plicatura crispa		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.880109	-71.674751	505.0						2022-10-15T12:52:41	15	10	2022	2526733	2526725	HUMAN_OBSERVATION	iNaturalist	Observations	139250352		Mathias Rocheleau-Duplain	2025-01-04T22:01:06	CC_BY_4_0	Mathias Rocheleau-Duplain	Mathias Rocheleau-Duplain			2025-01-14T13:21:35.653Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5007860903	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/152070195	Fungi	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Plicaturopsis	Plicaturopsis crispa		SPECIES	Plicatura crispa (Pers.) Rea	Plicatura crispa		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.105011	-77.884972	6.0						2023-03-23T17:28:58	23	3	2023	2526733	2526725	HUMAN_OBSERVATION	iNaturalist	Observations	152070195		Diana Smith	2025-01-04T22:25:24	CC_BY_NC_4_0	Diana Smith	Diana Smith			2025-01-14T12:34:15.375Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5007860505	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/97029859	Fungi	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Plicaturopsis	Plicaturopsis crispa		SPECIES	Plicatura crispa (Pers.) Rea	Plicatura crispa		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.07372	-78.086952	1532.0						2021-10-03T11:28Z	3	10	2021	2526733	2526725	HUMAN_OBSERVATION	iNaturalist	Observations	97029859		jmass	2025-01-04T21:26:44	CC_BY_NC_4_0	jmass	jmass			2025-01-14T12:22:16.580Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5007791736	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/180198977	Fungi	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Plicaturopsis	Plicaturopsis crispa		SPECIES	Plicatura crispa (Pers.) Rea	Plicatura crispa		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.515473	-75.442401							2023-08-25T15:22:33	25	8	2023	2526733	2526725	HUMAN_OBSERVATION	iNaturalist	Observations	180198977		Jean Sorensen	2025-01-04T22:33:55	CC_BY_4_0	Jean Sorensen	Jean Sorensen			2025-01-14T12:40:13.449Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5007721854	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/61830412	Fungi	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Plicaturopsis	Plicaturopsis crispa		SPECIES	Plicatura crispa (Pers.) Rea	Plicatura crispa		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.413534	-79.270359	17.0						2020-10-05T14:09:39	5	10	2020	2526733	2526725	HUMAN_OBSERVATION	iNaturalist	Observations	61830412		Carl-Adam Wegenschimmel	2025-01-04T21:04:39	CC_BY_NC_4_0	Theresa Elisabeth deGelder	Theresa Elisabeth deGelder			2025-01-14T13:10:05.014Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5007471100	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/255866753	Fungi	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Plicaturopsis	Plicaturopsis crispa		SPECIES	Plicatura crispa (Pers.) Rea	Plicatura crispa		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.29457	-66.033669	180.0						2024-12-19T10:37:22	19	12	2024	2526733	2526725	HUMAN_OBSERVATION	iNaturalist	Observations	255866753		Toni Doucette	2025-01-04T23:43:54	CC_BY_NC_4_0	Toni Doucette	Toni Doucette			2025-01-14T12:57:29.850Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5007273521	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/189424541	Fungi	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Plicaturopsis	Plicaturopsis crispa		SPECIES	Plicatura crispa (Pers.) Rea	Plicatura crispa		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.410336	-79.037181							2023-10-28T13:18:36	28	10	2023	2526733	2526725	HUMAN_OBSERVATION	iNaturalist	Observations	189424541		rdm-ncb	2025-01-04T22:42:26	CC_BY_4_0	rdm-ncb	rdm-ncb			2025-01-14T13:34:23.820Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
