gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4500499959,2022-08-10,2022,Québec,Pseudoboletus parasiticus,https://www.inaturalist.org/observations/146606250,POINT (-71.34131 46.787695),21L,-71.342478583618,46.7877021868538,"-216658,09+314546,22",,,,,F,2,JIR,A,5A,40,F,75.0,19,JIN,"{'EO': 0.6, 'BJ': 0.2, 'ES': 0.1, 'FI': 0.1}",0.0011686057175756027,4,1.0888999753452235,[4.979167],[10.258333],[23.636713],[1184.7295],[26.5],[-16.9],[43.4],[17.9],[-9.],[19.1],[-10.216666],[1225.],[129.],[68.],[17.458946],[369.],[243.],[360.],[250.]
4018294259,2022-08-10,2022,Québec,Pseudoboletus parasiticus,https://www.inaturalist.org/observations/146606845,POINT (-71.341362 46.787703),21L,-71.342478583618,46.7877021868538,"-216658,09+314546,22",,,,,F,2,JIR,A,5A,40,F,75.0,19,JIN,"{'EO': 0.6, 'BJ': 0.2, 'ES': 0.1, 'FI': 0.1}",0.0011165839140845246,4,1.0888999753452235,[4.979167],[10.258333],[23.636713],[1184.7295],[26.5],[-16.9],[43.4],[17.9],[-9.],[19.1],[-10.216666],[1225.],[129.],[68.],[17.458946],[369.],[243.],[360.],[250.]
3994073907,2022-09-06,2022,Québec,Pseudoboletus parasiticus,https://www.inaturalist.org/observations/144008768,POINT (-71.340782 46.787492),21L,-71.3401360077422,46.788197225471,"-216472,58+314598,42",,,,,F,2,VIR,A,5A,40,F,75.0,20,VIN,"{'EO': 0.5, 'BJ': 0.2, 'ES': 0.1, 'PB': 0.1, 'SE': 0.1}",0.0009563728154279033,5,1.3592367006650063,[4.979167],[10.258333],[23.636713],[1184.7295],[26.5],[-16.9],[43.4],[17.9],[-9.],[19.1],[-10.216666],[1225.],[129.],[68.],[17.458946],[369.],[243.],[360.],[250.]
3988710707,2022-09-11,2022,Québec,Pseudoboletus parasiticus,https://www.inaturalist.org/observations/143270749,POINT (-71.237426 46.923834),21L,-71.2376879481372,46.9248089412982,"-208091,22+329448,86",,,,,F,3,JIN,C,1AY,20,F,85.0,16,JIN,"{'EO': 0.4, 'HG': 0.2, 'BJ': 0.1, 'ES': 0.1, 'SB': 0.2}",0.001009518380972521,5,1.4708084763221112,[3.3958333],[10.308333],[23.917248],[1164.3228],[24.5],[-18.6],[43.1],[16.116667],[-5.1],[17.316668],[-11.533334],[1385.],[141.],[87.],[13.877102],[399.],[280.],[395.],[309.]
2823075389,2017-09-08,2017,Québec,Pseudoboletus parasiticus,https://www.inaturalist.org/observations/41309841,POINT (-71.401436 47.006619),21M,-71.4007168844763,47.0062494879417,"-220065,85+338871,19",,,CP,,F,1,VIN,D,1A,30,F,65.0,23,VIN,"{'ES': 0.7, 'BJ': 0.2, 'HG': 0.1}",0.0008084963188946801,3,0.8018185525433372,[3.1583333],[10.],[23.866348],[1135.0768],[23.4],[-18.5],[41.9],[15.566667],[-5.1000004],[16.516666],[-11.533334],[1387.],[142.],[84.],[15.267341],[405.],[276.],[396.],[301.]
617550426,1988-08-21,1988,Québec,Pseudoboletus parasiticus,CMMF000227,POINT (-74.119788 45.990446),31G,-74.1196060192395,45.9896083154521,"-434958,79+238684,70",,,,,M,1,VIR,D,2BD,20,MF,75.0,22,VIN,"{'BP': 0.2, 'ES': 0.2, 'PE': 0.2, 'EO': 0.1, 'PB': 0.2, 'SB': 0.1}",0.0008572236574996492,6,1.7480673485460894,[4.0791664],[10.525],[24.5338],[1154.807],[24.8],[-18.1],[42.9],[17.65],[-9.650001],[17.65],[-10.783334],[1126.],[111.],[72.],[13.022533],[314.],[232.],[314.],[251.]
4407577737,2023-09-02T12:02:04,2023,Québec,Pseudoboletus parasiticus,https://www.inaturalist.org/observations/181431228,POINT (-75.892302 45.544591),31G,-75.891792804484,45.5434858927348,"-576806,80+201802,43",,,,,F,1,VIN,B,1AM,30,F,85.0,24,VIN,"{'ES': 0.5, 'EO': 0.2, 'FT': 0.1, 'TA': 0.1, 'PU': 0.1}",0.0012167753042807595,5,1.3592367006650063,[4.695833],[10.441667],[24.396418],[1149.8467],[25.5],[-17.3],[42.8],[13.316667],[-9.116667],[18.166666],[-10.116667],[1012.],[98.],[64.],[14.0210085],[287.],[201.],[279.],[214.]
4407107273,2023-08-28T12:15:06,2023,Québec,Pseudoboletus parasiticus,https://www.inaturalist.org/observations/181113801,POINT (-75.865629 45.495159),31G,-75.8665175048545,45.4957388277488,"-575472,82+196310,37",,,CP,,F,1,VIN,D,1AY,30,F,75.0,23,VIN,"{'HG': 0.4, 'ES': 0.2, 'CR': 0.1, 'EO': 0.1, 'FR': 0.1, 'FT': 0.1}",0.0010609623437011493,6,1.6094379124341,[4.35],[10.466666],[24.56964],[1148.8888],[25.],[-17.6],[42.6],[16.916666],[-9.45],[17.766666],[-10.5],[1049.],[101.],[67.],[12.899613],[294.],[213.],[290.],[225.]
1135068757,1979-09-01,1979,Québec,Pseudoboletus parasiticus,CMMF007255,POINT (-74.09015 45.7001),31G,-74.0924347384085,45.6989741549894,"-435505,07+206263,83",,,,,F,2,JIN,A,5S,40,F,95.0,21,JIN,"{'EO': 0.3, 'FT': 0.2, 'PE': 0.2, 'BJ': 0.1, 'ES': 0.1, 'PB': 0.1}",0.0025470682329276494,6,1.6957425341696346,[5.233333],[10.316667],[24.447077],[1147.4584],[25.7],[-16.5],[42.2],[18.683334],[-8.466667],[18.683334],[-9.6],[1042.],[101.],[63.],[13.686655],[288.],[211.],[288.],[229.]
1135068619,2006-08-08,2006,Québec,Pseudoboletus parasiticus,CMMF007141,POINT (-74.2185 45.683917),31G,-74.2184894361057,45.6817433787633,"-445317,70+205176,03",,,,,F,2,JIN,A,3AN,50,F,85.0,18,JIN,"{'EO': 0.3, 'ES': 0.2, 'BJ': 0.1, 'BP': 0.1, 'EA': 0.1, 'FT': 0.1, 'PB': 0.1}",0.0021736469070429546,7,1.8343719702816235,[4.975],[10.266666],[24.27108],[1145.9583],[25.5],[-16.8],[42.3],[7.4333334],[-3.4666667],[18.416666],[-9.833333],[1089.],[109.],[66.],[15.146086],[306.],[216.],[305.],[238.]
617552387,1997-09-15,1997,Québec,Pseudoboletus parasiticus,CMMF003137,POINT (-73.453807 45.447591),31H,-73.4399164604518,45.4336889278269,"-386707,10+173047,10",,,,,F,3,JIR,A,5A,50,F,75.0,15,30,"{'FR': 0.4, 'PE': 0.4, 'PA': 0.2}",0.019652345906946235,3,1.0549201679861442,[6.5333333],[9.783334],[23.745955],[1121.4952],[26.5],[-14.7],[41.2],[18.85],[-6.85],[19.75],[-7.866667],[1005.],[98.],[61.],[13.369641],[288.],[205.],[279.],[219.]
617552234,1997-08-18,1997,Québec,Pseudoboletus parasiticus,CMMF003067,POINT (-73.304807 45.459874),31H,-73.2861073158563,45.4702902942302,"-374408,02+176377,27",,,,,F,2,JIR,B,3AN,50,F,65.0,21,JIN,"{'EA': 0.7, 'PL': 0.2, 'OR': 0.1}",0.021405078195705064,3,0.8018185525433372,[6.1666665],[9.95],[23.91827],[1134.4648],[26.3],[-15.3],[41.6],[18.466667],[-7.383333],[19.466667],[-8.5],[1004.],[96.],[60.],[14.4245205],[285.],[197.],[282.],[219.]
617550954,1995-08-19,1995,Québec,Pseudoboletus parasiticus,CMMF002505,POINT (-73.209987 45.876777),31H,-73.2105975411842,45.8774056777621,"-365532,82+221164,10",,,,,F,1,JIN,A,5S,30,F,95.0,23,JIN,"{'EO': 0.6, 'HG': 0.2, 'FR': 0.1, 'FT': 0.1}",0.0008763539616883925,4,1.0888999753452235,[5.65],[9.650001],[23.086124],[1134.5023],[25.7],[-16.1],[41.800003],[18.933332],[-8.25],[18.933332],[-8.866667],[987.],[98.],[60.],[15.804523],[284.],[191.],[284.],[214.]
617547961,1990-09-01,1990,Québec,Pseudoboletus parasiticus,CMMF001196,POINT (-73.126654 45.885245),31H,-73.1262070137731,45.8848033707203,"-358939,29+221557,12",,,,,M,2,JIN,A,5S,30,MF,95.0,17,JIN,"{'OR': 0.4, 'EO': 0.2, 'FN': 0.1, 'PU': 0.1, 'RX': 0.1, 'TO': 0.1}",0.0006283574681102667,6,1.6094379124341,[5.4333334],[10.1],[23.653395],[1165.4113],[26.],[-16.7],[42.7],[19.066668],[-8.7],[19.066668],[-9.6],[1013.],[101.],[61.],[15.503072],[291.],[196.],[291.],[217.]
4945791104,2024-08-25T11:19,2024,Québec,Pseudoboletus parasiticus,https://www.inaturalist.org/observations/240825628,POINT (-73.461056 45.547459),31H,-73.4603417415806,45.5478918687837,"-387400,93+185906,20",,,,,F,2,50,A,1A,40,F,85.0,20,50,"{'FR': 0.5, 'EO': 0.3, 'EA': 0.1, 'OR': 0.1}",0.0008351888849675208,4,1.1682824501765625,[6.5958333],[9.958333],[23.766905],[1144.2057],[27.],[-14.9],[41.9],[19.166666],[-7.],[20.083334],[-8.116667],[1007.],[98.],[62.],[12.628206],[282.],[208.],[273.],[224.]
4936348265,2024-08-24T18:05:36,2024,Québec,Pseudoboletus parasiticus,https://www.inaturalist.org/observations/237926078,POINT (-73.477464 45.450678),31H,-73.4770980409209,45.4514877867892,"-389471,05+175306,41",,,,,F,1,VIN,A,1A,30,F,95.0,25,VIN,"{'CH': 0.5, 'EO': 0.2, 'FT': 0.2, 'PL': 0.1}",0.0008886397985337152,4,1.2206072645530173,[6.6583333],[9.616667],[23.570261],[1110.0426],[26.5],[-14.3],[40.8],[18.95],[-6.5833335],[19.766666],[-7.5333333],[988.],[96.],[60.],[13.385474],[282.],[201.],[273.],[217.]
4846866147,2022-07-20T11:24,2022,Québec,Pseudoboletus parasiticus,https://www.inaturalist.org/observations/206781306,POINT (-73.397541 45.395686),31H,-73.3931129314798,45.3956862402853,"-383326,32+168657,07",,,,,F,3,JIR,A,1A,40,F,65.0,16,30,"{'FR': 0.3, 'PE': 0.3, 'BG': 0.2, 'EO': 0.1, 'OR': 0.1}",0.0044280685267177175,5,1.5047882836811908,[6.0583334],[9.95],[24.09201],[1127.0372],[26.],[-15.3],[41.3],[18.25],[-7.366667],[19.266666],[-8.533333],[986.],[95.],[58.],[14.399983],[284.],[195.],[277.],[212.]
4413513963,2023-09-10T14:25:41,2023,Québec,Pseudoboletus parasiticus,https://www.inaturalist.org/observations/182748182,POINT (-73.476548 45.452385),31H,-73.4770980409209,45.4514877867892,"-389471,05+175306,41",,,,,F,1,VIN,A,1A,30,F,95.0,25,VIN,"{'CH': 0.5, 'EO': 0.2, 'FT': 0.2, 'PL': 0.1}",0.001052395629169444,4,1.2206072645530173,[6.6583333],[9.616667],[23.570261],[1110.0426],[26.5],[-14.3],[40.8],[18.95],[-6.5833335],[19.766666],[-7.5333333],[988.],[96.],[60.],[13.385474],[282.],[201.],[273.],[217.]
4177021239,2023-08-09T08:09,2023,Québec,Pseudoboletus parasiticus,https://www.inaturalist.org/observations/177604047,POINT (-73.469319 45.550015),31H,-73.4706932017226,45.5489414174934,"-388218,04+186092,17",,,,,F,2,50,A,1A,40,F,85.0,18,50,"{'EO': 0.4, 'BG': 0.2, 'FR': 0.1, 'FT': 0.1, 'OR': 0.1, 'PE': 0.1}",0.001743849125603231,6,1.6094379124341,[6.6124997],[9.925],[23.744019],[1140.4109],[27.],[-14.8],[41.8],[19.15],[-6.9500003],[20.083334],[-8.033334],[1009.],[97.],[62.],[12.300922],[281.],[208.],[273.],[223.]
1412708862,1981-07-30,1981,Québec,Pseudoboletus parasiticus,CMMF017280,POINT (-73.946667 45.43),31H,-73.9478260670457,45.4292763336656,"-426285,67+175462,48",P,,,,R,1,50,A,5S,30,R,85.0,22,50,"{'EV': 0.3, 'EU': 0.2, 'EB': 0.1, 'PB': 0.1, 'PG': 0.1, 'PR': 0.1, 'FT': 0.1}",0.0013664294273593267,7,1.8343719702816235,[5.9041667],[9.308333],[22.814543],[1130.0834],[25.7],[-15.1],[40.800003],[19.216667],[-7.633333],[19.216667],[-8.566667],[992.],[94.],[61.],[12.652432],[275.],[203.],[275.],[219.]
