gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
1412707996,2001-03-12,2001,Québec,Punctularia strigosozonata,CMMF016403,POINT (-71.188677 46.861556),21L,-71.1808753025937,46.8583957875259,"-204173,04+321808,05",,,,,F,2,VIN,F,5A,30.0,F,75.0,20,VIN,"{'ES': 0.6, 'FT': 0.2, 'BP': 0.1, 'EO': 0.1}",0.008417447671403773,4,1.0888999753452235,[5.0041666],[10.541667],[23.958334],[1191.4781],[26.9],[-17.1],[44.],[18.016666],[-8.983334],[19.333334],[-10.216667],[1273.],[136.],[70.],[17.845478],[381.],[245.],[377.],[253.]
1135070158,2006-07-06,2006,Québec,Punctularia strigosozonata,CMMF008715,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,18,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",0.004029905739944569,5,1.4184836619456564,[3.1291666],[10.041667],[23.90873],[1137.7439],[23.5],[-18.5],[42.],[15.599999],[-5.2000003],[16.583334],[-11.533334],[1380.],[141.],[85.],[14.94956],[401.],[274.],[396.],[305.]
1135069371,1979-12-31,1979,Québec,Punctularia strigosozonata,CMMF007892,POINT (-71.33515 46.754317),21L,-71.3356017225365,46.7540026522317,"-216276,59+310756,84",,,,,F,2,JIN,B,5S,20.0,F,85.0,20,JIN,"{'ES': 0.5, 'CR': 0.2, 'FT': 0.2, 'EO': 0.1}",0.0005503342342754184,4,1.2206072645530173,[4.7333336],[9.983334],[23.435055],[1162.9944],[25.8],[-16.8],[42.6],[17.533333],[-9.],[18.616667],[-10.133333],[1225.],[129.],[69.],[16.491295],[365.],[244.],[360.],[256.]
4919574142,2022-06-11T08:02,2022,Québec,Punctularia strigosozonata,https://www.inaturalist.org/observations/142868495,POINT (-76.567317 45.970741),31F,-76.5660353875244,45.9702111580945,"-623941,25+254649,95",,,CJ,1999.0,F,2,VIN,B,1AM,30.0,F,75.0,21,VIN,"{'CR': 0.3, 'ES': 0.3, 'HG': 0.2, 'TA': 0.1, 'SE': 0.1}",0.0013868175736035993,5,1.5047882836811908,[3.5333333],[11.216667],[25.377075],[1169.8938],[24.8],[-19.4],[44.199997],[16.233334],[-10.55],[17.066666],[-11.633333],[981.],[97.],[59.],[14.756748],[281.],[198.],[277.],[201.]
4919352618,2023-07-09T10:53,2023,Québec,Punctularia strigosozonata,https://www.inaturalist.org/observations/173851049,POINT (-76.435101 45.911294),31F,-76.4333651833461,45.9106829681951,"-614385,39+246922,01",,,,,F,1,VIN,D,R,10.0,F,85.0,22,VIN,"{'CR': 0.8, 'ER': 0.1, 'FT': 0.1}",0.0018402226285360451,3,0.639031859650177,[3.6875],[11.125],[25.28409],[1167.0109],[24.9],[-19.1],[44.],[16.366667],[-10.333333],[17.216667],[-11.433333],[967.],[96.],[58.],[14.722423],[276.],[198.],[275.],[200.]
4919259243,2022-11-07T12:28,2022,Québec,Punctularia strigosozonata,https://www.inaturalist.org/observations/141410732,POINT (-76.419834 45.948948),31F,-76.4191277242128,45.9498699956306,"-612769,87+251181,17",,,,,F,1,90,D,2A,20.0,F,85.0,28,90,"{'PE': 0.7, 'ER': 0.1, 'PB': 0.1, 'SE': 0.1}",0.0011614221585712577,4,0.9404479886553263,[3.9416666],[11.116667],[25.322702],[1166.8213],[25.1],[-18.8],[43.9],[16.65],[-10.066667],[17.483334],[-11.166667],[949.],[94.],[56.],[14.836641],[272.],[190.],[269.],[194.]
4919111771,2023-07-17T10:58,2023,Québec,Punctularia strigosozonata,https://www.inaturalist.org/observations/173881171,POINT (-76.597654 45.903849),31F,-76.5961534167137,45.9034127679901,"-626938,77+247397,51",,,,,F,2,30,B,1AY,30.0,F,85.0,17,30,"{'PE': 0.4, 'ER': 0.2, 'BJ': 0.1, 'BP': 0.1, 'FT': 0.1, 'TA': 0.1}",0.0015627055274716807,6,1.6094379124341,[3.6374998],[11.141666],[25.32197],[1164.2831],[24.8],[-19.2],[44.],[12.316667],[-10.400001],[17.116667],[-11.466667],[969.],[96.],[58.],[14.474765],[278.],[199.],[271.],[199.]
4431038441,2023-10-12T15:41:08,2023,Québec,Punctularia strigosozonata,https://www.inaturalist.org/observations/187320897,POINT (-76.436511 45.836887),31F,-76.4350870155912,45.8372811725543,"-615422,84+238818,52",,,CP,,F,1,VIR,F,1AM,20.0,F,65.0,22,VIN,"{'ES': 0.3, 'EO': 0.2, 'FT': 0.2, 'CR': 0.1, 'PB': 0.1, 'SE': 0.1}",0.0014775329434828105,6,1.6957425341696346,[3.9666665],[11.083333],[25.132275],[1168.2822],[25.2],[-18.9],[44.1],[16.683332],[-10.083333],[17.533333],[-11.166667],[929.],[92.],[54.],[15.316952],[266.],[184.],[265.],[191.]
3947668528,2022-05-01T13:24,2022,Québec,Punctularia strigosozonata,https://www.inaturalist.org/observations/114736247,POINT (-76.479973 45.935997),31F,-76.4777032110994,45.9375340950275,"-617468,95+250264,67",,,,,F,1,VIR,D,1AY,30.0,F,75.0,22,VIN,"{'ES': 0.4, 'BJ': 0.3, 'EO': 0.1, 'TA': 0.1, 'SE': 0.1}",0.002741277581143616,5,1.4184836619456564,[3.975],[11.133333],[25.30303],[1167.3893],[25.2],[-18.8],[44.],[16.666666],[-10.066667],[17.5],[-11.166667],[934.],[94.],[54.],[15.7494],[271.],[185.],[266.],[190.]
3947661421,2021-05-08T17:16,2021,Québec,Punctularia strigosozonata,https://www.inaturalist.org/observations/78089279,POINT (-76.061735 45.556123),31F,-76.0612935501938,45.5565807634954,"-589967,50+204822,74",,,,,F,2,VIR,A,5S,30.0,F,75.0,21,VIN,"{'ER': 0.3, 'PE': 0.3, 'FT': 0.2, 'BP': 0.1, 'RX': 0.1}",0.0006359444544262311,5,1.5047882836811908,[5.1041665],[10.625],[24.651972],[1154.5492],[26.],[-17.1],[43.1],[17.783333],[-3.55],[18.6],[-9.8],[946.],[93.],[58.],[14.713216],[272.],[189.],[269.],[202.]
3947464457,2021-06-28T08:00,2021,Québec,Punctularia strigosozonata,https://www.inaturalist.org/observations/85172130,POINT (-76.45113 45.954328),31F,-76.4526887201489,45.9544395305375,"-615335,92+251917,37",,,,,F,2,JIN,B,1A,30.0,F,75.0,20,JIN,"{'ES': 0.5, 'FI': 0.2, 'FT': 0.1, 'SE': 0.2}",0.0015627052067999296,4,1.2206072645530175,[3.8083334],[11.15],[25.340908],[1167.0122],[25.],[-19.],[44.],[16.516666],[-10.216666],[17.333334],[-11.316667],[955.],[94.],[56.],[15.321955],[275.],[191.],[272.],[195.]
3947400640,2022-06-14T09:00,2022,Québec,Punctularia strigosozonata,https://www.inaturalist.org/observations/122078063,POINT (-76.430308 45.885424),31F,-76.4293610298679,45.8865724392373,"-614409,23+244220,18",,,,,F,2,JIR,D,2BE,20.0,F,75.0,20,JIN,"{'PE': 0.4, 'BP': 0.2, 'ER': 0.2, 'FT': 0.1, 'PB': 0.1}",0.0014885110388699093,5,1.4708084763221112,[3.9541667],[11.108334],[25.188965],[1166.8751],[25.2],[-18.9],[44.1],[12.65],[-10.066667],[17.5],[-11.166667],[942.],[93.],[55.],[15.521866],[269.],[187.],[268.],[192.]
3889118913,2022-07-26T10:22,2022,Québec,Punctularia strigosozonata,https://www.inaturalist.org/observations/129417744,POINT (-76.427351 45.848685),31F,-76.4278178069732,45.8480133504612,"-614569,23+239998,87",,,CP,,F,2,JIN,B,1AY,30.0,F,75.0,20,JIN,"{'ES': 0.3, 'FI': 0.2, 'FT': 0.2, 'TA': 0.2, 'EO': 0.1}",0.0008179375606945193,5,1.5571130980576458,[4.079167],[11.075],[25.113379],[1168.4653],[25.3],[-18.8],[44.1],[16.783333],[-9.983334],[17.633333],[-11.066667],[916.],[91.],[53.],[16.05015],[264.],[179.],[262.],[187.]
3743083448,2021-08-24T09:36,2021,Québec,Punctularia strigosozonata,https://www.inaturalist.org/observations/105280418,POINT (-76.479283 45.871957),31F,-76.479625937078,45.8729291851042,"-618418,93+243143,95",,,CP,,M,1,JIN,B,1AM,30.0,MF,55.0,23,JIN,"{'ES': 0.2, 'FT': 0.2, 'CR': 0.1, 'EO': 0.1, 'EB': 0.2, 'PB': 0.1, 'RX': 0.1}",0.0010308975294807115,7,1.8866967846580784,[3.9333334],[11.066667],[25.151516],[1165.3528],[25.1],[-18.9],[44.],[17.433334],[-10.083333],[17.433334],[-11.183333],[940.],[92.],[56.],[14.385353],[266.],[191.],[266.],[193.]
3327855626,2021-07-09T08:54,2021,Québec,Punctularia strigosozonata,https://www.inaturalist.org/observations/87173910,POINT (-76.541261 45.80969),31F,-76.5442830370168,45.8112844554429,"-624178,00+236895,26",,,,,F,1,70,A,2BE,20.0,F,85.0,26,70,"{'PE': 0.7, 'ER': 0.2, 'FT': 0.1}",0.0034168693112619324,3,0.8018185525433372,[4.3125],[11.175],[25.340136],[1165.7599],[25.6],[-18.5],[44.1],[16.983334],[-9.7],[17.816668],[-10.85],[901.],[89.],[53.],[14.737103],[256.],[179.],[254.],[184.]
3892284841,2022-08-12T12:00:51,2022,Québec,Punctularia strigosozonata,https://www.inaturalist.org/observations/130584617,POINT (-75.62638 45.489272),31G,-75.625595713745,45.4900241756347,"-556701,48+193781,49",,,,,F,2,JIN,C,5S,20.0,F,95.0,19,JIN,"{'EO': 0.3, 'ES': 0.3, 'PE': 0.3, 'FT': 0.1}",0.001086679858660085,4,1.313834033192747,[5.775],[10.5],[24.418606],[1160.0343],[26.7],[-16.3],[43.],[19.35],[-8.116667],[19.35],[-9.216666],[939.],[92.],[55.],[16.160423],[270.],[178.],[270.],[196.]
