gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4597373700,2023-08-01,2023,Québec,Retiboletus ornatipes,https://www.inaturalist.org/observations/201670772,POINT (-71.312081 46.836434),21L,-71.3114143436342,46.8358390810914,"-214073,46+319791,16",,,,,F,3,JIR,A,5A,40.0,F,55.0,JIN,"{'PE': 0.4, 'BG': 0.2, 'BP': 0.1, 'EO': 0.1, 'FH': 0.1, 'FN': 0.1}",6,1.6094379124341
4596930724,2023-08-01,2023,Québec,Retiboletus ornatipes,https://www.inaturalist.org/observations/201670883,POINT (-71.31234 46.836137),21L,-71.3114143436342,46.8358390810914,"-214073,46+319791,16",,,,,F,3,JIR,A,5A,40.0,F,55.0,JIN,"{'PE': 0.4, 'BG': 0.2, 'BP': 0.1, 'EO': 0.1, 'FH': 0.1, 'FN': 0.1}",6,1.6094379124341
4091900319,2019-08-14,2019,Québec,Retiboletus ornatipes,https://www.inaturalist.org/observations/37984748,POINT (-71.235932 46.931356),21L,-71.2354155922237,46.9314875504697,"-207874,38+330102,72",,,,,M,3,50,D,1A,30.0,MF,75.0,50,"{'BJ': 0.3, 'EO': 0.2, 'BP': 0.1, 'SB': 0.3, 'EP': 0.1}",5,1.5047882836811908
1135070306,2006-08-05,2006,Québec,Retiboletus ornatipes,CMMF008890,POINT (-71.307678 46.86201),21L,-71.3127227204637,46.8632652548053,"-214060,31+322843,05",,,,,M,3,JIR,A,5A,40.0,MF,35.0,JIN,"{'PE': 0.3, 'FN': 0.2, 'FO': 0.2, 'SB': 0.2, 'RX': 0.1}",5,1.5571130980576458
1412703213,1944-09-09,1944,Québec,Retiboletus ornatipes,CMMF011671,POINT (-70.033333 47.366667),21M,-70.0326861477456,47.3744305344126,"-115610,25+376450,58",,,,,M,3,JIR,D,6S,30.0,MR,65.0,50,"{'TO': 0.5, 'RX': 0.1, 'ER': 0.2, 'FI': 0.1, 'FT': 0.1}",5,1.3592367006650063
4921599568,2024-08-04T14:40:09,2024,Québec,Retiboletus ornatipes,https://www.inaturalist.org/observations/233771553,POINT (-75.798347 45.743683),31G,-75.7984262399552,45.7431362231535,"-567243,47+223059,14",,,CP,,F,2,JIN,D,1A,30.0,F,65.0,JIN,"{'ES': 0.5, 'BP': 0.2, 'FR': 0.1, 'HG': 0.1, 'RX': 0.1}",5,1.3592367006650063
4910818124,2024-07-18T13:29,2024,Québec,Retiboletus ornatipes,https://www.inaturalist.org/observations/230660680,POINT (-74.021359 45.477741),31G,-74.0212983019397,45.4762689161628,"-431790,11+181004,27",,,,,F,1,VIN,A,6S,40.0,F,85.0,VIN,"{'EO': 0.5, 'CR': 0.2, 'PE': 0.2, 'FT': 0.1}",4,1.2206072645530173
4908063926,2024-07-13T15:30,2024,Québec,Retiboletus ornatipes,https://www.inaturalist.org/observations/229377265,POINT (-75.798147 45.505791),31G,-75.7978106492428,45.5058732630095,"-569870,60+196744,37",,,CP,,F,2,JIR,A,1AY,30.0,F,65.0,JIN,"{'ER': 0.3, 'FT': 0.2, 'CR': 0.1, 'FH': 0.1, 'FI': 0.1, 'TA': 0.1, 'RX': 0.1}",7,1.8343719702816235
4416933845,2023-09-17T13:58:13,2023,Québec,Retiboletus ornatipes,https://www.inaturalist.org/observations/183785123,POINT (-74.279722 45.933298),31G,-74.2820394025086,45.9327921074032,"-448125,67+233400,77",,,,,F,2,VIR,D,1A,31.0,F,75.0,VIN,"{'BJ': 0.3, 'BP': 0.2, 'ES': 0.2, 'EO': 0.1, 'PE': 0.1, 'SB': 0.1}",6,1.6957425341696346
4407325316,2018-09-02,2018,Québec,Retiboletus ornatipes,https://www.inaturalist.org/observations/38183255,POINT (-75.41917 45.543454),31G,-75.4183405116532,45.5393426545674,"-539958,69+197716,12",,,,,F,1,VIN,A,3AN,50.0,F,65.0,VIN,"{'FR': 0.7, 'EA': 0.2, 'FT': 0.1}",3,0.8018185525433372
