gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4945859203,2024-09-09T08:42:33,2024,Québec,Rhodocollybia maculata,https://www.inaturalist.org/observations/241387442,POINT (-71.914803 45.378892),21E,-71.9137966201445,45.378176253628,"-267644,20+159984,00",,,,,F,2,JIR,B,1AY,30.0,F,85.0,JIN,"{'PE': 0.5, 'EO': 0.2, 'FR': 0.2, 'BG': 0.1}",4,1.2206072645530173
4936018845,2024-08-17T15:44:27,2024,Québec,Rhodocollybia maculata,https://www.inaturalist.org/observations/237392371,POINT (-71.269643 45.413277),21E,-71.268387957006,45.4130287119875,"-216920,89+161674,80",,,,,F,3,50,B,1A,30.0,F,75.0,50,"{'EO': 0.4, 'BJ': 0.2, 'BP': 0.1, 'ES': 0.1, 'FT': 0.1, 'SB': 0.1}",6,1.6094379124341
4413657297,2023-09-09T18:17:57,2023,Québec,Rhodocollybia maculata,https://www.inaturalist.org/observations/182574943,POINT (-71.910295 45.376125),21E,-71.9115915306234,45.3771797537733,"-267472,19+159862,43",,,,,F,2,50,C,1AY,30.0,F,85.0,50,"{'EO': 0.5, 'PE': 0.2, 'BG': 0.1, 'ES': 0.1, 'FT': 0.1}",5,1.3592367006650063
4405018038,2023-08-22T08:32:18,2023,Québec,Rhodocollybia maculata,https://www.inaturalist.org/observations/179765578,POINT (-71.273764 46.776804),21L,-71.2744664790037,46.7753598795118,"-211507,98+312972,70",,,,,F,2,VIR,A,1A,30.0,F,85.0,VIN,"{'ES': 0.6, 'EO': 0.2, 'FI': 0.1, 'FT': 0.1}",4,1.0888999753452235
2574245323,2018-09-24,2018,Québec,Rhodocollybia maculata,https://www.inaturalist.org/observations/38386784,POINT (-71.235932 46.931356),21L,-71.2354155922237,46.9314875504697,"-207874,38+330102,72",,,,,M,3,50,D,1A,30.0,MF,75.0,50,"{'BJ': 0.3, 'EO': 0.2, 'BP': 0.1, 'SB': 0.3, 'EP': 0.1}",5,1.5047882836811908
2573923219,2019-10-12,2019,Québec,Rhodocollybia maculata,https://www.inaturalist.org/observations/34275093,POINT (-71.336077 46.792303),21L,-71.3352892601203,46.7924775535717,"-216094,99+315056,15",,,,,R,3,JIR,A,5A,50.0,R,75.0,70,"{'ML': 0.6, 'EN': 0.2, 'RX': 0.1, 'BP': 0.1}",4,1.0888999753452235
2573778556,2008-06-26T17:14:44,2008,Québec,Rhodocollybia maculata,https://www.inaturalist.org/observations/10888820,POINT (-71.381521 46.753446),21L,-71.3815707039866,46.753186428202,"-219788,58+310843,65",,,,,M,2,JIN,A,5S,20.0,MF,65.0,JIN,"{'ES': 0.3, 'FT': 0.2, 'EO': 0.1, 'PE': 0.1, 'PB': 0.1, 'SB': 0.1, 'TO': 0.1}",7,1.8343719702816235
2423165221,2019-09-20,2019,Québec,Rhodocollybia maculata,https://www.inaturalist.org/observations/33098327,POINT (-71.227662 46.547783),21L,-71.2263942593996,46.5484844213792,"-208816,86+287619,81",,,,,M,2,70,A,5S,40.0,MF,85.0,70,"{'EO': 0.3, 'BJ': 0.2, 'FT': 0.1, 'EN': 0.2, 'RX': 0.1, 'SB': 0.1}",6,1.6957425341696346
1701212173,2003-08-31,2003,Québec,Rhodocollybia maculata,ef6d942a-336b-467d-b5db-2ea2359e66e7,POINT (-71.199812 46.908199),21L,-71.2012346192332,46.9080388157689,"-205382,94+327416,05",,,,,F,2,50,B,7T,50.0,F,75.0,50,"{'PE': 0.6, 'BP': 0.3, 'FT': 0.1}",3,0.8979457248567797
1135071366,2007-08-23,2007,Québec,Rhodocollybia maculata,CMMF009839,POINT (-71.284979 46.950203),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",6,1.6094379124341
1135071117,2007-08-07,2007,Québec,Rhodocollybia maculata,CMMF009694,POINT (-71.312257 46.907478),21L,-71.3130161072813,46.9059506537654,"-213823,34+327509,31",,,,,M,3,30,C,1A,30.0,MM,55.0,30,"{'SB': 0.4, 'EB': 0.1, 'EO': 0.3, 'FX': 0.1, 'PE': 0.1}",5,1.4184836619456564
1135071028,2007-07-10,2007,Québec,Rhodocollybia maculata,CMMF009511,POINT (-71.300041 46.949694),21L,-71.299219087451,46.9489125306201,"-212684,40+332223,99",,,CP,,R,3,5090,A,1A,40.0,R,55.0,50,"{'SB': 0.5, 'EP': 0.2, 'EN': 0.1, 'EO': 0.1, 'FI': 0.1}",5,1.3592367006650063
1135070672,2006-09-16,2006,Québec,Rhodocollybia maculata,CMMF009214,POINT (-71.312257 46.907478),21L,-71.3130161072813,46.9059506537654,"-213823,34+327509,31",,,,,M,3,30,C,1A,30.0,MM,55.0,30,"{'SB': 0.4, 'EB': 0.1, 'EO': 0.3, 'FX': 0.1, 'PE': 0.1}",5,1.4184836619456564
1135070409,2006-08-17,2006,Québec,Rhodocollybia maculata,CMMF008984,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",5,1.4184836619456564
1135070285,2006-07-25,2006,Québec,Rhodocollybia maculata,CMMF008800,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",5,1.4184836619456564
1135070210,2006-07-08,2006,Québec,Rhodocollybia maculata,CMMF008719,POINT (-71.326007 46.988318),21L,-71.3247257299776,46.9890034858984,"-214308,15+336869,18",,,CP,,M,2,VIR,C,1A,31.0,MF,55.0,VIN,"{'EO': 0.3, 'BJ': 0.2, 'FT': 0.1, 'EP': 0.2, 'RX': 0.1, 'SB': 0.1}",6,1.6957425341696346
1135069218,1979-07-07,1979,Québec,Rhodocollybia maculata,CMMF007875,POINT (-70.042333 46.683583),21L,-70.0421890219616,46.6833510960322,"-117819,18+299934,56",P,,,,R,2,50,B,1A,30.0,R,75.0,50,{'RZ': 1.0},1,-0.0
4424599141,2023-10-05T11:42:43,2023,Québec,Rhodocollybia maculata,https://www.inaturalist.org/observations/186292575,POINT (-71.281542 47.155303),21M,-71.2804920126298,47.1553912516901,"-210347,84+355138,75",CT,1981.0,EPC,1999.0,R,4,30,B,1A,30.0,R,65.0,30,"{'SB': 0.6, 'EN': 0.2, 'EB': 0.1, 'FX': 0.1}",4,1.0888999753452235
3328040388,2016-08-27,2016,Québec,Rhodocollybia maculata,https://www.inaturalist.org/observations/71216828,POINT (-70.786687 47.080647),21M,-70.7862788683737,47.0808422977531,"-173237,70+345547,07",,,,,M,2,JIN,B,5S,30.0,MF,85.0,JIN,"{'BP': 0.4, 'BJ': 0.1, 'EO': 0.1, 'TO': 0.3, 'SE': 0.1}",5,1.4184836619456564
2429255152,2019-09-21T16:16:22,2019,Québec,Rhodocollybia maculata,https://www.inaturalist.org/observations/33164325,POINT (-71.158066 47.060962),21M,-71.1585498384218,47.0598817812821,"-201663,03+344317,48",,,,,M,3,JIR,B,2BE,20.0,MR,75.0,JIN,"{'SB': 0.4, 'EB': 0.2, 'BJ': 0.1, 'BP': 0.1, 'EO': 0.1, 'PT': 0.1}",6,1.6094379124341
1135070251,2006-07-24,2006,Québec,Rhodocollybia maculata,CMMF008793,POINT (-71.309613 47.000553),21M,-71.3094276165562,47.0013439257092,"-213220,38+338006,12",,,CP,,M,2,VIR,A,2BE,40.0,MR,65.0,VIN,"{'SB': 0.3, 'EB': 0.2, 'EP': 0.1, 'BJ': 0.1, 'BP': 0.1, 'EO': 0.1, 'PE': 0.1}",7,1.8343719702816235
1135069780,2012-08-10,2012,Québec,Rhodocollybia maculata,CMMF008317,POINT (-66.20075 48.856883),22B,-66.2016831952,48.856547007173,"+167833,25+542235,09",CT,1974.0,,,R,3,70,C,8AM,30.0,R,85.0,70,"{'SB': 0.7, 'EB': 0.1, 'EN': 0.1, 'BP': 0.1}",4,0.9404479886553263
1135069623,1978-07-29,1978,Québec,Rhodocollybia maculata,CMMF008115,POINT (-69.805233 48.220517),22C,-69.8069989782388,48.2209824709421,"-96650,35+469949,48",,,,,M,3,70,F,R1A,20.0,M,65.0,70,"{'BP': 0.4, 'PE': 0.2, 'EO': 0.1, 'SE': 0.2, 'EP': 0.1}",5,1.4708084763221112
3889029682,2022-08-02T11:36,2022,Québec,Rhodocollybia maculata,https://www.inaturalist.org/observations/129489960,POINT (-76.599428 45.995371),31F,-76.5988959601339,45.9946624315645,"-626099,05+257629,24",,,,,F,1,VIN,D,1AY,30.0,F,85.0,VIN,"{'ES': 0.5, 'BJ': 0.2, 'CR': 0.1, 'FT': 0.1, 'RX': 0.1}",5,1.3592367006650063
617555271,1989-09-04,1989,Québec,Rhodocollybia maculata,CMMF000732,POINT (-74.331714 45.973194),31G,-74.3317111103781,45.976067538341,"-451460,26+238503,23",,,,,M,2,JIN,C,1A,30.0,MF,65.0,JIN,"{'BP': 0.6, 'BJ': 0.1, 'SB': 0.2, 'EU': 0.1}",4,1.0888999753452235
617553635,1988-09-21,1988,Québec,Rhodocollybia maculata,CMMF000369,POINT (-74.292134 45.664878),31G,-74.2890463382539,45.6656010935744,"-450978,15+203798,18",,,,,M,2,VIR,C,5S,20.0,MR,75.0,VIN,"{'PB': 0.5, 'SE': 0.1, 'EO': 0.2, 'FT': 0.2}",4,1.2206072645530175
