gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4510318381,2023-10-04,2023,Québec,Rhodofomes roseus,https://www.inaturalist.org/observations/193212624,POINT (-71.25807 46.850153),21L,-71.2590984558885,46.8507532689862,"-209968,45+321230,10",,,,,F,2,JIN,B,5A,30.0,F,55.0,JIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'PE': 0.1}",4,1.2798542258336674
3759530779,2021-11-20,2021,Québec,Rhodofomes roseus,https://www.inaturalist.org/observations/101631963,POINT (-71.258929 46.849996),21L,-71.2590984558885,46.8507532689862,"-209968,45+321230,10",,,,,F,2,JIN,B,5A,30.0,F,55.0,JIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'PE': 0.1}",4,1.2798542258336674
3759360640,2022-04-15,2022,Québec,Rhodofomes roseus,https://www.inaturalist.org/observations/112139965,POINT (-71.258077 46.850219),21L,-71.2590984558885,46.8507532689862,"-209968,45+321230,10",,,,,F,2,JIN,B,5A,30.0,F,55.0,JIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'PE': 0.1}",4,1.2798542258336674
2579306220,2016-01-27,2016,Québec,Rhodofomes roseus,https://www.inaturalist.org/observations/39696976,POINT (-71.20423 46.8631),21L,-71.2057132211185,46.8632736655138,"-205925,42+322535,60",,,,,F,2,JIR,F,5A,30.0,F,65.0,JIN,"{'ES': 0.5, 'FT': 0.3, 'PE': 0.2}",3,1.0296530140645737
1701207439,2003-08-29,2003,Québec,Rhodofomes roseus,a61bc7ed-eeba-4afa-8cf5-0616086c92b4,POINT (-71.393568 46.783668),21L,-71.3947620448483,46.7835628929619,"-220780,40+314293,83",,,,,F,3,30,A,5S,30.0,F,85.0,30,"{'BP': 0.4, 'BG': 0.2, 'PE': 0.2, 'EO': 0.1, 'FN': 0.1}",5,1.4708084763221112
1135069837,2006-04-11,2006,Québec,Rhodofomes roseus,CMMF008452,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",5,1.4184836619456564
1135067191,2010-06-20,2010,Québec,Rhodofomes roseus,CMMF010591,POINT (-71.254455 46.918501),21L,-71.2551573788685,46.9180378961829,"-209449,67+328601,31",,,,,F,3,50,B,1A,30.0,F,85.0,50,"{'BJ': 0.3, 'ES': 0.2, 'FT': 0.2, 'FI': 0.1, 'EB': 0.1, 'SB': 0.1}",6,1.6957425341696346
1135067148,2010-06-29,2010,Québec,Rhodofomes roseus,CMMF010592,POINT (-71.19627 46.999193),21L,-71.1986362921723,46.9990782314021,"-204734,20+337707,25",,,,,R,2,70,D,2BE,20.0,R,85.0,70,"{'SB': 0.6, 'EB': 0.1, 'EP': 0.1, 'BP': 0.1, 'EO': 0.1}",5,1.2275294114572126
1412708399,1977-05-31,1977,Québec,Rhodofomes roseus,CMMF016800,POINT (-70.152806 47.656929),21M,-70.1504254911811,47.6589150965241,"-123602,27+408227,84",,,,,F,3,50,F,5S,20.0,F,85.0,50,"{'PE': 0.7, 'BP': 0.1, 'SB': 0.1, 'TO': 0.1}",4,0.9404479886553263
2013680275,2013-08-08T12:36,2013,Québec,Rhodofomes roseus,https://www.inaturalist.org/observations/10117741,POINT (-68.79643 48.353511),22C,-68.7981498468519,48.3540046287559,"-22016,09+483900,47",,,,,M,2,50,D,R8A,20.0,MF,95.0,50,"{'PE': 0.5, 'BP': 0.1, 'EB': 0.3, 'SB': 0.1}",4,1.1682824501765625
