gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
694156997	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14011	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula brevipes		SPECIES	Russula brevipes Peck	Russula brevipes Peck	Peck	CA	Algonquin Provincial Park	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.759859	-78.376465	67511.0						2007-09-29	29	9	2007	7240188	7240188	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC156848	ALG07_24			CC0_1_0	Royal Ontario Museum	Maryna Didukh; Dentiger Bryn			2024-01-25T00:59:40.036Z	StillImage	COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156976	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13937	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula brevipes		SPECIES	Russula brevipes Peck	Russula brevipes Peck	Peck	CA	Algonquin Provincial Park	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.759859	-78.376465	67511.0						2007-10-02	2	10	2007	7240188	7240188	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC156951	ALG07_127			CC0_1_0	Royal Ontario Museum	Maryna Didukh; Dentiger Bryn			2024-01-25T00:59:38.800Z	StillImage	COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156973	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13929	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula brevipes		SPECIES	Russula brevipes Peck	Russula brevipes Peck	Peck	CA	Algonquin Provincial Park	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.759859	-78.376465	67511.0						2007-10-02	2	10	2007	7240188	7240188	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC156943	ALG07_119			CC0_1_0	Royal Ontario Museum	Maryna Didukh; Dentiger Bryn			2024-01-25T00:59:38.797Z	StillImage	COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
617554935	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000584	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula brevipes		SPECIES	Russula brevipes Peck	Russula brevipes Peck	Peck	CA	Laval	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.609608	-73.705867	17500.0						1989-07-20	20	7	1989	7240188	7240188	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000584		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.084Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617554044	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003873	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula brevipes		SPECIES	Russula brevipes Peck	Russula brevipes Peck	Peck	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						2004-08-20	20	8	2004	7240188	7240188	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003873		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.545Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617553735	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003736	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula brevipes		SPECIES	Russula brevipes Peck	Russula brevipes Peck	Peck	CA	Rawdon	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.052398	-73.748752	11000.0						2003-07-18	18	7	2003	7240188	7240188	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003736		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.425Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617547717	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000109	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula brevipes		SPECIES	Russula brevipes Peck	Russula brevipes Peck	Peck	CA	Laval	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.609608	-73.705867	17500.0						1988-07-29	29	7	1988	7240188	7240188	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000109		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.508Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4982094146	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/245664717	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula brevipes		SPECIES	Russula brevipes Peck	Russula brevipes		CA		Prince Edward Island	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.866763	-64.20897	37.0						2024-10-03T13:51:28	3	10	2024	7240188	7240188	HUMAN_OBSERVATION	iNaturalist	Observations	245664717		Rosemary Curley	2024-10-05T01:18:48	CC_BY_NC_4_0	Rosemary Curley	Rosemary Curley			2025-01-14T13:48:48.354Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4980746238	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/16272162	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula brevipes		SPECIES	Russula brevipes Peck	Russula brevipes		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.51414	-75.339557	23.0						2018-09-06	6	9	2018	7240188	7240188	HUMAN_OBSERVATION	iNaturalist	Observations	16272162		jonathan_mack	2020-10-07T02:00:06	CC_BY_NC_4_0	kevinwallace	kevinwallace			2025-01-14T13:00:46.886Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4980448704	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/7856717	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula brevipes		SPECIES	Russula brevipes Peck	Russula brevipes		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.517134	-75.406029	12404.0						2017-09-09T11:39	9	9	2017	7240188	7240188	HUMAN_OBSERVATION	iNaturalist	Observations	7856717		Igor Khomenko	2018-10-03T04:50:27	CC_BY_NC_4_0	Mike Leveille	Mike Leveille			2025-01-14T12:03:52.641Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
