gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617555520	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000845	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula emetica		SPECIES	Russula emetica (Schaeff.) Pers.	Russula emetica (Schaeff.) Pers.	(Schaeff.) Pers.	CA	Lachute	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.664878	-74.292134	8500.0						1989-09-24	24	9	1989	2551213	2551213	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000845		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:21.565Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4950522708	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/189335801	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula emetica		SPECIES	Russula emetica (Schaeff.) Pers.	Russula emetica		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.999894	-66.763918	4.0						2023-10-15T16:12	15	10	2023	2551213	2551213	HUMAN_OBSERVATION	iNaturalist	Observations	189335801		Ken Sanderson	2024-06-20T18:15:02	CC_BY_NC_4_0	Dwayne Sabine	Dwayne Sabine			2025-01-14T12:42:04.635Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4100051049	d1a3b128-b406-46bb-a6d1-f3591dcc8a7b	47ff28dd-be1f-48c4-9105-727a9af32045	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula emetica		SPECIES	Russula emetica (Schaeff.) Pers.	Russula emetica	(Schaeff.) Pers.	CA	Birch Cove	Newfoundland	PRESENT		e43cf4b8-849e-4fac-b075-e652d019d2cf	45.411746	-66.654472	647.0						1898-09-04	4	9	1898	2551213	2551213	PRESERVED_SPECIMEN	BPI		BPI 764057		Peck, C. H.		CC0_1_0		Waghorne, A. C.			2025-01-15T04:59:42.006Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
2423611335	21705170-d2b6-42de-8904-c3bca4b83591	CMMF018603	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula emetica		SPECIES	Russula emetica (Schaeff.) Pers.	Russula emetica (Schaeff.) Pers.	(Schaeff.) Pers.	CA	Près du Lac Geai	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.996479	-73.99348	250.0						1987-08-08	8	8	1987	2551213	2551213	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF018603	s.n.	Nantel, Patrick		CC0_1_0	Université de Montréal Biodiversity Centre	Nantel, Patrick			2024-01-24T16:38:18.437Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
2423610801	21705170-d2b6-42de-8904-c3bca4b83591	CMMF018816	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula emetica		SPECIES	Russula emetica (Schaeff.) Pers.	Russula emetica (Schaeff.) Pers.	(Schaeff.) Pers.	CA	Près du lac Geai, SBUM.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.996479	-73.99348	250.0						1986-07-15	15	7	1986	2551213	2551213	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF018816	s.n.	Nantel, Patrick		CC0_1_0	Université de Montréal Biodiversity Centre	Nantel, Patrick			2024-01-24T16:38:18.539Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1807255726	e8a25a42-f125-476c-8554-3ec21cd51a84	ACAD:112320	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula emetica		SPECIES	Russula emetica (Schaeff.) Pers.	Russula emetica (Schaeff.) Pers.	(Schaeff.) Pers.	CA	(Kentville)	Nova Scotia	PRESENT		6491ad8c-8e49-4bd4-a089-0ddb3bbe0890	45.07662	-64.49592							1952-08-26	26	8	1952	2551213	2551213	PRESERVED_SPECIMEN	Acadia University	ACAD	2059F	2059			CC0_1_0	Acadia University	H, KA			2024-01-25T01:37:05.781Z	StillImage	GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
1412709599	21705170-d2b6-42de-8904-c3bca4b83591	CMMF018071	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula emetica		SPECIES	Russula emetica (Schaeff.) Pers.	Russula emetica (Schaeff.) Pers.	(Schaeff.) Pers.	CA	Lac Triton, Station de biologie des Laurentides, Saint-Hippolyte, Québec.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.987784	-74.007871	250.0						1976-07-08	8	7	1976	2551213	2551213	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF018071		unknown		CC0_1_0	Université de Montréal Biodiversity Centre	unknown			2024-01-24T16:38:17.949Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1412709559	21705170-d2b6-42de-8904-c3bca4b83591	CMMF018021	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula emetica		SPECIES	Russula emetica (Schaeff.) Pers.	Russula emetica (Schaeff.) Pers.	(Schaeff.) Pers.	CA	Près de la hutte du castor, Lac Triton, Station de biologie des Laurentides, Saint-Hippolyte, Québec.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.987784	-74.007871	250.0						1977-08-08	8	8	1977	2551213	2551213	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF018021	59	B., A.M.; T., A.; Neumann, Peterjurgen; R., S.		CC0_1_0	Université de Montréal Biodiversity Centre	B., A.M.; T., A.; Neumann, Peterjurgen; R., S.			2024-01-24T16:38:18.005Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1412709535	21705170-d2b6-42de-8904-c3bca4b83591	CMMF018014	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula emetica		SPECIES	Russula emetica (Schaeff.) Pers.	Russula emetica (Schaeff.) Pers.	(Schaeff.) Pers.	CA	Île du lac Croche, Station de biologie des Laurentides, Saint-Hippolyte, Québec.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.991486	-74.012564	250.0						1977-08-04	4	8	1977	2551213	2551213	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF018014	24	L., J.; R., S.		CC0_1_0	Université de Montréal Biodiversity Centre	L., J.; R., S.			2024-01-24T16:38:18.023Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1412709041	21705170-d2b6-42de-8904-c3bca4b83591	CMMF017552	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula emetica		SPECIES	Russula emetica (Schaeff.) Pers.	Russula emetica (Schaeff.) Pers.	(Schaeff.) Pers.	CA	Boisé Héritage, Québec.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.680872	-73.495831	750.0						1980-08-05	5	8	1980	2551213	2551213	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF017552	1980-331	Haméon, G.		CC0_1_0	Université de Montréal Biodiversity Centre	Haméon, G.			2024-01-24T16:38:15.783Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
