gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617554366	21705170-d2b6-42de-8904-c3bca4b83591	CMMF004016	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Sarcodon	Sarcodon stereosarcinon		SPECIES	Sarcodon stereosarcinon Wehm.	Sarcodon stereosarcinon Wehm.	Wehm.	CA	Sainte-Béatrix	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.194291	-73.619583	6000.0						2006-07-05	5	7	2006	5238857	5238857	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF004016		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:18.454Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617553987	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003849	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Sarcodon	Sarcodon stereosarcinon		SPECIES	Sarcodon stereosarcinon Wehm.	Sarcodon stereosarcinon Wehm.	Wehm.	CA	Saint-Alphonse-Rodriguez	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.183333	-73.7	7500.0						2004-07-22	22	7	2004	5238857	5238857	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003849		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.518Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617553065	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003430	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Sarcodon	Sarcodon stereosarcinon		SPECIES	Sarcodon stereosarcinon Wehm.	Sarcodon stereosarcinon Wehm.	Wehm.	CA	Rawdon	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.052398	-73.748752	11000.0						2000-07-13	13	7	2000	5238857	5238857	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003430		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.055Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617548023	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001224	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Sarcodon	Sarcodon stereosarcinon		SPECIES	Sarcodon stereosarcinon Wehm.	Sarcodon stereosarcinon Wehm.	Wehm.	CA	Saint-Herménégilde	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.105574	-71.672847	3000.0						1990-09-14	14	9	1990	5238857	5238857	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001224		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.537Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4440705983	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/190500628	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Sarcodon	Sarcodon stereosarcinon		SPECIES	Hydnellum stereosarcinon (Wehm.) Stalpers	Hydnellum stereosarcinon		CA		Nova Scotia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.219179	-64.436647	629.0						2023-10-14T22:45:31	14	10	2023	5238858	5238857	HUMAN_OBSERVATION	iNaturalist	Observations	190500628		beccam333	2024-06-18T01:47:11	CC_BY_NC_4_0	beccam333	beccam333			2025-01-14T12:42:47.546Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4166313590	695cef75-b65f-4776-b2ed-74565eebb16e	02-01000917398	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Sarcodon	Sarcodon stereosarcinon		SPECIES	Hydnum stereosarcinon (Wehm.) K.A.Harrison	Hydnum stereosarcinon	(Wehm.) K.A. Harrison	CA	Chambord	Quebec	PRESENT		055bd978-2daa-4543-b3f0-44e0e87e86ca	48.4	-72.0							1982-08-22	22	8	1982	2522364	5238857	PRESERVED_SPECIMEN	AAFC	DAOM	186895		Y. Dalpé		CC_BY_4_0	©His Majesty the King in Right of Canada, as represented by the Minister of Agriculture and Agri-Food	Y. Dalpé & C. Babcock 117			2025-01-12T05:11:16.484Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
4100048283	d1a3b128-b406-46bb-a6d1-f3591dcc8a7b	e32fbc3e-faca-4354-95d6-1d0a0261f44d	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Sarcodon	Sarcodon stereosarcinon		SPECIES	Hydnum stereosarcinon (Wehm.) K.A.Harrison	Hydnum stereosarcinon	(Wehm.) K.A. Harrison	CA	Cape Split	Nova Scotia	PRESENT		e43cf4b8-849e-4fac-b075-e652d019d2cf	45.333333	-64.5	602.0						1956-09-12	12	9	1956	2522364	5238857	PRESERVED_SPECIMEN	BPI		BPI 260201	2266	Harrison K.		CC0_1_0		Harrison K. A.			2025-01-15T04:59:25.317Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
4100048282	d1a3b128-b406-46bb-a6d1-f3591dcc8a7b	f423c12f-c76f-4afb-9fe6-81a60190d02b	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Sarcodon	Sarcodon stereosarcinon		SPECIES	Hydnum stereosarcinon (Wehm.) K.A.Harrison	Hydnum stereosarcinon	(Wehm.) K.A. Harrison	CA	Glenmont	Nova Scotia	PRESENT		e43cf4b8-849e-4fac-b075-e652d019d2cf	45.186944	-64.493889	301.0						1953-10-14	14	10	1953	2522364	5238857	PRESERVED_SPECIMEN	BPI		BPI 260190		Harrison K. A.		CC0_1_0		Harrison K. A.			2025-01-15T04:59:25.342Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
4099928315	d1a3b128-b406-46bb-a6d1-f3591dcc8a7b	6be4d889-bff4-4204-a489-51682a308f9b	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Sarcodon	Sarcodon stereosarcinon		SPECIES	Hydnum stereosarcinon (Wehm.) K.A.Harrison	Hydnum stereosarcinon	(Wehm.) K.A. Harrison	CA	Parrsboro	Nova Scotia	PRESENT		e43cf4b8-849e-4fac-b075-e652d019d2cf	45.4	-64.316667	4186.0						1953-08-08	8	8	1953	2522364	5238857	PRESERVED_SPECIMEN	BPI		BPI 260464	2258	Harrison K. A.		CC0_1_0		Harrison K. A.			2025-01-15T04:59:25.155Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
4099921281	d1a3b128-b406-46bb-a6d1-f3591dcc8a7b	771e1075-1114-4939-b64a-e0085b0847ca	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Sarcodon	Sarcodon stereosarcinon		SPECIES	Hydnum stereosarcinon (Wehm.) K.A.Harrison	Hydnum stereosarcinon	(Wehm.) K.A. Harrison	CA	Glenmont	Nova Scotia	PRESENT		e43cf4b8-849e-4fac-b075-e652d019d2cf	45.186944	-64.493889	301.0						1953-10-14	14	10	1953	2522364	5238857	PRESERVED_SPECIMEN	BPI		BPI 260200	2265	Harrison K.		CC0_1_0		Harrison K. A.			2025-01-15T04:59:25.528Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
