gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4458748213,2023-09-24T14:22,2023.0,Québec,Steccherinum ochraceum,https://www.inaturalist.org/observations/188916978,POINT (-71.209106 45.483811),21E,-71.2079760238341,45.4841442709219,"-211906,90+169466,59",,,,,F,2,VIN,B,1A,30.0,F,85.0,VIN,"{'BJ': 0.3, 'ES': 0.3, 'EO': 0.2, 'RX': 0.1, 'SB': 0.1}",5,1.5047882836811908
1412707942,1987-09,1987.0,Québec,Steccherinum ochraceum,CMMF016575,POINT (-70.556636 46.980077),21L,-70.5577072039646,46.9865378015301,"-156126,60+334544,84",,,,,F,3,30,A,5A,40.0,F,35.0,30,"{'EO': 0.3, 'FN': 0.3, 'BJ': 0.2, 'FH': 0.1, 'FX': 0.1}",5,1.5047882836811908
4921759869,2024-07-29T09:28,2024.0,Québec,Steccherinum ochraceum,https://www.inaturalist.org/observations/232803373,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4516635032,2023-10-14T11:38,2023.0,Québec,Steccherinum ochraceum,https://www.inaturalist.org/observations/187662507,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4516591284,2023-09-29T14:57,2023.0,Québec,Steccherinum ochraceum,https://www.inaturalist.org/observations/185952561,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4516459219,2023-10-14T11:09,2023.0,Québec,Steccherinum ochraceum,https://www.inaturalist.org/observations/187661920,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4516157736,2022-11-05T13:06,2022.0,Québec,Steccherinum ochraceum,https://www.inaturalist.org/observations/141313528,POINT (-76.578389 45.820753),31F,-76.5781960574399,45.8210095321207,"-626616,02+238311,33",,,,,F,1,VIN,F,1AM,20.0,F,95.0,VIN,"{'CR': 0.3, 'ES': 0.3, 'FT': 0.2, 'EO': 0.1, 'TA': 0.1}",5,1.5047882836811908
4165463226,2023-07-16T10:03,2023.0,Québec,Steccherinum ochraceum,https://www.inaturalist.org/observations/173878736,POINT (-76.597763 45.827782),31F,-76.5979950420345,45.8283114029063,"-628110,93+239252,36",,,,,F,4,10,B,1AM,30.0,F,85.0,10,"{'ER': 0.3, 'PE': 0.3, 'FT': 0.2, 'BP': 0.1, 'FX': 0.1}",5,1.5047882836811908
4954385821,2022-07-20T09:14:27,2022.0,Québec,Steccherinum ochraceum,https://www.inaturalist.org/observations/127154669,POINT (-74.044905 45.399038),31G,-74.046038829259,45.3891491758471,"-434704,49+171601,89",,,,,F,2,JIN,B,5A,40.0,F,65.0,JIN,"{'EA': 0.8, 'FR': 0.1, 'OR': 0.1}",3,0.639031859650177
4438929666,2023-11-05T12:23,2023.0,Québec,Steccherinum ochraceum,https://www.inaturalist.org/observations/190120520,POINT (-75.899895 45.537202),31G,-75.9013694775984,45.5370994712986,"-577700,99+201268,63",,,,,F,1,VIN,D,1AY,30.0,F,85.0,VIN,"{'ES': 0.8, 'BJ': 0.1, 'TA': 0.1}",3,0.639031859650177
3923616900,2022-09-28T12:57,2022.0,Québec,Steccherinum ochraceum,https://www.inaturalist.org/observations/136871739,POINT (-75.836852 45.418036),31G,-75.8376943718733,45.4166143044222,"-574046,49+187332,05",,,CP,,F,2,VIR,A,5A,30.0,F,75.0,VIN,"{'FT': 0.3, 'PE': 0.3, 'EO': 0.1, 'ES': 0.1, 'FR': 0.1, 'TO': 0.1}",6,1.6434177197931796
1412708220,2003-10-20,2003.0,Québec,Steccherinum ochraceum,CMMF016728,POINT (-75.971349 45.558161),31G,-75.970252968373,45.5577427338762,"-582758,74+204049,30",,,,,F,2,VIN,B,1AY,30.0,F,85.0,VIN,"{'ER': 0.4, 'BP': 0.2, 'CR': 0.1, 'FT': 0.1, 'PE': 0.1, 'TA': 0.1}",6,1.6094379124341
617551343,1995-09-27,1995.0,Québec,Steccherinum ochraceum,CMMF002664,POINT (-72.584529 45.931221),31H,-72.5842799668517,45.9351393306654,"-316622,30+224582,90",,,,,F,2,50,A,5S,40.0,F,75.0,50,"{'BG': 0.4, 'EO': 0.4, 'PA': 0.1, 'PE': 0.1}",4,1.193549604098133
3008499310,2017-05-28T15:02,2017.0,Québec,Steccherinum ochraceum,https://www.inaturalist.org/observations/6691894,POINT (-73.994272 45.993869),31H,-73.9958779172368,45.9935632771127,"-425365,80+238385,57",,,,,F,1,70,D,1AM,20.0,F,65.0,70,"{'BP': 0.6, 'ES': 0.2, 'FT': 0.1, 'PE': 0.1}",4,1.0888999753452235
1135068209,2011-09-16,2011.0,Québec,Steccherinum ochraceum,CMMF006821,POINT (-73.773917 45.373167),31H,-73.7739326156291,45.3733767625943,"-413298,11+168299,87",P,,,,F,4,30,A,5A,40.0,F,65.0,30,"{'FZ': 0.8, 'EA': 0.1, 'FX': 0.1}",3,0.639031859650177
1135067883,1980-03-16,1980.0,Québec,Steccherinum ochraceum,CMMF006394,POINT (-73.7149 45.378033),31H,-73.7166998616216,45.3776158343604,"-408841,75+168294,99",,,,,F,1,JIN,A,1A,40.0,F,75.0,JIN,"{'FR': 0.4, 'FT': 0.2, 'EA': 0.1, 'EO': 0.1, 'OR': 0.1, 'PE': 0.1}",6,1.6094379124341
1571086787,2017-06-03T11:58,2017.0,Québec,Steccherinum ochraceum,https://www.inaturalist.org/observations/6485170,POINT (-74.00369 46.00108),31J,-74.0035396344542,46.0007388093979,"-425906,05+239217,84",,,,,F,2,90,D,1A,30.0,F,75.0,90,"{'BP': 0.3, 'PE': 0.3, 'ER': 0.2, 'FT': 0.1, 'SB': 0.1}",5,1.5047882836811908
1135069220,2010-09-04,2010.0,Québec,Steccherinum ochraceum,CMMF007767,POINT (-74.267717 46.341233),31J,-74.2665299610653,46.3417873438616,"-443159,94+278587,98",,,,,F,2,VIN,B,1A,30.0,F,75.0,VIN,"{'BJ': 0.4, 'BP': 0.2, 'EO': 0.1, 'PE': 0.1, 'SB': 0.2}",5,1.4708084763221112
