gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
3881800208,2022-07-31T10:52:08,2022,Québec,Strobilomyces strobilaceus,https://www.inaturalist.org/observations/128803252,POINT (-71.931773 45.616108),21E,-71.9324054398436,45.6165159013957,"-267829,60+186538,23",,,,,F,2,50,B,1AM,30.0,F,95.0,18,50,"{'EO': 0.6, 'ES': 0.2, 'FT': 0.2}",0.0007525713948783073,3,0.9502705392332347,[4.616667],[10.5],[25.485437],[1108.5521],[24.5],[-16.7],[41.2],[17.633333],[-8.666667],[17.633333],[-9.683333],[1141.],[130.],[60.],[22.398767],[366.],[202.],[366.],[225.]
4535701643,2023-08-06,2023,Québec,Strobilomyces strobilaceus,https://www.inaturalist.org/observations/201115597,POINT (-71.234061 46.913343),21L,-71.2332257529369,46.914210028756,"-207877,96+328379,51",,,CP,,F,1,VIN,C,1A,30.0,F,75.0,22,VIN,"{'ES': 0.6, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1}",0.0012039005441259309,4,1.0888999753452235,[3.6708333],[10.325],[23.900463],[1169.4336],[24.9],[-18.3],[43.199997],[16.45],[-4.866667],[17.65],[-11.333333],[1367.],[139.],[84.],[14.170418],[395.],[277.],[391.],[299.]
4171990732,2023-07-29T11:39,2023,Québec,Strobilomyces strobilaceus,https://www.inaturalist.org/observations/176448659,POINT (-71.313998 46.751278),21L,-71.3156089242141,46.7509769434767,"-214781,29+310414,71",,,,,F,2,JIN,F,R1A,10.0,F,75.0,18,JIN,"{'CR': 0.5, 'ES': 0.2, 'FT': 0.2, 'EO': 0.1}",0.0016388141608529576,4,1.2206072645530173,[4.7666664],[10.],[23.419205],[1166.2008],[25.9],[-16.8],[42.699997],[17.583334],[-9.016666],[18.7],[-10.133333],[1229.],[130.],[69.],[16.826548],[368.],[244.],[363.],[255.]
4171832213,2023-08-01T15:52:59,2023,Québec,Strobilomyces strobilaceus,https://www.inaturalist.org/observations/176207916,POINT (-71.102 46.886295),21L,-71.1025619605197,46.8851719588624,"-197986,68+324669,19",,,,,M,3,JIR,A,5S,30.0,MF,85.0,15,JIN,"{'EO': 0.3, 'BJ': 0.2, 'BP': 0.1, 'PE': 0.1, 'SE': 0.2, 'PU': 0.1}",0.0012557949762693856,6,1.6957425341696346,[4.4125],[9.825],[23.504784],[1137.5554],[24.6],[-17.2],[41.800003],[16.933334],[-9.183333],[17.833334],[-10.216667],[1229.],[133.],[66.],[21.982403],[378.],[215.],[370.],[239.]
4018560595,2022-08-15T10:52,2022,Québec,Strobilomyces strobilaceus,https://www.inaturalist.org/observations/131073623,POINT (-71.31331 46.751239),21L,-71.3156089242141,46.7509769434767,"-214781,29+310414,71",,,,,F,2,JIN,F,R1A,10.0,F,75.0,18,JIN,"{'CR': 0.5, 'ES': 0.2, 'FT': 0.2, 'EO': 0.1}",0.002313812041542797,4,1.2206072645530173,[4.7666664],[10.],[23.419205],[1166.2008],[25.9],[-16.8],[42.699997],[17.583334],[-9.016666],[18.7],[-10.133333],[1229.],[130.],[69.],[16.826548],[368.],[244.],[363.],[255.]
3988568945,2022-09-11,2022,Québec,Strobilomyces strobilaceus,https://www.inaturalist.org/observations/143503337,POINT (-71.233511 46.91483),21L,-71.2332257529369,46.914210028756,"-207877,96+328379,51",,,CP,,F,1,VIN,C,1A,30.0,F,75.0,22,VIN,"{'ES': 0.6, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1}",0.0006824443057037829,4,1.0888999753452235,[3.6708333],[10.325],[23.900463],[1169.4336],[24.9],[-18.3],[43.199997],[16.45],[-4.866667],[17.65],[-11.333333],[1367.],[139.],[84.],[14.170418],[395.],[277.],[391.],[299.]
3902825813,2022-08-28T10:54:22,2022,Québec,Strobilomyces strobilaceus,https://www.inaturalist.org/observations/132684318,POINT (-71.055655 46.877321),21L,-71.0555924127656,46.8792556705264,"-194431,72+323874,39",,,,,F,1,VIN,B,1A,30.0,F,75.0,25,VIN,"{'ES': 0.6, 'HG': 0.4}",0.00193568262057943,2,0.6730116670092565,[4.0125],[9.975],[23.63744],[1147.2638],[24.5],[-17.7],[42.2],[16.6],[-9.6],[17.633333],[-10.683333],[1264.],[135.],[71.],[19.457329],[381.],[232.],[380.],[255.]
1135070345,2006-08-08,2006,Québec,Strobilomyces strobilaceus,CMMF008897,POINT (-71.254455 46.918501),21L,-71.2551573788685,46.9180378961829,"-209449,67+328601,31",,,,,F,3,50,B,1A,30.0,F,85.0,15,50,"{'BJ': 0.3, 'ES': 0.2, 'FT': 0.2, 'FI': 0.1, 'EB': 0.1, 'SB': 0.1}",0.0008413092299147043,6,1.6957425341696346,[3.4583333],[10.316667],[23.93658],[1166.2816],[24.6],[-18.5],[43.1],[16.2],[-5.05],[17.4],[-11.5],[1381.],[141.],[86.],[14.374785],[399.],[277.],[397.],[307.]
1135070280,2006-08-03,2006,Québec,Strobilomyces strobilaceus,CMMF008876,POINT (-71.266801 46.898375),21L,-71.2669786581791,46.8994870781396,"-210425,07+326724,84",,,,,F,2,JIN,C,1A,30.0,F,85.0,18,JIN,"{'EO': 0.3, 'ES': 0.3, 'HG': 0.3, 'FI': 0.1}",0.0011261794782244283,4,1.313834033192747,[4.1083336],[10.416667],[23.891438],[1180.5638],[25.7],[-17.9],[43.6],[16.983334],[-9.716666],[18.266666],[-11.016666],[1336.],[137.],[81.],[14.873437],[391.],[271.],[384.],[288.]
3889202843,2022-07-29T13:24,2022,Québec,Strobilomyces strobilaceus,https://www.inaturalist.org/observations/129453658,POINT (-76.448094 45.912753),31F,-76.4491433935785,45.9127143107441,"-615628,53+247337,06",,,,,M,1,VIR,F,R,10.0,MM,75.0,25,VIN,"{'PB': 0.4, 'SE': 0.1, 'CR': 0.3, 'BP': 0.1, 'ER': 0.1}",0.0010501065379830872,5,1.4184836619456564,[3.8875],[11.125],[25.284092],[1166.3505],[25.1],[-18.9],[44.],[16.566668],[-10.133333],[17.4],[-11.233334],[945.],[95.],[56.],[15.2931795],[271.],[189.],[270.],[194.]
