gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617551341	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002663	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Stropharia	Stropharia rugosoannulata		SPECIES	Stropharia rugosoannulata Farl. ex Murrill	Stropharia rugosoannulata Farl. ex Murrill	Farl. ex Murrill	CA	Saint-Amable	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.666797	-73.292447	7000.0						1995-09-24	24	9	1995	2533347	2533347	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002663		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Plourde, Michel			2024-01-24T16:38:20.335Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617548861	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001593	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Stropharia	Stropharia rugosoannulata		SPECIES	Stropharia rugosoannulata Farl. ex Murrill	Stropharia rugosoannulata Farl. ex Murrill	Farl. ex Murrill	CA	Saint-Lazare	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.402527	-74.144994	4000.0						1991-10-14	14	10	1991	2533347	2533347	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001593		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Nanni, Georgio			2024-01-24T16:38:17.664Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4949852324	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/66942559	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Stropharia	Stropharia rugosoannulata		SPECIES	Stropharia rugosoannulata Farl. ex Murrill	Stropharia rugosoannulata		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.553927	-72.4112	15.0						2018-08-08T12:28	8	8	2018	2533347	2533347	HUMAN_OBSERVATION	iNaturalist	Observations	66942559		Renée Lebeuf	2021-06-05T20:09:02	CC_BY_NC_4_0	Renée Lebeuf	Renée Lebeuf			2025-01-14T12:16:02.593Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936268073	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/238318451	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Stropharia	Stropharia rugosoannulata		SPECIES	Stropharia rugosoannulata Farl. ex Murrill	Stropharia rugosoannulata		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.52895	-76.422342	8430.0						2024-08-27T17:51:46	27	8	2024	2533347	2533347	HUMAN_OBSERVATION	iNaturalist	Observations	238318451		Carlene Cliver	2024-08-28T19:53:30	CC_BY_NC_4_0	zoob	zoob			2025-01-14T12:53:14.216Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4935693059	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/237702762	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Stropharia	Stropharia rugosoannulata		SPECIES	Stropharia rugosoannulata Farl. ex Murrill	Stropharia rugosoannulata		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.135487	-66.612962	490.0						2024-08-24T16:10:34	24	8	2024	2533347	2533347	HUMAN_OBSERVATION	iNaturalist	Observations	237702762		flightmom	2024-08-24T19:15:46	CC_BY_NC_4_0	flightmom	flightmom			2025-01-14T13:42:54.551Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4904178310	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/225216311	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Stropharia	Stropharia rugosoannulata		SPECIES	Stropharia rugosoannulata Farl. ex Murrill	Stropharia rugosoannulata		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.823358	-71.239015							2024-06-21T08:01	21	6	2024	2533347	2533347	HUMAN_OBSERVATION	iNaturalist	Observations	225216311		Don Loarie	2024-06-26T01:10:21	CC_BY_4_0	Don Loarie	Don Loarie			2025-01-14T13:47:02.633Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4900908854	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/222367793	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Stropharia	Stropharia rugosoannulata		SPECIES	Stropharia rugosoannulata Farl. ex Murrill	Stropharia rugosoannulata		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.720877	-71.211363	26967.0						2024-06-12T19:36:57	12	6	2024	2533347	2533347	HUMAN_OBSERVATION	iNaturalist	Observations	222367793		Alex Wittemeier	2024-06-13T02:19:32	CC_BY_NC_4_0	Alex Wittemeier	Alex Wittemeier			2025-01-14T13:35:07.255Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4424229770	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/181678810	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Stropharia	Stropharia rugosoannulata		SPECIES	Stropharia rugosoannulata Farl. ex Murrill	Stropharia rugosoannulata		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.900253	-64.365005	52.0						2023-09-03T14:41:55	3	9	2023	2533347	2533347	HUMAN_OBSERVATION	iNaturalist	Observations	181678810		Laura O'Connor	2023-09-04T02:27:18	CC_BY_NC_4_0	Laura O'Connor	Laura O'Connor			2025-01-14T12:40:52.532Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4405480935	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/180480556	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Stropharia	Stropharia rugosoannulata		SPECIES	Stropharia rugosoannulata Farl. ex Murrill	Stropharia rugosoannulata		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.76655	-71.378781	25.0						2023-08-27T11:45:43	27	8	2023	2533347	2533347	HUMAN_OBSERVATION	iNaturalist	Observations	180480556		Camille Boucher	2023-08-27T17:52:10	CC_BY_NC_4_0	Camille Boucher	Camille Boucher			2025-01-14T13:26:49.339Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4405099413	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/169088604	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Stropharia	Stropharia rugosoannulata		SPECIES	Stropharia rugosoannulata Farl. ex Murrill	Stropharia rugosoannulata		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.921789	-66.155869							2023-06-23T20:51:17	23	6	2023	2533347	2533347	HUMAN_OBSERVATION	iNaturalist	Observations	169088604		Andrew MacPherson	2023-06-23T23:54:42	CC0_1_0	Andrew MacPherson	Andrew MacPherson			2025-01-14T12:36:29.014Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
