gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4399886093,2023-08-19T11:15:32,2023,Québec,Stropharia rugosoannulata,https://www.inaturalist.org/observations/179165635,POINT (-71.995144 45.577185),21E,-71.9958224440115,45.5782241973158,"-273083,42+182419,75",,,,,F,3,30,B,1A,40.0,F,55.0,30,"{'EO': 0.4, 'BG': 0.2, 'PE': 0.2, 'BJ': 0.1, 'FH': 0.1}",5,1.4708084763221112
4904178310,2024-06-21T08:01,2024,Québec,Stropharia rugosoannulata,https://www.inaturalist.org/observations/225216311,POINT (-71.239015 46.823358),21L,-71.2332924561586,46.8165672007237,"-208219,97+317431,93",,,,,F,1,VIR,A,5S,20.0,F,55.0,VIN,"{'EA': 0.4, 'ES': 0.2, 'FH': 0.2, 'FN': 0.1, 'FT': 0.1}",5,1.4708084763221112
4900908854,2024-06-12T19:36:57,2024,Québec,Stropharia rugosoannulata,https://www.inaturalist.org/observations/222367793,POINT (-71.211363 46.720877),21L,-71.2125768683569,46.720588916272,"-207068,09+306627,14",,,,,F,3,30,A,5S,40.0,F,75.0,30,"{'EO': 0.6, 'BP': 0.2, 'PE': 0.2}",3,0.9502705392332347
4405480935,2023-08-27T11:45:43,2023,Québec,Stropharia rugosoannulata,https://www.inaturalist.org/observations/180480556,POINT (-71.378781 46.76655),21L,-71.3791503915078,46.7654204433215,"-219548,96+312190,63",,,CP,,F,2,50,A,5A,40.0,F,35.0,50,"{'PE': 0.5, 'EO': 0.2, 'FH': 0.2, 'FN': 0.1}",4,1.2206072645530173
4145175957,2023-06-30T18:06:35,2023,Québec,Stropharia rugosoannulata,https://www.inaturalist.org/observations/170358970,POINT (-71.390259 46.744077),21L,-71.3914488887886,46.7447904458753,"-220580,58+309942,62",,,,,F,1,VIN,C,2A,20.0,F,85.0,VIN,"{'ES': 0.4, 'FT': 0.4, 'EO': 0.2}",3,1.0549201679861442
4137721722,2023-06-13T15:26:38,2023,Québec,Stropharia rugosoannulata,https://www.inaturalist.org/observations/167272689,POINT (-71.212998 46.810316),21L,-71.217980063966,46.7996272036028,"-206635,59+315873,60",,,,,M,3,JIN,F,5S,20.0,MR,65.0,JIN,"{'TO': 0.6, 'ER': 0.2, 'BP': 0.1, 'FT': 0.1}",4,1.0888999753452235
4133732368,2018-09-06T16:19,2018,Québec,Stropharia rugosoannulata,https://www.inaturalist.org/observations/153607241,POINT (-71.270143 46.784414),21L,-71.2720105484705,46.784168672611,"-211298,92+313945,42",,,,,F,2,JIR,A,1A,30.0,F,75.0,JIN,"{'EO': 0.4, 'ES': 0.3, 'FT': 0.2, 'FI': 0.1}",4,1.2798542258336674
3858971353,2022-06-11T12:26:43,2022,Québec,Stropharia rugosoannulata,https://www.inaturalist.org/observations/121318850,POINT (-71.22757 46.820355),21L,-71.2332924561586,46.8165672007237,"-208219,97+317431,93",,,,,F,1,VIR,A,5S,20.0,F,55.0,VIN,"{'EA': 0.4, 'ES': 0.2, 'FH': 0.2, 'FN': 0.1, 'FT': 0.1}",5,1.4708084763221112
3858876383,2022-06-11T16:50:44,2022,Québec,Stropharia rugosoannulata,https://www.inaturalist.org/observations/121308415,POINT (-71.297485 46.715431),21L,-71.297024591015,46.7138046100895,"-213512,94+306219,75",,,,,M,3,30,A,5S,30.0,MF,65.0,30,"{'PE': 0.3, 'EO': 0.2, 'BP': 0.1, 'PR': 0.3, 'RX': 0.1}",5,1.5047882836811908
1135070114,2006-06-20,2006,Québec,Stropharia rugosoannulata,CMMF008655,POINT (-71.322285 46.91969),21L,-71.3209749033067,46.9200423170217,"-214375,06+329081,08",,,EC,2003.0,R,2,JIR,A,2BE,40.0,R,65.0,JIN,"{'EP': 0.4, 'SB': 0.4, 'ML': 0.1, 'EO': 0.1}",4,1.193549604098133
1135070095,2006-06-08,2006,Québec,Stropharia rugosoannulata,CMMF008621,POINT (-71.322285 46.91969),21L,-71.3209749033067,46.9200423170217,"-214375,06+329081,08",,,EC,2003.0,R,2,JIR,A,2BE,40.0,R,65.0,JIN,"{'EP': 0.4, 'SB': 0.4, 'ML': 0.1, 'EO': 0.1}",4,1.193549604098133
1135069982,2006-06-01,2006,Québec,Stropharia rugosoannulata,CMMF008600,POINT (-71.322285 46.91969),21L,-71.3209749033067,46.9200423170217,"-214375,06+329081,08",,,EC,2003.0,R,2,JIR,A,2BE,40.0,R,65.0,JIN,"{'EP': 0.4, 'SB': 0.4, 'ML': 0.1, 'EO': 0.1}",4,1.193549604098133
4137690014,2023-06-18T17:32:38,2023,Québec,Stropharia rugosoannulata,https://www.inaturalist.org/observations/168180329,POINT (-70.92854 47.021456),21M,-70.9293312879754,47.0250184920671,"-184278,19+339696,18",,,,,F,2,JIN,F,5S,10.0,F,75.0,JIN,"{'ES': 0.8, 'EO': 0.1, 'FI': 0.1}",3,0.639031859650177
4134103407,2023-06-09T11:53:34,2023,Québec,Stropharia rugosoannulata,https://www.inaturalist.org/observations/166428469,POINT (-70.849037 47.126526),21M,-70.8477896557768,47.1292912332544,"-177715,12+351066,97",P,1999.0,,,M,5,10,B,2BE,40.0,MR,75.0,10,"{'RZ': 0.6, 'FN': 0.4}",2,0.6730116670092565
4936268073,2024-08-27T17:51:46,2024,Québec,Stropharia rugosoannulata,https://www.inaturalist.org/observations/238318451,POINT (-76.422342 45.52895),31F,-76.4235541267665,45.5290787423719,"-618317,46+204656,79",,,CP,,M,1,JIR,A,3AN,30.0,MF,75.0,JIN,"{'EA': 0.2, 'EO': 0.2, 'FO': 0.1, 'FX': 0.1, 'TO': 0.2, 'PB': 0.1, 'SE': 0.1}",7,1.8866967846580784
4130164496,2023-06-06T10:09,2023,Québec,Stropharia rugosoannulata,https://www.inaturalist.org/observations/165966809,POINT (-76.422695 45.803868),31F,-76.4231362340002,45.8028467650259,"-615033,32+234834,75",,,,,F,1,VIN,C,1AM,20.0,F,85.0,VIN,"{'CR': 0.3, 'ES': 0.2, 'HG': 0.2, 'EO': 0.1, 'FT': 0.1, 'TA': 0.1}",6,1.6957425341696346
