gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
1135070949,2007-07-21,2007.0,Québec,Suillus granulatus,CMMF009575,POINT (-71.297755 46.946241),21L,-71.299219087451,46.9489125306201,"-212684,40+332223,99",,,CP,,R,3,5090,A,1A,40.0,R,55.0,50,"{'SB': 0.5, 'EP': 0.2, 'EN': 0.1, 'EO': 0.1, 'FI': 0.1}",5,1.3592367006650063
1135070442,2006-08-17,2006.0,Québec,Suillus granulatus,CMMF008986,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",5,1.4184836619456564
2283251156,2018-09-01T22:26:16,2018.0,Québec,Suillus granulatus,https://www.inaturalist.org/observations/28533008,POINT (-76.070657 45.663767),31F,-76.0715412209413,45.6631795915352,"-589376,17+216387,20",,,,,F,1,70,A,2BE,20.0,F,85.0,70,"{'PE': 0.5, 'ER': 0.3, 'FT': 0.1, 'PB': 0.1}",4,1.1682824501765625
3385008140,2021-10-03T10:50:15,2021.0,Québec,Suillus granulatus,https://www.inaturalist.org/observations/97043944,POINT (-75.848156 45.770718),31G,-75.8463583222344,45.7703702810872,"-570689,12+226551,89",,,,,M,1,VIN,B,1AY,30.0,MF,85.0,VIN,"{'BJ': 0.3, 'ES': 0.2, 'EO': 0.1, 'PU': 0.4}",4,1.2798542258336676
3333386906,2021-07-24T19:21,2021.0,Québec,Suillus granulatus,https://www.inaturalist.org/observations/88470482,POINT (-74.193375 45.387592),31G,-74.1923258126814,45.388200865975,"-445977,66+172501,81",,,,,M,3,JIR,A,5S,30.0,MR,65.0,50,"{'PB': 0.7, 'EO': 0.3}",2,0.6108643020548935
2423612123,1988-07-15,1988.0,Québec,Suillus granulatus,CMMF018764,POINT (-74.005679 45.988108),31G,-74.0064602892429,45.9871286266794,"-426097,89+237816,10",,,,,F,2,VIN,D,1AY,30.0,F,75.0,VIN,"{'BP': 0.4, 'EO': 0.2, 'ES': 0.2, 'PE': 0.1, 'SB': 0.1}",5,1.4708084763221112
2283231637,2019-07-08T17:15:33,2019.0,Québec,Suillus granulatus,https://www.inaturalist.org/observations/28460654,POINT (-75.909255 45.631919),31G,-75.9089775407136,45.63284348136,"-577129,84+211804,53",,,CP,,M,2,VIR,C,1AY,30.0,MR,45.0,VIN,"{'PB': 0.4, 'PU': 0.1, 'RX': 0.1, 'ER': 0.2, 'FI': 0.1, 'FT': 0.1}",6,1.6094379124341003
1135068706,2005-09-09,2005.0,Québec,Suillus granulatus,CMMF007204,POINT (-74.2185 45.683917),31G,-74.2184894361057,45.6817433787633,"-445317,70+205176,03",,,,,F,2,JIN,A,3AN,50.0,F,85.0,JIN,"{'EO': 0.3, 'ES': 0.2, 'BJ': 0.1, 'BP': 0.1, 'EA': 0.1, 'FT': 0.1, 'PB': 0.1}",7,1.8343719702816235
1135068251,1984-09-01,1984.0,Québec,Suillus granulatus,CMMF006862,POINT (-74.241983 45.66275),31G,-74.2394629589227,45.6643448234511,"-447111,50+203370,25",P,,,,R,3,JIR,A,5S,30.0,R,65.0,JIN,"{'PS': 0.5, 'PG': 0.3, 'RX': 0.1, 'FX': 0.1}",4,1.1682824501765625
1135068100,2004-10-30,2004.0,Québec,Suillus granulatus,CMMF006627,POINT (-74.040417 45.469917),31G,-74.0395324526988,45.472175439705,"-433214,71+180828,39",,,,,M,1,90,A,6S,30.0,MF,95.0,90,"{'EO': 0.5, 'CR': 0.2, 'PB': 0.3}",3,1.0296530140645737
