gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4536009483,2023-09-03T14:22,2023,Québec,Sutorius eximius,https://www.inaturalist.org/observations/201064115,POINT (-71.220878 46.758669),21L,-71.2192253140008,46.7591364453689,"-207281,42+311054,08",,,,,F,2,VIN,D,8AM,20.0,F,85.0,VIN,"{'ES': 0.3, 'CR': 0.2, 'EO': 0.2, 'BP': 0.1, 'FR': 0.1, 'HG': 0.1}",6,1.6957425341696346
3469007542,2021-07-23T20:43:02,2021,Québec,Sutorius eximius,https://www.inaturalist.org/observations/88329667,POINT (-71.735708 46.295938),21L,-71.7373341563118,46.2948481318518,"-249207,11+261157,97",,,,,F,2,JIN,B,1A,40.0,F,85.0,JIN,"{'EO': 0.7, 'ES': 0.2, 'BJ': 0.1}",3,0.8018185525433372
4946525650,2024-08-29T11:12,2024,Québec,Sutorius eximius,https://www.inaturalist.org/observations/240228302,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4945714978,2024-09-08T13:04,2024,Québec,Sutorius eximius,https://www.inaturalist.org/observations/240671575,POINT (-76.087615 45.613748),31F,-76.0864284825217,45.6142312686098,"-591107,64+211228,82",,,,,F,2,JIN,D,1AM,30.0,F,85.0,JIN,"{'CR': 0.4, 'ER': 0.3, 'FT': 0.1, 'PE': 0.1, 'PB': 0.1}",5,1.4184836619456564
4165869431,2023-07-23T12:10:35,2023,Québec,Sutorius eximius,https://www.inaturalist.org/observations/174544862,POINT (-76.176873 45.784396),31F,-76.1758919805412,45.7838008672399,"-596019,61+230720,79",,,,,F,1,VIN,B,1A,30.0,F,85.0,VIN,"{'ES': 0.3, 'CR': 0.2, 'EO': 0.1, 'FT': 0.1, 'TA': 0.1, 'PU': 0.2}",6,1.6957425341696346
4165824157,2023-07-23T11:59:44,2023,Québec,Sutorius eximius,https://www.inaturalist.org/observations/174544489,POINT (-76.17671 45.784675),31F,-76.1758919805412,45.7838008672399,"-596019,61+230720,79",,,,,F,1,VIN,B,1A,30.0,F,85.0,VIN,"{'ES': 0.3, 'CR': 0.2, 'EO': 0.1, 'FT': 0.1, 'TA': 0.1, 'PU': 0.2}",6,1.6957425341696346
3966564510,2022-09-11T15:51,2022,Québec,Sutorius eximius,https://www.inaturalist.org/observations/135173352,POINT (-76.504136 45.922443),31F,-76.5046616736443,45.9244221265452,"-619712,36+249049,75",,,CJ,2000.0,F,2,VIN,C,R1A,20.0,F,85.0,VIN,"{'ES': 0.4, 'HG': 0.3, 'CR': 0.1, 'FT': 0.1, 'TA': 0.1}",5,1.4184836619456564
4903817841,2024-06-26T18:32:22,2024,Québec,Sutorius eximius,https://www.inaturalist.org/observations/225560558,POINT (-74.139755 45.997592),31G,-74.1398999060716,45.9980011843373,"-436440,13+239710,76",,,,,F,2,JIN,B,1AY,30.0,F,65.0,JIN,"{'BP': 0.3, 'EO': 0.2, 'PE': 0.2, 'FO': 0.1, 'RX': 0.1, 'SB': 0.1}",6,1.6957425341696346
4522496133,2023-09-23T11:54,2023,Québec,Sutorius eximius,https://www.inaturalist.org/observations/185817847,POINT (-74.088554 45.996002),31G,-74.0879695821735,45.9950887276461,"-432455,00+239149,72",,,,,F,2,VIR,C,1A,30.0,F,55.0,VIN,"{'BJ': 0.2, 'BP': 0.2, 'EO': 0.2, 'ES': 0.2, 'PE': 0.1, 'RX': 0.1}",6,1.7480673485460894
4171150134,2023-07-20T12:08:46,2023,Québec,Sutorius eximius,https://www.inaturalist.org/observations/174040254,POINT (-75.84777 45.67903),31G,-75.8495210825127,45.6781906380581,"-571887,44+216401,43",,,,,F,1,VIN,D,1AY,30.0,F,85.0,VIN,"{'PE': 0.5, 'CR': 0.3, 'ER': 0.1, 'FT': 0.1}",4,1.1682824501765625
