gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4407301213,2023-08-31T18:36:01,2023.0,Québec,Trichaptum biforme,https://www.inaturalist.org/observations/181122482,POINT (-71.120132 45.899689),21E,-71.1199647229583,45.9017878851971,"-203187,26+215693,89",,,,,M,3,JIR,A,1A,30.0,MF,85.0,50,"{'EO': 0.3, 'BJ': 0.1, 'BP': 0.1, 'PE': 0.1, 'SB': 0.2, 'EN': 0.1, 'EU': 0.1}",7,1.8343719702816235
4405031057,2023-08-26T17:21:54,2023.0,Québec,Trichaptum biforme,https://www.inaturalist.org/observations/180369189,POINT (-71.925178 45.426563),21E,-71.9258971520403,45.4267393562566,"-268330,56+165426,13",,,,,M,1,JIN,B,1AM,20.0,MF,95.0,JIN,"{'EO': 0.5, 'BJ': 0.1, 'FT': 0.1, 'PU': 0.2, 'EU': 0.1}",5,1.3592367006650063
4172226519,2023-07-30T10:34:59,2023.0,Québec,Trichaptum biforme,https://www.inaturalist.org/observations/176029434,POINT (-71.927278 45.38383),21E,-71.9210129701979,45.3810199028508,"-268188,05+160327,11",,,,,M,2,50,C,1AY,30.0,MF,85.0,50,"{'EO': 0.4, 'ES': 0.1, 'FI': 0.1, 'EB': 0.3, 'SB': 0.1}",5,1.4184836619456564
4165376123,2023-07-19T12:34:51,2023.0,Québec,Trichaptum biforme,https://www.inaturalist.org/observations/173790244,POINT (-71.856674 45.369354),21E,-71.853610060145,45.3728552958057,"-262941,58+159103,26",,,,,M,3,70,A,3AN,50.0,MF,55.0,70,"{'FO': 0.7, 'EB': 0.2, 'TO': 0.1}",3,0.8018185525433372
4903879910,2024-06-26T14:43:32,2024.0,Québec,Trichaptum biforme,https://www.inaturalist.org/observations/225358190,POINT (-71.029153 46.783588),21L,-71.0294100182638,46.7820382603453,"-192767,46+313047,27",,,,,R,2,70,A,7T,50.0,R,65.0,70,"{'ML': 0.9, 'EN': 0.1}",2,0.3250829733914482
4525233996,2023-08-15,2023.0,Québec,Trichaptum biforme,https://www.inaturalist.org/observations/199666921,POINT (-71.33879 46.788401),21L,-71.3401360077422,46.788197225471,"-216472,58+314598,42",,,,,F,2,VIR,A,5A,40.0,F,75.0,VIN,"{'EO': 0.5, 'BJ': 0.2, 'ES': 0.1, 'PB': 0.1, 'SE': 0.1}",5,1.3592367006650063
4111841648,2023-05-05T14:52:09,2023.0,Québec,Trichaptum biforme,https://www.inaturalist.org/observations/160185197,POINT (-70.79237 46.918385),21L,-70.7951648776477,46.9138668391224,"-174499,03+327052,39",,,,,F,1,VIN,A,5S,30.0,F,85.0,VIN,"{'ES': 0.7, 'FT': 0.2, 'RX': 0.1}",3,0.8018185525433372
4018271444,2021-09-21T13:44,2021.0,Québec,Trichaptum biforme,https://www.inaturalist.org/observations/95775544,POINT (-71.345469 46.768514),21L,-71.3453559488545,46.7687894200864,"-216957,96+312466,77",,,,,F,4,30,A,5A,40.0,F,75.0,30,"{'BP': 0.6, 'FN': 0.2, 'EO': 0.1, 'PE': 0.1}",4,1.0888999753452235
4018146339,2019-08-29,2019.0,Québec,Trichaptum biforme,https://www.inaturalist.org/observations/31756861,POINT (-71.253599 46.791906),21L,-71.2555540350043,46.7974322815128,"-210020,72+315313,03",,,,,F,2,JIR,F,R1A,20.0,F,65.0,JIN,"{'ES': 0.4, 'FT': 0.3, 'FN': 0.2, 'PE': 0.1}",4,1.2798542258336674
2596154371,2016-08-08,2016.0,Québec,Trichaptum biforme,https://www.inaturalist.org/observations/40874862,POINT (-71.392833 46.961575),21L,-71.3912447909061,46.9623573719129,"-219574,76+333994,77",,,,,M,2,JIR,A,3AN,50.0,MR,35.0,JIN,"{'ML': 0.5, 'SB': 0.1, 'TO': 0.1, 'PE': 0.2, 'FH': 0.1}",5,1.3592367006650063
