gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
1135070738,2006-10-07,2006,Québec,Tricholoma pessundatum,CMMF009347,POINT (-71.301288 46.887678),21L,-71.302130419587,46.8890810275723,"-213305,25+325651,83",,,CP,,F,2,JIR,C,1A,30,F,35.0,JIN,"{'EO': 0.3, 'PE': 0.2, 'BP': 0.1, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1, 'SE': 0.1}",7,1.8343719702816235
1135070676,2006-09-26,2006,Québec,Tricholoma pessundatum,CMMF009290,POINT (-71.322285 46.91969),21L,-71.3209749033067,46.9200423170217,"-214375,06+329081,08",,,EC,2003.0,R,2,JIR,A,2BE,40,R,65.0,JIN,"{'EP': 0.4, 'SB': 0.4, 'ML': 0.1, 'EO': 0.1}",4,1.193549604098133
1135066699,2007-09-29,2007,Québec,Tricholoma pessundatum,CMMF010113,POINT (-71.297755 46.946241),21L,-71.299219087451,46.9489125306201,"-212684,40+332223,99",,,CP,,R,3,5090,A,1A,40,R,55.0,50,"{'SB': 0.5, 'EP': 0.2, 'EN': 0.1, 'EO': 0.1, 'FI': 0.1}",5,1.3592367006650063
617555582,1989-10-05,1989,Québec,Tricholoma pessundatum,CMMF000872,POINT (-74.292134 45.664878),31G,-74.2890463382539,45.6656010935744,"-450978,15+203798,18",,,,,M,2,VIR,C,5S,20,MR,75.0,VIN,"{'PB': 0.5, 'SE': 0.1, 'EO': 0.2, 'FT': 0.2}",4,1.2206072645530175
1135068335,1981-10-11,1981,Québec,Tricholoma pessundatum,CMMF006868,POINT (-74.241983 45.66275),31G,-74.2394629589227,45.6643448234511,"-447111,50+203370,25",P,,,,R,3,JIR,A,5S,30,R,65.0,JIN,"{'PS': 0.5, 'PG': 0.3, 'RX': 0.1, 'FX': 0.1}",4,1.1682824501765625
1135068321,2006-10-13,2006,Québec,Tricholoma pessundatum,CMMF006933,POINT (-74.241983 45.66275),31G,-74.2394629589227,45.6643448234511,"-447111,50+203370,25",P,,,,R,3,JIR,A,5S,30,R,65.0,JIN,"{'PS': 0.5, 'PG': 0.3, 'RX': 0.1, 'FX': 0.1}",4,1.1682824501765625
1135068308,2004-10-31,2004,Québec,Tricholoma pessundatum,CMMF006893,POINT (-74.241983 45.66275),31G,-74.2394629589227,45.6643448234511,"-447111,50+203370,25",P,,,,R,3,JIR,A,5S,30,R,65.0,JIN,"{'PS': 0.5, 'PG': 0.3, 'RX': 0.1, 'FX': 0.1}",4,1.1682824501765625
1135068286,2004-10-24,2004,Québec,Tricholoma pessundatum,CMMF006889,POINT (-74.241983 45.66275),31G,-74.2394629589227,45.6643448234511,"-447111,50+203370,25",P,,,,R,3,JIR,A,5S,30,R,65.0,JIN,"{'PS': 0.5, 'PG': 0.3, 'RX': 0.1, 'FX': 0.1}",4,1.1682824501765625
1135067976,1979-09-30,1979,Québec,Tricholoma pessundatum,CMMF006540,POINT (-74.215833 45.393333),31G,-74.2159153456954,45.394052244897,"-447680,03+173254,03",,,,,R,3,JIR,A,5S,30,R,65.0,JIN,"{'EB': 0.3, 'SB': 0.3, 'EU': 0.2, 'PB': 0.1, 'PR': 0.1}",5,1.5047882836811908
617553001,1999-10-07,1999,Québec,Tricholoma pessundatum,CMMF003403,POINT (-73.292447 45.666797),31H,-73.2959757170891,45.6758039662218,"-373648,27+199234,54",,,,,F,2,JIR,A,5A,40,F,95.0,JIN,"{'EO': 0.6, 'HG': 0.2, 'FI': 0.1, 'FR': 0.1}",4,1.0888999753452235
617548785,1991-10-07,1991,Québec,Tricholoma pessundatum,CMMF001558,POINT (-73.209987 45.876777),31H,-73.2105975411842,45.8774056777621,"-365532,82+221164,10",,,,,F,1,JIN,A,5S,30,F,95.0,JIN,"{'EO': 0.6, 'HG': 0.2, 'FR': 0.1, 'FT': 0.1}",4,1.0888999753452235
617548737,1991-10-04,1991,Québec,Tricholoma pessundatum,CMMF001536,POINT (-73.209987 45.876777),31H,-73.2105975411842,45.8774056777621,"-365532,82+221164,10",,,,,F,1,JIN,A,5S,30,F,95.0,JIN,"{'EO': 0.6, 'HG': 0.2, 'FR': 0.1, 'FT': 0.1}",4,1.0888999753452235
1412707301,1978-09-26,1978,Québec,Tricholoma pessundatum,CMMF015844,POINT (-73.389519 45.385356),31H,-73.3903422386422,45.3848546039964,"-383115,21+167524,88",,,,,M,3,50,A,1A,40,MF,85.0,50,"{'EO': 0.5, 'FR': 0.1, 'PE': 0.1, 'PB': 0.3}",4,1.1682824501765625
1135068723,2009-10-21,2009,Québec,Tricholoma pessundatum,CMMF007336,POINT (-73.780833 45.808333),31H,-73.7817600053125,45.8066106703432,"-410354,62+216408,55",P,1992.0,,,R,4,30,A,5S,30,R,55.0,30,"{'PR': 0.7, 'ML': 0.3}",2,0.6108643020548935
