gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617553563	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000366	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma transmutans		SPECIES	Tricholoma transmutans (Peck) Sacc.	Tricholoma transmutans (Peck) Sacc.	(Peck) Sacc.	CA	Rawdon	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.052398	-73.748752	11000.0						1988-09-18	18	9	1988	5450490	5450490	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000366		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.821Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617553002	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003404	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma transmutans		SPECIES	Tricholoma transmutans (Peck) Sacc.	Tricholoma transmutans (Peck) Sacc.	(Peck) Sacc.	CA	Saint-Amable	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.666797	-73.292447	7000.0						1999-10-07	7	10	1999	5450490	5450490	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003404		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.050Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617551373	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002678	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma transmutans		SPECIES	Tricholoma transmutans (Peck) Sacc.	Tricholoma transmutans (Peck) Sacc.	(Peck) Sacc.	CA	Saint-Majorique	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.931221	-72.584529	5000.0						1995-09-27	27	9	1995	5450490	5450490	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002678		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.332Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617549385	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001816	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma transmutans		SPECIES	Tricholoma transmutans (Peck) Sacc.	Tricholoma transmutans (Peck) Sacc.	(Peck) Sacc.	CA	Chertsey	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.073928	-73.890706	5000.0						1992-09-08	8	9	1992	5450490	5450490	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001816		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.277Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617548642	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001495	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma transmutans		SPECIES	Tricholoma transmutans (Peck) Sacc.	Tricholoma transmutans (Peck) Sacc.	(Peck) Sacc.	CA	Sainte-Ursule	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.288837	-73.033517	3000.0						1991-09-13	13	9	1991	5450490	5450490	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001495		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.619Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4104429512	5a6538b8-e35c-46c4-8978-6858a657a75f	1b394fa1-9b95-4d7e-9a10-7d06782386af	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma transmutans		SPECIES	Tricholoma transmutans (Peck) Sacc.	Tricholoma transmutans	(Peck) Sacc.	CA	Sackville	New Brunswick	PRESENT		a26dde42-dd82-4d07-a763-353ab27fc02c	45.883333	-64.35	7470.0						1902-10-05	5	10	1902	5450490	5450490	PRESERVED_SPECIMEN	CUP		CUP-A-018310				CC0_1_0		Gates, Reginald			2025-01-15T04:26:00.299Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4099909826	d1a3b128-b406-46bb-a6d1-f3591dcc8a7b	5e175a32-ee9b-4565-b67a-c25febc031b2	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma transmutans		SPECIES	Tricholoma transmutans (Peck) Sacc.	Tricholoma transmutans	(Peck) Sacc.	CA	Fallowfield	Ontario	PRESENT		e43cf4b8-849e-4fac-b075-e652d019d2cf	45.26809	-75.82904	301.0						1954-10-05	5	10	1954	5450490	5450490	PRESERVED_SPECIMEN	BPI		BPI 754379		Hoare, S. C.		CC0_1_0		Wells, D.			2025-01-15T04:59:41.621Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
4023662087	fb9d7c38-5759-4c30-9e09-5b6bd43f78a6	http://id.luomus.fi/MY.4038334	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma transmutans		SPECIES	Tricholoma transmutans (Peck) Sacc.	Tricholoma transmutans		CA	La Vérendrye Park	Quebec	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	47.03	-76.53							1965-09-16T00:00Z	16	9	1965	5450490	5450490	PRESERVED_SPECIMEN	H		http://id.luomus.fi/HA.H7039506	65-143			CC_BY_4_0		Elliott, M. E.;Groves, J. W.			2025-01-17T02:41:16.310Z		CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
3349368049	d8cd16ba-bb74-4420-821e-083f2bac17c2	MN992649	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma transmutans		SPECIES	Tricholoma transmutans (Peck) Sacc.	Tricholoma transmutans		CA	Quebec, Chibougamau		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	49.76	-74.41							2017-09-07	7	9	2017	5450490	5450490	PRESERVED_SPECIMEN			MQ17210-QFB29718		Renee Lebeuf		CC_BY_4_0					2025-01-18T13:04:48.418Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
1807256382	e8a25a42-f125-476c-8554-3ec21cd51a84	ACAD:112790	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma transmutans		SPECIES	Melanoleuca transmutans (Peck) Murrill	Melanoleuca transmutans (Peck) Murrill	(Peck) Murrill	CA	Glenmont	Nova Scotia	PRESENT		6491ad8c-8e49-4bd4-a089-0ddb3bbe0890	45.18614	-64.50197							1953-09-28	28	9	1953	5451623	5450490	PRESERVED_SPECIMEN	Acadia University	ACAD	2750F	2750			CC0_1_0	Acadia University	Harrison, KA			2024-01-25T01:37:10.793Z	StillImage	GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
