gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
1135069461,2004-10-04,2004,Québec,Tricholoma transmutans,CMMF008000,POINT (-70.432917 46.876667),21L,-70.4323922228304,46.8759443261457,"-147048,19+322032,82",,,CHP,,R,3,VIR,A,7E,60.0,R,45.0,14,VIN,"{'EN': 0.4, 'SB': 0.2, 'ML': 0.1, 'TO': 0.1, 'EO': 0.1, 'FX': 0.1}",0.0008931117384861477,6,1.6094379124341,[2.4958334],[9.775001],[23.725729],[1123.7831],[22.7],[-18.5],[41.2],[14.85],[-5.6833334],[15.916667],[-11.916667],[1173.],[124.],[73.],[17.762241],[355.],[226.],[349.],[254.]
1135069404,2004-10-04,2004,Québec,Tricholoma transmutans,CMMF007999,POINT (-70.432917 46.876667),21L,-70.4323922228304,46.8759443261457,"-147048,19+322032,82",,,CHP,,R,3,VIR,A,7E,60.0,R,45.0,14,VIN,"{'EN': 0.4, 'SB': 0.2, 'ML': 0.1, 'TO': 0.1, 'EO': 0.1, 'FX': 0.1}",0.0008931117384861477,6,1.6094379124341,[2.4958334],[9.775001],[23.725729],[1123.7831],[22.7],[-18.5],[41.2],[14.85],[-5.6833334],[15.916667],[-11.916667],[1173.],[124.],[73.],[17.762241],[355.],[226.],[349.],[254.]
1135066582,2007-09-16,2007,Québec,Tricholoma transmutans,CMMF010005,POINT (-71.537331 47.069562),21M,-71.5390595888319,47.0702418745588,"-230339,21+346341,45",,,,,M,3,30,F,R1A,20.0,MM,85.0,14,30,"{'EN': 0.3, 'SB': 0.2, 'BP': 0.4, 'BJ': 0.1}",0.0018574845263186336,4,1.2798542258336676,[1.6333334],[10.333333],[24.313725],[1140.6664],[22.2],[-20.3],[42.5],[14.2],[-6.6499996],[15.25],[-13.016666],[1514.],[153.],[96.],[15.445465],[434.],[292.],[428.],[348.]
1135069782,2011-08-18,2011,Québec,Tricholoma transmutans,CMMF008239,POINT (-66.19265 48.856583),22B,-66.1926756974626,48.855839593182,"+168491,94+542173,58",,,,,R,3,VIR,C,8A,30.0,R,75.0,15,VIN,"{'SB': 0.7, 'EN': 0.2, 'EB': 0.1}",0.0007438508295605804,3,0.8018185525433372,[-0.03749998],[9.258333],[23.145834],[1089.1053],[19.8],[-20.2],[40.],[-10.466667],[-1.7833333],[13.366667],[-13.733334],[1249.],[129.],[76.],[17.117043],[370.],[246.],[339.],[323.]
1135069725,2005-09-02,2005,Québec,Tricholoma transmutans,CMMF008224,POINT (-67.537667 48.821667),22B,-67.5378406635399,48.8215899886239,"+70350,89+536136,33",,,,,M,2,JIR,D,5S,20.0,MR,65.0,18,70,"{'SB': 0.4, 'EB': 0.3, 'PE': 0.2, 'BP': 0.1}",0.0001899730958274453,4,1.2798542258336674,[2.9416666],[9.333333],[23.10231],[1092.0786],[22.4],[-18.],[40.4],[13.233334],[-5.25],[15.983334],[-11.05],[991.],[99.],[63.],[14.406317],[271.],[192.],[264.],[240.]
1135069801,2005-09-15,2005,Québec,Tricholoma transmutans,CMMF008351,POINT (-66.497883 49.108333),22G,-66.4995499116032,49.1076671720118,"+145311,14+569360,81",,,,,R,4,JIN,A,5S,40.0,R,85.0,11,JIN,"{'TO': 0.5, 'EB': 0.2, 'SB': 0.2, 'FI': 0.1}",0.001794971086880414,4,1.2206072645530173,[2.6333334],[8.883333],[22.836332],[1062.733],[21.7],[-17.2],[38.9],[14.65],[-5.4],[15.433333],[-10.866667],[950.],[96.],[53.],[18.075256],[284.],[176.],[275.],[214.]
1135068120,2006-09-21,2006,Québec,Tricholoma transmutans,CMMF006696,POINT (-74.2185 45.683917),31G,-74.2184894361057,45.6817433787633,"-445317,70+205176,03",,,,,F,2,JIN,A,3AN,50.0,F,85.0,18,JIN,"{'EO': 0.3, 'ES': 0.2, 'BJ': 0.1, 'BP': 0.1, 'EA': 0.1, 'FT': 0.1, 'PB': 0.1}",0.0021736469070429546,7,1.8343719702816235,[4.975],[10.266666],[24.27108],[1145.9583],[25.5],[-16.8],[42.3],[7.4333334],[-3.4666667],[18.416666],[-9.833333],[1089.],[109.],[66.],[15.146086],[306.],[216.],[305.],[238.]
1135068000,2006-10-16,2006,Québec,Tricholoma transmutans,CMMF006526,POINT (-74.215833 45.393333),31G,-74.2159153456954,45.394052244897,"-447680,03+173254,03",,,,,R,3,JIR,A,5S,30.0,R,65.0,14,JIN,"{'EB': 0.3, 'SB': 0.3, 'EU': 0.2, 'PB': 0.1, 'PR': 0.1}",0.0007239433924058073,5,1.5047882836811908,[5.541667],[9.816667],[23.597757],[1143.183],[25.7],[-15.9],[41.6],[18.916666],[-8.216666],[18.916666],[-9.2],[1045.],[102.],[63.],[15.380452],[299.],[204.],[299.],[218.]
1024559243,2012-09-23,2012,Québec,Tricholoma transmutans,CMMF004534,POINT (-74.11437 45.086901),31G,-74.1154295636293,45.0855808278605,"-442519,82+138397,69",,,,,F,1,VIR,B,1A,30.0,F,95.0,26,VIN,"{'ES': 0.5, 'HG': 0.2, 'TA': 0.2, 'FT': 0.1}",0.0016927875124994622,4,1.2206072645530173,[6.295833],[10.125],[24.695122],[1121.9108],[26.4],[-14.6],[41.],[19.516666],[-7.0833335],[19.516666],[-8.183333],[999.],[98.],[60.],[15.023375],[287.],[195.],[287.],[208.]
617553002,1999-10-07,1999,Québec,Tricholoma transmutans,CMMF003404,POINT (-73.292447 45.666797),31H,-73.2959757170891,45.6758039662218,"-373648,27+199234,54",,,,,F,2,JIR,A,5A,40.0,F,95.0,18,JIN,"{'EO': 0.6, 'HG': 0.2, 'FI': 0.1, 'FR': 0.1}",0.0096735352801123,4,1.0888999753452235,[5.6458335],[9.941667],[23.727129],[1147.0525],[25.9],[-16.],[41.9],[19.116667],[-8.1],[19.116667],[-9.133333],[1020.],[97.],[62.],[14.067539],[287.],[203.],[287.],[224.]
617551373,1995-09-27,1995,Québec,Tricholoma transmutans,CMMF002678,POINT (-72.584529 45.931221),31H,-72.5842799668517,45.9351393306654,"-316622,30+224582,90",,,,,F,2,50,A,5S,40.0,F,75.0,18,50,"{'BG': 0.4, 'EO': 0.4, 'PA': 0.1, 'PE': 0.1}",0.003926236456502169,4,1.193549604098133,[5.2],[10.05],[23.928572],[1146.4451],[25.4],[-16.6],[42.],[17.716667],[-8.683333],[18.633333],[-9.583333],[1049.],[109.],[62.],[16.32203],[304.],[203.],[302.],[219.]
