gbifID,eventDate,year,stateProvince,species,genus,family,occurrenceID,region_code,geoc_maj,cl_pent,dep_sur,cl_drai,cl_haut,type_couv,origine,an_origine,perturb,an_perturb,ty_couv_et,densite,cl_age_et,tree_cover,richness_index,shannon_index
617555092,1989-08-23,1989,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,CMMF000653,21E,"-250319,30+129022,60",C,1A,30.0,4,R,P,,,,R,85.0,10,{'RZ': 1.0},1,-0.0
4936721519,2024-08-17T16:23:04,2024,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/237390286,21E,"-216177,69+161149,38",C,1A,40.0,2,R,P,,,,R,85.0,30,{'EB': 1.0},1,-0.0
4926163243,2024-08-15T18:32:47,2024,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/236012885,21E,"-267472,19+159862,43",C,1AY,30.0,2,F,,,,,F,85.0,50,"{'EO': 0.5, 'PE': 0.2, 'BG': 0.1, 'ES': 0.1, 'FT': 0.1}",5,1.3592367006650063
4921826677,2024-07-29T16:40:10,2024,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/232972393,21E,"-185138,11+145883,09",C,1A,30.0,3,R,,,,,R,85.0,50,"{'SB': 0.7, 'EU': 0.2, 'EB': 0.1}",3,0.8018185525433372
4919311210,2024-07-21T14:50:39,2024,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/231297511,21E,"-188288,39+149948,44",B,3AN,40.0,3,M,,,,,MF,75.0,50,"{'BJ': 0.2, 'EO': 0.2, 'BP': 0.1, 'PE': 0.1, 'SB': 0.3, 'EU': 0.1}",6,1.6957425341696346
4535610587,2022-07-27T18:01:18,2022,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/128225581,21E,"-174708,22+185006,50",A,1A,40.0,3,F,,,,,F,75.0,50,"{'PE': 0.8, 'BP': 0.1, 'SB': 0.1}",3,0.639031859650177
4528158229,2023-08-11T18:08,2023,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/195230994,21E,"-264437,21+156549,02",D,1AY,30.0,1,M,,,,,MR,75.0,VIN,"{'PU': 0.6, 'BJ': 0.2, 'EO': 0.1, 'FT': 0.1}",4,1.0888999753452235
4524898789,2021-09-19T17:12:48,2021,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/95586822,21E,"-268358,20+192710,69",B,1AY,30.0,2,F,,,,,F,85.0,JIN,"{'ES': 0.5, 'FT': 0.2, 'BJ': 0.1, 'FR': 0.1, 'HG': 0.1}",5,1.3592367006650063
4400424687,2023-08-16T09:33:34,2023,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/179173814,21E,"-207727,10+209138,60",C,1A,30.0,3,M,,,,,MR,85.0,JIN,"{'SB': 0.5, 'RX': 0.1, 'EO': 0.2, 'BP': 0.1, 'PE': 0.1}",5,1.3592367006650063
4400358061,2023-08-11T19:29:05,2023,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/179726541,21E,"-242206,24+188458,65",D,1AY,30.0,2,F,,,,,F,85.0,JIN,"{'BJ': 0.3, 'EO': 0.3, 'FO': 0.1, 'FR': 0.1, 'PE': 0.1, 'SB': 0.1}",6,1.6434177197931796
