gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4405323767,2023-08-26T16:00:38,2023,Québec,Tylopilus felleus,https://www.inaturalist.org/observations/180370546,POINT (-71.921097 45.42252),21E,-71.9228624184831,45.421572125075,"-268119,33+164840,65",,,,,F,1,50,B,1A,30.0,F,85.0,50,"{'EO': 0.5, 'FR': 0.2, 'PE': 0.2, 'OR': 0.1}",4,1.2206072645530173
4177008857,2023-08-14T11:24:27,2023,Québec,Tylopilus felleus,https://www.inaturalist.org/observations/178381758,POINT (-71.989656 45.57817),21E,-71.9898206326646,45.5769486318591,"-272516,55+182356,49",,,,,R,1,70,B,4GS,20.0,R,95.0,70,"{'PB': 0.8, 'SE': 0.1, 'FX': 0.1}",3,0.639031859650177
3355238631,2021-09-02T12:19:47,2021,Québec,Tylopilus felleus,https://www.inaturalist.org/observations/93396899,POINT (-71.897222 45.025833),21E,-71.896165841263,45.0265125081569,"-268097,00+120765,93",,,,,F,3,JIN,D,R1A,20.0,F,85.0,JIN,"{'BJ': 0.2, 'BP': 0.2, 'EO': 0.2, 'ES': 0.1, 'FT': 0.1, 'EU': 0.2}",6,1.7480673485460894
4919519191,2024-07-28T15:39:51,2024,Québec,Tylopilus felleus,https://www.inaturalist.org/observations/232341168,POINT (-71.267126 46.95346),21L,-71.2671544245531,46.952665628644,"-210208,93+332522,87",,,,,R,3,90,D,1AY,30.0,R,85.0,90,"{'EP': 0.6, 'SB': 0.3, 'EO': 0.1}",3,0.8979457248567797
4919194353,2024-07-28T15:38:28,2024,Québec,Tylopilus felleus,https://www.inaturalist.org/observations/232337280,POINT (-71.267265 46.953501),21L,-71.2671544245531,46.952665628644,"-210208,93+332522,87",,,,,R,3,90,D,1AY,30.0,R,85.0,90,"{'EP': 0.6, 'SB': 0.3, 'EO': 0.1}",3,0.8979457248567797
4910680376,2024-07-18T15:42:25,2024,Québec,Tylopilus felleus,https://www.inaturalist.org/observations/230156521,POINT (-71.267296 46.953548),21L,-71.2671544245531,46.952665628644,"-210208,93+332522,87",,,,,R,3,90,D,1AY,30.0,R,85.0,90,"{'EP': 0.6, 'SB': 0.3, 'EO': 0.1}",3,0.8979457248567797
4535960486,2023-08-06,2023,Québec,Tylopilus felleus,https://www.inaturalist.org/observations/201115773,POINT (-71.237022 46.916009),21L,-71.2367984150602,46.9149064525761,"-208063,41+328344,40",,,DP,,F,2,VIN,C,1A,30.0,F,75.0,VIN,"{'ES': 0.5, 'HG': 0.3, 'BJ': 0.1, 'EO': 0.1}",4,1.1682824501765625
4165936737,2023-07-25T13:49:52,2023,Québec,Tylopilus felleus,https://www.inaturalist.org/observations/174900859,POINT (-71.109955 46.830811),21L,-71.1116629991945,46.830940978755,"-199076,80+318711,35",,,,,M,3,JIN,A,8AM,20.0,MR,75.0,JIN,"{'PU': 0.3, 'SB': 0.2, 'RX': 0.1, 'EO': 0.2, 'FT': 0.2}",5,1.5571130980576458
3947746822,2022-09-03T15:23:10,2022,Québec,Tylopilus felleus,https://www.inaturalist.org/observations/133793291,POINT (-71.484795 46.84338),21L,-71.4822665757771,46.8442106982032,"-227130,90+321284,15",,,,,F,2,VIR,D,1A,30.0,F,75.0,VIN,"{'ES': 0.3, 'BJ': 0.2, 'EO': 0.2, 'HG': 0.2, 'SE': 0.1}",5,1.5571130980576458
2862565490,2020-08-22,2020,Québec,Tylopilus felleus,https://www.inaturalist.org/observations/57327492,POINT (-71.324119 46.757412),21L,-71.3232788534239,46.7576620400993,"-215323,09+311163,77",,,,,F,1,VIN,A,5S,20.0,F,85.0,VIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'RX': 0.1}",4,1.2798542258336674
