gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
1412707472,1985-09,1985,Québec,Vitreoporus dichrous,CMMF015888,POINT (-70.556636 46.980077),21L,-70.5577072039646,46.9865378015301,"-156126,60+334544,84",,,,,F,3,30,A,5A,40,F,35.0,30,"{'EO': 0.3, 'FN': 0.3, 'BJ': 0.2, 'FH': 0.1, 'FX': 0.1}",5,1.5047882836811908
1412707466,1975-11-02,1975,Québec,Vitreoporus dichrous,CMMF015890,POINT (-71.374844 46.780042),21L,-71.3734073678032,46.7799564370761,"-219042,87+313784,68",FR,,,,F,5,10,B,5S,20,F,75.0,10,"{'FN': 0.6, 'FX': 0.3, 'RX': 0.1}",3,0.8979457248567797
1412707408,1973-10-23,1973,Québec,Vitreoporus dichrous,CMMF015891,POINT (-71.280377 46.791462),21L,-71.2781909855745,46.7908610990714,"-211629,48+314727,67",,,,,F,1,VIR,B,1A,30,F,55.0,VIN,"{'ES': 0.6, 'EO': 0.2, 'FT': 0.2}",3,0.9502705392332347
1412707394,1987-09,1987,Québec,Vitreoporus dichrous,CMMF015881,POINT (-71.73269 46.623111),21L,-71.7301488032192,46.6191708992331,"-247026,20+297118,79",P,,,,R,4,30,A,5S,40,R,75.0,30,"{'RZ': 0.9, 'PE': 0.1}",2,0.3250829733914482
1412707375,1986-09-27,1986,Québec,Vitreoporus dichrous,CMMF015876,POINT (-71.384379 46.867482),21L,-71.384462313701,46.8655999952224,"-219469,87+323359,86",,,,,M,2,JIR,A,7T,50,MR,65.0,70,"{'ML': 0.5, 'SB': 0.2, 'EO': 0.2, 'BG': 0.1}",4,1.2206072645530173
4987698697,2024-08-20T15:46,2024,Québec,Vitreoporus dichrous,https://www.inaturalist.org/observations/252675246,POINT (-74.071997 45.037455),31G,-74.0737259888278,45.0378784232336,"-439652,76+132845,09",,,,,F,1,JIN,B,1A,30,F,95.0,JIN,"{'ES': 0.4, 'FT': 0.2, 'TA': 0.2, 'EO': 0.1, 'PE': 0.1}",5,1.4708084763221112
4872456779,2024-05-08T15:17:59,2024,Québec,Vitreoporus dichrous,https://www.inaturalist.org/observations/214491092,POINT (-75.0699 45.617563),31G,-75.0711508023132,45.6177865705586,"-512205,52+203806,99",,,,,F,2,JIR,B,5AM,30,F,75.0,JIN,"{'PE': 0.5, 'BP': 0.2, 'EO': 0.1, 'FT': 0.1, 'PB': 0.1}",5,1.3592367006650063
4177263050,2023-08-12T12:00,2023,Québec,Vitreoporus dichrous,https://www.inaturalist.org/observations/178058400,POINT (-75.834504 45.421728),31G,-75.8349347394535,45.420212758411,"-573884,51+187570,77",,,CP,,M,1,VIR,A,5A,40,MF,85.0,VIN,"{'PE': 0.4, 'ER': 0.1, 'FX': 0.1, 'TO': 0.3, 'SE': 0.1}",5,1.4184836619456564
4137739438,2021-09-18T17:06:21,2021,Québec,Vitreoporus dichrous,https://www.inaturalist.org/observations/95342052,POINT (-75.114274 45.607094),31G,-75.1119476935008,45.6041700827468,"-515623,01+202551,41",,,CP,,F,2,JIR,B,5A,30,F,65.0,JIN,"{'FR': 0.4, 'FH': 0.2, 'FT': 0.2, 'EA': 0.1, 'PE': 0.1}",5,1.4708084763221112
3966450511,2022-09-10T09:27:09,2022,Québec,Vitreoporus dichrous,https://www.inaturalist.org/observations/134418256,POINT (-75.672736 45.658869),31G,-75.6736618791555,45.6587022893226,"-558558,48+212783,33",,,CP,,M,2,JIR,D,1AY,30,MF,75.0,JIN,"{'ER': 0.2, 'FT': 0.2, 'PE': 0.2, 'BP': 0.1, 'PB': 0.1, 'PU': 0.1, 'SB': 0.1}",7,1.8866967846580782
1135068786,1980-04-07,1980,Québec,Vitreoporus dichrous,CMMF007309,POINT (-74.483883 45.75925),31G,-74.4845866746319,45.7603488608377,"-465150,21+215573,07",,,,,F,2,50,D,1A,30,F,85.0,50,"{'EO': 0.3, 'BP': 0.2, 'BJ': 0.1, 'ES': 0.1, 'FT': 0.1, 'RX': 0.1, 'SE': 0.1}",7,1.8343719702816235
617548837,1991-10-12,1991,Québec,Vitreoporus dichrous,CMMF001582,POINT (-73.477185 45.544154),31H,-73.4781398017723,45.5453502837324,"-388807,61+185682,18",,,,,F,3,30,A,1A,40,F,75.0,30,"{'EO': 0.3, 'EA': 0.2, 'FR': 0.2, 'FT': 0.1, 'PE': 0.1, 'PL': 0.1}",6,1.6957425341696346
4872022185,2022-11-28,2022,Québec,Vitreoporus dichrous,https://www.inaturalist.org/observations/158941981,POINT (-73.763548 45.506363),31H,-73.7645544755528,45.5075237786931,"-411625,97+183282,21",,,,,F,2,JIR,A,3AN,40,F,75.0,JIN,"{'FR': 0.8, 'EA': 0.1, 'FT': 0.1}",3,0.639031859650177
3399167906,2021-10-05T16:27:46,2021,Québec,Vitreoporus dichrous,https://www.inaturalist.org/observations/97294512,POINT (-73.584442 45.511003),31H,-73.5865581924405,45.5129712188364,"-397438,15+182610,36",,,,,F,1,VIR,C,5S,30,F,85.0,VIN,"{'CR': 0.2, 'ES': 0.2, 'FR': 0.2, 'FT': 0.2, 'EA': 0.1, 'FN': 0.1}",6,1.7480673485460894
3398903952,2021-10-05T14:57,2021,Québec,Vitreoporus dichrous,https://www.inaturalist.org/observations/98116103,POINT (-73.584511 45.512889),31H,-73.5865581924405,45.5129712188364,"-397438,15+182610,36",,,,,F,1,VIR,C,5S,30,F,85.0,VIN,"{'CR': 0.2, 'ES': 0.2, 'FR': 0.2, 'FT': 0.2, 'EA': 0.1, 'FN': 0.1}",6,1.7480673485460894
3398764891,2021-10-06T15:10:29,2021,Québec,Vitreoporus dichrous,https://www.inaturalist.org/observations/97470522,POINT (-73.58528 45.511708),31H,-73.5865581924405,45.5129712188364,"-397438,15+182610,36",,,,,F,1,VIR,C,5S,30,F,85.0,VIN,"{'CR': 0.2, 'ES': 0.2, 'FR': 0.2, 'FT': 0.2, 'EA': 0.1, 'FN': 0.1}",6,1.7480673485460894
3398748956,2021-10-05T15:39:54,2021,Québec,Vitreoporus dichrous,https://www.inaturalist.org/observations/97903119,POINT (-73.58078 45.51405),31H,-73.5865581924405,45.5129712188364,"-397438,15+182610,36",,,,,F,1,VIR,C,5S,30,F,85.0,VIN,"{'CR': 0.2, 'ES': 0.2, 'FR': 0.2, 'FT': 0.2, 'EA': 0.1, 'FN': 0.1}",6,1.7480673485460894
