gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
2802757477,2019-08-31T13:52,2019,Québec,Xerocomellus chrysenteron,https://www.inaturalist.org/observations/32086422,POINT (-71.321997 46.75542),21L,-71.3205404941924,46.7554216724348,"-215149,43+310859,10",,,,,M,2,VIN,A,5S,20.0,MF,85.0,VIN,"{'ES': 0.3, 'EO': 0.2, 'FT': 0.2, 'PB': 0.1, 'RX': 0.1, 'SB': 0.1}",6,1.6957425341696346
1135071107,2007-07-22,2007,Québec,Xerocomellus chrysenteron,CMMF009590,POINT (-71.266801 46.898375),21L,-71.2669786581791,46.8994870781396,"-210425,07+326724,84",,,,,F,2,JIN,C,1A,30.0,F,85.0,JIN,"{'EO': 0.3, 'ES': 0.3, 'HG': 0.3, 'FI': 0.1}",4,1.313834033192747
1135070249,2006-07-29,2006,Québec,Xerocomellus chrysenteron,CMMF008823,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",6,1.6094379124341
1135070231,2006-07-31,2006,Québec,Xerocomellus chrysenteron,CMMF008855,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",6,1.6094379124341
1024560214,1984-08-23,1984,Québec,Xerocomellus chrysenteron,CMMF005657,POINT (-70.048867 47.43365),21M,-70.0484926939426,47.4347287322167,"-116497,59+383292,72",,,,,R,3,JIN,A,8AY,30.0,R,65.0,JIN,"{'SB': 0.4, 'EB': 0.2, 'TO': 0.2, 'FX': 0.1, 'PE': 0.1}",5,1.4708084763221112
3455838927,2021-07-03T09:28,2021,Québec,Xerocomellus chrysenteron,https://www.inaturalist.org/observations/103788685,POINT (-76.544167 45.976373),31F,-76.5448709629858,45.9776339567773,"-622056,11+255168,88",,,,,F,2,JIN,D,1A,30.0,F,75.0,JIN,"{'BJ': 0.3, 'EO': 0.2, 'ES': 0.1, 'FT': 0.1, 'HG': 0.1, 'RX': 0.1, 'SE': 0.1}",7,1.8343719702816235
4413746120,2023-09-09T12:31:34,2023,Québec,Xerocomellus chrysenteron,https://www.inaturalist.org/observations/182488960,POINT (-75.676135 45.656147),31G,-75.6769489527948,45.6568811307426,"-558895,49+212565,40",,,,,M,2,VIN,D,1AY,30.0,MR,95.0,VIN,"{'PU': 0.7, 'BP': 0.1, 'CR': 0.1, 'FT': 0.1}",4,0.9404479886553263
2850567908,2020-08-01T11:47:46,2020,Québec,Xerocomellus chrysenteron,https://www.inaturalist.org/observations/55214643,POINT (-74.349153 45.751092),31G,-74.3481615106763,45.751857862446,"-454649,99+213723,61",,,,,M,2,VIR,C,1A,30.0,MF,75.0,VIN,"{'EO': 0.3, 'BJ': 0.2, 'ES': 0.2, 'PU': 0.2, 'RX': 0.1}",5,1.5571130980576458
1024558792,2012-07-03,2012,Québec,Xerocomellus chrysenteron,CMMF004252,POINT (-74.115203 45.084211),31G,-74.1148417897157,45.0836969822898,"-442492,29+138230,60",,,,,F,2,50,A,1A,30.0,F,85.0,50,"{'FT': 0.3, 'EO': 0.2, 'ES': 0.2, 'TA': 0.2, 'HG': 0.1}",5,1.5571130980576458
617555796,1990-07-06,1990,Québec,Xerocomellus chrysenteron,CMMF000968,POINT (-73.705867 45.609608),31H,-73.7040779653958,45.6150128958572,"-405966,25+194717,23",,,,,F,4,30,A,5A,40.0,F,35.0,30,"{'FR': 0.3, 'FH': 0.2, 'FN': 0.2, 'FT': 0.2, 'PE': 0.1}",5,1.5571130980576458
