gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
694157820	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	17496	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe praecox		SPECIES	Agrocybe praecox (Pers.) Fayod	Agrocybe praecox (Pers.) Fayod	(Pers.) Fayod	CA	Dunrobin	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.422793	-76.022344							1971-06-16	16	6	1971	8997022	8997022	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC047891		Thomson, S.		CC0_1_0	Royal Ontario Museum	Hudson, A.;			2024-01-25T00:59:38.839Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
617554687	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000469	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe praecox		SPECIES	Agrocybe praecox (Pers.) Fayod	Agrocybe praecox (Pers.) Fayod	(Pers.) Fayod	CA	Mirabel	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.659599	-74.064294	18500.0						1989-06-02	2	6	1989	8997022	8997022	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000469		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.995Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617554662	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000458	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe praecox		SPECIES	Agrocybe praecox (Pers.) Fayod	Agrocybe praecox (Pers.) Fayod	(Pers.) Fayod	CA	Oka	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.485445	-74.079213	8500.0						1989-05-27	27	5	1989	8997022	8997022	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000458		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.976Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617550607	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002351	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe praecox		SPECIES	Agrocybe praecox (Pers.) Fayod	Agrocybe praecox (Pers.) Fayod	(Pers.) Fayod	CA	Longueuil	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.544154	-73.477185	5000.0						1995-05-31	31	5	1995	8997022	8997022	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002351		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.451Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4138130759	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/168480452	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe praecox		SPECIES	Agrocybe praecox (Pers.) Fayod	Agrocybe praecox		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.505264	-73.803304	1533.0						2023-06-20T09:22:43	20	6	2023	8997022	8997022	HUMAN_OBSERVATION	iNaturalist	Observations	168480452		Gaby Beland	2023-06-26T03:37:57	CC_BY_NC_4_0	Lukas Kramosch	Lukas Kramosch			2025-01-14T13:30:35.335Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3858530392	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/120214175	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe praecox		SPECIES	Agrocybe praecox (Pers.) Fayod	Agrocybe praecox		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.592025	-73.54944	40.0						2022-06-04T15:04:44	4	6	2022	8997022	8997022	HUMAN_OBSERVATION	iNaturalist	Observations	120214175		sabacon	2022-06-05T00:04:31	CC_BY_NC_4_0	D. Marullo-Masson	D. Marullo-Masson			2025-01-14T13:22:17.849Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3384537334	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/97274254	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe praecox		SPECIES	Agrocybe praecox (Pers.) Fayod	Agrocybe praecox		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.523615	-73.636584	722.0						2021-10-05T15:04:36	5	10	2021	8997022	8997022	HUMAN_OBSERVATION	iNaturalist	Observations	97274254		oliviacostanzo	2021-10-05T19:32:40	CC_BY_NC_4_0	oliviacostanzo	oliviacostanzo			2025-01-14T13:12:06.770Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3384136412	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/97274268	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe praecox		SPECIES	Agrocybe praecox (Pers.) Fayod	Agrocybe praecox		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.511263	-73.580292	4.0						2021-10-05T15:04:23	5	10	2021	8997022	8997022	HUMAN_OBSERVATION	iNaturalist	Observations	97274268		scarlet_chapman	2021-10-05T19:32:52	CC_BY_NC_4_0	scarlet_chapman	scarlet_chapman			2025-01-14T12:23:17.658Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
2423611996	21705170-d2b6-42de-8904-c3bca4b83591	CMMF018711	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe praecox		SPECIES	Agrocybe praecox (Pers.) Fayod	Agrocybe praecox (Pers.) Fayod	(Pers.) Fayod	CA	Station de biologie des Laurentides, Université de Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.988108	-74.005679	25000.0						1985-06-11	11	6	1985	8997022	8997022	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF018711	s.n.	Nantel, Patrick		CC0_1_0	Université de Montréal Biodiversity Centre	Nantel, Patrick			2024-01-24T16:38:18.549Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1807262445	e8a25a42-f125-476c-8554-3ec21cd51a84	ACAD:118999	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe praecox		SPECIES	Agrocybe praecox (Pers.) Fayod	Agrocybe praecox (Pers.) Fayod	(Pers.) Fayod	CA	Kentville	Nova Scotia	PRESENT		6491ad8c-8e49-4bd4-a089-0ddb3bbe0890	45.07662	-64.49592							1959-09-18	18	9	1959	8997022	8997022	PRESERVED_SPECIMEN	Acadia University	ACAD	7700F	7700			CC0_1_0	Acadia University	Harrison, KA			2024-01-25T01:37:12.668Z	StillImage	GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
