gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
694158724	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	27621	Fungi	Basidiomycota	Agaricomycetes	Russulales	Albatrellaceae	Albatrellus	Albatrellus ovinus		SPECIES	Albatrellus ovinus (Schaeff.) Kotl. & Pouzar	Albatrellus ovinus (Schaeff.) Kotl. & Pouzar	(Schaeff.) Kotl. & Pouzar	CA	York River, near Bancroft	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.09535	-77.88861							1984-09-23	23	9	1984	2551823	2551823	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC052370	RF-23.9.3/1984	Fisher, R.W.		CC0_1_0	Royal Ontario Museum	Krasichynski, G.;			2024-01-25T00:59:40.567Z		AMBIGUOUS_INSTITUTION
694157302	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	15810	Fungi	Basidiomycota	Agaricomycetes	Russulales	Albatrellaceae	Albatrellus	Albatrellus ovinus		SPECIES	Albatrellus ovinus (Schaeff.) Kotl. & Pouzar	Albatrellus ovinus (Schaeff.) Kotl. & Pouzar	(Schaeff.) Kotl. & Pouzar	CA	University of Toronto Forest	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.183005	-78.85025	7575.0						1966-09-14	14	9	1966	2551823	2551823	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC044594				CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.676Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694157191	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14941	Fungi	Basidiomycota	Agaricomycetes	Russulales	Albatrellaceae	Albatrellus	Albatrellus ovinus		SPECIES	Albatrellus ovinus (Schaeff.) Kotl. & Pouzar	Albatrellus ovinus (Schaeff.) Kotl. & Pouzar	(Schaeff.) Kotl. & Pouzar	CA	S of Dorset	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.23936	-78.888359	1499.0						1963-09-13	13	9	1963	2551823	2551823	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC040509		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:41.525Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694157188	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14928	Fungi	Basidiomycota	Agaricomycetes	Russulales	Albatrellaceae	Albatrellus	Albatrellus ovinus		SPECIES	Albatrellus ovinus (Schaeff.) Kotl. & Pouzar	Albatrellus ovinus (Schaeff.) Kotl. & Pouzar	(Schaeff.) Kotl. & Pouzar	CA	University of Toronto Forest	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.183005	-78.85025	7575.0						1965-09-15	15	9	1965	2551823	2551823	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC044768		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Parchim, B.			2024-01-25T00:59:41.537Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156898	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13597	Fungi	Basidiomycota	Agaricomycetes	Russulales	Albatrellaceae	Albatrellus	Albatrellus ovinus		SPECIES	Albatrellus ovinus (Schaeff.) Kotl. & Pouzar	Albatrellus ovinus (Schaeff.) Kotl. & Pouzar	(Schaeff.) Kotl. & Pouzar	CA	Algonquin Provincial Park, South Madawaska River, Highland Hiking Trail	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.532808	-78.517055	3507.0						1988-10-01	1	10	1988	2551823	2551823	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC160533	RGT 881001/01	Thorn, R.G.		CC0_1_0	Royal Ontario Museum	Thorn, R.G.			2024-01-25T00:59:41.561Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156892	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13557	Fungi	Basidiomycota	Agaricomycetes	Russulales	Albatrellaceae	Albatrellus	Albatrellus ovinus		SPECIES	Albatrellus ovinus (Schaeff.) Kotl. & Pouzar	Albatrellus ovinus (Schaeff.) Kotl. & Pouzar	(Schaeff.) Kotl. & Pouzar	CA	Algonquin Provincial Park	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.759859	-78.376465	67511.0						2006-09-29	29	9	2006	2551823	2551823	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC151212	CS-01			CC0_1_0	Royal Ontario Museum	Sage, Rowan			2024-01-25T00:59:41.586Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156891	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13556	Fungi	Basidiomycota	Agaricomycetes	Russulales	Albatrellaceae	Albatrellus	Albatrellus ovinus		SPECIES	Albatrellus ovinus (Schaeff.) Kotl. & Pouzar	Albatrellus ovinus (Schaeff.) Kotl. & Pouzar	(Schaeff.) Kotl. & Pouzar	CA	Algonquin Provincial Park	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.759859	-78.376465	67511.0						2006-10-01	1	10	2006	2551823	2551823	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC151173	JC06-8			CC0_1_0	Royal Ontario Museum	Carroll, Justin			2024-01-25T00:59:41.585Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156878	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13516	Fungi	Basidiomycota	Agaricomycetes	Russulales	Albatrellaceae	Albatrellus	Albatrellus ovinus		SPECIES	Albatrellus ovinus (Schaeff.) Kotl. & Pouzar	Albatrellus ovinus (Schaeff.) Kotl. & Pouzar	(Schaeff.) Kotl. & Pouzar	CA	Algonquin Provincial Park, Wildlife Research Station, near necropsy pit	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.590933	-78.521572	283.0						1988-10-01	1	10	1988	2551823	2551823	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC160532	RGT 881001/20	Thorn, R.G.		CC0_1_0	Royal Ontario Museum	Untereiner, W.A.			2024-01-25T00:59:41.109Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156851	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13263	Fungi	Basidiomycota	Agaricomycetes	Russulales	Albatrellaceae	Albatrellus	Albatrellus ovinus		SPECIES	Albatrellus ovinus (Schaeff.) Kotl. & Pouzar	Albatrellus ovinus (Schaeff.) Kotl. & Pouzar	(Schaeff.) Kotl. & Pouzar	CA	Algonquin Provincial Park, Opeongo Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.698027	-78.369598	8499.0						1954-09-20	20	9	1954	2551823	2551823	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC033304		Lowe, J.L.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.873Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156850	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13260	Fungi	Basidiomycota	Agaricomycetes	Russulales	Albatrellaceae	Albatrellus	Albatrellus ovinus		SPECIES	Albatrellus ovinus (Schaeff.) Kotl. & Pouzar	Albatrellus ovinus (Schaeff.) Kotl. & Pouzar	(Schaeff.) Kotl. & Pouzar	CA	Algonquin Provincial Park, Sproule Lake Portage	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.634026	-78.369083	1347.0						1954-09-17	17	9	1954	2551823	2551823	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC033291		Lowe, J.L.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.870Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
