gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4908505440,2021-07-31T14:41:55,2021,Québec,Amanita brunnescens,https://www.inaturalist.org/observations/89360542,POINT (-71.701424 45.363331),21E,-71.7010777695165,45.3621341597719,"-251138,65+157411,10",,,,,M,2,VIN,A,1A,40.0,MR,75.0,18,VIN,"{'TO': 0.4, 'SB': 0.2, 'EB': 0.1, 'EO': 0.2, 'BJ': 0.1}",0.0012459141540707732,5,1.4708084763221112,[4.6541667],[10.641666],[26.018745],[1086.827],[24.5],[-16.4],[40.9],[17.5],[-8.133333],[17.5],[-9.383333],[1133.],[130.],[63.],[20.334227],[358.],[213.],[358.],[232.]
2988455406,2019-08-24T10:36,2019,Québec,Amanita brunnescens,https://www.inaturalist.org/observations/38805026,POINT (-71.1695 45.8215),21E,-71.1691945990486,45.8221141048857,"-207453,29+206848,77",,,,,M,2,JIN,B,1A,40.0,MF,85.0,18,JIN,"{'EO': 0.3, 'BP': 0.2, 'PE': 0.1, 'SB': 0.3, 'EU': 0.1}",0.0006858531561187534,5,1.5047882836811908,[4.133333],[10.133333],[24.836601],[1097.7277],[23.9],[-16.9],[40.8],[17.15],[-4.016667],[17.15],[-9.966667],[1121.],[131.],[68.],[19.615238],[355.],[217.],[355.],[238.]
4909247132,2023-07-17T13:37:47,2023,Québec,Amanita brunnescens,https://www.inaturalist.org/observations/173448292,POINT (-71.105789 46.828674),21L,-71.1058593258902,46.8297578077778,"-198530,68+318523,09",,,,,F,2,JIN,C,8AY,30.0,F,85.0,18,JIN,"{'ES': 0.5, 'CR': 0.2, 'EO': 0.1, 'FR': 0.1, 'FT': 0.1}",0.0010860870269265533,5,1.3592367006650063,[4.383333],[10.099999],[23.820755],[1147.1375],[25.],[-17.4],[42.4],[16.983334],[-9.283333],[17.916666],[-10.383333],[1201.],[131.],[64.],[22.13092],[372.],[210.],[365.],[235.]
4165799053,2023-07-22T14:39:35,2023,Québec,Amanita brunnescens,https://www.inaturalist.org/observations/174397740,POINT (-71.397126 46.739936),21L,-71.3981104841412,46.7402321978722,"-221114,41+309456,07",,,,,M,2,JIN,B,2A,20.0,MF,85.0,20,JIN,"{'EO': 0.3, 'FT': 0.2, 'PE': 0.2, 'PB': 0.1, 'PU': 0.1, 'SB': 0.1}",0.0010280769444792287,6,1.6957425341696346,[4.508333],[9.95],[23.634205],[1148.2651],[25.2],[-16.9],[42.1],[17.15],[-4.116667],[18.1],[-10.216666],[1191.],[126.],[68.],[17.63551],[359.],[229.],[352.],[252.]
2862549489,2020-08-03,2020,Québec,Amanita brunnescens,https://www.inaturalist.org/observations/56985604,POINT (-71.322206 46.757733),21L,-71.3232788534239,46.7576620400993,"-215323,09+311163,77",,,,,F,1,VIN,A,5S,20.0,F,85.0,22,VIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'RX': 0.1}",0.0010751975524040088,4,1.2798542258336674,[4.7166667],[9.983334],[23.380173],[1165.224],[25.8],[-16.9],[42.699997],[17.533333],[-9.033333],[18.633333],[-10.183333],[1232.],[130.],[70.],[16.618198],[368.],[246.],[363.],[258.]
2826321422,2020-07-27T18:30:03,2020,Québec,Amanita brunnescens,https://www.inaturalist.org/observations/54589316,POINT (-71.322031 46.757762),21L,-71.3232788534239,46.7576620400993,"-215323,09+311163,77",,,,,F,1,VIN,A,5S,20.0,F,85.0,22,VIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'RX': 0.1}",0.0012518506896990408,4,1.2798542258336674,[4.7166667],[9.983334],[23.380173],[1165.224],[25.8],[-16.9],[42.699997],[17.533333],[-9.033333],[18.633333],[-10.183333],[1232.],[130.],[70.],[16.618198],[368.],[246.],[363.],[258.]
1135071134,2007-08-01,2007,Québec,Amanita brunnescens,CMMF009660,POINT (-71.307678 46.86201),21L,-71.3127227204637,46.8632652548053,"-214060,31+322843,05",,,,,M,3,JIR,A,5A,40.0,MF,35.0,13,JIN,"{'PE': 0.3, 'FN': 0.2, 'FO': 0.2, 'SB': 0.2, 'RX': 0.1}",0.005198544910175754,5,1.5571130980576458,[4.570833],[10.541666],[24.012907],[1191.7623],[26.4],[-17.5],[43.9],[17.533333],[-4.083333],[18.85],[-10.716666],[1288.],[134.],[75.],[16.926382],[385.],[252.],[377.],[271.]
1135071075,2007-08-03,2007,Québec,Amanita brunnescens,CMMF009673,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,18,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",0.00037713547201871704,6,1.6094379124341,[3.3208334],[10.091666],[23.857368],[1144.1997],[23.9],[-18.4],[42.3],[15.833333],[-5.05],[16.866667],[-11.433333],[1369.],[140.],[83.],[15.337091],[400.],[271.],[394.],[299.]
1135070224,2006-07-22,2006,Québec,Amanita brunnescens,CMMF008774,POINT (-71.307678 46.86201),21L,-71.3127227204637,46.8632652548053,"-214060,31+322843,05",,,,,M,3,JIR,A,5A,40.0,MF,35.0,13,JIN,"{'PE': 0.3, 'FN': 0.2, 'FO': 0.2, 'SB': 0.2, 'RX': 0.1}",0.005198544910175754,5,1.5571130980576458,[4.570833],[10.541666],[24.012907],[1191.7623],[26.4],[-17.5],[43.9],[17.533333],[-4.083333],[18.85],[-10.716666],[1288.],[134.],[75.],[16.926382],[385.],[252.],[377.],[271.]
1135070193,2006-07-18,2006,Québec,Amanita brunnescens,CMMF008757,POINT (-71.300041 46.949694),21L,-71.299219087451,46.9489125306201,"-212684,40+332223,99",,,CP,,R,3,5090,A,1A,40.0,R,55.0,15,50,"{'SB': 0.5, 'EP': 0.2, 'EN': 0.1, 'EO': 0.1, 'FI': 0.1}",0.001134122846048094,5,1.3592367006650063,[3.45],[10.05],[23.871735],[1141.8864],[23.9],[-18.2],[42.1],[15.95],[-4.8999996],[16.933332],[-11.283333],[1356.],[139.],[82.],[15.606775],[397.],[268.],[391.],[294.]
