gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4952427341,2024-09-23T15:16:38,2024,Québec,Amanita citrina,https://www.inaturalist.org/observations/243892902,POINT (-71.387917 46.741786),21L,-71.3888981648346,46.7423729381857,"-220393,13+309665,75",,,,,F,1,VIN,A,5S,20.0,F,85.0,22,VIN,"{'ES': 0.4, 'FT': 0.3, 'BJ': 0.1, 'EO': 0.1, 'PE': 0.1}",0.0011433201067471272,5,1.4184836619456564,[4.445833],[9.975],[23.63744],[1151.9716],[25.2],[-17.],[42.2],[17.133333],[-9.216666],[18.1],[-10.333333],[1217.],[127.],[70.],[16.6143],[365.],[241.],[356.],[258.]
4018169440,2021-10-12T13:41,2021,Québec,Amanita citrina,https://www.inaturalist.org/observations/98212593,POINT (-71.334724 46.776306),21L,-71.3344833594361,46.7753239095356,"-216100,43+313156,60",,,,,M,3,VIN,A,5A,40.0,MF,85.0,16,VIN,"{'EO': 0.3, 'FT': 0.2, 'FO': 0.1, 'PU': 0.2, 'EU': 0.1, 'SB': 0.1}",0.0010111427007344232,6,1.6957425341696346,[4.9666667],[10.233334],[23.57911],[1184.3474],[26.5],[-16.9],[43.4],[17.883333],[-9.],[19.1],[-10.216666],[1221.],[128.],[69.],[16.837137],[365.],[246.],[357.],[251.]
2862500197,2020-09-06,2020,Québec,Amanita citrina,https://www.inaturalist.org/observations/58951304,POINT (-71.081791 46.893841),21L,-71.0818119084592,46.8933082755137,"-196373,07+325514,18",,,,,M,2,JIN,A,5S,21.0,MF,75.0,18,JIN,"{'EO': 0.3, 'BP': 0.2, 'BJ': 0.1, 'PE': 0.1, 'PU': 0.2, 'SB': 0.1}",0.0005331346377564293,6,1.6957425341696346,[4.3125],[9.891666],[23.607798],[1141.5562],[24.6],[-17.3],[41.9],[16.85],[-9.316667],[17.783333],[-10.366667],[1240.],[135.],[66.],[22.153692],[381.],[215.],[374.],[239.]
2862330343,2019-08-31T15:24,2019,Québec,Amanita citrina,https://www.inaturalist.org/observations/32086451,POINT (-71.320352 46.755567),21L,-71.3205404941924,46.7554216724348,"-215149,43+310859,10",,,,,M,2,VIN,A,5S,20.0,MF,85.0,20,VIN,"{'ES': 0.3, 'EO': 0.2, 'FT': 0.2, 'PB': 0.1, 'RX': 0.1, 'SB': 0.1}",0.00023801294455460777,6,1.6957425341696346,[4.7166667],[9.983334],[23.380173],[1165.224],[25.8],[-16.9],[42.699997],[17.533333],[-9.033333],[18.633333],[-10.183333],[1232.],[130.],[70.],[16.618198],[368.],[246.],[363.],[258.]
2574078281,2019-09-27,2019,Québec,Amanita citrina,https://www.inaturalist.org/observations/33503658,POINT (-71.324101 46.755013),21L,-71.3236001781205,46.7561071579191,"-215356,29+310991,12",,,,,M,2,VIN,A,5S,30.0,MR,75.0,18,VIN,"{'EN': 0.3, 'SB': 0.2, 'RX': 0.1, 'EO': 0.2, 'BJ': 0.1, 'FT': 0.1}",0.0012033304229969583,6,1.6957425341696346,[4.7166667],[9.983334],[23.380173],[1165.224],[25.8],[-16.9],[42.699997],[17.533333],[-9.033333],[18.633333],[-10.183333],[1232.],[130.],[70.],[16.618198],[368.],[246.],[363.],[258.]
1135070554,2006-09-03,2006,Québec,Amanita citrina,CMMF009113,POINT (-71.322285 46.91969),21L,-71.3209749033067,46.9200423170217,"-214375,06+329081,08",,,EC,2003.0,R,2,JIR,A,2BE,40.0,R,65.0,17,JIN,"{'EP': 0.4, 'SB': 0.4, 'ML': 0.1, 'EO': 0.1}",0.0013566431474561604,4,1.193549604098133,[3.7583332],[10.233334],[23.853924],[1163.6636],[24.8],[-18.1],[42.9],[16.466667],[-4.733333],[17.6],[-11.216666],[1334.],[137.],[80.],[16.411882],[394.],[258.],[385.],[290.]
4952635133,2024-09-28T13:06,2024,Québec,Amanita citrina,https://www.inaturalist.org/observations/245130187,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,27,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",0.0008042447836569114,5,1.4184836619456564,[4.0375],[11.091666],[25.151173],[1166.8082],[25.3],[-18.8],[44.1],[16.733334],[-9.983334],[17.583332],[-11.083333],[926.],[92.],[54.],[15.475691],[266.],[184.],[264.],[189.]
4945821437,2024-09-09T11:05:07,2024,Québec,Amanita citrina,https://www.inaturalist.org/observations/240819242,POINT (-76.439359 45.844126),31F,-76.4377078346493,45.8463074890483,"-615514,93+239846,67",P,,CP,,R,1,50,A,2BE,20.0,R,65.0,22,50,"{'PB': 0.9, 'PR': 0.1}",0.0027359169364534,2,0.3250829733914482,[4.1041665],[11.058333],[25.132576],[1166.988],[25.3],[-18.7],[44.],[16.8],[-9.933333],[17.65],[-11.016666],[911.],[91.],[53.],[15.908126],[262.],[178.],[260.],[187.]
617555501,1989-09-24,1989,Québec,Amanita citrina,CMMF000838,POINT (-74.292134 45.664878),31G,-74.2890463382539,45.6656010935744,"-450978,15+203798,18",,,,,M,2,VIR,C,5S,20.0,MR,75.0,21,VIN,"{'PB': 0.5, 'SE': 0.1, 'EO': 0.2, 'FT': 0.2}",0.0031712015665540804,4,1.2206072645530175,[5.325],[10.483334],[24.493769],[1159.264],[26.1],[-16.7],[42.800003],[7.7666664],[-8.516666],[18.9],[-9.683333],[1088.],[109.],[65.],[16.162956],[309.],[213.],[306.],[232.]
617553682,1988-09-21,1988,Québec,Amanita citrina,CMMF000371,POINT (-74.292134 45.664878),31G,-74.2890463382539,45.6656010935744,"-450978,15+203798,18",,,,,M,2,VIR,C,5S,20.0,MR,75.0,21,VIN,"{'PB': 0.5, 'SE': 0.1, 'EO': 0.2, 'FT': 0.2}",0.0031712015665540804,4,1.2206072645530175,[5.325],[10.483334],[24.493769],[1159.264],[26.1],[-16.7],[42.800003],[7.7666664],[-8.516666],[18.9],[-9.683333],[1088.],[109.],[65.],[16.162956],[309.],[213.],[306.],[232.]
