gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
617555103,1989-08-23,1989.0,Québec,Amanita flavoconia,CMMF000659,POINT (-71.672847 45.105574),21E,-71.6756081066638,45.1075067963072,"-250319,30+129022,60",P,,,,R,4,10,C,1A,30.0,R,85.0,8,10,{'RZ': 1.0},0.0033703726164918592,1,-0.0,[4.125],[10.75],[26.54321],[1073.572],[23.8],[-16.7],[40.5],[16.85],[-8.5],[16.85],[-9.650001],[1171.],[132.],[68.],[19.422709],[369.],[225.],[369.],[243.]
617549993,1988-08-21,1988.0,Québec,Amanita flavoconia,CMMF000208,POINT (-71.672847 45.105574),21E,-71.6756081066638,45.1075067963072,"-250319,30+129022,60",P,,,,R,4,10,C,1A,30.0,R,85.0,8,10,{'RZ': 1.0},0.0033703726164918592,1,-0.0,[4.125],[10.75],[26.54321],[1073.572],[23.8],[-16.7],[40.5],[16.85],[-8.5],[16.85],[-9.650001],[1171.],[132.],[68.],[19.422709],[369.],[225.],[369.],[243.]
4994170933,2024-09-08T15:42,2024.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/254151295,POINT (-71.910897 45.379244),21E,-71.9124210972645,45.3801249922266,"-267507,19+160111,46",,,,,F,2,JIN,D,1AM,20.0,F,95.0,18,JIN,"{'ES': 0.4, 'FT': 0.2, 'HG': 0.2, 'EO': 0.1, 'FI': 0.1}",0.001760403298952302,5,1.4708084763221112,[5.3375],[10.591667],[25.645683],[1108.683],[25.4],[-15.9],[41.3],[18.433332],[-7.7666664],[18.433332],[-8.95],[1090.],[130.],[54.],[25.59598],[360.],[183.],[360.],[200.]
4923577386,2024-07-12T08:32,2024.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/234040133,POINT (-71.8804 45.403027),21E,-71.8844115636558,45.3976935106146,"-265236,16+162036,74",,,,,F,2,VIR,D,3AN,40.0,F,75.0,21,VIN,"{'EO': 0.4, 'PA': 0.4, 'OR': 0.2}",0.006673735984347744,3,1.0549201679861442,[5.633333],[10.933333],[26.1563],[1109.4252],[25.9],[-15.9],[41.8],[18.733334],[-7.5166664],[18.733334],[-8.683333],[1056.],[125.],[51.],[25.451136],[350.],[175.],[350.],[190.]
4165428293,2023-07-20T06:53:56,2023.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/173921415,POINT (-71.995144 45.577185),21E,-71.9958224440115,45.5782241973158,"-273083,42+182419,75",,,,,F,3,30,B,1A,40.0,F,55.0,16,30,"{'EO': 0.4, 'BG': 0.2, 'PE': 0.2, 'BJ': 0.1, 'FH': 0.1}",0.0012410549294449833,5,1.4708084763221112,[5.0041666],[10.591667],[25.583736],[1109.9763],[25.],[-16.4],[41.4],[18.066668],[-8.333333],[18.066668],[-9.283333],[1144.],[129.],[59.],[22.326933],[368.],[204.],[368.],[225.]
3109188401,2008-07-12T12:06,2008.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/61399716,POINT (-71.167063 45.814033),21E,-71.1669009200081,45.8142930235641,"-207308,83+205976,57",,,,,F,2,VIN,B,1A,30.0,F,75.0,19,VIN,"{'ES': 0.4, 'BJ': 0.2, 'EO': 0.2, 'FT': 0.1, 'PE': 0.1}",0.0003064019870329017,5,1.4708084763221112,[4.125],[10.116667],[24.856676],[1096.8706],[23.8],[-16.9],[40.699997],[17.133333],[-4.016667],[17.133333],[-9.966667],[1121.],[131.],[68.],[20.006458],[356.],[214.],[356.],[238.]
2873821438,2008-07-12T12:06,2008.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/61399715,POINT (-71.167063 45.814033),21E,-71.1669009200081,45.8142930235641,"-207308,83+205976,57",,,,,F,2,VIN,B,1A,30.0,F,75.0,19,VIN,"{'ES': 0.4, 'BJ': 0.2, 'EO': 0.2, 'FT': 0.1, 'PE': 0.1}",0.0003064019870329017,5,1.4708084763221112,[4.125],[10.116667],[24.856676],[1096.8706],[23.8],[-16.9],[40.699997],[17.133333],[-4.016667],[17.133333],[-9.966667],[1121.],[131.],[68.],[20.006458],[356.],[214.],[356.],[238.]
4936558009,2018-08-09T13:26:09,2018.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/15340685,POINT (-71.358658 46.856567),21L,-71.3589821114588,46.8570945271229,"-217697,15+322316,09",,,,,F,2,JIR,B,5S,20.0,F,75.0,17,JIN,"{'ES': 0.4, 'EO': 0.3, 'FT': 0.2, 'FI': 0.1}",0.0006191390014491777,4,1.2798542258336674,[4.3125],[10.358334],[23.867126],[1180.4567],[25.8],[-17.6],[43.4],[17.183332],[-9.55],[18.416666],[-10.816667],[1304.],[135.],[76.],[15.660804],[386.],[261.],[378.],[275.]
4921738104,2024-08-04T08:48,2024.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/233857514,POINT (-71.10989 46.941234),21L,-71.1109982653496,46.9411451132634,"-198422,56+330970,33",,,,,M,2,VIN,C,1A,40.0,MF,85.0,18,VIN,"{'BJ': 0.4, 'EO': 0.2, 'ES': 0.1, 'SB': 0.2, 'RX': 0.1}",0.0011118241484461755,5,1.4708084763221112,[3.7124999],[9.825],[23.561152],[1132.9911],[23.9],[-17.8],[41.699997],[16.183332],[-9.733334],[17.083334],[-10.883333],[1303.],[137.],[76.],[17.79503],[387.],[249.],[383.],[270.]
4596823501,2023-09-26T14:08:54,2023.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/193081043,POINT (-71.424337 46.882047),21L,-71.4226032826264,46.8824512557177,"-222331,98+325231,55",,,,,M,2,JIR,A,1A,30.0,MF,75.0,18,JIN,"{'EO': 0.4, 'BJ': 0.1, 'FI': 0.1, 'SB': 0.3, 'EB': 0.1}",0.001780224316428163,5,1.4184836619456564,[3.7875],[10.108334],[23.672913],[1162.4271],[24.7],[-18.],[42.7],[16.5],[-4.75],[17.6],[-11.166667],[1310.],[137.],[78.],[16.825974],[389.],[251.],[381.],[285.]
4535942722,2023-08-06,2023.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/200812353,POINT (-71.216476 46.911887),21L,-71.2168245794642,46.9111869260586,"-206561,11+327874,70",,,,,F,1,VIN,C,1A,30.0,F,75.0,22,VIN,"{'HG': 0.5, 'EO': 0.2, 'ES': 0.2, 'SB': 0.1}",0.0007820557309386459,4,1.2206072645530173,[3.8875],[10.241667],[23.87335],[1162.8964],[24.9],[-18.],[42.9],[16.6],[-9.783334],[17.75],[-11.05],[1330.],[138.],[79.],[15.944893],[390.],[263.],[386.],[284.]
4527972243,2023-07-23T17:25,2023.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/195209444,POINT (-71.380417 46.235964),21L,-71.3808859691328,46.2358261019971,"-222049,71+253428,18",,,,,F,2,JIN,A,3AN,30.0,F,75.0,18,JIN,"{'BJ': 0.2, 'EO': 0.2, 'ES': 0.2, 'FO': 0.2, 'PE': 0.1, 'SE': 0.1}",0.0004888229809804206,6,1.7480673485460894,[3.7125],[9.908334],[24.049353],[1122.3031],[23.5],[-17.7],[41.2],[16.85],[-4.883333],[16.85],[-10.733334],[1235.],[129.],[75.],[16.725464],[379.],[244.],[379.],[273.]
4465766484,2023-10-02,2023.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/193481035,POINT (-71.229363 46.912293),21L,-71.2300431563054,46.9122546066695,"-207559,90+328029,91",,,,,F,3,JIN,B,1A,30.0,F,85.0,16,JIN,"{'BJ': 0.3, 'BP': 0.2, 'EO': 0.2, 'ES': 0.1, 'HG': 0.1, 'SE': 0.1}",0.0006812390531907004,6,1.6957425341696346,[3.7583334],[10.283334],[23.859241],[1167.8492],[24.9],[-18.2],[43.1],[16.533333],[-4.7833333],[17.683332],[-11.233334],[1353.],[139.],[83.],[14.542984],[393.],[273.],[389.],[295.]
4165820937,2023-07-22T14:36:18,2023.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/174397996,POINT (-71.398009 46.739753),21L,-71.3981104841412,46.7402321978722,"-221114,41+309456,07",,,,,M,2,JIN,B,2A,20.0,MF,85.0,20,JIN,"{'EO': 0.3, 'FT': 0.2, 'PE': 0.2, 'PB': 0.1, 'PU': 0.1, 'SB': 0.1}",0.0004898261238827177,6,1.6957425341696346,[4.508333],[9.95],[23.634205],[1148.2651],[25.2],[-16.9],[42.1],[17.15],[-4.116667],[18.1],[-10.216666],[1191.],[126.],[68.],[17.63551],[359.],[229.],[352.],[252.]
4161980807,2023-07-16T12:58:34,2023.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/173292946,POINT (-71.397061 46.740904),21L,-71.396238869904,46.7416226436324,"-220960,63+309603,85",,,,,M,1,VIN,C,2A,20.0,MF,85.0,22,VIN,"{'FT': 0.3, 'ER': 0.2, 'PE': 0.1, 'PU': 0.3, 'PB': 0.1}",0.0010919462281304914,5,1.5047882836811908,[4.508333],[9.95],[23.634205],[1148.2651],[25.2],[-16.9],[42.1],[17.15],[-4.116667],[18.1],[-10.216666],[1191.],[126.],[68.],[17.63551],[359.],[229.],[352.],[252.]
4133891450,2015-09-10T13:21,2015.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/153585944,POINT (-71.270143 46.784414),21L,-71.2720105484705,46.784168672611,"-211298,92+313945,42",,,,,F,2,JIR,A,1A,30.0,F,75.0,20,JIN,"{'EO': 0.4, 'ES': 0.3, 'FT': 0.2, 'FI': 0.1}",0.001883593060471962,4,1.2798542258336674,[5.0958333],[10.408333],[23.601662],[1202.7251],[27.2],[-16.9],[44.1],[18.216667],[-8.966666],[19.633333],[-10.216666],[1253.],[133.],[71.],[16.758148],[375.],[252.],[370.],[258.]
4029230622,2022-06-29,2022.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/148246427,POINT (-71.342994 46.831279),21L,-71.3437732690087,46.8296029826234,"-216568,57+319205,13",,,,,F,3,50,A,5A,30.0,F,85.0,16,50,"{'PE': 0.5, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1}",0.001848322059214283,4,1.1682824501765625,[4.7541666],[10.358334],[23.757645],[1186.9718],[26.4],[-17.2],[43.6],[17.683334],[-9.2],[18.933334],[-10.466667],[1259.],[131.],[71.],[16.795238],[377.],[250.],[370.],[260.]
4018285741,2022-08-29,2022.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/144877567,POINT (-71.228696 46.912242),21L,-71.2282203646784,46.9132896642277,"-207408,11+328118,32",,,,,M,2,VIR,C,1A,30.0,MR,75.0,18,VIN,"{'SB': 0.4, 'EP': 0.3, 'EO': 0.2, 'BP': 0.1}",0.0011505778083838042,4,1.2798542258336674,[3.7583334],[10.283334],[23.859241],[1167.8492],[24.9],[-18.2],[43.1],[16.533333],[-4.7833333],[17.683332],[-11.233334],[1353.],[139.],[83.],[14.542984],[393.],[273.],[389.],[295.]
3698101869,2021-08-05,2021.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/107177575,POINT (-71.335507 46.791302),21L,-71.3352892601203,46.7924775535717,"-216094,99+315056,15",,,,,R,3,JIR,A,5A,50.0,R,75.0,14,70,"{'ML': 0.6, 'EN': 0.2, 'RX': 0.1, 'BP': 0.1}",0.0011955487673641287,4,1.0888999753452235,[4.979167],[10.258333],[23.636713],[1184.7295],[26.5],[-16.9],[43.4],[17.9],[-9.],[19.1],[-10.216666],[1225.],[129.],[68.],[17.458946],[369.],[243.],[360.],[250.]
3337663590,2021-08-10T13:02:20,2021.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/90700840,POINT (-70.137894 46.909112),21L,-70.137306391087,46.9107942879037,"-124507,86+325332,76",,,,,M,3,JIR,C,1AY,30.0,MM,75.0,12,JIN,"{'EU': 0.3, 'SB': 0.2, 'BP': 0.2, 'EO': 0.2, 'FX': 0.1}",0.0017819587047895682,5,1.5571130980576458,[2.3833334],[9.933333],[23.935743],[1126.3241],[22.7],[-18.8],[41.5],[15.85],[-10.733334],[15.85],[-12.033333],[1213.],[127.],[77.],[14.448162],[357.],[251.],[357.],[265.]
3097357619,2020-07-28T11:52,2020.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/74843326,POINT (-71.270143 46.784414),21L,-71.2720105484705,46.784168672611,"-211298,92+313945,42",,,,,F,2,JIR,A,1A,30.0,F,75.0,20,JIN,"{'EO': 0.4, 'ES': 0.3, 'FT': 0.2, 'FI': 0.1}",0.001883593060471962,4,1.2798542258336674,[5.0958333],[10.408333],[23.601662],[1202.7251],[27.2],[-16.9],[44.1],[18.216667],[-8.966666],[19.633333],[-10.216666],[1253.],[133.],[71.],[16.758148],[375.],[252.],[370.],[258.]
3031619849,2020-07-26T13:27,2020.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/54477841,POINT (-70.840138 46.447272),21L,-70.840077993044,46.4454159513938,"-179622,34+275183,28",,,,,M,3,50,A,1A,40.0,MR,85.0,16,50,"{'SB': 0.5, 'EB': 0.1, 'TO': 0.1, 'EO': 0.2, 'BP': 0.1}",0.001857018379915604,5,1.3592367006650063,[2.9416666],[10.166667],[24.20635],[1133.2372],[23.3],[-18.7],[42.],[16.366667],[-5.4],[16.366667],[-11.6],[1186.],[133.],[64.],[22.376959],[380.],[213.],[380.],[235.]
2856694920,2020-08-22,2020.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/57327488,POINT (-71.323581 46.75755),21L,-71.3232788534239,46.7576620400993,"-215323,09+311163,77",,,,,F,1,VIN,A,5S,20.0,F,85.0,22,VIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'RX': 0.1}",0.0003222507366965353,4,1.2798542258336674,[4.7166667],[9.983334],[23.380173],[1165.224],[25.8],[-16.9],[42.699997],[17.533333],[-9.033333],[18.633333],[-10.183333],[1232.],[130.],[70.],[16.618198],[368.],[246.],[363.],[258.]
2826464419,2020-07-27T19:40:35,2020.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/54589736,POINT (-71.320742 46.755318),21L,-71.3205404941924,46.7554216724348,"-215149,43+310859,10",,,,,M,2,VIN,A,5S,20.0,MF,85.0,20,VIN,"{'ES': 0.3, 'EO': 0.2, 'FT': 0.2, 'PB': 0.1, 'RX': 0.1, 'SB': 0.1}",0.0002266110417244241,6,1.6957425341696346,[4.7166667],[9.983334],[23.380173],[1165.224],[25.8],[-16.9],[42.699997],[17.533333],[-9.033333],[18.633333],[-10.183333],[1232.],[130.],[70.],[16.618198],[368.],[246.],[363.],[258.]
1135071152,2007-08-07,2007.0,Québec,Amanita flavoconia,CMMF009692,POINT (-71.312257 46.907478),21L,-71.3130161072813,46.9059506537654,"-213823,34+327509,31",,,,,M,3,30,C,1A,30.0,MM,55.0,12,30,"{'SB': 0.4, 'EB': 0.1, 'EO': 0.3, 'FX': 0.1, 'PE': 0.1}",0.0017055879880125556,5,1.4184836619456564,[4.0041666],[10.308333],[23.806774],[1172.5466],[25.3],[-18.],[43.3],[16.8],[-4.5333333],[17.983334],[-11.066667],[1333.],[137.],[79.],[16.173788],[395.],[263.],[385.],[285.]
1135071108,2007-08-04,2007.0,Québec,Amanita flavoconia,CMMF009684,POINT (-71.266801 46.898375),21L,-71.2669786581791,46.8994870781396,"-210425,07+326724,84",,,,,F,2,JIN,C,1A,30.0,F,85.0,18,JIN,"{'EO': 0.3, 'ES': 0.3, 'HG': 0.3, 'FI': 0.1}",0.0011261794782244283,4,1.313834033192747,[4.1083336],[10.416667],[23.891438],[1180.5638],[25.7],[-17.9],[43.6],[16.983334],[-9.716666],[18.266666],[-11.016666],[1336.],[137.],[81.],[14.873437],[391.],[271.],[384.],[288.]
1135071017,2007-07-31,2007.0,Québec,Amanita flavoconia,CMMF009642,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,18,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",0.00037713547201871704,6,1.6094379124341,[3.3208334],[10.091666],[23.857368],[1144.1997],[23.9],[-18.4],[42.3],[15.833333],[-5.05],[16.866667],[-11.433333],[1369.],[140.],[83.],[15.337091],[400.],[271.],[394.],[299.]
1135070197,2006-07-13,2006.0,Québec,Amanita flavoconia,CMMF008748,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,18,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",0.004029905739944569,5,1.4184836619456564,[3.1291666],[10.041667],[23.90873],[1137.7439],[23.5],[-18.5],[42.],[15.599999],[-5.2000003],[16.583334],[-11.533334],[1380.],[141.],[85.],[14.94956],[401.],[274.],[396.],[305.]
1024560005,2010-07-21,2010.0,Québec,Amanita flavoconia,CMMF005469,POINT (-70.445417 46.7689),21L,-70.4436517983886,46.7681740409366,"-148323,24+310120,60",,,CP,,R,3,JIR,B,1A,30.0,R,35.0,12,JIN,"{'EB': 0.6, 'SB': 0.2, 'EU': 0.1, 'FI': 0.1}",0.0019086522183584301,4,1.0888999753452235,[2.75],[9.95],[24.033815],[1122.9932],[22.9],[-18.5],[41.4],[15.016666],[-5.366667],[16.066666],[-11.716667],[1144.],[123.],[70.],[18.144281],[352.],[221.],[343.],[246.]
1024559982,2010-07-21,2010.0,Québec,Amanita flavoconia,CMMF005470,POINT (-70.445417 46.7689),21L,-70.4436517983886,46.7681740409366,"-148323,24+310120,60",,,CP,,R,3,JIR,B,1A,30.0,R,35.0,12,JIN,"{'EB': 0.6, 'SB': 0.2, 'EU': 0.1, 'FI': 0.1}",0.0019086522183584301,4,1.0888999753452235,[2.75],[9.95],[24.033815],[1122.9932],[22.9],[-18.5],[41.4],[15.016666],[-5.366667],[16.066666],[-11.716667],[1144.],[123.],[70.],[18.144281],[352.],[221.],[343.],[246.]
4921482790,2024-07-13T12:52,2024.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/231032259,POINT (-71.359051 47.177934),21M,-71.3581087412462,47.1792721863852,"-216114,30+357994,84",ES,1984.0,,,M,4,30,F,R1A,10.0,MR,85.0,9,30,"{'SB': 0.5, 'EB': 0.1, 'EN': 0.1, 'BP': 0.2, 'FX': 0.1}",0.0016366411826152852,5,1.3592367006650063,[2.05],[10.3],[24.349882],[1136.2878],[22.5],[-19.8],[42.3],[14.5],[-6.116667],[15.516666],[-12.616667],[1474.],[147.],[94.],[14.620387],[418.],[289.],[413.],[338.]
4921481087,2024-08-02T10:25:39,2024.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/233335880,POINT (-71.896667 47.079014),21M,-71.8952892332275,47.0785757060671,"-257251,45+348682,97",,,,,F,2,VIR,A,2BE,30.0,F,75.0,17,VIN,"{'BJ': 0.3, 'EO': 0.3, 'ES': 0.3, 'SB': 0.1}",0.0014458018021162695,4,1.313834033192747,[2.8041666],[10.458333],[24.321705],[1148.4346],[23.3],[-19.7],[43.],[15.333333],[-10.75],[16.216667],[-12.15],[1384.],[152.],[77.],[21.879768],[419.],[243.],[403.],[276.]
4911047064,2024-07-13T11:05,2024.0,Québec,Amanita flavoconia,https://www.inaturalist.org/observations/231032229,POINT (-71.359051 47.177934),21M,-71.3581087412462,47.1792721863852,"-216114,30+357994,84",ES,1984.0,,,M,4,30,F,R1A,10.0,MR,85.0,9,30,"{'SB': 0.5, 'EB': 0.1, 'EN': 0.1, 'BP': 0.2, 'FX': 0.1}",0.0016366411826152852,5,1.3592367006650063,[2.05],[10.3],[24.349882],[1136.2878],[22.5],[-19.8],[42.3],[14.5],[-6.116667],[15.516666],[-12.616667],[1474.],[147.],[94.],[14.620387],[418.],[289.],[413.],[338.]
