gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
694157085	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14266	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita frostiana		SPECIES	Amanita frostiana (Peck) Sacc.	Amanita frostiana Peck	Peck	CA	University of Toronto Forest	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.183005	-78.85025	7575.0						1966-09-14	14	9	1966	8205204	8205204	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC044520				CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.408Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694157069	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14246	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita frostiana		SPECIES	Amanita frostiana (Peck) Sacc.	Amanita frostiana Peck	Peck	CA	University of Toronto Forest	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.183005	-78.85025	7575.0						1965-09-17	17	9	1965	8205204	8205204	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC044761		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.423Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694157068	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14245	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita frostiana		SPECIES	Amanita frostiana (Peck) Sacc.	Amanita frostiana Peck	Peck	CA	Wren Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.184064	-78.866601	790.0						1966-09-17	17	9	1966	8205204	8205204	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC044754				CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.422Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694157067	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14244	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita frostiana		SPECIES	Amanita frostiana (Peck) Sacc.	Amanita frostiana Peck	Peck	CA	University of Toronto Forest	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.183005	-78.85025	7575.0						1965-09-14	14	9	1965	8205204	8205204	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC044756				CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.419Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694157066	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14243	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita frostiana		SPECIES	Amanita frostiana (Peck) Sacc.	Amanita frostiana Peck	Peck	CA	Grindstone Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.19655	-78.87587	692.0						1965-09-17	17	9	1965	8205204	8205204	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC044755				CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.419Z		AMBIGUOUS_INSTITUTION
617554021	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003863	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita frostiana		SPECIES	Amanita frostiana (Peck) Sacc.	Amanita frostiana Peck	Peck	CA	Mascouche	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.76054	-73.608926	5000.0						2004-08-14	14	8	2004	8205204	8205204	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003863		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.525Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617554013	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003860	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita frostiana		SPECIES	Amanita frostiana (Peck) Sacc.	Amanita frostiana Peck	Peck	CA	Saint-Alphonse-Rodriguez	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.183333	-73.7	7500.0						2004-08-14	14	8	2004	8205204	8205204	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003860		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.524Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617549197	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001738	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita frostiana		SPECIES	Amanita frostiana (Peck) Sacc.	Amanita frostiana Peck	Peck	CA	Mascouche	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.76054	-73.608926	5000.0						1992-08-10	10	8	1992	8205204	8205204	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001738		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Sicard, Matthieu			2024-01-24T16:38:17.152Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
5008163763	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/133275051	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita frostiana		SPECIES	Amanita frostiana (Peck) Sacc.	Amanita frostiana		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.607031	-72.136447							2022-08-25T12:59:08	25	8	2022	8205204	8205204	HUMAN_OBSERVATION	iNaturalist	Observations	133275051		amanitamozart	2024-12-13T02:46:44	CC_BY_NC_4_0	Victor Grivegnée-Dumoulin	Victor Grivegnée-Dumoulin			2025-01-14T12:31:59.307Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5007471660	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/255124233	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita frostiana		SPECIES	Amanita frostiana (Peck) Sacc.	Amanita frostiana		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.874324	-76.432934	1183.0						2024-08-30T12:51	30	8	2024	8205204	8205204	HUMAN_OBSERVATION	iNaturalist	Observations	255124233		L Joan Heyding	2024-12-15T00:06:28	CC_BY_NC_4_0	L Joan Heyding	L Joan Heyding			2025-01-14T12:56:42.454Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
