gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617555811	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000975	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita jacksonii		SPECIES	Amanita jacksonii Pomerl.	Amanita jacksonii Pomerl.	Pomerl.	CA	Saint-Joseph-du-Lac	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.534465	-74.013251	5000.0						1990-07-08	8	7	1990	5452395	5452395	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000975		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:21.648Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617552482	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003181	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita jacksonii		SPECIES	Amanita jacksonii Pomerl.	Amanita jacksonii Pomerl.	Pomerl.	CA	Boucherville	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.597683	-73.43011	5500.0						1998-07-02	2	7	1998	5452395	5452395	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003181		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.910Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617551736	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002838	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita jacksonii		SPECIES	Amanita jacksonii Pomerl.	Amanita jacksonii Pomerl.	Pomerl.	CA	Saint-Bruno-de-Montarville	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.526599	-73.344507	5500.0						1996-07-24	24	7	1996	5452395	5452395	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002838		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.634Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617549112	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000170	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita jacksonii		SPECIES	Amanita jacksonii Pomerl.	Amanita jacksonii Pomerl.	Pomerl.	CA	Saint-Joseph-du-Lac	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.534465	-74.013251	5000.0						1988-08-13	13	8	1988	5452395	5452395	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000170		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.571Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617547548	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001014	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita jacksonii		SPECIES	Amanita jacksonii Pomerl.	Amanita jacksonii Pomerl.	Pomerl.	CA	Laval	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.609608	-73.705867	17500.0						1990-07-19	19	7	1990	5452395	5452395	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001014		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.329Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4950235612	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/173594341	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita jacksonii		SPECIES	Amanita jacksonii Pomerl.	Amanita jacksonii		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.324676	-72.189255	168.0						2023-07-17T15:46:29	17	7	2023	5452395	5452395	HUMAN_OBSERVATION	iNaturalist	Observations	173594341		Vincent Desjardins	2023-07-18T14:09:01	CC_BY_NC_4_0	Vincent Desjardins	Vincent Desjardins			2025-01-14T12:39:09.498Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946708918	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/241946793	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita jacksonii		SPECIES	Amanita jacksonii Pomerl.	Amanita jacksonii		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.215112	-72.407995	515.0						2024-09-15T06:05:16	15	9	2024	5452395	5452395	HUMAN_OBSERVATION	iNaturalist	Observations	241946793		jeannecv	2024-09-15T19:57:48	CC_BY_NC_4_0	jeannecv	jeannecv			2025-01-14T13:44:02.775Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946285809	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/240825617	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita jacksonii		SPECIES	Amanita jacksonii Pomerl.	Amanita jacksonii		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.548464	-73.462782	61.0						2024-08-25T11:03	25	8	2024	5452395	5452395	HUMAN_OBSERVATION	iNaturalist	Observations	240825617		Antoine Fortin	2024-09-09T21:09:30	CC_BY_NC_4_0	Antoine Fortin	Antoine Fortin			2025-01-14T12:53:31.926Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946267917	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/240672376	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita jacksonii		SPECIES	Amanita jacksonii Pomerl.	Amanita jacksonii		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.377344	-74.09396	7683.0						2024-09-08T16:38	8	9	2024	5452395	5452395	HUMAN_OBSERVATION	iNaturalist	Observations	240672376		Madz	2024-09-09T00:57:11	CC_BY_NC_4_0	Madz	Madz			2025-01-14T13:37:05.729Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946133632	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/238331599	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita jacksonii		SPECIES	Amanita jacksonii Pomerl.	Amanita jacksonii		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.562273	-75.2717							2024-08-27T15:45	27	8	2024	5452395	5452395	HUMAN_OBSERVATION	iNaturalist	Observations	238331599		jonathan_mack	2024-08-27T23:25:22	CC_BY_NC_4_0	jonathan_mack	jonathan_mack			2025-01-14T13:43:00.846Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
