gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
617553063,1988-08-23,1988,Québec,Amanita porphyria,CMMF000343,POINT (-71.672847 45.105574),21E,-71.6756081066638,45.1075067963072,"-250319,30+129022,60",P,,,,R,4,10,C,1A,30.0,R,85.0,8,10,{'RZ': 1.0},0.0033703726164918592,1,-0.0,[4.125],[10.75],[26.54321],[1073.572],[23.8],[-16.7],[40.5],[16.85],[-8.5],[16.85],[-9.650001],[1171.],[132.],[68.],[19.422709],[369.],[225.],[369.],[243.]
1135070679,2006-09-23,2006,Québec,Amanita porphyria,CMMF009272,POINT (-71.322285 46.91969),21L,-71.3209749033067,46.9200423170217,"-214375,06+329081,08",,,EC,2003.0,R,2,JIR,A,2BE,40.0,R,65.0,17,JIN,"{'EP': 0.4, 'SB': 0.4, 'ML': 0.1, 'EO': 0.1}",0.0013566431474561604,4,1.193549604098133,[3.7583332],[10.233334],[23.853924],[1163.6636],[24.8],[-18.1],[42.9],[16.466667],[-4.733333],[17.6],[-11.216666],[1334.],[137.],[80.],[16.411882],[394.],[258.],[385.],[290.]
1024560040,1976-08-20,1976,Québec,Amanita porphyria,CMMF005505,POINT (-70.128333 46.638667),21L,-70.1274996000133,46.6386660711901,"-124449,93+295117,61",,,,,M,2,JIR,A,1A,30.0,MF,75.0,18,JIN,"{'PE': 0.3, 'BP': 0.2, 'EO': 0.2, 'SB': 0.2, 'EU': 0.1}",0.0008334005042745343,5,1.5571130980576458,[2.5916667],[10.633333],[25.137903],[1127.4283],[23.2],[-19.1],[42.300003],[16.033333],[-5.5333333],[16.033333],[-11.883333],[1212.],[130.],[76.],[16.066036],[368.],[246.],[368.],[272.]
4500525690,2023-10-01T12:13:57,2023,Québec,Amanita porphyria,https://www.inaturalist.org/observations/192880818,POINT (-71.290978 47.330336),21M,-71.2898675281922,47.329018945832,"-210422,58+374293,64",ES,1985.0,,,R,4,30,D,1A,30.0,R,85.0,8,30,"{'SB': 0.8, 'EB': 0.1, 'EN': 0.1}",0.0017227243881017544,3,0.639031859650177,[0.02499999],[10.733334],[24.903326],[1153.7439],[21.1],[-22.],[43.1],[13.983334],[-8.316667],[13.983334],[-14.65],[1609.],[159.],[100.],[14.202713],[447.],[321.],[447.],[396.]
1412703291,1972-08-21,1972,Québec,Amanita porphyria,CMMF011738,POINT (-67.590575 48.434787),22B,-67.5891949349253,48.4355048389969,"+67115,50+493352,34",,,,,F,3,70,B,8A,40.0,F,75.0,16,70,"{'BP': 0.5, 'PE': 0.3, 'FN': 0.1, 'SB': 0.1}",0.0015555939174062366,4,1.1682824501765625,[1.4250001],[9.933333],[23.538706],[1138.2811],[21.9],[-20.3],[42.199997],[15.016666],[-6.983333],[15.016666],[-13.233334],[1145.],[116.],[73.],[13.555181],[322.],[229.],[322.],[264.]
4976556587,2023-10-21T10:14:04,2023,Québec,Amanita porphyria,https://www.inaturalist.org/observations/188717396,POINT (-74.245352 45.661144),31G,-74.2462658512336,45.6616603327294,"-447651,94+203120,54",P,,,,R,1,90,A,5S,20.0,R,85.0,24,90,"{'EV': 0.6, 'PS': 0.4}",0.0010496302037423608,2,0.6730116670092565,[5.2166667],[10.400001],[24.413145],[1154.8088],[25.9],[-16.7],[42.6],[18.75],[-3.2333333],[18.75],[-9.733334],[1069.],[107.],[63.],[16.256067],[302.],[207.],[302.],[230.]
4976275171,2023-09-23T12:34,2023,Québec,Amanita porphyria,https://www.inaturalist.org/observations/185819135,POINT (-74.083574 45.99704),31G,-74.081848790747,45.9964824246555,"-431976,24+239249,93",,,,,F,2,VIN,F,1AY,20.0,F,75.0,21,VIN,"{'BJ': 0.3, 'EO': 0.2, 'ES': 0.2, 'BP': 0.1, 'PU': 0.1, 'RX': 0.1}",0.0018130739729581627,6,1.6957425341696346,[3.6333334],[10.916667],[25.270061],[1152.3381],[24.4],[-18.8],[43.199997],[17.166666],[-10.05],[17.166666],[-11.233333],[1181.],[117.],[75.],[12.60318],[325.],[245.],[325.],[267.]
4431244425,2023-10-14T10:39,2023,Québec,Amanita porphyria,https://www.inaturalist.org/observations/188384964,POINT (-74.246258 45.660204),31G,-74.2462658512336,45.6616603327294,"-447651,94+203120,54",P,,,,R,1,90,A,5S,20.0,R,85.0,24,90,"{'EV': 0.6, 'PS': 0.4}",0.0014563538926312407,2,0.6730116670092565,[5.2166667],[10.400001],[24.413145],[1154.8088],[25.9],[-16.7],[42.6],[18.75],[-3.2333333],[18.75],[-9.733334],[1069.],[107.],[63.],[16.256067],[302.],[207.],[302.],[230.]
2423612996,1986-08-31,1986,Québec,Amanita porphyria,CMMF018860,POINT (-74.005679 45.988108),31G,-74.0064602892429,45.9871286266794,"-426097,89+237816,10",,,,,F,2,VIN,D,1AY,30.0,F,75.0,20,VIN,"{'BP': 0.4, 'EO': 0.2, 'ES': 0.2, 'PE': 0.1, 'SB': 0.1}",0.001252830787520495,5,1.4708084763221112,[3.6958332],[10.358334],[24.25839],[1151.8077],[24.2],[-18.5],[42.7],[17.233334],[-10.05],[17.233334],[-11.1],[1184.],[118.],[73.],[13.1053095],[326.],[242.],[326.],[264.]
1024560081,2005-10-02,2005,Québec,Amanita porphyria,CMMF005502,POINT (-74.241983 45.66275),31G,-74.2394629589227,45.6643448234511,"-447111,50+203370,25",P,,,,R,3,JIR,A,5S,30.0,R,65.0,16,JIN,"{'PS': 0.5, 'PG': 0.3, 'RX': 0.1, 'FX': 0.1}",0.0029822925529661786,4,1.1682824501765625,[5.2166667],[10.400001],[24.413145],[1154.8088],[25.9],[-16.7],[42.6],[18.75],[-3.2333333],[18.75],[-9.733334],[1069.],[107.],[63.],[16.256067],[302.],[207.],[302.],[230.]
