gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
727874841	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13968	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita spreta		SPECIES	Amanita spreta (Peck) Sacc.	Amanita spreta (Peck) Sacc.	(Peck) Sacc.	CA	Algonquin Provincial Park, Wildlife Research Station, the trail that starts above the Cookhouse	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.590933	-78.521572	283.0						2007-09-30	30	9	2007	5452232	5452232	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC156889	ALG07_65			CC0_1_0	Royal Ontario Museum	Didukh, M.; Dentinger, B.			2024-01-25T00:59:38.901Z	StillImage	COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
617554019	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003862	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita spreta		SPECIES	Amanita spreta (Peck) Sacc.	Amanita spreta (Peck) Sacc.	(Peck) Sacc.	CA	Mascouche	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.76054	-73.608926	5000.0						2004-08-14	14	8	2004	5452232	5452232	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003862		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Després, Jean			2024-01-24T16:38:16.526Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617552341	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003116	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita spreta		SPECIES	Amanita spreta (Peck) Sacc.	Amanita spreta (Peck) Sacc.	(Peck) Sacc.	CA	Mirabel	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.659599	-74.064294	18500.0						1997-09-04	4	9	1997	5452232	5452232	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003116		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Després, Jean			2024-01-24T16:38:16.723Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617548349	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001365	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita spreta		SPECIES	Amanita spreta (Peck) Sacc.	Amanita spreta (Peck) Sacc.	(Peck) Sacc.	CA	Mirabel	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.659599	-74.064294	18500.0						1991-08-12	12	8	1991	5452232	5452232	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001365		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Bushey, Louise			2024-01-24T16:38:17.521Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
3911639833	55585622-7aeb-4921-a07c-5ddc97de9c5b	MGYA00523569_Eukaryota:Fungi:Basidiomycota:Agaricomycetes:Agaricales:Amanitaceae:Amanita:Amanita_spreta	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita spreta		SPECIES	Amanita spreta (Peck) Sacc.	Amanita spreta		CA	Varennes		PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880	45.72	-73.37					0.15	0.0					5452232	5452232	MATERIAL_SAMPLE							CC_BY_4_0					2025-01-15T11:18:52.552Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3911610608	55585622-7aeb-4921-a07c-5ddc97de9c5b	MGYA00522968_Eukaryota:Fungi:Basidiomycota:Agaricomycetes:Agaricales:Amanitaceae:Amanita:Amanita_spreta	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita spreta		SPECIES	Amanita spreta (Peck) Sacc.	Amanita spreta		CA	Varennes		PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880	45.72	-73.37					0.15	0.0					5452232	5452232	MATERIAL_SAMPLE							CC_BY_4_0					2025-01-15T11:18:51.681Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3911584200	55585622-7aeb-4921-a07c-5ddc97de9c5b	MGYA00578646_Eukaryota:Fungi:Basidiomycota:Agaricomycetes:Agaricales:Amanitaceae:Amanita:Amanita_spreta	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita spreta		SPECIES	Amanita spreta (Peck) Sacc.	Amanita spreta		CA	Varennes		PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880	45.72	-73.37					0.15	0.0					5452232	5452232	MATERIAL_SAMPLE							CC_BY_4_0					2025-01-15T11:18:51.274Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3911565104	55585622-7aeb-4921-a07c-5ddc97de9c5b	MGYA00578586_Eukaryota:Fungi:Basidiomycota:Agaricomycetes:Agaricales:Amanitaceae:Amanita:Amanita_spreta	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita spreta		SPECIES	Amanita spreta (Peck) Sacc.	Amanita spreta		CA	Varennes		PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880	45.72	-73.37					0.15	0.0					5452232	5452232	MATERIAL_SAMPLE							CC_BY_4_0					2025-01-15T11:18:50.977Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3911535444	55585622-7aeb-4921-a07c-5ddc97de9c5b	MGYA00524963_Eukaryota:Fungi:Basidiomycota:Agaricomycetes:Agaricales:Amanitaceae:Amanita:Amanita_spreta	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita spreta		SPECIES	Amanita spreta (Peck) Sacc.	Amanita spreta		CA	Varennes		PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880	45.72	-73.37					0.15	0.0					5452232	5452232	MATERIAL_SAMPLE							CC_BY_4_0					2025-01-15T11:18:50.506Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3911507837	55585622-7aeb-4921-a07c-5ddc97de9c5b	MGYA00523070_Eukaryota:Fungi:Basidiomycota:Agaricomycetes:Agaricales:Amanitaceae:Amanita:Amanita_spreta	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita spreta		SPECIES	Amanita spreta (Peck) Sacc.	Amanita spreta		CA	Varennes		PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880	45.72	-73.37					0.15	0.0					5452232	5452232	MATERIAL_SAMPLE							CC_BY_4_0					2025-01-15T11:18:49.285Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
