gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
727874923	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14134	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Antrodiella	Antrodiella semisupina		SPECIES	Antrodiella semisupina (Berk. & M.A.Curtis) Ryvarden	Antrodiella semisupina (Berk. & M.A. Curtis) Ryvarden	(Berk. & M.A. Curtis) Ryvarden	CA	Algonquin Provincial Park, South Hardwood Lookout Trail	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.625083	-78.41732	5286.0						1983-10-16	16	10	1983	2541957	2541957	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC162330	831016/08	Thorn, R.G.		CC0_1_0	Royal Ontario Museum	Thorn, R.G.			2024-01-25T00:59:40.274Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694158066	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	20527	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Antrodiella	Antrodiella semisupina		SPECIES	Antrodiella semisupina (Berk. & M.A.Curtis) Ryvarden	Antrodiella semisupina (Berk. & M.A. Curtis) Ryvarden	(Berk. & M.A. Curtis) Ryvarden	CA	Wren Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.184064	-78.866601	790.0						1965-09-16	16	9	1965	2541957	2541957	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC043229		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Haber, E.;			2024-01-25T00:59:40.923Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694157256	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	15454	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Antrodiella	Antrodiella semisupina		SPECIES	Antrodiella semisupina (Berk. & M.A.Curtis) Ryvarden	Antrodiella semisupina (Berk. & M.A. Curtis) Ryvarden	(Berk. & M.A. Curtis) Ryvarden	CA	University of Toronto Forest	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.183005	-78.85025	7575.0						1967-09-14	14	9	1967	2541957	2541957	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC050230		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.287Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694157160	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14756	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Antrodiella	Antrodiella semisupina		SPECIES	Antrodiella semisupina (Berk. & M.A.Curtis) Ryvarden	Antrodiella semisupina (Berk. & M.A. Curtis) Ryvarden	(Berk. & M.A. Curtis) Ryvarden	CA	Grindstone Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.19655	-78.87587	692.0						1965-09-17	17	9	1965	2541957	2541957	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC042972		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:41.148Z		AMBIGUOUS_INSTITUTION
694156844	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13226	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Antrodiella	Antrodiella semisupina		SPECIES	Antrodiella semisupina (Berk. & M.A.Curtis) Ryvarden	Antrodiella semisupina (Berk. & M.A. Curtis) Ryvarden	(Berk. & M.A. Curtis) Ryvarden	CA	Algonquin Provincial Park, Opeongo Lake, Cameron Lake Road	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.674418	-78.303895	615.0						1956-09-24	24	9	1956	2541957	2541957	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC033203		Cain, R.F., Lowe, J.L., Weresub, L.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.841Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
617551828	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002879	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Antrodiella	Antrodiella semisupina		SPECIES	Antrodiella semisupina (Berk. & M.A.Curtis) Ryvarden	Antrodiella semisupina (Berk. & M.A. Curtis) Ryvarden	(Berk. & M.A. Curtis) Ryvarden	CA	Québec	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.86201	-71.307678	15000.0						1996-08-16	16	8	1996	2541957	2541957	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002879		Audet, Serge		CC0_1_0	Université de Montréal Biodiversity Centre	Audet, Serge			2024-01-24T16:38:20.648Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
3043139761	f8f35535-8c10-43fc-89dc-eb0843f25394	GB-0049245	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Antrodiella	Antrodiella semisupina		SPECIES	Antrodiella semisupina (Berk. & M.A.Curtis) Ryvarden	Antrodiella semisupina		CA	Algonquin Provincial Park	Ontario	PRESENT		0ed04352-6745-4665-9e11-7117ee91a96b	45.800278	-78.340278							1982-09-18	18	9	1982	2541957	2541957	PRESERVED_SPECIMEN	GB	GB	GB-0049245	NH7342			CC0_1_0		Hallenberg, Nils & Ginns, J.			2024-12-19T12:17:48.581Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2423611354	21705170-d2b6-42de-8904-c3bca4b83591	CMMF018617	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Antrodiella	Antrodiella semisupina		SPECIES	Polyporus semisupinus Berk. & M.A.Curtis	Polyporus semisupinus Berk. & M.A. Curtis	Berk. & M.A. Curtis	CA	Station de biologie des Laurentides, Université de Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.988108	-74.005679	25000.0						1985-07-17/1985-08-05			1985	5245035	2541957	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF018617	s.n.	Nantel, Patrick		CC0_1_0	Université de Montréal Biodiversity Centre	Nantel, Patrick			2024-01-24T16:38:18.442Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1412708187	21705170-d2b6-42de-8904-c3bca4b83591	CMMF016656	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Antrodiella	Antrodiella semisupina		SPECIES	Antrodiella semisupina (Berk. & M.A.Curtis) Ryvarden	Antrodiella semisupina (Berk. & M.A. Curtis) Ryvarden	(Berk. & M.A. Curtis) Ryvarden	CA	Loretteville, Québec.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.867482	-71.384379	8000.0						1980-07-30	30	7	1980	2541957	2541957	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF016656	2564	Audet, Serge	1998-01-08T00:00:00	CC0_1_0	Université de Montréal Biodiversity Centre	Sirard, Léas			2024-01-24T16:38:19.903Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1412707754	21705170-d2b6-42de-8904-c3bca4b83591	CMMF016150	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Antrodiella	Antrodiella semisupina		SPECIES	Antrodiella semisupina (Berk. & M.A.Curtis) Ryvarden	Antrodiella semisupina (Berk. & M.A. Curtis) Ryvarden	(Berk. & M.A. Curtis) Ryvarden	CA	Lac Sept-Îles, Québec.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.932632	-71.744829	3000.0						1975-10-22	22	10	1975	2541957	2541957	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF016150		Sirard, Léas; Boulet, Bruno		CC0_1_0	Université de Montréal Biodiversity Centre	Sirard, Léas; Boulet, Bruno			2024-01-24T16:38:18.616Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
