gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4863822086,2024-05-10T12:49:01,2024,Québec,Auricularia americana,https://www.inaturalist.org/observations/214818779,POINT (-71.125647 45.436805),21E,-71.1250772947006,45.4364923369217,"-205575,57+163959,11",,,,,M,4,JIN,F,R1A,10.0,MR,85.0,11,JIN,"{'SB': 0.5, 'EB': 0.1, 'EU': 0.1, 'BP': 0.3}",0.0006498633153921824,4,1.1682824501765625,[2.4583333],[10.033334],[25.3367],[1071.5024],[21.6],[-18.],[39.6],[15.2],[-5.5833335],[15.2],[-11.183333],[1435.],[148.],[94.],[13.9104395],[416.],[294.],[416.],[324.]
4863486446,2024-05-10T12:49:03,2024,Québec,Auricularia americana,https://www.inaturalist.org/observations/215374790,POINT (-71.125672 45.436787),21E,-71.1250772947006,45.4364923369217,"-205575,57+163959,11",,,,,M,4,JIN,F,R1A,10.0,MR,85.0,11,JIN,"{'SB': 0.5, 'EB': 0.1, 'EU': 0.1, 'BP': 0.3}",0.0006637022847918438,4,1.1682824501765625,[2.4583333],[10.033334],[25.3367],[1071.5024],[21.6],[-18.],[39.6],[15.2],[-5.5833335],[15.2],[-11.183333],[1435.],[148.],[94.],[13.9104395],[416.],[294.],[416.],[324.]
4453667052,2023-09-23T13:00,2023,Québec,Auricularia americana,https://www.inaturalist.org/observations/186903546,POINT (-71.199786 45.475106),21E,-71.2014353494314,45.4750786645612,"-211247,66+168293,87",,,,,F,2,JIN,C,3AN,40.0,F,75.0,17,JIN,"{'EO': 0.3, 'BJ': 0.2, 'PE': 0.2, 'ES': 0.1, 'SB': 0.2}",0.0016495759373501811,5,1.5571130980576458,[3.5041666],[10.325],[25.74813],[1074.467],[22.8],[-17.3],[40.1],[16.2],[-4.3999996],[16.2],[-10.316667],[1357.],[144.],[87.],[14.327654],[396.],[280.],[396.],[302.]
4908910261,2023-10-09T13:19,2023,Québec,Auricularia americana,https://www.inaturalist.org/observations/224681861,POINT (-71.204444 46.740556),21L,-71.2033451484636,46.7402189565775,"-206463,44+308849,46",,,,,F,2,JIN,D,1AY,30.0,F,65.0,20,JIN,"{'ES': 0.5, 'FT': 0.2, 'PE': 0.2, 'RX': 0.1}",0.001149379383707753,4,1.2206072645530173,[4.6666665],[10.216667],[23.815073],[1163.2582],[25.7],[-17.2],[42.9],[17.383333],[-9.116667],[18.483334],[-10.266666],[1203.],[130.],[67.],[18.5019],[363.],[228.],[361.],[246.]
4512206914,2023-11-26T14:00:12,2023,Québec,Auricularia americana,https://www.inaturalist.org/observations/192513967,POINT (-71.350712 46.775683),21L,-71.3509001422968,46.7746848947869,"-217353,43+313133,90",,,,,M,3,JIR,A,5A,50.0,MR,75.0,15,JIN,"{'EN': 0.4, 'ML': 0.2, 'SB': 0.1, 'EO': 0.2, 'FO': 0.1}",0.0010156827950984755,5,1.4708084763221112,[4.858333],[10.2],[23.61111],[1176.4137],[26.2],[-17.],[43.2],[17.666666],[-9.066667],[18.833334],[-10.266666],[1217.],[127.],[68.],[16.84741],[363.],[243.],[356.],[250.]
4018318933,2022-06-10,2022,Québec,Auricularia americana,https://www.inaturalist.org/observations/146362361,POINT (-71.20746 46.812941),21L,-71.217980063966,46.7996272036028,"-206635,59+315873,60",,,,,M,3,JIN,F,5S,20.0,MR,65.0,14,JIN,"{'TO': 0.6, 'ER': 0.2, 'BP': 0.1, 'FT': 0.1}",0.016968468415115307,4,1.0888999753452235,[5.2875],[10.291667],[23.496956],[1191.1647],[27.2],[-16.6],[43.800003],[18.366667],[-8.666667],[19.7],[-9.85],[1259.],[133.],[68.],[17.988066],[377.],[238.],[371.],[249.]
3465898788,2021-09-07,2021,Québec,Auricularia americana,https://www.inaturalist.org/observations/105660408,POINT (-71.338229 46.790799),21L,-71.3389256996817,46.7917289800549,"-216371,23+314984,66",,,,,M,3,JIR,A,5A,40.0,MR,65.0,16,70,"{'SB': 0.5, 'ML': 0.2, 'EO': 0.2, 'BG': 0.1}",0.0011620040227926314,4,1.2206072645530173,[4.979167],[10.258333],[23.636713],[1184.7295],[26.5],[-16.9],[43.4],[17.9],[-9.],[19.1],[-10.216666],[1225.],[129.],[68.],[17.458946],[369.],[243.],[360.],[250.]
1135071090,2007-08-03,2007,Québec,Auricularia americana,CMMF009686,POINT (-71.307678 46.86201),21L,-71.3127227204637,46.8632652548053,"-214060,31+322843,05",,,,,M,3,JIR,A,5A,40.0,MF,35.0,13,JIN,"{'PE': 0.3, 'FN': 0.2, 'FO': 0.2, 'SB': 0.2, 'RX': 0.1}",0.005198544910175754,5,1.5571130980576458,[4.570833],[10.541666],[24.012907],[1191.7623],[26.4],[-17.5],[43.9],[17.533333],[-4.083333],[18.85],[-10.716666],[1288.],[134.],[75.],[16.926382],[385.],[252.],[377.],[271.]
1135070790,2006-09-30,2006,Québec,Auricularia americana,CMMF009314,POINT (-71.254455 46.918501),21L,-71.2551573788685,46.9180378961829,"-209449,67+328601,31",,,,,F,3,50,B,1A,30.0,F,85.0,15,50,"{'BJ': 0.3, 'ES': 0.2, 'FT': 0.2, 'FI': 0.1, 'EB': 0.1, 'SB': 0.1}",0.0008413092299147043,6,1.6957425341696346,[3.4583333],[10.316667],[23.93658],[1166.2816],[24.6],[-18.5],[43.1],[16.2],[-5.05],[17.4],[-11.5],[1381.],[141.],[86.],[14.374785],[399.],[277.],[397.],[307.]
1135070088,2006-07-02,2006,Québec,Auricularia americana,CMMF008685,POINT (-71.297511 46.952532),21L,-71.2975398278156,46.9524666829597,"-212511,36+332679,13",,,,,R,3,5090,B,1A,40.0,R,45.0,13,50,"{'SB': 0.7, 'EP': 0.2, 'EO': 0.1}",7.139578912729903e-05,3,0.8018185525433372,[3.2875001],[10.008333],[23.886236],[1136.224],[23.6],[-18.3],[41.9],[15.75],[-5.0333333],[16.7],[-11.366667],[1363.],[140.],[83.],[15.511521],[399.],[269.],[392.],[297.]
1135069867,2006-04-05,2006,Québec,Auricularia americana,CMMF008438,POINT (-71.306427 46.964353),21L,-71.3067062763375,46.9670278941486,"-213011,91+334224,46",,,,,F,2,JIN,D,1A,30.0,F,75.0,18,JIN,"{'PE': 0.3, 'BJ': 0.2, 'EO': 0.2, 'FT': 0.1, 'EP': 0.1, 'SB': 0.1}",0.002689433765476705,6,1.6957425341696346,[3.1416667],[10.033333],[24.003191],[1132.9584],[23.4],[-18.4],[41.8],[15.55],[-5.15],[16.5],[-11.483334],[1378.],[141.],[85.],[15.069558],[402.],[274.],[395.],[303.]
1135066926,2008-07-10,2008,Québec,Auricularia americana,CMMF010388,POINT (-71.312257 46.907478),21L,-71.3130161072813,46.9059506537654,"-213823,34+327509,31",,,,,M,3,30,C,1A,30.0,MM,55.0,12,30,"{'SB': 0.4, 'EB': 0.1, 'EO': 0.3, 'FX': 0.1, 'PE': 0.1}",0.0017055879880125556,5,1.4184836619456564,[4.0041666],[10.308333],[23.806774],[1172.5466],[25.3],[-18.],[43.3],[16.8],[-4.5333333],[17.983334],[-11.066667],[1333.],[137.],[79.],[16.173788],[395.],[263.],[385.],[285.]
4908785141,2022-08-19T13:34,2022,Québec,Auricularia americana,https://www.inaturalist.org/observations/227733111,POINT (-68.598564 47.769719),21N,-68.5974576300227,47.7702154626854,"-7282,19+419223,34",,,EC,1988.0,M,2,JIN,C,1A,30.0,MF,75.0,17,JIN,"{'PE': 0.3, 'BP': 0.2, 'EO': 0.2, 'SB': 0.2, 'EB': 0.1}",0.0012126540003843517,5,1.5571130980576458,[2.5916667],[10.583333],[24.612404],[1143.3718],[23.2],[-19.8],[43.],[16.066668],[-5.4666667],[16.066668],[-12.283333],[1061.],[114.],[69.],[15.007843],[311.],[212.],[311.],[237.]
1024560146,2010-08-20,2010,Québec,Auricularia americana,CMMF005606,POINT (-65.820167 49.175),22H,-65.8222947226318,49.1754518993204,"+194204,31+578462,12",ES,1986.0,,,M,4,50,D,8AM,20.0,MR,95.0,10,50,"{'SB': 0.4, 'EB': 0.2, 'BP': 0.3, 'FX': 0.1}",0.0021751819679385305,4,1.2798542258336674,[1.9],[8.85],[22.692308],[1071.4218],[20.7],[-18.3],[39.],[-8.599999],[-6.7000003],[14.566667],[-11.983334],[1050.],[103.],[67.],[14.100648],[297.],[220.],[280.],[261.]
5007922192,2024-08-21T16:42,2024,Québec,Auricularia americana,https://www.inaturalist.org/observations/254839792,POINT (-76.430359 45.870858),31F,-76.4319931527485,45.8701656276448,"-614872,13+242587,60",,,,,M,1,VIR,F,2BE,20.0,MM,75.0,24,VIN,"{'PB': 0.2, 'SE': 0.2, 'RX': 0.1, 'PE': 0.2, 'BJ': 0.1, 'BP': 0.1, 'FT': 0.1}",0.0017747773617265547,7,1.8866967846580784,[4.1625],[11.108334],[25.188965],[1166.8121],[25.4],[-18.7],[44.1],[16.866667],[-9.866667],[17.716667],[-10.95],[916.],[91.],[53.],[15.695811],[264.],[180.],[261.],[187.]
4953051497,2024-09-23T13:44,2024,Québec,Auricularia americana,https://www.inaturalist.org/observations/244240122,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,27,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",0.0008042447836569114,5,1.4184836619456564,[4.0375],[11.091666],[25.151173],[1166.8082],[25.3],[-18.8],[44.1],[16.733334],[-9.983334],[17.583332],[-11.083333],[926.],[92.],[54.],[15.475691],[266.],[184.],[264.],[189.]
4946137179,2024-08-29T10:50,2024,Québec,Auricularia americana,https://www.inaturalist.org/observations/240228048,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,27,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",0.0008042447836569114,5,1.4184836619456564,[4.0375],[11.091666],[25.151173],[1166.8082],[25.3],[-18.8],[44.1],[16.733334],[-9.983334],[17.583332],[-11.083333],[926.],[92.],[54.],[15.475691],[266.],[184.],[264.],[189.]
4936854763,2024-08-25T11:30,2024,Québec,Auricularia americana,https://www.inaturalist.org/observations/237993206,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,27,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",0.0008042447836569114,5,1.4184836619456564,[4.0375],[11.091666],[25.151173],[1166.8082],[25.3],[-18.8],[44.1],[16.733334],[-9.983334],[17.583332],[-11.083333],[926.],[92.],[54.],[15.475691],[266.],[184.],[264.],[189.]
4846776100,2024-04-10T09:49,2024,Québec,Auricularia americana,https://www.inaturalist.org/observations/206707096,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,27,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",0.0008042447836569114,5,1.4184836619456564,[4.0375],[11.091666],[25.151173],[1166.8082],[25.3],[-18.8],[44.1],[16.733334],[-9.983334],[17.583332],[-11.083333],[926.],[92.],[54.],[15.475691],[266.],[184.],[264.],[189.]
4116404028,2023-05-07T13:13,2023,Québec,Auricularia americana,https://www.inaturalist.org/observations/161003744,POINT (-76.55555 45.917839),31F,-76.5563824077345,45.9184224688794,"-623688,33+248863,41",,,,,M,1,VIR,D,1AY,30.0,MM,75.0,26,VIN,"{'PB': 0.4, 'PR': 0.1, 'CR': 0.3, 'ER': 0.1, 'FI': 0.1}",0.0010165326210665885,5,1.4184836619456564,[3.8166666],[11.133333],[25.188536],[1168.5876],[25.1],[-19.1],[44.2],[12.516666],[-10.266666],[17.333334],[-11.349999],[948.],[95.],[56.],[15.197562],[273.],[190.],[268.],[194.]
3902666912,2022-09-04T15:01,2022,Québec,Auricularia americana,https://www.inaturalist.org/observations/134188769,POINT (-76.490843 45.945315),31F,-76.4892215883604,45.9454454428951,"-618260,42+251141,82",,,,,F,2,VIN,D,1AY,30.0,F,75.0,21,VIN,"{'ES': 0.3, 'EO': 0.2, 'HG': 0.2, 'PE': 0.2, 'SE': 0.1}",0.0016266502555638616,5,1.5571130980576458,[3.9083333],[11.166667],[25.32124],[1167.3179],[25.2],[-18.9],[44.1],[16.633333],[-10.116667],[17.45],[-11.216667],[942.],[95.],[55.],[15.978489],[273.],[186.],[270.],[191.]
3892291675,2022-08-10T10:30,2022,Québec,Auricularia americana,https://www.inaturalist.org/observations/130325137,POINT (-76.525487 45.960285),31F,-76.5254144431357,45.9604520809643,"-620787,44+253204,05",,,,,F,2,VIN,D,2BE,20.0,F,75.0,20,VIN,"{'BJ': 0.3, 'ER': 0.2, 'FI': 0.2, 'FT': 0.1, 'SE': 0.2}",0.00018215528317607244,5,1.5571130980576458,[3.7166667],[11.183333],[25.301659],[1166.2806],[25.],[-19.2],[44.2],[16.4],[-10.316667],[17.233334],[-11.4],[960.],[95.],[57.],[14.852179],[275.],[194.],[273.],[196.]
3860583923,2022-05-29T10:31,2022,Québec,Auricularia americana,https://www.inaturalist.org/observations/119658853,POINT (-76.486822 45.964682),31F,-76.4861053639496,45.9653658672173,"-617889,50+253446,59",,,,,F,2,JIN,D,1AM,20.0,F,85.0,20,JIN,"{'ES': 0.4, 'BP': 0.2, 'HG': 0.2, 'FT': 0.1, 'SE': 0.1}",0.0009905763976722577,5,1.4708084763221112,[3.9166667],[11.183333],[25.359034],[1167.2625],[25.2],[-18.9],[44.1],[16.633333],[-10.116667],[17.45],[-11.2],[940.],[95.],[55.],[16.429104],[275.],[184.],[270.],[191.]
