gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617555668	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000912	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Bresadolia	Bresadolia craterella		SPECIES	Polyporus craterellus Berk. & M.A.Curtis	Polyporus craterellus Berk. & M.A. Curtis	Berk. & M.A. Curtis	CA	Mirabel	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.659599	-74.064294	18500.0						1990-06-10	10	6	1990	5246817	9690341	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000912		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Goodhue, Peter			2024-01-24T16:38:21.626Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617552226	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003063	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Bresadolia	Bresadolia craterella		SPECIES	Polyporus craterellus Berk. & M.A.Curtis	Polyporus craterellus Berk. & M.A. Curtis	Berk. & M.A. Curtis	CA	Longueuil	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.544154	-73.477185	5000.0						1997-08-17	17	8	1997	5246817	9690341	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003063		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.669Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617550946	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002501	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Bresadolia	Bresadolia craterella		SPECIES	Polyporus craterellus Berk. & M.A.Curtis	Polyporus craterellus Berk. & M.A. Curtis	Berk. & M.A. Curtis	CA	Mt Orford	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.340394	-72.208677	6500.0						1995-08-18	18	8	1995	5246817	9690341	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002501		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Garneau, Yves			2024-01-24T16:38:19.545Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617550780	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002423	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Bresadolia	Bresadolia craterella		SPECIES	Polyporus craterellus Berk. & M.A.Curtis	Polyporus craterellus Berk. & M.A. Curtis	Berk. & M.A. Curtis	CA	Mt Orford	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.340394	-72.208677	6500.0						1995-07-28	28	7	1995	5246817	9690341	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002423		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.497Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4100021415	d1a3b128-b406-46bb-a6d1-f3591dcc8a7b	d36569fe-5425-4936-9807-ff55d2f55b6b	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Bresadolia	Bresadolia craterella		SPECIES	Polyporus fagicola Murrill	Polyporus fagicola	Murrill	CA	Kentville nova	Nova Scotia	PRESENT		e43cf4b8-849e-4fac-b075-e652d019d2cf	45.066667	-64.5	3591.0						1933-06		6	1933	5246818	9690341	PRESERVED_SPECIMEN	BPI		BPI 889621				CC0_1_0		Harrison, K. A.			2025-01-15T04:59:47.117Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
2423614662	21705170-d2b6-42de-8904-c3bca4b83591	CMMF020517	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Bresadolia	Bresadolia craterella		SPECIES	Polyporus fagicola Murrill	Polyporus fagicola Murrill	Murrill	CA	Cap St-Jacques (1)	Quebec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.469103	-73.928955	500.0						1980-06-05	5	6	1980	5246818	9690341	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF020517	1980-38	McNeil, Raymond		CC0_1_0	Université de Montréal Biodiversity Centre	Haméon, G.			2024-01-24T16:38:15.955Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
2423612733	21705170-d2b6-42de-8904-c3bca4b83591	CMMF020516	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Bresadolia	Bresadolia craterella		SPECIES	Polyporus fagicola Murrill	Polyporus fagicola Murrill	Murrill	CA	Saraguay	Quebec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.515803	-73.739874	600.0						1980-06-17	17	6	1980	5246818	9690341	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF020516	1980-37	McNeil, Raymond		CC0_1_0	Université de Montréal Biodiversity Centre	Haméon, G.			2024-01-24T16:38:15.954Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
2423610888	21705170-d2b6-42de-8904-c3bca4b83591	CMMF018842	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Bresadolia	Bresadolia craterella		SPECIES	Polyporus fagicola Murrill	Polyporus fagicola Murrill	Murrill	CA	Station de biologie des Laurentides, Université de Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.988108	-74.005679	25000.0						1986-08-09	9	8	1986	5246818	9690341	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF018842	s.n.	Nantel, Patrick		CC0_1_0	Université de Montréal Biodiversity Centre	Nantel, Patrick			2024-01-24T16:38:18.678Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1412708700	21705170-d2b6-42de-8904-c3bca4b83591	CMMF017225	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Bresadolia	Bresadolia craterella		SPECIES	Polyporus fagicola Murrill	Polyporus fagicola Murrill	Murrill	CA	Cap Saint-Jacques, Québec.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.465391	-73.920995	4000.0						1981-06-26	26	6	1981	5246818	9690341	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF017225	1981-57	McNeil, Raymond		CC0_1_0	Université de Montréal Biodiversity Centre	Cyr, A.			2024-01-24T16:38:14.842Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1412707729	21705170-d2b6-42de-8904-c3bca4b83591	CMMF016124	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Bresadolia	Bresadolia craterella		SPECIES	Polyporus craterellus Berk. & M.A.Curtis	Polyporus craterellus Berk. & M.A. Curtis	Berk. & M.A. Curtis	CA	Saint-Donat, Québec.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.316667	-74.216667	6000.0						1971-07-28	28	7	1971	5246817	9690341	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF016124		Sirard, Léas; Boulet, Bruno		CC0_1_0	Université de Montréal Biodiversity Centre	Sirard, Léas			2024-01-24T16:38:18.607Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
