gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617555276	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000734	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Calvatia	Calvatia gigantea		SPECIES	Calvatia gigantea (Batsch) Lloyd	Calvatia gigantea (Batsch) Lloyd	(Batsch) Lloyd	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1989-09-05	5	9	1989	2536058	2536058	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000734		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.298Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617551399	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000269	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Calvatia	Calvatia gigantea		SPECIES	Calvatia gigantea (Batsch) Lloyd	Calvatia gigantea (Batsch) Lloyd	(Batsch) Lloyd	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1988-08-26	26	8	1988	2536058	2536058	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000269		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.701Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4987666250	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/252416066	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Calvatia	Calvatia gigantea		SPECIES	Calvatia gigantea (Batsch) Lloyd	Calvatia gigantea		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.500722	-73.597467	11.0						2024-09-06T16:09	6	9	2024	2536058	2536058	HUMAN_OBSERVATION	iNaturalist	Observations	252416066		Ben	2024-11-20T19:07:34	CC_BY_NC_4_0	Ben	Ben			2025-01-14T13:41:05.863Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4976597187	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/249427020	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Calvatia	Calvatia gigantea		SPECIES	Calvatia gigantea (Batsch) Lloyd	Calvatia gigantea		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.390694	-75.657928	40.0						2024-10-26T14:25	26	10	2024	2536058	2536058	HUMAN_OBSERVATION	iNaturalist	Observations	249427020		Alec McClay	2024-10-28T00:56:15	CC_BY_4_0	Alec McClay	Alec McClay			2025-01-14T12:57:54.821Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4976566720	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/249238989	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Calvatia	Calvatia gigantea		SPECIES	Calvatia gigantea (Batsch) Lloyd	Calvatia gigantea		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.458453	-73.643697							2024-10-25T15:26:28	25	10	2024	2536058	2536058	HUMAN_OBSERVATION	iNaturalist	Observations	249238989		Loïc Mathieu	2024-10-26T23:11:51	CC_BY_4_0	Loïc Mathieu	Loïc Mathieu			2025-01-14T12:55:10.503Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4974241131	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/247823369	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Calvatia	Calvatia gigantea		SPECIES	Calvatia gigantea (Batsch) Lloyd	Calvatia gigantea		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.421193	-75.686621	375.0						2024-10-17T17:30:57	17	10	2024	2536058	2536058	HUMAN_OBSERVATION	iNaturalist	Observations	247823369		jfcroteau	2024-10-17T21:36:13	CC_BY_NC_4_0	jfcroteau	jfcroteau			2025-01-14T13:44:48.355Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4974121549	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/247841706	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Calvatia	Calvatia gigantea		SPECIES	Calvatia gigantea (Batsch) Lloyd	Calvatia gigantea		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.624216	-73.379231	8.0						2024-10-16T16:08	16	10	2024	2536058	2536058	HUMAN_OBSERVATION	iNaturalist	Observations	247841706		simmar01	2024-10-18T00:24:43	CC_BY_NC_4_0	simmar01	simmar01			2025-01-14T12:57:58.850Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4974110019	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/247896014	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Calvatia	Calvatia gigantea		SPECIES	Calvatia gigantea (Batsch) Lloyd	Calvatia gigantea		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.345483	-75.900963	3.0						2024-10-18T07:58:54	18	10	2024	2536058	2536058	HUMAN_OBSERVATION	iNaturalist	Observations	247896014		G Nicoll	2024-10-18T11:59:06	CC_BY_NC_4_0	G Nicoll	G Nicoll			2025-01-14T12:55:03.734Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4973820293	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/57064863	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Calvatia	Calvatia gigantea		SPECIES	Calvatia gigantea (Batsch) Lloyd	Calvatia gigantea		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.247925	-76.259362	12.0						2020-08-20T17:08:35	20	8	2020	2536058	2536058	HUMAN_OBSERVATION	iNaturalist	Observations	57064863		abjessop	2020-08-20T21:14:01	CC_BY_4_0	abjessop	abjessop			2025-01-14T13:03:10.821Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4954759076	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/246192543	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Calvatia	Calvatia gigantea		SPECIES	Calvatia gigantea (Batsch) Lloyd	Calvatia gigantea		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.368521	-64.873594	27031.0						2024-09-28T09:56:51	28	9	2024	2536058	2536058	HUMAN_OBSERVATION	iNaturalist	Observations	246192543		statelyelms	2024-10-09T10:34:46	CC_BY_NC_4_0	sundance_11	sundance_11			2025-01-14T13:44:01.462Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
