gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4994436722,2024-07-31T16:49:46,2024.0,Québec,Candolleomyces candolleanus,https://www.inaturalist.org/observations/232978944,POINT (-71.916077 45.38446),21E,-71.9164526390054,45.3849977270547,"-267815,97+160750,52",,,,,F,2,50,D,1AY,30.0,F,85.0,19,50,"{'EO': 0.4, 'FT': 0.2, 'PE': 0.2, 'BJ': 0.1, 'PA': 0.1}",0.0006559382956794887,5,1.4708084763221112,[5.6833334],[10.866667],[25.996809],[1114.6327],[26.],[-15.8],[41.8],[18.866667],[-7.5166664],[18.866667],[-8.683333],[1048.],[127.],[48.],[27.748274],[354.],[167.],[354.],[182.]
4924083124,2024-08-07T10:42:28,2024.0,Québec,Candolleomyces candolleanus,https://www.inaturalist.org/observations/234349764,POINT (-71.278534 46.779606),21L,-71.2744664790037,46.7753598795118,"-211507,98+312972,70",,,,,F,2,VIR,A,1A,30.0,F,85.0,18,VIN,"{'ES': 0.6, 'EO': 0.2, 'FI': 0.1, 'FT': 0.1}",0.005879988627164677,4,1.0888999753452235,[5.0458336],[10.358334],[23.541666],[1199.6201],[27.1],[-16.9],[44.],[18.133333],[-8.983334],[19.55],[-10.216666],[1266.],[134.],[72.],[16.708242],[379.],[256.],[374.],[261.]
4177168822,2023-08-07T09:55:09,2023.0,Québec,Candolleomyces candolleanus,https://www.inaturalist.org/observations/177590710,POINT (-71.119951 46.873201),21L,-71.1178387125125,46.8734200781088,"-199204,22+323430,48",,,,,F,2,JIR,A,5A,50.0,F,45.0,18,JIN,"{'FN': 0.6, 'FO': 0.3, 'PE': 0.1}",0.0021236180559672012,3,0.8979457248567797,[4.4500003],[9.766666],[23.421263],[1135.1572],[24.6],[-17.1],[41.7],[17.],[-9.133333],[17.85],[-10.133333],[1220.],[133.],[66.],[21.812859],[376.],[215.],[371.],[239.]
4165826764,2023-07-22T20:32:30,2023.0,Québec,Candolleomyces candolleanus,https://www.inaturalist.org/observations/174403100,POINT (-71.376605 46.757688),21L,-71.3797148216614,46.7558315363855,"-219632,61+311133,25",,,,,F,2,JIR,A,5A,30.0,F,75.0,19,JIN,"{'ES': 0.4, 'EO': 0.3, 'BJ': 0.1, 'BP': 0.1, 'PE': 0.1}",0.003621801750187576,5,1.4184836619456564,[4.525],[10.],[23.640663],[1154.2737],[25.3],[-17.],[42.3],[17.2],[-9.166667],[18.2],[-10.283334],[1215.],[127.],[69.],[16.571568],[363.],[240.],[355.],[255.]
3031662839,2020-06-27T22:04:22Z,2020.0,Québec,Candolleomyces candolleanus,https://www.inaturalist.org/observations/51154153,POINT (-71.023391 46.438129),21L,-71.0303504800521,46.4314196714345,"-194357,57+274113,39",,,,,M,3,JIR,C,1A,30.0,MM,65.0,16,JIN,"{'EB': 0.3, 'SB': 0.2, 'EO': 0.2, 'FI': 0.1, 'FN': 0.1, 'FT': 0.1}",0.009666925695149355,6,1.6957425341696346,[4.175],[10.55],[24.765259],[1143.882],[24.8],[-17.8],[42.6],[17.7],[-9.45],[17.7],[-10.549999],[1124.],[125.],[59.],[21.76221],[361.],[208.],[361.],[215.]
1135070896,2007-06-19,2007.0,Québec,Candolleomyces candolleanus,CMMF009438,POINT (-71.306427 46.964353),21L,-71.3067062763375,46.9670278941486,"-213011,91+334224,46",,,,,F,2,JIN,D,1A,30.0,F,75.0,18,JIN,"{'PE': 0.3, 'BJ': 0.2, 'EO': 0.2, 'FT': 0.1, 'EP': 0.1, 'SB': 0.1}",0.002689433765476705,6,1.6957425341696346,[3.1416667],[10.033333],[24.003191],[1132.9584],[23.4],[-18.4],[41.8],[15.55],[-5.15],[16.5],[-11.483334],[1378.],[141.],[85.],[15.069558],[402.],[274.],[395.],[303.]
1135070888,2007-07-12,2007.0,Québec,Candolleomyces candolleanus,CMMF009503,POINT (-71.301288 46.887678),21L,-71.302130419587,46.8890810275723,"-213305,25+325651,83",,,CP,,F,2,JIR,C,1A,30.0,F,35.0,18,JIN,"{'EO': 0.3, 'PE': 0.2, 'BP': 0.1, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1, 'SE': 0.1}",0.0016365076013276567,7,1.8343719702816235,[4.295833],[10.408333],[23.927202],[1179.2225],[25.8],[-17.7],[43.5],[17.15],[-9.55],[18.383333],[-10.85],[1316.],[136.],[76.],[15.929979],[389.],[262.],[382.],[276.]
1135070845,2007-06-28,2007.0,Québec,Candolleomyces candolleanus,CMMF009449,POINT (-71.301288 46.887678),21L,-71.302130419587,46.8890810275723,"-213305,25+325651,83",,,CP,,F,2,JIR,C,1A,30.0,F,35.0,18,JIN,"{'EO': 0.3, 'PE': 0.2, 'BP': 0.1, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1, 'SE': 0.1}",0.0016365076013276567,7,1.8343719702816235,[4.295833],[10.408333],[23.927202],[1179.2225],[25.8],[-17.7],[43.5],[17.15],[-9.55],[18.383333],[-10.85],[1316.],[136.],[76.],[15.929979],[389.],[262.],[382.],[276.]
1135070103,2006-06-26,2006.0,Québec,Candolleomyces candolleanus,CMMF008663,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,18,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",0.004029905739944569,5,1.4184836619456564,[3.1291666],[10.041667],[23.90873],[1137.7439],[23.5],[-18.5],[42.],[15.599999],[-5.2000003],[16.583334],[-11.533334],[1380.],[141.],[85.],[14.94956],[401.],[274.],[396.],[305.]
1135070077,2006-06-17,2006.0,Québec,Candolleomyces candolleanus,CMMF008639,POINT (-71.306427 46.964353),21L,-71.3067062763375,46.9670278941486,"-213011,91+334224,46",,,,,F,2,JIN,D,1A,30.0,F,75.0,18,JIN,"{'PE': 0.3, 'BJ': 0.2, 'EO': 0.2, 'FT': 0.1, 'EP': 0.1, 'SB': 0.1}",0.002689433765476705,6,1.6957425341696346,[3.1416667],[10.033333],[24.003191],[1132.9584],[23.4],[-18.4],[41.8],[15.55],[-5.15],[16.5],[-11.483334],[1378.],[141.],[85.],[15.069558],[402.],[274.],[395.],[303.]
