gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4171907436,2023-08-04T15:07:07,2023,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/176757809,POINT (-71.287658 46.775581),21L,-71.2884079969597,46.7751209399292,"-212586,44+312993,02",,,,,F,2,VIR,A,1A,30.0,F,85.0,20,VIN,"{'ES': 0.5, 'FR': 0.2, 'EO': 0.1, 'FI': 0.1, 'FT': 0.1}",0.0008798583456000033,5,1.3592367006650063,[5.0291667],[10.358334],[23.541666],[1200.5537],[27.1],[-16.9],[44.],[18.116667],[-9.033333],[19.533333],[-10.25],[1265.],[134.],[71.],[16.788204],[379.],[256.],[374.],[261.]
2282997107,2018-09-01T14:47:20,2018,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/16185025,POINT (-76.555542 45.543488),31F,-76.5554138034364,45.54402196303,"-628368,48+207366,07",,,,,M,1,VIN,A,R1A,30.0,MF,85.0,22,VIN,"{'CR': 0.2, 'ES': 0.2, 'FR': 0.1, 'FT': 0.1, 'PE': 0.1, 'PB': 0.3}",0.0005491364824173066,6,1.6957425341696346,[4.9958334],[10.958333],[25.133793],[1157.8418],[26.2],[-17.4],[43.6],[17.7],[-9.016666],[18.483334],[-9.983334],[813.],[79.],[50.],[14.347412],[234.],[163.],[232.],[168.]
3759206678,2021-07-29T14:18,2021,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/91433578,POINT (-74.061395 45.509307),31G,-74.0577650079631,45.5141118623529,"-434283,56+185596,31",,,,,F,1,VIN,D,5S,30.0,F,95.0,29,VIN,"{'ES': 0.7, 'CR': 0.2, 'FR': 0.1}",0.006021921987065448,3,0.8018185525433372,[5.4708333],[9.858334],[23.641087],[1144.3527],[25.7],[-16.],[41.7],[18.883333],[-8.2],[18.883333],[-9.283334],[1042.],[99.],[63.],[13.883267],[289.],[209.],[289.],[228.]
3747338462,2021-07-29T20:37,2021,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/91147418,POINT (-74.119103 45.45012),31G,-74.1181069476622,45.4493763887731,"-439971,57+179262,93",,,,,F,1,VIR,A,5A,40.0,F,45.0,25,VIN,"{'ES': 0.3, 'CR': 0.2, 'FT': 0.2, 'EA': 0.1, 'EO': 0.1, 'RX': 0.1}",0.001243011631641009,6,1.6957425341696346,[5.9041667],[9.425],[22.820824],[1136.8986],[25.9],[-15.4],[41.3],[19.25],[-7.7833333],[19.25],[-8.683333],[1001.],[97.],[60.],[15.2579775],[283.],[196.],[283.],[213.]
3343933792,2021-08-19T17:34:24,2021,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/91804248,POINT (-75.849442 45.493573),31G,-75.8494380677244,45.4935458236605,"-574148,18+196031,62",,,CP,,F,2,VIN,D,1AM,20.0,F,65.0,21,VIN,"{'CR': 0.3, 'ES': 0.3, 'FT': 0.2, 'EO': 0.1, 'FI': 0.1}",2.7459355781991615e-05,5,1.5047882836811908,[4.475],[10.400001],[24.413145],[1150.9531],[25.1],[-17.5],[42.6],[13.05],[-9.35],[17.916666],[-10.4],[1037.],[99.],[66.],[12.882008],[290.],[210.],[286.],[223.]
2856548239,2020-08-25T10:53:36,2020,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/57553642,POINT (-75.848751 45.494404),31G,-75.8494380677244,45.4935458236605,"-574148,18+196031,62",,,CP,,F,2,VIN,D,1AM,20.0,F,65.0,21,VIN,"{'CR': 0.3, 'ES': 0.3, 'FT': 0.2, 'EO': 0.1, 'FI': 0.1}",0.0010993310182190145,5,1.5047882836811908,[4.475],[10.400001],[24.413145],[1150.9531],[25.1],[-17.5],[42.6],[13.05],[-9.35],[17.916666],[-10.4],[1037.],[99.],[66.],[12.882008],[290.],[210.],[286.],[223.]
617551764,1996-07-28,1996,Québec,Cantharellus cinnabarinus,CMMF002850,POINT (-73.209987 45.876777),31H,-73.2105975411842,45.8774056777621,"-365532,82+221164,10",,,,,F,1,JIN,A,5S,30.0,F,95.0,23,JIN,"{'EO': 0.6, 'HG': 0.2, 'FR': 0.1, 'FT': 0.1}",0.0008763539616883925,4,1.0888999753452235,[5.65],[9.650001],[23.086124],[1134.5023],[25.7],[-16.1],[41.800003],[18.933332],[-8.25],[18.933332],[-8.866667],[987.],[98.],[60.],[15.804523],[284.],[191.],[284.],[214.]
617549324,1988-08-17,1988,Québec,Cantharellus cinnabarinus,CMMF000179,POINT (-73.705867 45.609608),31H,-73.7040779653958,45.6150128958572,"-405966,25+194717,23",,,,,F,4,30,A,5A,40.0,F,35.0,11,30,"{'FR': 0.3, 'FH': 0.2, 'FN': 0.2, 'FT': 0.2, 'PE': 0.1}",0.005693289386828294,5,1.5571130980576458,[6.2916665],[10.116667],[23.692427],[1168.5963],[27.1],[-15.6],[42.7],[8.583333],[-7.5833335],[20.05],[-8.766666],[1002.],[97.],[61.],[12.899853],[280.],[204.],[269.],[217.]
617547746,1990-08-12,1990,Québec,Cantharellus cinnabarinus,CMMF001102,POINT (-73.705867 45.609608),31H,-73.7040779653958,45.6150128958572,"-405966,25+194717,23",,,,,F,4,30,A,5A,40.0,F,35.0,11,30,"{'FR': 0.3, 'FH': 0.2, 'FN': 0.2, 'FT': 0.2, 'PE': 0.1}",0.005693289386828294,5,1.5571130980576458,[6.2916665],[10.116667],[23.692427],[1168.5963],[27.1],[-15.6],[42.7],[8.583333],[-7.5833335],[20.05],[-8.766666],[1002.],[97.],[61.],[12.899853],[280.],[204.],[269.],[217.]
617547630,1990-07-27,1990,Québec,Cantharellus cinnabarinus,CMMF001050,POINT (-73.705867 45.609608),31H,-73.7040779653958,45.6150128958572,"-405966,25+194717,23",,,,,F,4,30,A,5A,40.0,F,35.0,11,30,"{'FR': 0.3, 'FH': 0.2, 'FN': 0.2, 'FT': 0.2, 'PE': 0.1}",0.005693289386828294,5,1.5571130980576458,[6.2916665],[10.116667],[23.692427],[1168.5963],[27.1],[-15.6],[42.7],[8.583333],[-7.5833335],[20.05],[-8.766666],[1002.],[97.],[61.],[12.899853],[280.],[204.],[269.],[217.]
4919712865,2023-09-01T13:58:51,2023,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/181264333,POINT (-73.163341 45.55463),31H,-73.1629746579834,45.5553828651372,"-364182,55+185183,96",,,,,F,3,VIR,D,1AM,20.0,F,85.0,16,VIN,"{'CR': 0.5, 'ES': 0.3, 'FT': 0.2}",0.0008372648254480638,3,1.0296530140645737,[5.1458335],[9.608334],[23.321198],[1132.2372],[25.],[-16.2],[41.2],[18.416666],[-8.366667],[18.416666],[-9.483334],[1175.],[116.],[70.],[13.898013],[335.],[236.],[335.],[256.]
4599711044,2022-07-29T10:23,2022,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/171253882,POINT (-73.588644 45.503395),31H,-73.5895078273117,45.5033860729631,"-397839,78+181684,26",,,,,F,2,VIR,C,1AY,30.0,F,75.0,21,VIN,"{'ES': 0.3, 'FR': 0.3, 'CR': 0.2, 'FT': 0.2}",0.0008638734377407475,4,1.366158847569202,[6.275],[9.883333],[23.587908],[1151.6539],[26.8],[-15.1],[41.9],[18.816666],[-7.266667],[19.883333],[-8.533334],[1063.],[101.],[65.],[12.7671585],[300.],[219.],[295.],[234.]
4440649984,2023-09-02T13:51:33,2023,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/181417413,POINT (-73.17086 45.550537),31H,-73.1709298751262,45.5493602472938,"-364837,72+184555,38",,,,,F,2,VIR,F,R1A,20.0,F,85.0,18,VIN,"{'CR': 0.4, 'ES': 0.4, 'HG': 0.2}",0.0011788254598590383,3,1.0549201679861442,[5.204167],[9.658334],[23.385794],[1135.2622],[25.1],[-16.2],[41.300003],[18.516666],[-8.333333],[18.516666],[-9.45],[1171.],[116.],[70.],[14.210786],[336.],[235.],[336.],[256.]
4440624584,2022-09-05T19:34:31,2022,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/133845572,POINT (-73.149942 45.594474),31H,-73.149260005326,45.5964143258337,"-362764,19+189646,02",,,,,F,3,JIR,A,5A,40.0,F,25.0,16,JIN,"{'PA': 0.6, 'FN': 0.2, 'BG': 0.1, 'FR': 0.1}",0.0020566917796029324,4,1.0888999753452235,[5.8791666],[9.825],[23.617788],[1139.2212],[25.9],[-15.7],[41.6],[19.216667],[-7.75],[19.216667],[-8.866667],[1046.],[103.],[62.],[14.9990635],[300.],[204.],[300.],[227.]
4407272085,2023-08-31T09:15:03,2023,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/181122282,POINT (-73.180747 45.973295),31H,-73.1807153227808,45.9737232572788,"-362515,06+231698,38",,,,,F,1,JIN,A,5S,30.0,F,95.0,26,JIN,"{'CR': 0.7, 'EO': 0.1, 'PE': 0.1, 'PB': 0.1}",0.00042942722673356624,4,0.9404479886553263,[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38]
4405143369,2021-08-02T20:28,2021,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/89722253,POINT (-73.588282 45.506709),31H,-73.5888106373345,45.5073112917667,"-397657,25+182238,40",,,,,F,2,VIN,C,8AM,20.0,F,95.0,21,VIN,"{'CR': 0.6, 'ES': 0.2, 'EO': 0.1, 'FT': 0.1}",0.0008013818089120287,4,1.0888999753452235,[6.275],[9.883333],[23.587908],[1151.6539],[26.8],[-15.1],[41.9],[18.816666],[-7.266667],[19.883333],[-8.533334],[1063.],[101.],[65.],[12.7671585],[300.],[219.],[295.],[234.]
4405020655,2023-08-03T11:21,2023,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/176773867,POINT (-73.587407 45.507102),31H,-73.5869565522478,45.5082715879457,"-397747,77+182387,86",,,,,F,2,VIN,F,R8A,20.0,F,95.0,20,VIN,"{'CR': 0.8, 'ES': 0.1, 'FT': 0.1}",0.001253331217269061,3,0.639031859650177,[6.275],[9.883333],[23.587908],[1151.6539],[26.8],[-15.1],[41.9],[18.816666],[-7.266667],[19.883333],[-8.533334],[1063.],[101.],[65.],[12.7671585],[300.],[219.],[295.],[234.]
4405013803,2023-07-30T16:20:18,2023,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/177073492,POINT (-73.590988 45.505755),31H,-73.5896813099176,45.5050821916601,"-398009,25+181796,19",,,,,F,2,VIN,D,8AM,20.0,F,85.0,20,VIN,"{'CR': 0.4, 'ES': 0.2, 'EO': 0.1, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1}",0.0014697312794129903,6,1.6094379124341,[6.275],[9.883333],[23.587908],[1151.6539],[26.8],[-15.1],[41.9],[18.816666],[-7.266667],[19.883333],[-8.533334],[1063.],[101.],[65.],[12.7671585],[300.],[219.],[295.],[234.]
4404987904,2023-08-17T17:59:15,2023,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/179081090,POINT (-73.943957 45.431364),31H,-73.9449908449571,45.4328500755735,"-426233,63+176028,34",P,,,,M,2,50,A,5A,30.0,MR,55.0,21,50,"{'EV': 0.3, 'RZ': 0.3, 'TO': 0.1, 'ES': 0.1, 'FN': 0.1, 'FT': 0.1}",0.001810319310363643,6,1.6434177197931796,[5.9041667],[9.308333],[22.814543],[1130.0834],[25.7],[-15.1],[40.800003],[19.216667],[-7.633333],[19.216667],[-8.566667],[992.],[94.],[61.],[12.652432],[275.],[203.],[275.],[219.]
4400464735,2023-08-12T13:05:40,2023,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/179630158,POINT (-73.946736 45.42955),31H,-73.9478260670457,45.4292763336656,"-426285,67+175462,48",P,,,,R,1,50,A,5S,30.0,R,85.0,22,50,"{'EV': 0.3, 'EU': 0.2, 'EB': 0.1, 'PB': 0.1, 'PG': 0.1, 'PR': 0.1, 'FT': 0.1}",0.0011238947578373457,7,1.8343719702816235,[5.9041667],[9.308333],[22.814543],[1130.0834],[25.7],[-15.1],[40.800003],[19.216667],[-7.633333],[19.216667],[-8.566667],[992.],[94.],[61.],[12.652432],[275.],[203.],[275.],[219.]
