gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4935683429,2024-08-17T15:23:51,2024,Québec,Chalciporus piperatus,https://www.inaturalist.org/observations/237391841,POINT (-71.271754 45.412683),21E,-71.2701189416973,45.4115147605332,"-217013,86+161467,04",,,,,M,3,50,A,1A,40.0,MR,55.0,14,50,"{'SB': 0.4, 'TO': 0.2, 'EO': 0.2, 'BJ': 0.1, 'FI': 0.1}",0.002009527084914556,5,1.4708084763221112,[3.5833335],[10.55],[26.113861],[1082.4622],[23.1],[-17.3],[40.4],[16.4],[-4.333333],[16.4],[-10.349999],[1270.],[139.],[81.],[15.49846],[374.],[258.],[374.],[283.]
4438883299,2023-10-25T13:40:44,2023,Québec,Chalciporus piperatus,https://www.inaturalist.org/observations/189711151,POINT (-71.285722 46.776784),21L,-71.2884079969597,46.7751209399292,"-212586,44+312993,02",,,,,F,2,VIR,A,1A,30.0,F,85.0,20,VIN,"{'ES': 0.5, 'FR': 0.2, 'EO': 0.1, 'FI': 0.1, 'FT': 0.1}",0.0031591689518903994,5,1.3592367006650063,[5.0291667],[10.358334],[23.541666],[1200.5537],[27.1],[-16.9],[44.],[18.116667],[-9.033333],[19.533333],[-10.25],[1265.],[134.],[71.],[16.788204],[379.],[256.],[374.],[261.]
4009803976,2022-08-28,2022,Québec,Chalciporus piperatus,https://www.inaturalist.org/observations/144989688,POINT (-71.242955 46.854996),21L,-71.2493126412129,46.8536228848842,"-209389,99+321523,69",,,,,F,2,VIN,B,5A,30.0,F,65.0,19,VIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.1, 'RX': 0.1, 'SB': 0.1}",0.006504232999609308,5,1.4184836619456564,[5.0666666],[10.616667],[23.965387],[1200.4702],[27.2],[-17.1],[44.300003],[18.133333],[-8.983334],[19.533333],[-10.283334],[1277.],[135.],[71.],[17.807806],[385.],[248.],[379.],[256.]
1135071014,2007-07-22,2007,Québec,Chalciporus piperatus,CMMF009591,POINT (-71.266801 46.898375),21L,-71.2669786581791,46.8994870781396,"-210425,07+326724,84",,,,,F,2,JIN,C,1A,30.0,F,85.0,18,JIN,"{'EO': 0.3, 'ES': 0.3, 'HG': 0.3, 'FI': 0.1}",0.0011261794782244283,4,1.313834033192747,[4.1083336],[10.416667],[23.891438],[1180.5638],[25.7],[-17.9],[43.6],[16.983334],[-9.716666],[18.266666],[-11.016666],[1336.],[137.],[81.],[14.873437],[391.],[271.],[384.],[288.]
1135070919,2007-07-04,2007,Québec,Chalciporus piperatus,CMMF009466,POINT (-71.301586 46.954381),21L,-71.303386168039,46.9539645016355,"-213042,39+332940,60",,,,,M,3,JIR,C,1A,30.0,MM,85.0,14,JIN,"{'SB': 0.4, 'EP': 0.1, 'EO': 0.3, 'FT': 0.1, 'PE': 0.1}",0.0018477218016409128,5,1.4184836619456564,[3.275],[10.],[23.866348],[1136.7307],[23.6],[-18.3],[41.9],[15.733334],[-5.05],[16.7],[-11.383333],[1366.],[140.],[84.],[15.246074],[398.],[270.],[392.],[300.]
1135067144,2009-08-31,2009,Québec,Chalciporus piperatus,CMMF010567,POINT (-71.306427 46.964353),21L,-71.3067062763375,46.9670278941486,"-213011,91+334224,46",,,,,F,2,JIN,D,1A,30.0,F,75.0,18,JIN,"{'PE': 0.3, 'BJ': 0.2, 'EO': 0.2, 'FT': 0.1, 'EP': 0.1, 'SB': 0.1}",0.002689433765476705,6,1.6957425341696346,[3.1416667],[10.033333],[24.003191],[1132.9584],[23.4],[-18.4],[41.8],[15.55],[-5.15],[16.5],[-11.483334],[1378.],[141.],[85.],[15.069558],[402.],[274.],[395.],[303.]
3456916341,2021-10-01T11:39:09,2021,Québec,Chalciporus piperatus,https://www.inaturalist.org/observations/96845783,POINT (-70.602647 47.360878),21M,-70.6032600821475,47.3613115500029,"-158460,64+376217,53",,,CP,,M,2,70,C,1A,30.0,MF,55.0,20,70,"{'PE': 0.3, 'BP': 0.2, 'EO': 0.1, 'SB': 0.2, 'EB': 0.1, 'EP': 0.1}",0.0007508896886991713,6,1.6957425341696346,[2.1833334],[9.383333],[22.998365],[1117.3494],[22.1],[-18.7],[40.800003],[12.95],[-12.066667],[15.583333],[-12.066667],[1244.],[139.],[83.],[15.557459],[364.],[257.],[345.],[257.]
1806349765,2013-08-10,2013,Québec,Chalciporus piperatus,https://www.inaturalist.org/observations/9573772,POINT (-67.531 48.84385),22B,-67.5247056042195,48.839779865036,"+71256,29+538170,98",,,,,F,3,JIR,D,6S,20.0,F,55.0,15,JIN,"{'PE': 0.5, 'BP': 0.3, 'EB': 0.1, 'RX': 0.1}",0.007495693221229222,4,1.1682824501765625,[3.1458335],[9.391666],[23.1893],[1091.0701],[22.7],[-17.8],[40.5],[13.450001],[-5.0166664],[16.233334],[-10.799999],[988.],[99.],[62.],[13.444025],[270.],[197.],[262.],[237.]
1135069689,2007-07-21,2007,Québec,Chalciporus piperatus,CMMF008289,POINT (-66.20075 48.856883),22B,-66.2016831952,48.856547007173,"+167833,25+542235,09",CT,1974.0,,,R,3,70,C,8AM,30.0,R,85.0,15,70,"{'SB': 0.7, 'EB': 0.1, 'EN': 0.1, 'BP': 0.1}",0.0009918389290158938,4,0.9404479886553263,[-0.11249992],[9.241667],[23.104166],[1088.0531],[19.7],[-20.3],[40.],[-10.533333],[-8.2],[13.283334],[-13.8],[1255.],[129.],[78.],[16.6094],[370.],[250.],[339.],[323.]
4908085409,2024-07-08T10:42,2024,Québec,Chalciporus piperatus,https://www.inaturalist.org/observations/228516593,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,27,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",0.0008042447836569114,5,1.4184836619456564,[4.0375],[11.091666],[25.151173],[1166.8082],[25.3],[-18.8],[44.1],[16.733334],[-9.983334],[17.583332],[-11.083333],[926.],[92.],[54.],[15.475691],[266.],[184.],[264.],[189.]
