gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617555807	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000972	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria zollingeri		SPECIES	Clavaria zollingeri Lév.	Clavaria zollingeri Lév.	Lév.	CA	Huntingdon	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.08503	-74.176467	7000.0						1990-07-07	7	7	1990	5244510	5244510	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000972		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:21.644Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617551791	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002862	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria zollingeri		SPECIES	Clavaria zollingeri Lév.	Clavaria zollingeri Lév.	Lév.	CA	Mont-Saint-Hilaire	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.569155	-73.169757	7000.0						1996-08-03	3	8	1996	5244510	5244510	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002862		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.653Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617547824	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001136	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria zollingeri		SPECIES	Clavaria zollingeri Lév.	Clavaria zollingeri Lév.	Lév.	CA	Laval	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.609608	-73.705867	17500.0						1990-08-17	17	8	1990	5244510	5244510	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001136		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.471Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
5008265610	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/235126314	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria zollingeri		SPECIES	Clavaria zollingeri Lév.	Clavaria zollingeri		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.521566	-75.804199	1605.0						2024-07-23T11:28	23	7	2024	5244510	5244510	HUMAN_OBSERVATION	iNaturalist	Observations	235126314		Gaby Beland	2024-08-11T16:58:35	CC_BY_NC_4_0	Mathilde Boual	Mathilde Boual			2025-01-14T13:42:20.712Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4976525996	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/241398199	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria zollingeri		SPECIES	Clavaria zollingeri Lév.	Clavaria zollingeri		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.396088	-73.978775	4.0						2024-09-12T16:10:29	12	9	2024	5244510	5244510	HUMAN_OBSERVATION	iNaturalist	Observations	241398199		luluzzz	2024-09-13T03:03:05	CC_BY_NC_4_0	luluzzz	luluzzz			2025-01-14T12:51:33.460Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4976519763	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/177098235	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria zollingeri		SPECIES	Clavaria zollingeri Lév.	Clavaria zollingeri		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.360286	-72.644581							2023-08-01T09:35:09	1	8	2023	5244510	5244510	HUMAN_OBSERVATION	iNaturalist	Observations	177098235		Vincent Laurie	2023-10-22T14:22:03	CC_BY_NC_4_0	Vincent Laurie	Vincent Laurie			2025-01-14T12:39:29.100Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4976479039	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/235206599	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria zollingeri		SPECIES	Clavaria zollingeri Lév.	Clavaria zollingeri		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.011928	-72.208695	13.0						2024-08-11T10:48:33	11	8	2024	5244510	5244510	HUMAN_OBSERVATION	iNaturalist	Observations	235206599		Memphrémagog Conservation	2024-08-11T21:24:45	CC_BY_NC_4_0	Memphrémagog Conservation	Memphrémagog Conservation			2025-01-14T13:42:21.083Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4976442725	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/234752109	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria zollingeri		SPECIES	Clavaria zollingeri Lév.	Clavaria zollingeri		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.77418	-72.822209	281.0						2024-08-06T12:10:33	6	8	2024	5244510	5244510	HUMAN_OBSERVATION	iNaturalist	Observations	234752109		pinets	2024-08-09T20:12:35	CC_BY_NC_4_0	pinets	pinets			2025-01-14T13:43:11.822Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4976440368	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/238304680	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria zollingeri		SPECIES	Clavaria zollingeri Lév.	Clavaria zollingeri		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.490895	-73.179142	2500.0						2024-08-27T14:47:18	27	8	2024	5244510	5244510	HUMAN_OBSERVATION	iNaturalist	Observations	238304680		pomontiglio	2024-08-27T20:46:30	CC_BY_NC_4_0	pomontiglio	pomontiglio			2025-01-14T13:42:55.944Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4976426234	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/178830872	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria zollingeri		SPECIES	Clavaria zollingeri Lév.	Clavaria zollingeri		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.567801	-75.716656	180.0						2023-08-15T09:46:05	15	8	2023	5244510	5244510	HUMAN_OBSERVATION	iNaturalist	Observations	178830872		Philippe Samborski	2023-08-17T13:04:51	CC_BY_NC_4_0	Philippe Samborski	Philippe Samborski			2025-01-14T12:40:05.807Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
