gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4407545602,2023-08-28T09:51,2023,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/181631351,POINT (-71.742964 45.345705),21E,-71.7433375869011,45.3451778544198,"-254379,59+155688,65",,,,,M,2,JIN,B,2A,20.0,MF,75.0,20,JIN,"{'EO': 0.5, 'BJ': 0.1, 'BP': 0.1, 'EB': 0.1, 'EU': 0.1, 'SB': 0.1}",0.0006461034246946075,6,1.4978661367769952,[4.791667],[10.766666],[26.19627],[1091.9308],[24.7],[-16.4],[41.1],[17.683334],[-8.116667],[17.683334],[-9.316667],[1100.],[127.],[60.],[21.589273],[352.],[201.],[352.],[221.]
4407212734,2023-09-02T14:57:02,2023,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/181429052,POINT (-71.929424 45.419113),21E,-71.9314535420994,45.419158498993,"-268806,06+164605,32",,,,,M,2,70,B,1A,40.0,MR,85.0,19,70,"{'EU': 0.5, 'SE': 0.1, 'TO': 0.1, 'EO': 0.2, 'BJ': 0.1}",0.0020300520416065117,5,1.3592367006650063,[5.204167],[10.675],[25.847458],[1102.4425],[25.2],[-16.1],[41.300003],[18.216667],[-7.883333],[18.216667],[-9.016666],[1053.],[128.],[50.],[27.352573],[354.],[169.],[354.],[189.]
4400364170,2023-08-17T13:22:37,2023,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/178995329,POINT (-71.920175 45.42065),21E,-71.9192657187108,45.4185146612916,"-267857,35+164482,18",,,,,F,2,50,C,1A,30.0,F,75.0,21,50,"{'EO': 0.4, 'FR': 0.2, 'PE': 0.2, 'ES': 0.1, 'FH': 0.1}",0.002320875667171827,5,1.4708084763221112,[5.2916665],[10.733334],[25.863455],[1103.7886],[25.4],[-16.1],[41.5],[18.316666],[-7.8333335],[18.316666],[-8.95],[1048.],[128.],[49.],[27.52484],[353.],[167.],[353.],[187.]
3988635538,2022-09-01T18:08:04,2022,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/133264141,POINT (-71.923058 45.193726),21E,-71.9247145705902,45.1942190836506,"-269528,02+139428,46",,,,,M,2,JIR,D,1A,20.0,MR,75.0,19,JIN,"{'TO': 0.5, 'EB': 0.1, 'BP': 0.3, 'FT': 0.1}",0.001728397409974556,4,1.1682824501765625,[4.7875],[10.508333],[25.946503],[1078.4714],[24.4],[-16.1],[40.5],[17.516666],[-7.9500003],[17.516666],[-9.116667],[1151.],[127.],[64.],[20.168823],[362.],[214.],[362.],[234.]
3902468283,2022-08-31T11:45:14,2022,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/133093883,POINT (-71.847228 45.373937),21E,-71.8470210499854,45.3735852933773,"-262436,06+159227,61",,,,,M,1,JIR,B,4GS,30.0,MF,75.0,22,JIN,"{'EO': 0.2, 'PE': 0.2, 'BJ': 0.1, 'FT': 0.1, 'PU': 0.2, 'EB': 0.1, 'PB': 0.1}",0.00040807579809467226,7,1.8866967846580784,[5.6583333],[11.083333],[26.45187],[1106.688],[26.],[-15.9],[41.9],[18.733334],[-7.4333334],[18.733334],[-8.616667],[1037.],[121.],[53.],[23.85869],[338.],[177.],[338.],[197.]
2988454343,2010-08-08T13:28,2010,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/22478438,POINT (-71.1653 45.8103),21E,-71.1645958097691,45.80898360627,"-207158,99+205412,73",,,,,M,2,VIR,B,1A,30.0,MM,75.0,18,VIN,"{'PB': 0.2, 'SB': 0.2, 'EU': 0.1, 'BP': 0.2, 'EO': 0.2, 'PE': 0.1}",0.0014929086823003966,6,1.7480673485460896,[4.175],[10.150001],[24.877453],[1097.8708],[23.9],[-16.9],[40.8],[17.183334],[-3.9833333],[17.183334],[-9.933333],[1112.],[130.],[67.],[20.160872],[354.],[212.],[354.],[235.]
2576428015,2019-08-24T10:38,2019,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/38805031,POINT (-71.1695 45.8215),21E,-71.1691945990486,45.8221141048857,"-207453,29+206848,77",,,,,M,2,JIN,B,1A,40.0,MF,85.0,18,JIN,"{'EO': 0.3, 'BP': 0.2, 'PE': 0.1, 'SB': 0.3, 'EU': 0.1}",0.0006858531561187534,5,1.5047882836811908,[4.133333],[10.133333],[24.836601],[1097.7277],[23.9],[-16.9],[40.8],[17.15],[-4.016667],[17.15],[-9.966667],[1121.],[131.],[68.],[19.615238],[355.],[217.],[355.],[238.]
2429192832,2018-09-22T10:43,2018,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/17969531,POINT (-71.626287 45.413098),21E,-71.625540911656,45.41658612076,"-244871,57+163219,72",P,,,,R,3,30,A,3AN,40.0,R,85.0,16,30,"{'EB': 0.4, 'EV': 0.4, 'EO': 0.2}",0.003567020360668581,3,1.0549201679861442,[4.7875],[10.925],[26.452785],[1095.2338],[24.8],[-16.5],[41.3],[17.716667],[-3.1],[17.716667],[-9.383333],[1129.],[127.],[64.],[18.487131],[350.],[220.],[350.],[237.]
4919602058,2024-07-20T17:37,2024,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/231504700,POINT (-71.41204 46.008177),21L,-71.4112321322211,46.0082450636706,"-225421,06+228213,38",,,,,M,4,50,D,1AM,20.0,MF,85.0,11,50,"{'EO': 0.3, 'BP': 0.2, 'FX': 0.1, 'SB': 0.2, 'EU': 0.1, 'PB': 0.1}",0.0008107299250950802,6,1.6957425341696346,[3.3999999],[9.9],[24.029125],[1123.3615],[23.5],[-17.7],[41.2],[16.766666],[-5.1833334],[16.766666],[-10.916667],[1311.],[140.],[85.],[15.572141],[395.],[261.],[395.],[306.]
4908710868,2013-09-01T12:23,2013,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/25336098,POINT (-71.829409 46.379169),21L,-71.8310128075654,46.3794582019242,"-255807,04+270999,34",,,,,R,4,50,A,7E,60.0,R,35.0,7,50,"{'EN': 0.9, 'ML': 0.1}",0.0016296737280219957,2,0.3250829733914482,[4.1916666],[10.516666],[24.571651],[1147.7604],[24.6],[-18.2],[42.800003],[17.566666],[-4.55],[17.566666],[-10.666667],[1145.],[120.],[65.],[18.38637],[346.],[216.],[346.],[239.]
4599943758,2022-08-28T10:09:48,2022,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/132672096,POINT (-71.057714 46.87907),21L,-71.0572795434841,46.8785871505661,"-194570,84+323816,84",,,,,F,1,VIN,A,1A,30.0,F,85.0,22,VIN,"{'HG': 0.6, 'ES': 0.4}",0.0006495352492592132,2,0.6730116670092565,[4.0125],[9.975],[23.63744],[1147.2638],[24.5],[-17.7],[42.2],[16.6],[-9.6],[17.633333],[-10.683333],[1264.],[135.],[71.],[19.457329],[381.],[232.],[380.],[255.]
4597320557,2023-10-02,2023,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/193379833,POINT (-71.214629 46.910524),21L,-71.2148628019427,46.9096192774913,"-206419,69+327696,89",,,,,F,2,VIN,C,1A,30.0,F,85.0,20,VIN,"{'HG': 0.5, 'EO': 0.2, 'ES': 0.2, 'BJ': 0.1}",0.0009344443087517114,4,1.2206072645530173,[3.8875],[10.241667],[23.87335],[1162.8964],[24.9],[-18.],[42.9],[16.6],[-9.783334],[17.75],[-11.05],[1330.],[138.],[79.],[15.944893],[390.],[263.],[386.],[284.]
4535747687,2023-08-06,2023,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/201114861,POINT (-71.235187 46.92028),21L,-71.2347842666099,46.9208594198768,"-207947,87+329032,26",,,,,M,2,VIR,C,1A,30.0,MF,75.0,18,VIN,"{'BJ': 0.3, 'EO': 0.2, 'ES': 0.1, 'HG': 0.1, 'SB': 0.2, 'EP': 0.1}",0.0007056355837993836,6,1.6957425341696346,[3.3958333],[10.308333],[23.917248],[1164.3228],[24.5],[-18.6],[43.1],[16.116667],[-5.1],[17.316668],[-11.533334],[1385.],[141.],[87.],[13.877102],[399.],[280.],[395.],[309.]
4528167190,2023-09-23,2023,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/195078644,POINT (-71.401981 46.957526),21L,-71.4024783904748,46.9565999880289,"-220487,32+333426,12",,,,,M,2,VIR,D,1AY,20.0,MF,85.0,20,VIN,"{'BJ': 0.4, 'ER': 0.2, 'HG': 0.1, 'SB': 0.2, 'RX': 0.1}",0.0010511400739383883,5,1.4708084763221112,[3.4958334],[10.075],[23.931116],[1140.6765],[23.9],[-18.2],[42.1],[15.966666],[-4.85],[16.933332],[-11.266666],[1324.],[137.],[79.],[16.687054],[391.],[255.],[381.],[286.]
