gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4607275375,2019-09-17T15:31:56,2019.0,Québec,Climacodon septentrionalis,https://www.inaturalist.org/observations/32908515,POINT (-71.937387 45.187564),21E,-71.9363528901679,45.1911654623595,"-270511,38+139416,74",,,,,M,3,JIR,D,1A,30.0,MF,45.0,16,JIN,"{'EO': 0.3, 'BP': 0.2, 'PE': 0.2, 'EB': 0.3}",0.003746987359431164,4,1.366158847569202,[4.9375],[10.641666],[26.1466],[1078.2037],[24.7],[-16.],[40.7],[17.683334],[-7.8],[17.683334],[-8.95],[1132.],[125.],[63.],[20.069277],[356.],[211.],[356.],[229.]
4453982053,2023-09-23T13:32,2023.0,Québec,Climacodon septentrionalis,https://www.inaturalist.org/observations/186946873,POINT (-71.205014 45.478178),21E,-71.2039607664272,45.4795538174036,"-211594,00+168877,62",,,,,F,2,VIN,B,1A,30.0,F,85.0,20,VIN,"{'BJ': 0.4, 'ES': 0.3, 'EO': 0.2, 'RX': 0.1}",0.0017326784141688883,4,1.2798542258336674,[3.6583333],[10.416667],[25.912106],[1076.0742],[23.],[-17.2],[40.2],[16.366667],[-4.2166667],[16.366667],[-10.200001],[1319.],[141.],[84.],[14.806743],[388.],[269.],[388.],[293.]
4413964467,2023-09-05T16:40:56,2023.0,Québec,Climacodon septentrionalis,https://www.inaturalist.org/observations/182418434,POINT (-71.973992 45.275212),21E,-71.9721044803051,45.2725430296728,"-272779,42+148458,60",,,,,F,2,JIR,D,1A,31.0,F,75.0,21,JIN,"{'EO': 0.4, 'FR': 0.2, 'BJ': 0.1, 'ES': 0.1, 'FT': 0.1, 'RX': 0.1}",0.003268965158283249,6,1.6094379124341,[5.383333],[10.616667],[25.894308],[1086.0234],[25.2],[-15.8],[41.],[18.2],[-7.5333333],[18.2],[-8.616667],[1071.],[122.],[56.],[22.669184],[344.],[190.],[344.],[208.]
4407404356,2023-08-31T18:38:42,2023.0,Québec,Climacodon septentrionalis,https://www.inaturalist.org/observations/181122686,POINT (-71.113724 45.828156),21E,-71.1181493729847,45.8223017260785,"-203562,08+206811,80",,,,,F,2,JIR,D,1AM,20.0,F,65.0,18,70,"{'PE': 0.4, 'EO': 0.3, 'BP': 0.2, 'SB': 0.1}",0.007338695333753437,4,1.2798542258336674,[4.1666665],[10.233334],[24.89862],[1104.7714],[24.],[-17.1],[41.1],[17.233334],[-4.25],[17.233334],[-10.],[1105.],[129.],[66.],[20.246447],[353.],[212.],[353.],[231.]
3759887709,2021-10-19T13:51:34,2021.0,Québec,Climacodon septentrionalis,https://www.inaturalist.org/observations/98723916,POINT (-71.975113 45.206805),21E,-71.9735732277792,45.2082202266729,"-273245,23+141317,45",,,,,M,2,JIN,C,1A,30.0,MF,85.0,21,JIN,"{'EO': 0.5, 'BP': 0.1, 'FR': 0.1, 'TO': 0.2, 'EB': 0.1}",0.002091354830632858,5,1.3592367006650063,[5.2125],[10.625],[26.105652],[1073.0079],[25.],[-15.7],[40.7],[17.95],[-7.5666666],[17.95],[-8.533334],[1097.],[122.],[60.],[20.841656],[346.],[201.],[346.],[220.]
1898826798,2018-08-21T14:39:44,2018.0,Québec,Climacodon septentrionalis,https://www.inaturalist.org/observations/15763459,POINT (-71.071069 45.738325),21E,-71.0708269466556,45.7373469362309,"-200150,97+197148,65",,,,,F,2,VIN,B,1A,30.0,F,85.0,19,VIN,"{'ES': 0.5, 'BJ': 0.2, 'EO': 0.2, 'FT': 0.1}",0.001007570621825383,4,1.2206072645530173,[3.525],[10.2],[25.310173],[1088.4382],[23.],[-17.3],[40.3],[16.433334],[-4.6],[16.433334],[-10.45],[1221.],[139.],[76.],[18.25068],[379.],[239.],[379.],[262.]
1412703143,1928-08-01/1928-08-31,1928.0,Québec,Climacodon septentrionalis,CMMF011662,POINT (-71.816667 45.966667),21E,-71.8202394541418,45.9686647380498,"-257263,98+225247,51",,,,,M,2,70,D,1A,30.0,MR,75.0,18,70,"{'EB': 0.3, 'SB': 0.2, 'TO': 0.1, 'EO': 0.2, 'BJ': 0.1, 'BP': 0.1}",0.004093090019888992,6,1.6957425341696346,[4.25],[10.216666],[24.5004],[1132.9426],[24.4],[-17.3],[41.699997],[17.583334],[-4.2666664],[17.583334],[-10.333333],[1218.],[126.],[72.],[18.19263],[372.],[230.],[372.],[261.]
5008273508,2024-08-24T13:54:22,2024.0,Québec,Climacodon septentrionalis,https://www.inaturalist.org/observations/237686663,POINT (-71.287038 46.897808),21L,-71.2883322806962,46.8996636686496,"-211974,38+326853,30",,,CP,,M,3,JIR,B,1A,30.0,MF,65.0,16,JIN,"{'EO': 0.3, 'BJ': 0.2, 'FI': 0.1, 'FT': 0.1, 'SB': 0.2, 'RX': 0.1}",0.002262447492800626,6,1.6957425341696346,[4.133333],[10.400001],[23.908047],[1179.0411],[25.6],[-17.9],[43.5],[17.],[-4.4333334],[18.233334],[-11.],[1330.],[137.],[79.],[15.682893],[393.],[266.],[384.],[284.]
5008096464,2020-08-16T08:55,2020.0,Québec,Climacodon septentrionalis,https://www.inaturalist.org/observations/257133626,POINT (-71.848324 46.666334),21L,-71.8483975935675,46.6667211427682,"-256034,90+302817,94",,,,,F,1,VIN,D,5SY,20.0,F,85.0,23,VIN,"{'ES': 0.5, 'FT': 0.3, 'BJ': 0.2}",0.0003940755462460808,3,1.0296530140645737,[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38]
4950413808,2024-08-11T10:22:48,2024.0,Québec,Climacodon septentrionalis,https://www.inaturalist.org/observations/238101793,POINT (-71.12395 46.853658),21L,-71.1229124953397,46.8536341436023,"-199627,05+321076,60",,,,,F,1,VIN,A,6S,30.0,F,85.0,22,VIN,"{'HG': 0.5, 'FT': 0.2, 'EO': 0.1, 'ES': 0.1, 'RX': 0.1}",0.0010377789012272617,5,1.3592367006650063,[4.304167],[9.925],[23.574821],[1143.4148],[24.7],[-17.4],[42.1],[16.9],[-9.333333],[17.833334],[-10.383333],[1236.],[134.],[68.],[20.52056],[378.],[223.],[373.],[247.]
