gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
2366023254,2019-07-02T08:57:08,2019,Québec,Conocybe apala,https://www.inaturalist.org/observations/28053722,POINT (-71.812867 45.477192),21E,-71.8111635092963,45.4779887054304,"-259070,18+170705,79",,,,,F,2,JIR,B,2A,30.0,F,65.0,17,JIN,"{'EO': 0.3, 'PE': 0.3, 'BG': 0.2, 'PB': 0.1, 'RX': 0.1}",0.0018805903648539135,5,1.5047882836811908,[4.804167],[10.708334],[25.92817],[1101.1946],[24.8],[-16.5],[41.3],[17.766666],[-8.25],[17.766666],[-9.416667],[1077.],[127.],[55.],[23.96363],[351.],[184.],[351.],[204.]
4600107897,2023-07-29,2023,Québec,Conocybe apala,https://www.inaturalist.org/observations/203234880,POINT (-71.331093 46.78981),21L,-71.3325614923049,46.7921684724692,"-215700,37+315184,57",,,,,F,2,JIR,A,5A,40.0,F,85.0,17,JIN,"{'EO': 0.6, 'FI': 0.1, 'FT': 0.1, 'ML': 0.1, 'RX': 0.1}",0.002778284009516953,5,1.2275294114572126,[5.054167],[10.275001],[23.566513],[1187.0599],[26.7],[-16.9],[43.6],[17.983334],[-8.933333],[19.25],[-10.15],[1226.],[129.],[68.],[17.313992],[369.],[243.],[360.],[249.]
4171886841,2023-07-28T19:13:36,2023,Québec,Conocybe apala,https://www.inaturalist.org/observations/175634318,POINT (-71.349997 46.754493),21L,-71.345758394446,46.7524758684317,"-217122,46+310348,93",,,,,F,2,VIN,D,5A,40.0,F,75.0,20,VIN,"{'FH': 0.5, 'PE': 0.2, 'ER': 0.1, 'FN': 0.1, 'RX': 0.1}",0.004694102342969908,5,1.3592367006650063,[4.8916664],[9.983334],[23.435055],[1160.8615],[25.9],[-16.7],[42.6],[17.666666],[-8.85],[18.716667],[-9.983334],[1201.],[127.],[67.],[17.158014],[360.],[235.],[354.],[247.]
4162549012,2023-07-18T12:49:07,2023,Québec,Conocybe apala,https://www.inaturalist.org/observations/173667228,POINT (-71.245283 46.809695),21L,-71.2413595058934,46.8017853024566,"-208984,18+315815,55",,,,,F,1,VIR,B,5S,20.0,F,65.0,24,VIN,"{'ES': 0.6, 'FT': 0.4}",0.008829333000434153,2,0.6730116670092565,[5.3333335],[10.5],[23.755655],[1200.3926],[27.5],[-16.7],[44.2],[18.433334],[-8.716667],[19.833334],[-9.966667],[1251.],[134.],[68.],[18.208982],[377.],[245.],[374.],[247.]
4162257760,2023-07-11T07:51:42,2023,Québec,Conocybe apala,https://www.inaturalist.org/observations/172401807,POINT (-71.246942 46.80586),21L,-71.2481443661868,46.801176151563,"-209427,56+315761,93",,,,,F,3,JIR,F,5S,20.0,F,75.0,16,JIN,"{'ES': 0.4, 'FN': 0.2, 'FT': 0.2, 'EO': 0.1, 'PE': 0.1}",0.0048357130423540865,5,1.4708084763221112,[5.2625],[10.458333],[23.71504],[1197.0002],[27.4],[-16.7],[44.1],[18.333332],[-8.75],[19.716667],[-9.983334],[1254.],[134.],[69.],[17.781271],[376.],[247.],[374.],[250.]
4153984841,2023-07-10T12:33:25,2023,Québec,Conocybe apala,https://www.inaturalist.org/observations/172229292,POINT (-71.277794 46.775859),21L,-71.2744664790037,46.7753598795118,"-211507,98+312972,70",,,,,F,2,VIR,A,1A,30.0,F,85.0,18,VIN,"{'ES': 0.6, 'EO': 0.2, 'FI': 0.1, 'FT': 0.1}",0.0033647462374623498,4,1.0888999753452235,[5.0458336],[10.358334],[23.541666],[1199.6201],[27.1],[-16.9],[44.],[18.133333],[-8.983334],[19.55],[-10.216666],[1266.],[134.],[72.],[16.708242],[379.],[256.],[374.],[261.]
1135071021,2007-07-13,2007,Québec,Conocybe apala,CMMF009519,POINT (-71.297755 46.946241),21L,-71.299219087451,46.9489125306201,"-212684,40+332223,99",,,CP,,R,3,5090,A,1A,40.0,R,55.0,15,50,"{'SB': 0.5, 'EP': 0.2, 'EN': 0.1, 'EO': 0.1, 'FI': 0.1}",0.0030464123027411877,5,1.3592367006650063,[3.4041667],[10.058333],[23.89153],[1143.0709],[23.9],[-18.2],[42.1],[15.916667],[-4.9666667],[16.933332],[-11.333334],[1360.],[140.],[82.],[15.6252],[399.],[269.],[392.],[295.]
1135070188,2006-07-05,2006,Québec,Conocybe apala,CMMF008705,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,18,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",0.004029905739944569,5,1.4184836619456564,[3.1291666],[10.041667],[23.90873],[1137.7439],[23.5],[-18.5],[42.],[15.599999],[-5.2000003],[16.583334],[-11.533334],[1380.],[141.],[85.],[14.94956],[401.],[274.],[396.],[305.]
1135066972,2008-06-30,2008,Québec,Conocybe apala,CMMF010373,POINT (-71.301288 46.887678),21L,-71.302130419587,46.8890810275723,"-213305,25+325651,83",,,CP,,F,2,JIR,C,1A,30.0,F,35.0,18,JIN,"{'EO': 0.3, 'PE': 0.2, 'BP': 0.1, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1, 'SE': 0.1}",0.0016365076013276567,7,1.8343719702816235,[4.295833],[10.408333],[23.927202],[1179.2225],[25.8],[-17.7],[43.5],[17.15],[-9.55],[18.383333],[-10.85],[1316.],[136.],[76.],[15.929979],[389.],[262.],[382.],[276.]
4400305702,2023-07-13T11:58:52,2023,Québec,Conocybe apala,https://www.inaturalist.org/observations/172694148,POINT (-75.654963 45.489182),31G,-75.6520336401237,45.4991799233757,"-558654,93+195006,46",,,,,F,2,JIR,E,5A,30.0,F,75.0,20,JIN,"{'BJ': 0.3, 'FT': 0.3, 'ER': 0.2, 'FI': 0.1, 'RX': 0.1}",0.0104182350286017,5,1.5047882836811908,[5.7999997],[10.566667],[24.516628],[1164.0134],[26.8],[-16.3],[43.1],[19.45],[-8.099999],[19.45],[-9.25],[950.],[94.],[56.],[15.44172],[275.],[183.],[275.],[197.]
