gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4171989254,2023-08-03T17:36:37,2023.0,Québec,Coprinellus disseminatus,https://www.inaturalist.org/observations/176536444,POINT (-71.317971 46.821136),21L,-71.3152412487321,46.8180182600641,"-214450,65+317837,10",,,,,F,3,JIR,A,3AN,50,F,65.0,16,JIN,"{'PE': 0.4, 'EO': 0.2, 'FH': 0.2, 'FN': 0.1, 'FT': 0.1}",0.004143892408419917,5,1.4708084763221112,[5.05],[10.45],[23.8041],[1192.3048],[26.9],[-17.],[43.9],[18.033333],[-8.966666],[19.333334],[-10.233334],[1237.],[130.],[69.],[17.646683],[374.],[242.],[364.],[252.]
4925990011,2024-08-14T09:01,2024.0,Québec,Coprinellus disseminatus,https://www.inaturalist.org/observations/235988482,POINT (-75.833848 45.413487),31G,-75.8335828338328,45.4140989612097,"-573662,42+186883,25",,,,,M,3,JIN,A,5A,40,MR,85.0,16,JIN,"{'TO': 0.7, 'FI': 0.1, 'FO': 0.1, 'FT': 0.1}",0.0006669404909003701,4,0.9404479886553263,[5.525],[10.083333],[23.669796],[1155.6138],[26.2],[-16.4],[42.6],[19.083334],[-8.4],[19.083334],[-9.366667],[934.],[89.],[58.],[13.692454],[263.],[188.],[263.],[202.]
4923656858,2024-08-12T12:49,2024.0,Québec,Coprinellus disseminatus,https://www.inaturalist.org/observations/235418365,POINT (-75.8321 45.416011),31G,-75.8316438920482,45.4165925687126,"-573565,87+187319,07",,,CP,,M,1,VIR,A,5A,40,MF,75.0,23,VIN,"{'PE': 0.3, 'BP': 0.2, 'FR': 0.1, 'FT': 0.1, 'EB': 0.1, 'RX': 0.1, 'SB': 0.1}",0.0007390917609929877,7,1.8343719702816235,[5.5625],[10.108334],[23.784313],[1156.5134],[26.2],[-16.3],[42.5],[19.15],[-8.333333],[19.15],[-9.35],[931.],[89.],[58.],[14.018459],[264.],[187.],[264.],[202.]
4910780139,2024-07-16T19:04:21,2024.0,Québec,Coprinellus disseminatus,https://www.inaturalist.org/observations/230992384,POINT (-75.831259 45.420827),31G,-75.8310672215407,45.4212472754739,"-573396,97+187847,07",,,,,F,4,30,A,7T,50,F,85.0,9,30,"{'FO': 0.7, 'BJ': 0.1, 'EO': 0.1, 'SB': 0.1}",0.00046196369057719555,4,0.9404479886553263,[5.4625],[10.208333],[23.907104],[1158.1375],[26.2],[-16.5],[42.7],[18.133333],[-8.45],[19.033333],[-9.5],[936.],[89.],[59.],[13.813769],[264.],[187.],[263.],[204.]
4908686954,2024-05-22T10:56:07,2024.0,Québec,Coprinellus disseminatus,https://www.inaturalist.org/observations/226769456,POINT (-75.708337 45.44998),31G,-75.7066096400267,45.4487107766317,"-563364,05+189730,45",,,CP,,F,1,VIR,A,3AN,50,F,65.0,26,VIN,"{'EA': 0.4, 'FT': 0.4, 'EO': 0.1, 'FR': 0.1}",0.0021435252356796913,4,1.193549604098133,[6.2125],[10.358334],[24.089148],[1164.8159],[27.2],[-15.8],[43.],[19.9],[-7.666667],[19.9],[-8.833333],[908.],[87.],[55.],[15.061312],[260.],[176.],[260.],[191.]
4904321213,2024-06-30T16:03:45,2024.0,Québec,Coprinellus disseminatus,https://www.inaturalist.org/observations/226288286,POINT (-75.225883 45.851303),31G,-75.2250642465723,45.8527484655492,"-521618,97+230806,74",,,,,F,2,JIN,D,1AM,20,F,95.0,20,JIN,"{'ES': 0.6, 'FT': 0.3, 'FI': 0.1}",0.0016612428568013556,3,0.8979457248567797,[3.9208333],[11.025001],[25.344828],[1156.3529],[24.8],[-18.7],[43.5],[12.55],[-9.966667],[17.333334],[-11.066667],[1090.],[113.],[70.],[15.363576],[320.],[217.],[308.],[226.]
4442404509,2022-07-29T12:10:52,2022.0,Québec,Coprinellus disseminatus,https://www.inaturalist.org/observations/128549103,POINT (-75.835813 45.419533),31G,-75.835978780446,45.4204441063387,"-573871,22+187744,84",,,CP,,F,1,VIR,A,5A,30,F,95.0,22,VIN,"{'ES': 0.4, 'FR': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",0.0009260658274069157,5,1.4184836619456564,[5.4416666],[10.2],[23.887587],[1158.7294],[26.2],[-16.5],[42.7],[18.133333],[-8.483334],[19.016666],[-9.533333],[938.],[90.],[59.],[13.908649],[266.],[188.],[265.],[205.]
4414115188,2023-09-17T14:06:36,2023.0,Québec,Coprinellus disseminatus,https://www.inaturalist.org/observations/183745760,POINT (-74.075043 45.623411),31G,-74.0747058957034,45.6247974825583,"-434649,15+197972,65",,,,,F,1,VIN,B,1A,30,F,95.0,29,VIN,"{'ES': 0.9, 'HG': 0.1}",0.0014268753243566325,2,0.3250829733914482,[5.3708334],[10.275],[24.290781],[1161.2327],[25.9],[-16.4],[42.3],[7.7833333],[-8.516666],[18.95],[-9.666667],[1033.],[100.],[63.],[14.084994],[287.],[209.],[285.],[228.]
4407275363,2020-07-24T10:03:43,2020.0,Québec,Coprinellus disseminatus,https://www.inaturalist.org/observations/54203603,POINT (-75.82914 45.424301),31G,-75.8302443405263,45.423318717763,"-573498,37+188126,71",,,,,M,3,JIN,A,7T,50,MR,85.0,14,JIN,"{'TO': 0.6, 'SB': 0.1, 'BJ': 0.1, 'FH': 0.1, 'FI': 0.1}",0.0014779872770671473,5,1.2275294114572126,[5.4625],[10.208333],[23.907104],[1158.1375],[26.2],[-16.5],[42.7],[18.133333],[-8.45],[19.033333],[-9.5],[936.],[89.],[59.],[13.813769],[264.],[187.],[263.],[204.]
4171365310,2018-06-03T14:00,2018.0,Québec,Coprinellus disseminatus,https://www.inaturalist.org/observations/13172413,POINT (-74.08633 45.6229),31G,-74.0872379177875,45.6252685811725,"-435480,26+198085,49",,,,,F,1,VIN,B,1A,30,F,95.0,28,VIN,"{'ES': 0.9, 'FT': 0.1}",0.0025366299453348693,2,0.3250829733914482,[5.4083333],[10.283333],[24.31048],[1162.1724],[25.9],[-16.4],[42.3],[7.7999997],[-8.483334],[19.],[-9.65],[1027.],[100.],[62.],[14.778017],[287.],[205.],[284.],[226.]
