gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4528184210,2023-09-23,2023,Québec,Coprinopsis lagopus,https://www.inaturalist.org/observations/195078229,POINT (-71.40211 46.955497),21L,-71.4010084596053,46.9553118492697,"-220369,09+333197,66",,,,,F,2,JIR,D,1A,30,F,85.0,19,JIN,"{'ES': 0.4, 'BJ': 0.2, 'EO': 0.1, 'HG': 0.1, 'SB': 0.2}",0.0011169924055638603,5,1.4708084763221112,[3.4958334],[10.075],[23.931116],[1140.6765],[23.9],[-18.2],[42.1],[15.966666],[-4.85],[16.933332],[-11.266666],[1324.],[137.],[79.],[16.687054],[391.],[255.],[381.],[286.]
2550032638,2019-07-24,2019,Québec,Coprinopsis lagopus,https://www.inaturalist.org/observations/37102466,POINT (-71.323114 46.845706),21L,-71.3227148162565,46.8488984638912,"-215003,77+321427,24",,,,,F,2,JIR,B,5A,40,F,75.0,18,JIN,"{'EO': 0.2, 'FH': 0.2, 'PE': 0.2, 'ES': 0.1, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1}",0.0032173239435467084,7,1.8866967846580782,[4.7791667],[10.441667],[23.839422],[1191.129],[26.6],[-17.2],[43.800003],[17.75],[-9.2],[19.05],[-10.483334],[1267.],[132.],[72.],[16.885628],[379.],[248.],[371.],[261.]
1135071377,2007-09-10,2007,Québec,Coprinopsis lagopus,CMMF009979,POINT (-71.284979 46.950203),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30,F,75.0,18,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",0.0009568191481111001,6,1.6094379124341,[3.25],[10.],[23.866348],[1137.5712],[23.6],[-18.3],[41.9],[15.7],[-5.0833335],[16.683334],[-11.433333],[1370.],[140.],[84.],[14.961075],[399.],[273.],[393.],[300.]
1135070515,2006-09-01,2006,Québec,Coprinopsis lagopus,CMMF009090,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30,F,75.0,18,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",0.00037713547201871704,6,1.6094379124341,[3.3208334],[10.091666],[23.857368],[1144.1997],[23.9],[-18.4],[42.3],[15.833333],[-5.05],[16.866667],[-11.433333],[1369.],[140.],[83.],[15.337091],[400.],[271.],[394.],[299.]
1135070439,2006-08-16,2006,Québec,Coprinopsis lagopus,CMMF008963,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30,F,75.0,18,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",0.00037713547201871704,6,1.6094379124341,[3.3208334],[10.091666],[23.857368],[1144.1997],[23.9],[-18.4],[42.3],[15.833333],[-5.05],[16.866667],[-11.433333],[1369.],[140.],[83.],[15.337091],[400.],[271.],[394.],[299.]
1135070398,2006-08-22,2006,Québec,Coprinopsis lagopus,CMMF009011,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30,F,75.0,18,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",0.00037713547201871704,6,1.6094379124341,[3.3208334],[10.091666],[23.857368],[1144.1997],[23.9],[-18.4],[42.3],[15.833333],[-5.05],[16.866667],[-11.433333],[1369.],[140.],[83.],[15.337091],[400.],[271.],[394.],[299.]
1135066912,2008-06-22,2008,Québec,Coprinopsis lagopus,CMMF010313,POINT (-71.280826 46.776357),21L,-71.2744664790037,46.7753598795118,"-211507,98+312972,70",,,,,F,2,VIR,A,1A,30,F,85.0,18,VIN,"{'ES': 0.6, 'EO': 0.2, 'FI': 0.1, 'FT': 0.1}",0.006437216523494361,4,1.0888999753452235,[5.0458336],[10.358334],[23.541666],[1199.6201],[27.1],[-16.9],[44.],[18.133333],[-8.983334],[19.55],[-10.216666],[1266.],[134.],[72.],[16.708242],[379.],[256.],[374.],[261.]
4405117376,2021-08-07T10:44,2021,Québec,Coprinopsis lagopus,https://www.inaturalist.org/observations/92732423,POINT (-76.523316 45.886279),31F,-76.522273422799,45.8869964911676,"-621515,27+245116,08",,,CDL,1984.0,M,1,VIR,D,2BE,30,MR,75.0,27,VIN,"{'PB': 0.5, 'SE': 0.2, 'ER': 0.2, 'BJ': 0.1}",0.0012656068882590014,4,1.2206072645530173,[4.0416665],[11.083333],[25.132275],[1166.5038],[25.3],[-18.8],[44.1],[16.733334],[-9.983334],[17.566666],[-11.083333],[927.],[92.],[55.],[14.469961],[266.],[187.],[262.],[190.]
4421225963,2023-09-23T10:48:47,2023,Québec,Coprinopsis lagopus,https://www.inaturalist.org/observations/184941698,POINT (-74.188195 45.379283),31G,-74.1881753237916,45.3800420230609,"-445487,17+171477,18",,,,,F,3,50,B,5S,30,F,95.0,14,50,"{'CR': 0.4, 'FT': 0.3, 'EO': 0.2, 'RX': 0.1}",0.0007592780519391958,4,1.2798542258336674,[5.6583333],[9.716666],[23.47021],[1140.3265],[25.7],[-15.7],[41.4],[19.016666],[-8.083333],[19.016666],[-9.016666],[1027.],[101.],[61.],[15.824159],[294.],[199.],[294.],[213.]
3384375539,2021-09-19T09:56:43,2021,Québec,Coprinopsis lagopus,https://www.inaturalist.org/observations/95395993,POINT (-75.970214 45.75094),31G,-75.9703533196513,45.7506941253352,"-580516,66+225361,98",,,,,M,3,JIR,A,7T,50,MR,75.0,16,JIN,"{'SB': 0.4, 'EN': 0.1, 'TO': 0.1, 'FO': 0.2, 'PE': 0.2}",0.00028260275304269804,5,1.4708084763221114,[4.4708333],[10.875],[24.828766],[1166.5459],[25.6],[-18.2],[43.800003],[13.233334],[-9.616667],[18.066668],[-10.616667],[1000.],[99.],[62.],[15.204904],[286.],[197.],[284.],[208.]
