gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
727877164	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	18643	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius alboviolaceus		SPECIES	Cortinarius alboviolaceus (Pers.) Fr.	Cortinarius alboviolaceus (Pers.) Fr.	(Pers.) Fr.	CA	Ottawa-Nepean Municipal Camping Grounds, Corktown Rd	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.333323	-75.860681	273.0						1972-09-15	15	9	1972	9063976	7844497	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC047916	72-58	Malloch, D.W.W.		CC0_1_0	Royal Ontario Museum	Weresub, L.K.;			2024-01-25T00:59:38.759Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
727875085	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14388	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius alboviolaceus		SPECIES	Cortinarius alboviolaceus (Pers.) Fr.	Cortinarius alboviolaceus (Pers.) Fr.	(Pers.) Fr.	CA	University of Toronto Forest	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.183005	-78.85025	7575.0						1963-09-12	12	9	1963	9063976	7844497	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC040499		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.609Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
727874949	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14166	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius alboviolaceus		SPECIES	Cortinarius alboviolaceus (Pers.) Fr.	Cortinarius alboviolaceus (Pers.) Fr.	(Pers.) Fr.	CA	S of Dorset	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.23936	-78.888359	1499.0						1963-09-10	10	9	1963	9063976	7844497	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC050101		Luck-Allen, E.R.		CC0_1_0	Royal Ontario Museum	Luck-Allen, E.R.			2024-01-25T00:59:40.268Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
727874947	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14165	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius alboviolaceus		SPECIES	Cortinarius alboviolaceus (Pers.) Fr.	Cortinarius alboviolaceus (Pers.) Fr.	(Pers.) Fr.	CA	University of Toronto Forest	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.183005	-78.85025	7575.0						1963-09-10	10	9	1963	9063976	7844497	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC050097		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.268Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
727874875	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14021	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius alboviolaceus		SPECIES	Cortinarius alboviolaceus (Pers.) Fr.	Cortinarius alboviolaceus (Pers.) Fr.	(Pers.) Fr.	CA	Algonquin Provincial Park	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.759859	-78.376465	67511.0						2007-09-29	29	9	2007	9063976	7844497	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC156858	ALG07_34			CC0_1_0	Royal Ontario Museum	Didukh, M.; Dentiger, B.			2024-01-25T00:59:40.044Z	StillImage	COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
727873579	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	10878	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius alboviolaceus		SPECIES	Cortinarius alboviolaceus (Pers.) Fr.	Cortinarius alboviolaceus (Pers.) Fr.	(Pers.) Fr.	CA	Algonquin Provincial Park, near Lake of Two Rivers	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.577222	-78.479547	3115.0						1988-10-02	2	10	1988	9063976	7844497	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC051164		Summerbell, R.C.		CC0_1_0	Royal Ontario Museum	Malloch, D.W.			2024-01-25T00:59:40.436Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156941	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13762	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius alboviolaceus		SPECIES	Cortinarius alboviolaceus (Pers.) Fr.	Cortinarius alboviolaceus (Pers.) Fr.	(Pers.) Fr.	CA	Algonquin Provincial Park	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.759859	-78.376465	67511.0						2006-09-30	30	9	2006	9063976	7844497	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC150928	MD_ALG06_16	Maryna Didukh		CC0_1_0	Royal Ontario Museum	Maryna Didukh			2024-01-25T00:59:38.092Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
617553968	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000384	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius alboviolaceus		SPECIES	Cortinarius alboviolaceus (Pers.) Fr.	Cortinarius alboviolaceus (Pers.) Fr.	(Pers.) Fr.	CA	Knowlton	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.21836	-72.508084	2000.0						1988-09-24	24	9	1988	9063976	7844497	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000384		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.836Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617553277	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003528	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius alboviolaceus		SPECIES	Cortinarius alboviolaceus (Pers.) Fr.	Cortinarius alboviolaceus (Pers.) Fr.	(Pers.) Fr.	CA	Rawdon	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.052398	-73.748752	11000.0						2000-09-21	21	9	2000	9063976	7844497	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003528		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.227Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617548073	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001247	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius alboviolaceus		SPECIES	Cortinarius alboviolaceus (Pers.) Fr.	Cortinarius alboviolaceus (Pers.) Fr.	(Pers.) Fr.	CA	Saint-Hippolyte	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.931985	-74.025434	13000.0						1990-09-23	23	9	1990	9063976	7844497	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001247		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.552Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4980624818	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/250060772	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius alboviolaceus		SPECIES	Cortinarius alboviolaceus (Pers.) Zawadzki	Cortinarius alboviolaceus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.533609	-74.206981							2022-09-29T16:07:31	29	9	2022	7844497	7844497	HUMAN_OBSERVATION	iNaturalist	Observations	250060772		Chantal Gauthier	2024-11-01T22:12:17	CC_BY_NC_4_0	Chantal Gauthier	Chantal Gauthier			2025-01-14T12:53:10.489Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952244877	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/245262374	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius alboviolaceus		SPECIES	Cortinarius alboviolaceus (Pers.) Zawadzki	Cortinarius alboviolaceus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.351052	-75.587342							2024-10-02T11:40	2	10	2024	7844497	7844497	HUMAN_OBSERVATION	iNaturalist	Observations	245262374		Igor Khomenko	2024-10-03T00:05:00	CC_BY_NC_4_0	Igor Khomenko	Igor Khomenko			2025-01-14T12:52:33.570Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4949933621	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/240766005	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius alboviolaceus		SPECIES	Cortinarius alboviolaceus (Pers.) Zawadzki	Cortinarius alboviolaceus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.105573	-76.339714	190.0						2024-09-08T11:35	8	9	2024	7844497	7844497	HUMAN_OBSERVATION	iNaturalist	Observations	240766005		Igor Khomenko	2024-09-09T15:51:25	CC_BY_NC_4_0	Igor Khomenko	Igor Khomenko			2025-01-14T12:51:33.445Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4417021133	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/184900602	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius alboviolaceus		SPECIES	Cortinarius alboviolaceus (Pers.) Zawadzki	Cortinarius alboviolaceus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.460312	-76.258955	10.0						2023-09-24T15:57:57	24	9	2023	7844497	7844497	HUMAN_OBSERVATION	iNaturalist	Observations	184900602		Lynn Ovenden	2023-09-25T18:35:31	CC_BY_NC_4_0	Lynn Ovenden	Lynn Ovenden			2025-01-14T12:41:38.731Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4416738462	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/181788077	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius alboviolaceus		SPECIES	Cortinarius alboviolaceus (Pers.) Zawadzki	Cortinarius alboviolaceus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.41415	-77.77665	3.0						2023-09-04T13:25:56	4	9	2023	7844497	7844497	HUMAN_OBSERVATION	iNaturalist	Observations	181788077		timfoster	2023-09-04T19:21:37	CC_BY_NC_4_0	timfoster	timfoster			2025-01-14T12:39:27.024Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4413814362	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/181644645	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius alboviolaceus		SPECIES	Cortinarius alboviolaceus (Pers.) Zawadzki	Cortinarius alboviolaceus		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.921323	-66.158674							2023-09-03T10:19:19	3	9	2023	7844497	7844497	HUMAN_OBSERVATION	iNaturalist	Observations	181644645		Andrew MacPherson	2023-09-03T22:14:56	CC0_1_0	Andrew MacPherson	Andrew MacPherson			2025-01-14T13:27:06.388Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
