gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
727875095	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14397	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius collinitus		SPECIES	Cortinarius collinitus (Sow. ex Fr.) Fr.	Cortinarius collinitus (Pers.) Fr.	(Pers.) Fr.	CA	Forest Ranger School	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.159467	-78.8451	450.0						1961-09-09	9	9	1961	2528690	7476637	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC151962				CC0_1_0	Royal Ontario Museum	Hamley, J.			2024-01-25T00:59:40.595Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
727875093	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14396	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius collinitus		SPECIES	Cortinarius collinitus (Sow. ex Fr.) Fr.	Cortinarius collinitus (Pers.) Fr.	(Pers.) Fr.	CA	Forest Ranger School	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.159467	-78.8451	450.0						1961-09-09	9	9	1961	2528690	7476637	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC038633				CC0_1_0	Royal Ontario Museum	Ruttan, F.H.			2024-01-25T00:59:40.596Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
727875066	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14343	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius collinitus		SPECIES	Cortinarius collinitus (Sow. ex Fr.) Fr.	Cortinarius collinitus (Pers.) Fr.	(Pers.) Fr.	CA	University of Toronto Forest	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.183005	-78.85025	7575.0						1965-09-15	15	9	1965	2528690	7476637	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC042877		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.563Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
727874896	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14069	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius collinitus		SPECIES	Cortinarius collinitus (Sow. ex Fr.) Fr.	Cortinarius collinitus (Pers.) Fr.	(Pers.) Fr.	CA	Bracebridge	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.041508	-79.312363	3577.0						1954-09-22	22	9	1954	2528690	7476637	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC030517				CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.027Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
727874849	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13981	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius collinitus		SPECIES	Cortinarius collinitus (Sow. ex Fr.) Fr.	Cortinarius collinitus (Pers.) Fr.	(Pers.) Fr.	CA	Algonquin Provincial Park	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.759859	-78.376465	67511.0						2006-09-30	30	9	2006	2528690	7476637	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC151172	EP-062			CC0_1_0	Royal Ontario Museum	Pankov, E.			2024-01-25T00:59:38.893Z	StillImage	COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
727873525	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	10777	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius collinitus		SPECIES	Cortinarius collinitus (Sow. ex Fr.) Fr.	Cortinarius collinitus (Pers.) Fr.	(Pers.) Fr.	CA	Algonquin Provincial Park, Opeongo Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.698027	-78.369598	8499.0						1956-09-22	22	9	1956	2528690	7476637	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC032715				CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.295Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
727873511	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	10763	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius collinitus		SPECIES	Cortinarius collinitus (Sow. ex Fr.) Fr.	Cortinarius collinitus (Pers.) Fr.	(Pers.) Fr.	CA	Algonquin Provincial Park, Sproule Lake Portage	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.634026	-78.369083	1347.0						1958-09-08	8	9	1958	2528690	7476637	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC151961				CC0_1_0	Royal Ontario Museum	Payne, N.R.			2024-01-25T00:59:40.310Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
727873505	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	10760	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius collinitus		SPECIES	Cortinarius collinitus (Sow. ex Fr.) Fr.	Cortinarius collinitus (Pers.) Fr.	(Pers.) Fr.	CA	Algonquin Provincial Park, Costello Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.597645	-78.32149	648.0						1958-09-09	9	9	1958	2528690	7476637	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC034013		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.312Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
617553925	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003821	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius collinitus		SPECIES	Cortinarius collinitus (Sow. ex Fr.) Fr.	Cortinarius collinitus (Pers.) Fr.	(Pers.) Fr.	CA	Saint-Donat	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.316667	-74.216667	6000.0						2003-09-18	18	9	2003	2528690	7476637	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003821		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.511Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4875112414	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/183934531	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius collinitus		SPECIES	Cortinarius collinitus (Sowerby) Gray	Cortinarius collinitus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.661925	-78.988404	565.0						2023-08-15T14:29:44	15	8	2023	7476637	7476637	HUMAN_OBSERVATION	iNaturalist	Observations	183934531		cinna_latifolia	2024-05-08T03:32:18	CC_BY_NC_4_0	ontarb	ontarb			2025-01-14T13:32:25.878Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
