gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
617555086,1989-08-23,1989,Québec,Cortinarius violaceus,CMMF000651,POINT (-71.672847 45.105574),21E,-71.6756081066638,45.1075067963072,"-250319,30+129022,60",P,,,,R,4,10,C,1A,30.0,R,85.0,8,10,{'RZ': 1.0},0.0033703726164918592,1,-0.0,[4.125],[10.75],[26.54321],[1073.572],[23.8],[-16.7],[40.5],[16.85],[-8.5],[16.85],[-9.650001],[1171.],[132.],[68.],[19.422709],[369.],[225.],[369.],[243.]
4607377961,2023-08-06T16:33,2023,Québec,Cortinarius violaceus,https://www.inaturalist.org/observations/177545615,POINT (-71.133126 45.43475),21E,-71.1347232104644,45.4342733043823,"-206366,53+163641,72",,,,,M,2,70,C,1A,31.0,MR,85.0,17,70,"{'SB': 0.5, 'EB': 0.1, 'EU': 0.1, 'BJ': 0.1, 'BP': 0.1, 'EO': 0.1}",0.0016668293192499415,6,1.4978661367769952,[2.4583333],[10.033334],[25.3367],[1071.5024],[21.6],[-18.],[39.6],[15.2],[-5.5833335],[15.2],[-11.183333],[1435.],[148.],[94.],[13.9104395],[416.],[294.],[416.],[324.]
4607185314,2022-08-01T12:05,2022,Québec,Cortinarius violaceus,https://www.inaturalist.org/observations/130145821,POINT (-71.127205 45.447125),21E,-71.1265044721612,45.4464490806437,"-205727,59+164612,90",,,,,M,3,VIR,D,1AY,30.0,MR,85.0,15,VIN,"{'SB': 0.4, 'EB': 0.2, 'EU': 0.1, 'BP': 0.2, 'FX': 0.1}",0.0009734506814183515,5,1.4708084763221112,[2.325],[9.95],[25.189873],[1070.9395],[21.4],[-18.1],[39.5],[15.066667],[-5.7333336],[15.066667],[-11.3],[1453.],[150.],[95.],[14.223764],[424.],[296.],[424.],[329.]
3961235550,2022-09-11T14:03:26,2022,Québec,Cortinarius violaceus,https://www.inaturalist.org/observations/134718843,POINT (-71.113128 45.449478),21E,-71.1138771182666,45.4496259593459,"-204790,19+165411,64",,,,,M,3,JIN,F,1AM,10.0,MR,85.0,14,JIN,"{'SB': 0.4, 'EB': 0.1, 'EU': 0.1, 'BP': 0.2, 'BJ': 0.1, 'EO': 0.1}",0.0007635902994339287,6,1.6094379124341003,[2.5083334],[10.083333],[25.462963],[1071.8163],[21.6],[-18.],[39.6],[15.25],[-5.516667],[15.25],[-11.15],[1432.],[147.],[94.],[13.508755],[416.],[296.],[416.],[323.]
3903196448,2022-08-13T12:31:13,2022,Québec,Cortinarius violaceus,https://www.inaturalist.org/observations/131606969,POINT (-70.875812 45.263458),21E,-70.8759865276749,45.2620826684805,"-186819,20+143869,45",,,,,M,2,VIN,D,1AY,30.0,MR,75.0,18,VIN,"{'SB': 0.4, 'EU': 0.2, 'EB': 0.1, 'BP': 0.2, 'FT': 0.1}",0.0013863609551013748,5,1.4708084763221112,[2.2125],[10.625],[26.364765],[1066.2064],[21.7],[-18.6],[40.300003],[14.950001],[-5.7166667],[14.950001],[-11.366667],[1346.],[137.],[87.],[14.722987],[396.],[271.],[396.],[300.]
3902906586,2022-08-25T14:19:35,2022,Québec,Cortinarius violaceus,https://www.inaturalist.org/observations/132305863,POINT (-70.696732 45.738903),21E,-70.6969184055324,45.7393836045497,"-171050,18+196371,13",,,,,M,2,JIN,D,1A,30.0,MM,55.0,17,JIN,"{'EB': 0.4, 'SB': 0.1, 'PE': 0.3, 'BP': 0.1, 'EO': 0.1}",0.0005154878812382422,5,1.4184836619456564,[3.775],[11.25],[26.978416],[1100.2737],[24.],[-17.7],[41.7],[16.783333],[-4.2833333],[16.783333],[-10.416667],[1077.],[115.],[68.],[17.61911],[339.],[216.],[339.],[230.]
3902351683,2022-08-07T08:48:09,2022,Québec,Cortinarius violaceus,https://www.inaturalist.org/observations/130172326,POINT (-71.738289 45.553733),21E,-71.738635424228,45.5546611394357,"-253030,43+178961,91",P,2012.0,,,F,3,10,B,1A,40.0,F,65.0,14,10,{'PH': 1.0},0.00099068287450971,1,-0.0,[4.3791666],[10.241667],[25.225779],[1090.1677],[24.],[-16.6],[40.6],[17.216667],[-8.516666],[17.216667],[-9.683333],[1177.],[134.],[66.],[20.090574],[372.],[222.],[372.],[236.]
1914197120,2018-09-01T18:02:41,2018,Québec,Cortinarius violaceus,https://www.inaturalist.org/observations/16114970,POINT (-71.021667 45.624722),21E,-71.0206515709807,45.6250886645592,"-196697,23+184483,48",,,,,F,2,JIN,B,1A,40.0,F,85.0,17,JIN,"{'EO': 0.4, 'PE': 0.4, 'BP': 0.1, 'RX': 0.1}",0.0010796013116846415,4,1.193549604098133,[3.1625],[10.275001],[25.496277],[1085.5981],[22.6],[-17.7],[40.300003],[16.016666],[-4.9500003],[16.016666],[-10.75],[1300.],[142.],[83.],[15.80508],[392.],[263.],[392.],[286.]
4606582217,2023-07-29T14:51:45,2023,Québec,Cortinarius violaceus,https://www.inaturalist.org/observations/177336225,POINT (-70.751288 46.697947),21L,-70.7528527492716,46.6976553657497,"-172158,41+302847,05",,,,,M,3,JIR,A,1AY,30.0,MF,75.0,15,JIN,"{'EO': 0.3, 'BP': 0.2, 'FN': 0.1, 'SB': 0.2, 'RX': 0.1, 'TO': 0.1}",0.0015916943233234716,6,1.6957425341696346,[3.0583334],[10.049999],[23.758865],[1145.3638],[23.5],[-18.8],[42.3],[15.55],[-5.3333335],[16.6],[-11.7],[1160.],[130.],[64.],[21.703909],[370.],[211.],[367.],[235.]
2596171171,2016-09-23,2016,Québec,Cortinarius violaceus,https://www.inaturalist.org/observations/41224305,POINT (-71.223058 46.92479),21L,-71.2240565488987,46.9251989733062,"-207040,29+329292,44",,,DP,,F,1,VIN,C,1A,30.0,F,55.0,22,VIN,"{'HG': 0.6, 'ES': 0.2, 'BJ': 0.1, 'EO': 0.1}",0.0010790547105190315,4,1.0888999753452235,[3.5874999],[10.208333],[23.851246],[1159.9061],[24.5],[-18.3],[42.8],[16.266666],[-4.9166665],[17.4],[-11.316667],[1356.],[140.],[83.],[14.75904],[394.],[272.],[391.],[296.]
