gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617553863	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003792	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Craterellus	Craterellus ignicolor		SPECIES	Craterellus ignicolor (R.H.Petersen) Dahlman, Danell & Spatafora	Craterellus ignicolor (R.H. Petersen) Dahlman, Danell & Spatafora	(R.H. Petersen) Dahlman, Danell & Spatafora	CA	Rawdon	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.052398	-73.748752	11000.0						2003-08-11	11	8	2003	2554581	2554581	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003792		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.465Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617553111	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003451	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Craterellus	Craterellus ignicolor		SPECIES	Craterellus ignicolor (R.H.Petersen) Dahlman, Danell & Spatafora	Craterellus ignicolor (R.H. Petersen) Dahlman, Danell & Spatafora	(R.H. Petersen) Dahlman, Danell & Spatafora	CA	Rawdon	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.052398	-73.748752	11000.0						2000-08-11	11	8	2000	2554581	2554581	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003451		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.258Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617552415	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000315	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Craterellus	Craterellus ignicolor		SPECIES	Craterellus ignicolor (R.H.Petersen) Dahlman, Danell & Spatafora	Craterellus ignicolor (R.H. Petersen) Dahlman, Danell & Spatafora	(R.H. Petersen) Dahlman, Danell & Spatafora	CA	Knowlton	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.21836	-72.508084	2000.0						1988-09-05	5	9	1988	2554581	2554581	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000315		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Audet, Gisèle			2024-01-24T16:38:20.768Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617552392	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000314	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Craterellus	Craterellus ignicolor		SPECIES	Craterellus ignicolor (R.H.Petersen) Dahlman, Danell & Spatafora	Craterellus ignicolor (R.H. Petersen) Dahlman, Danell & Spatafora	(R.H. Petersen) Dahlman, Danell & Spatafora	CA	Knowlton	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.21836	-72.508084	2000.0						1988-09-05	5	9	1988	2554581	2554581	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000314		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Audet, Gisèle			2024-01-24T16:38:20.764Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617547767	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001110	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Craterellus	Craterellus ignicolor		SPECIES	Craterellus ignicolor (R.H.Petersen) Dahlman, Danell & Spatafora	Craterellus ignicolor (R.H. Petersen) Dahlman, Danell & Spatafora	(R.H. Petersen) Dahlman, Danell & Spatafora	CA	Knowlton	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.21836	-72.508084	2000.0						1990-08-14	14	8	1990	2554581	2554581	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001110		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.451Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617547763	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001109	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Craterellus	Craterellus ignicolor		SPECIES	Craterellus ignicolor (R.H.Petersen) Dahlman, Danell & Spatafora	Craterellus ignicolor (R.H. Petersen) Dahlman, Danell & Spatafora	(R.H. Petersen) Dahlman, Danell & Spatafora	CA	Knowlton	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.21836	-72.508084	2000.0						1990-08-14	14	8	1990	2554581	2554581	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001109		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.433Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4974246397	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/247789245	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Craterellus	Craterellus ignicolor		SPECIES	Craterellus ignicolor (R.H.Petersen) Dahlman, Danell & Spatafora	Craterellus ignicolor		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.833659	-66.632885	27095.0						2024-09-04T12:46	4	9	2024	2554581	2554581	HUMAN_OBSERVATION	iNaturalist	Observations	247789245		Dwayne Sabine	2024-10-17T17:07:59	CC_BY_NC_4_0	Dwayne Sabine	Dwayne Sabine			2025-01-14T13:43:56.284Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4974092392	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/247789882	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Craterellus	Craterellus ignicolor		SPECIES	Craterellus ignicolor (R.H.Petersen) Dahlman, Danell & Spatafora	Craterellus ignicolor		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.886283	-66.684855	27095.0						2024-09-04T12:59	4	9	2024	2554581	2554581	HUMAN_OBSERVATION	iNaturalist	Observations	247789882		Dwayne Sabine	2024-10-17T17:12:35	CC_BY_NC_4_0	Dwayne Sabine	Dwayne Sabine			2025-01-14T13:48:38.193Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4954599773	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/247404408	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Craterellus	Craterellus ignicolor		SPECIES	Craterellus ignicolor (R.H.Petersen) Dahlman, Danell & Spatafora	Craterellus ignicolor		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.98311	-66.756902	15.0						2024-08-11T10:12	11	8	2024	2554581	2554581	HUMAN_OBSERVATION	iNaturalist	Observations	247404408		Dwayne Sabine	2024-10-15T01:01:58	CC_BY_NC_4_0	Dwayne Sabine	Dwayne Sabine			2025-01-14T13:43:57.548Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946094639	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/239709019	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Craterellus	Craterellus ignicolor		SPECIES	Craterellus ignicolor (R.H.Petersen) Dahlman, Danell & Spatafora	Craterellus ignicolor		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.769853	-71.182092	7.0						2024-09-01T14:59:30	1	9	2024	2554581	2554581	HUMAN_OBSERVATION	iNaturalist	Observations	239709019		shatov	2024-09-04T00:01:56	CC_BY_NC_4_0	shatov	shatov			2025-01-14T13:43:17.671Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4945836791	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/240672381	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Craterellus	Craterellus ignicolor		SPECIES	Craterellus ignicolor (R.H.Petersen) Dahlman, Danell & Spatafora	Craterellus ignicolor		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.377344	-74.09396	7683.0						2024-09-08T16:21	8	9	2024	2554581	2554581	HUMAN_OBSERVATION	iNaturalist	Observations	240672381		Madz	2024-09-09T00:57:12	CC_BY_NC_4_0	Madz	Madz			2025-01-14T12:51:03.226Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936594995	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/237371586	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Craterellus	Craterellus ignicolor		SPECIES	Craterellus ignicolor (R.H.Petersen) Dahlman, Danell & Spatafora	Craterellus ignicolor		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.955439	-66.673044							2024-08-22T19:32:10	22	8	2024	2554581	2554581	HUMAN_OBSERVATION	iNaturalist	Observations	237371586		Sean Rhindress	2024-08-22T23:07:35	CC_BY_NC_4_0	Sean Rhindress	Sean Rhindress			2025-01-14T13:43:03.780Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4926305672	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/234392174	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Craterellus	Craterellus ignicolor		SPECIES	Craterellus ignicolor (R.H.Petersen) Dahlman, Danell & Spatafora	Craterellus ignicolor		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.012745	-66.627736	230.0						2024-07-30T12:38:25	30	7	2024	2554581	2554581	HUMAN_OBSERVATION	iNaturalist	Observations	234392174		flightmom	2024-08-07T19:51:41	CC_BY_NC_4_0	flightmom	flightmom			2025-01-14T13:43:06.740Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4923869710	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/230423091	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Craterellus	Craterellus ignicolor		SPECIES	Craterellus ignicolor (R.H.Petersen) Dahlman, Danell & Spatafora	Craterellus ignicolor		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.198064	-77.844489	19.0						2024-07-19T15:51	19	7	2024	2554581	2554581	HUMAN_OBSERVATION	iNaturalist	Observations	230423091		Janet Elliott	2024-07-20T02:57:44	CC_BY_NC_4_0	Janet Elliott	Janet Elliott			2025-01-14T12:49:14.669Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
