gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4507972362,2023-08-19T16:19,2023.0,Québec,Craterellus tubaeformis,https://www.inaturalist.org/observations/195227926,POINT (-71.13842 45.969269),21E,-71.1384487001092,45.9689439432519,"-204468,04+223077,80",,,,,R,3,70,A,7E,60.0,R,65.0,13,70,"{'SB': 0.7, 'EN': 0.3}",0.000326321292211814,2,0.6108643020548935,[3.7458334],[10.175],[24.696602],[1108.4089],[23.7],[-17.5],[41.2],[16.916666],[-4.583333],[16.916666],[-10.45],[1144.],[128.],[70.],[18.791422],[360.],[222.],[360.],[245.]
4430562093,2023-10-14T09:11:35,2023.0,Québec,Craterellus tubaeformis,https://www.inaturalist.org/observations/187546050,POINT (-71.783017 45.789269),21E,-71.7834700682097,45.7894133953719,"-255333,29+205205,41",,,,,R,3,30,A,1A,40.0,R,75.0,12,30,"{'SB': 0.6, 'EU': 0.1, 'TO': 0.1, 'BG': 0.1, 'EO': 0.1}",0.000475521635746428,5,1.2275294114572126,[4.2875],[10.325],[25.],[1118.1704],[24.3],[-17.],[41.3],[17.483334],[-4.0666666],[17.483334],[-10.116667],[1191.],[128.],[69.],[19.695152],[372.],[223.],[372.],[247.]
4407582496,2023-09-04T17:57:13,2023.0,Québec,Craterellus tubaeformis,https://www.inaturalist.org/observations/181849202,POINT (-71.176737 45.790058),21E,-71.1786853504371,45.7893320543709,"-208346,86+203219,89",,,,,M,2,70,B,1A,40.0,MR,85.0,18,70,"{'EU': 0.3, 'SB': 0.3, 'BP': 0.2, 'EO': 0.2}",0.002079198519182687,4,1.366158847569202,[4.1458335],[10.091666],[24.856323],[1095.2115],[23.8],[-16.8],[40.6],[17.116667],[-4.],[17.116667],[-9.933333],[1126.],[132.],[68.],[19.777866],[355.],[215.],[355.],[240.]
4535863028,2023-10-16T10:09,2023.0,Québec,Craterellus tubaeformis,https://www.inaturalist.org/observations/193608345,POINT (-70.518005 46.054298),21L,-70.5200367064024,46.0544080511735,"-156438,55+231290,04",,,,,R,2,50,C,3AN,20.0,R,75.0,19,50,"{'EB': 0.6, 'PR': 0.1, 'SB': 0.1, 'FI': 0.1, 'FX': 0.1}",0.0020346847830332027,5,1.2275294114572126,[3.8416667],[11.6],[27.039627],[1114.5643],[24.5],[-18.4],[42.9],[16.933332],[-9.366667],[16.933332],[-10.599999],[1034.],[121.],[52.],[25.441252],[347.],[178.],[347.],[189.]
4512179834,2023-08-24T17:39,2023.0,Québec,Craterellus tubaeformis,https://www.inaturalist.org/observations/196308640,POINT (-71.322727 46.757833),21L,-71.3232788534239,46.7576620400993,"-215323,09+311163,77",,,,,F,1,VIN,A,5S,20.0,F,85.0,22,VIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'RX': 0.1}",0.000577727867700463,4,1.2798542258336674,[4.7166667],[9.983334],[23.380173],[1165.224],[25.8],[-16.9],[42.699997],[17.533333],[-9.033333],[18.633333],[-10.183333],[1232.],[130.],[70.],[16.618198],[368.],[246.],[363.],[258.]
4413708172,2023-09-15T16:28:48,2023.0,Québec,Craterellus tubaeformis,https://www.inaturalist.org/observations/183407124,POINT (-70.977531 46.791504),21L,-70.9762974076266,46.7898909898627,"-188765,45+313655,51",,,,,M,3,JIN,A,5S,40.0,MR,75.0,16,JIN,"{'SB': 0.3, 'ML': 0.2, 'EN': 0.1, 'EO': 0.3, 'FX': 0.1}",0.0020306530591780118,5,1.5047882836811908,[3.9833333],[10.183333],[23.848557],[1154.5785],[24.7],[-18.],[42.7],[17.633333],[-9.766666],[17.633333],[-10.883333],[1187.],[132.],[64.],[21.412228],[367.],[212.],[367.],[234.]
4405000296,2023-08-26T18:17:45,2023.0,Québec,Craterellus tubaeformis,https://www.inaturalist.org/observations/180347641,POINT (-71.317141 46.954409),21L,-71.3174723631485,46.9561698336242,"-213994,58+333110,88",,,,,F,3,JIN,C,1A,30.0,F,85.0,16,JIN,"{'ES': 0.5, 'BJ': 0.2, 'EO': 0.2, 'FT': 0.1}",0.0017917412168900408,4,1.2206072645530173,[3.1041667],[10.208333],[24.076256],[1145.1548],[23.7],[-18.7],[42.4],[15.616667],[-5.25],[16.666666],[-11.65],[1393.],[141.],[87.],[14.61952],[402.],[277.],[397.],[311.]
3985665958,2022-09-29,2022.0,Québec,Craterellus tubaeformis,https://www.inaturalist.org/observations/141813570,POINT (-71.215957 46.912911),21L,-71.21520362844,46.9141313650775,"-206427,57+328198,13",,,CP,,F,2,VIN,D,1A,30.0,F,55.0,20,VIN,"{'ES': 0.3, 'HG': 0.3, 'EO': 0.2, 'BJ': 0.1, 'SE': 0.1}",0.0014341755923922281,5,1.5047882836811908,[3.8875],[10.241667],[23.87335],[1162.8964],[24.9],[-18.],[42.9],[16.6],[-9.783334],[17.75],[-11.05],[1330.],[138.],[79.],[15.944893],[390.],[263.],[386.],[284.]
3947107893,2022-10-02T17:20,2022.0,Québec,Craterellus tubaeformis,https://www.inaturalist.org/observations/137434592,POINT (-70.351345 46.407581),21L,-70.3536675957725,46.4115578034132,"-142389,43+270326,92",P,,,,R,2,50,C,1A,30.0,R,65.0,17,50,"{'RZ': 0.9, 'FX': 0.1}",0.0046053682273785035,2,0.3250829733914482,[2.6833334],[10.25],[24.639423],[1120.512],[23.],[-18.6],[41.6],[16.016666],[-5.4333334],[16.016666],[-11.683333],[1195.],[128.],[70.],[19.373386],[380.],[229.],[380.],[256.]
3743189322,2018-09-17,2018.0,Québec,Craterellus tubaeformis,https://www.inaturalist.org/observations/38293790,POINT (-71.235932 46.931356),21L,-71.2354155922237,46.9314875504697,"-207874,38+330102,72",,,,,M,3,50,D,1A,30.0,MF,75.0,14,50,"{'BJ': 0.3, 'EO': 0.2, 'BP': 0.1, 'SB': 0.3, 'EP': 0.1}",0.0005329001008661588,5,1.5047882836811908,[3.325],[10.216667],[23.926619],[1156.5023],[24.2],[-18.5],[42.7],[15.983334],[-5.133333],[17.116667],[-11.516666],[1384.],[140.],[87.],[13.833125],[398.],[280.],[394.],[308.]
