gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
727877069	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	18071	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Crepidotus	Crepidotus crocophyllus		SPECIES	Crepidotus crocophyllus (Berk.) Sacc.	Crepidotus crocophyllus (Berk.) Sacc.	(Berk.) Sacc.	CA	S of Dorset	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.23936	-78.888359	1499.0						1970-09-17	17	9	1970	5240934	5240934	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC046190		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.668Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
617555021	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000622	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Crepidotus	Crepidotus crocophyllus		SPECIES	Crepidotus crocophyllus (Berk.) Sacc.	Crepidotus crocophyllus (Berk.) Sacc.	(Berk.) Sacc.	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1989-08-09	9	8	1989	5240934	5240934	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000622		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.105Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617554927	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000058	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Crepidotus	Crepidotus crocophyllus		SPECIES	Crepidotus crocophyllus (Berk.) Sacc.	Crepidotus crocophyllus (Berk.) Sacc.	(Berk.) Sacc.	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1988-07-18	18	7	1988	5240934	5240934	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000058		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.361Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617552785	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003312	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Crepidotus	Crepidotus crocophyllus		SPECIES	Crepidotus crocophyllus (Berk.) Sacc.	Crepidotus crocophyllus (Berk.) Sacc.	(Berk.) Sacc.	CA	Laval	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.609608	-73.705867	17500.0						1999-07-03	3	7	1999	5240934	5240934	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003312		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.019Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617550671	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002376	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Crepidotus	Crepidotus crocophyllus		SPECIES	Crepidotus crocophyllus (Berk.) Sacc.	Crepidotus crocophyllus (Berk.) Sacc.	(Berk.) Sacc.	CA	Mt Orford	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.340394	-72.208677	6500.0						1995-07-22	22	7	1995	5240934	5240934	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002376		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Mulvey, Michaeline			2024-01-24T16:38:19.514Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617550619	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002357	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Crepidotus	Crepidotus crocophyllus		SPECIES	Crepidotus crocophyllus (Berk.) Sacc.	Crepidotus crocophyllus (Berk.) Sacc.	(Berk.) Sacc.	CA	Longueuil	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.544154	-73.477185	5000.0						1995-06-12	12	6	1995	5240934	5240934	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002357		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.450Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4923878863	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/234650130	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Crepidotus	Crepidotus crocophyllus		SPECIES	Crepidotus crocophyllus (Berk.) Sacc.	Crepidotus crocophyllus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.477741	-74.021359	3596.0						2024-08-06T10:28	6	8	2024	5240934	5240934	HUMAN_OBSERVATION	iNaturalist	Observations	234650130		Annabelle Langlois	2024-08-09T06:41:38	CC_BY_NC_4_0	Annabelle Langlois	Annabelle Langlois			2025-01-14T13:47:39.337Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4904305617	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/226590001	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Crepidotus	Crepidotus crocophyllus		SPECIES	Crepidotus crocophyllus (Berk.) Sacc.	Crepidotus crocophyllus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.466269	-75.5085	79.0						2024-07-01T14:07	1	7	2024	5240934	5240934	HUMAN_OBSERVATION	iNaturalist	Observations	226590001		jonathan_mack	2024-07-02T01:44:39	CC_BY_NC_4_0	jonathan_mack	jonathan_mack			2025-01-14T12:48:19.873Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4903795200	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/226344369	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Crepidotus	Crepidotus crocophyllus		SPECIES	Crepidotus crocophyllus (Berk.) Sacc.	Crepidotus crocophyllus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.449533	-75.510624	26.0						2024-06-30T11:25	30	6	2024	5240934	5240934	HUMAN_OBSERVATION	iNaturalist	Observations	226344369		jonathan_mack	2024-07-01T01:52:52	CC_BY_NC_4_0	jonathan_mack	jonathan_mack			2025-01-14T13:41:36.605Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4901222549	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/224767947	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Crepidotus	Crepidotus crocophyllus		SPECIES	Crepidotus crocophyllus (Berk.) Sacc.	Crepidotus crocophyllus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.872811	-76.4339	501.0						2024-06-21T09:46	21	6	2024	5240934	5240934	HUMAN_OBSERVATION	iNaturalist	Observations	224767947		L Joan Heyding	2024-06-23T23:24:36	CC_BY_NC_4_0	L Joan Heyding	L Joan Heyding			2025-01-14T13:41:32.350Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
