gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
3456214448,2018-09-13T17:10:14,2018.0,Québec,Crucibulum laeve,https://www.inaturalist.org/observations/16503139,POINT (-71.773513 45.476155),21E,-71.7730188498418,45.4765247994861,"-256107,84+170400,93",,,,,M,3,50,A,1A,40.0,MR,65.0,16,50,"{'SB': 0.7, 'EO': 0.2, 'FR': 0.1}",0.0006172001610172419,3,0.8018185525433372,[4.7375],[10.675],[25.910194],[1095.9495],[24.7],[-16.5],[41.2],[17.65],[-8.233334],[17.65],[-9.4],[1099.],[128.],[58.],[22.541363],[354.],[195.],[354.],[214.]
4607017941,2023-06-30,2023.0,Québec,Crucibulum laeve,https://www.inaturalist.org/observations/204378964,POINT (-71.257688 46.850324),21L,-71.2590984558885,46.8507532689862,"-209968,45+321230,10",,,,,F,2,JIN,B,5A,30.0,F,55.0,20,JIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'PE': 0.1}",0.0014743329596567914,4,1.2798542258336674,[5.025],[10.6],[23.927765],[1202.4398],[27.2],[-17.1],[44.300003],[18.133333],[-9.033334],[19.516666],[-10.333334],[1281.],[135.],[71.],[17.582827],[385.],[250.],[379.],[258.]
4599911192,2023-07-12,2023.0,Québec,Crucibulum laeve,https://www.inaturalist.org/observations/203719565,POINT (-71.25779 46.850258),21L,-71.2590984558885,46.8507532689862,"-209968,45+321230,10",,,,,F,2,JIN,B,5A,30.0,F,55.0,20,JIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'PE': 0.1}",0.001399052601177928,4,1.2798542258336674,[5.025],[10.6],[23.927765],[1202.4398],[27.2],[-17.1],[44.300003],[18.133333],[-9.033334],[19.516666],[-10.333334],[1281.],[135.],[71.],[17.582827],[385.],[250.],[379.],[258.]
4424229420,2021-09-24T14:18:47,2021.0,Québec,Crucibulum laeve,https://www.inaturalist.org/observations/98850373,POINT (-71.273375 46.775747),21L,-71.2744664790037,46.7753598795118,"-211507,98+312972,70",,,,,F,2,VIR,A,1A,30.0,F,85.0,18,VIN,"{'ES': 0.6, 'EO': 0.2, 'FI': 0.1, 'FT': 0.1}",0.0011580970114448254,4,1.0888999753452235,[5.070833],[10.391666],[23.56387],[1201.81],[27.2],[-16.9],[44.1],[18.183334],[-8.983334],[19.6],[-10.216666],[1260.],[133.],[71.],[16.673409],[377.],[254.],[372.],[260.]
4421147700,2023-07-21T16:44:57,2023.0,Québec,Crucibulum laeve,https://www.inaturalist.org/observations/174169005,POINT (-71.250837 46.812173),21L,-71.25755836884,46.8091409206339,"-210137,53+316608,31",,,,,F,2,VIR,D,5A,40.0,F,65.0,20,VIN,"{'EA': 0.2, 'EO': 0.2, 'FH': 0.2, 'FT': 0.2, 'FN': 0.1, 'RX': 0.1}",0.007373622201165791,6,1.7480673485460894,[5.3],[10.533333],[23.777277],[1201.5898],[27.5],[-16.8],[44.3],[18.416666],[-8.766666],[19.8],[-10.033333],[1251.],[133.],[68.],[18.10956],[377.],[245.],[372.],[247.]
2579385435,2012-05-06,2012.0,Québec,Crucibulum laeve,https://www.inaturalist.org/observations/39796521,POINT (-71.338931 46.834231),21L,-71.3394069794699,46.8330822238902,"-216340,75+319597,57",,,CP,,M,2,JIR,A,5A,30.0,MF,65.0,20,JIN,"{'EO': 0.3, 'PE': 0.2, 'BJ': 0.1, 'FN': 0.1, 'EB': 0.2, 'SB': 0.1}",0.0012434801993650582,6,1.6957425341696346,[4.775],[10.383333],[23.760487],[1188.2196],[26.5],[-17.2],[43.7],[17.716667],[-9.183333],[18.983334],[-10.466667],[1257.],[131.],[71.],[17.098114],[377.],[248.],[368.],[260.]
1847645318,2013-08-03,2013.0,Québec,Crucibulum laeve,https://www.inaturalist.org/observations/9573708,POINT (-71.27505 46.78125),21L,-71.2722958302962,46.7796049000976,"-211343,83+313444,00",,,,,F,2,VIR,A,1A,30.0,F,85.0,19,VIN,"{'ES': 0.7, 'FT': 0.2, 'EO': 0.1}",0.003208084233020167,3,0.8018185525433372,[5.0458336],[10.358334],[23.541666],[1199.6201],[27.1],[-16.9],[44.],[18.133333],[-8.983334],[19.55],[-10.216666],[1266.],[134.],[72.],[16.708242],[379.],[256.],[374.],[261.]
1135070926,2007-07-05,2007.0,Québec,Crucibulum laeve,CMMF009471,POINT (-71.301288 46.887678),21L,-71.302130419587,46.8890810275723,"-213305,25+325651,83",,,CP,,F,2,JIR,C,1A,30.0,F,35.0,18,JIN,"{'EO': 0.3, 'PE': 0.2, 'BP': 0.1, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1, 'SE': 0.1}",0.0016365076013276567,7,1.8343719702816235,[4.295833],[10.408333],[23.927202],[1179.2225],[25.8],[-17.7],[43.5],[17.15],[-9.55],[18.383333],[-10.85],[1316.],[136.],[76.],[15.929979],[389.],[262.],[382.],[276.]
1135070530,2006-09-07,2006.0,Québec,Crucibulum laeve,CMMF009148,POINT (-71.301288 46.887678),21L,-71.302130419587,46.8890810275723,"-213305,25+325651,83",,,CP,,F,2,JIR,C,1A,30.0,F,35.0,18,JIN,"{'EO': 0.3, 'PE': 0.2, 'BP': 0.1, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1, 'SE': 0.1}",0.0016365076013276567,7,1.8343719702816235,[4.295833],[10.408333],[23.927202],[1179.2225],[25.8],[-17.7],[43.5],[17.15],[-9.55],[18.383333],[-10.85],[1316.],[136.],[76.],[15.929979],[389.],[262.],[382.],[276.]
1135070312,2006-07-31,2006.0,Québec,Crucibulum laeve,CMMF008839,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,18,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",0.00037713547201871704,6,1.6094379124341,[3.3208334],[10.091666],[23.857368],[1144.1997],[23.9],[-18.4],[42.3],[15.833333],[-5.05],[16.866667],[-11.433333],[1369.],[140.],[83.],[15.337091],[400.],[271.],[394.],[299.]
