gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
1135070705,2006-09-23,2006,Québec,Cystoderma amianthinum,CMMF009269,POINT (-71.322285 46.91969),21L,-71.3209749033067,46.9200423170217,"-214375,06+329081,08",,,EC,2003.0,R,2,JIR,A,2BE,40.0,R,65.0,17,JIN,"{'EP': 0.4, 'SB': 0.4, 'ML': 0.1, 'EO': 0.1}",0.0013566431474561604,4,1.193549604098133,[3.7583332],[10.233334],[23.853924],[1163.6636],[24.8],[-18.1],[42.9],[16.466667],[-4.733333],[17.6],[-11.216666],[1334.],[137.],[80.],[16.411882],[394.],[258.],[385.],[290.]
1135070610,2006-09-10,2006,Québec,Cystoderma amianthinum,CMMF009166,POINT (-71.306427 46.953091),21L,-71.304719999912,46.9524119060645,"-213069,04+332719,34",,,,,M,3,JIR,D,1A,20.0,MF,75.0,16,JIN,"{'EO': 0.4, 'FT': 0.2, 'SB': 0.3, 'RX': 0.1}",0.0018371221716810746,4,1.2798542258336674,[3.275],[10.],[23.866348],[1136.7307],[23.6],[-18.3],[41.9],[15.733334],[-5.05],[16.7],[-11.383333],[1366.],[140.],[84.],[15.246074],[398.],[270.],[392.],[300.]
1135067197,2010-09-18,2010,Québec,Cystoderma amianthinum,CMMF010613,POINT (-71.260192 46.89949),21L,-71.2586092918257,46.8991130170735,"-209790,60+326657,30",,,EPC,2007.0,M,3,30,B,1A,30.0,MM,85.0,12,30,"{'SB': 0.4, 'EP': 0.1, 'EO': 0.3, 'FI': 0.1, 'FT': 0.1}",0.0016269853385499466,5,1.4184836619456564,[4.1958337],[10.408334],[23.927202],[1181.0597],[25.7],[-17.8],[43.5],[17.066668],[-9.633333],[18.35],[-10.95],[1330.],[137.],[80.],[15.073139],[389.],[268.],[383.],[285.]
1135067179,2009-09-02,2009,Québec,Cystoderma amianthinum,CMMF010569,POINT (-71.297511 46.952532),21L,-71.2975398278156,46.9524666829597,"-212511,36+332679,13",,,,,R,3,5090,B,1A,40.0,R,45.0,13,50,"{'SB': 0.7, 'EP': 0.2, 'EO': 0.1}",7.139578912729903e-05,3,0.8018185525433372,[3.2875001],[10.008333],[23.886236],[1136.224],[23.6],[-18.3],[41.9],[15.75],[-5.0333333],[16.7],[-11.366667],[1363.],[140.],[83.],[15.511521],[399.],[269.],[392.],[297.]
1135067140,2008-09-12,2008,Québec,Cystoderma amianthinum,CMMF010530,POINT (-71.326007 46.988318),21L,-71.3247257299776,46.9890034858984,"-214308,15+336869,18",,,CP,,M,2,VIR,C,1A,31.0,MF,55.0,18,VIN,"{'EO': 0.3, 'BJ': 0.2, 'FT': 0.1, 'EP': 0.2, 'RX': 0.1, 'SB': 0.1}",0.0014531152009445657,6,1.6957425341696346,[2.7791667],[10.291667],[24.215687],[1146.0812],[23.4],[-19.1],[42.5],[15.3],[-5.55],[16.366667],[-11.983334],[1445.],[144.],[92.],[13.40261],[411.],[293.],[407.],[326.]
1135067094,2008-09-07,2008,Québec,Cystoderma amianthinum,CMMF010528,POINT (-71.303223 46.96324),21L,-71.3030991052544,46.9631072364837,"-212896,42+333890,27",,,,,M,3,JIN,C,1A,30.0,MF,75.0,15,JIN,"{'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1, 'SB': 0.3, 'EP': 0.1}",0.00018159311453576945,6,1.6434177197931796,[3.1416667],[10.033333],[24.003191],[1132.9584],[23.4],[-18.4],[41.8],[15.55],[-5.15],[16.5],[-11.483334],[1378.],[141.],[85.],[15.069558],[402.],[274.],[395.],[303.]
1135066782,2007-10-13,2007,Québec,Cystoderma amianthinum,CMMF010221,POINT (-71.303223 46.96324),21L,-71.3030991052544,46.9631072364837,"-212896,42+333890,27",,,,,M,3,JIN,C,1A,30.0,MF,75.0,15,JIN,"{'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1, 'SB': 0.3, 'EP': 0.1}",0.00018159311453576945,6,1.6434177197931796,[3.1416667],[10.033333],[24.003191],[1132.9584],[23.4],[-18.4],[41.8],[15.55],[-5.15],[16.5],[-11.483334],[1378.],[141.],[85.],[15.069558],[402.],[274.],[395.],[303.]
1640124423,2017-09-12T13:29:08,2017,Québec,Cystoderma amianthinum,https://www.inaturalist.org/observations/7892379,POINT (-71.147725 47.319783),21M,-71.1477634619148,47.3207501384937,"-199563,01+373119,46",CT,1965.0,EC,1995.0,R,4,30,C,2BE,30.0,R,95.0,10,30,{'SB': 1.0},0.0009679029831992676,1,-0.0,[0.57499987],[10.816667],[25.213675],[1138.4648],[21.4],[-21.5],[42.9],[-10.633333],[-7.666667],[14.233334],[-13.983334],[1565.],[159.],[104.],[12.825444],[449.],[328.],[417.],[403.]
4414161666,2023-09-05T10:15,2023,Québec,Cystoderma amianthinum,https://www.inaturalist.org/observations/182805604,POINT (-66.095007 48.815347),22B,-66.0964880631369,48.8157134560458,"+175532,57+537829,95",,,,,R,3,VIR,A,7T,50.0,R,45.0,13,VIN,"{'EN': 0.5, 'EB': 0.2, 'ML': 0.1, 'SB': 0.1, 'TO': 0.1}",0.0015257254173036642,5,1.3592367006650063,[0.89166665],[9.116667],[23.021885],[1076.3234],[20.4],[-19.2],[39.6],[-9.45],[-7.083333],[14.016666],[-12.733334],[1170.],[120.],[73.],[16.46424],[344.],[230.],[316.],[299.]
4011553811,2022-09-04T14:07,2022,Québec,Cystoderma amianthinum,https://www.inaturalist.org/observations/145304782,POINT (-76.401509 45.894482),31F,-76.402058040888,45.8947120747498,"-612242,37+244917,87",,,,,F,3,30,C,2BE,20.0,F,75.0,15,30,"{'BJ': 0.3, 'EO': 0.2, 'ES': 0.2, 'FI': 0.1, 'FT': 0.1, 'SE': 0.1}",0.0005952984857841853,6,1.6957425341696346,[4.],[11.116667],[25.20786],[1168.9661],[25.2],[-18.9],[44.1],[17.55],[-10.05],[17.55],[-11.15],[936.],[93.],[55.],[15.342539],[268.],[186.],[268.],[192.]
3961009844,2022-10-25T11:22,2022,Québec,Cystoderma amianthinum,https://www.inaturalist.org/observations/140113847,POINT (-76.488386 45.803976),31F,-76.4887056384303,45.8042422083583,"-619979,82+235562,60",,,CP,,M,2,JIN,C,1AY,30.0,MF,75.0,21,JIN,"{'BP': 0.3, 'PE': 0.2, 'EO': 0.1, 'EB': 0.2, 'PB': 0.1, 'SB': 0.1}",0.00041597549946450964,6,1.6957425341696346,[4.116667],[11.066667],[25.266363],[1159.9653],[25.3],[-18.5],[43.8],[16.733334],[-9.816667],[17.566666],[-10.933333],[919.],[91.],[53.],[15.20586],[262.],[183.],[260.],[187.]
3384077174,2021-09-30T13:58,2021,Québec,Cystoderma amianthinum,https://www.inaturalist.org/observations/97056813,POINT (-76.504874 45.865413),31F,-76.5060299989416,45.8651959636491,"-620553,56+242519,34",,,CHP,,M,1,70,A,1AY,30.0,MF,75.0,23,70,"{'PE': 0.4, 'BP': 0.1, 'ER': 0.1, 'FT': 0.1, 'PB': 0.3}",0.0011761965527017767,5,1.4184836619456564,[3.9458334],[11.075],[25.170454],[1165.6747],[25.1],[-18.9],[44.],[16.616667],[-10.066667],[17.45],[-11.183333],[934.],[92.],[55.],[14.632377],[266.],[188.],[264.],[192.]
617555527,1989-09-24,1989,Québec,Cystoderma amianthinum,CMMF000848,POINT (-74.292134 45.664878),31G,-74.2890463382539,45.6656010935744,"-450978,15+203798,18",,,,,M,2,VIR,C,5S,20.0,MR,75.0,21,VIN,"{'PB': 0.5, 'SE': 0.1, 'EO': 0.2, 'FT': 0.2}",0.0031712015665540804,4,1.2206072645530175,[5.325],[10.483334],[24.493769],[1159.264],[26.1],[-16.7],[42.800003],[7.7666664],[-8.516666],[18.9],[-9.683333],[1088.],[109.],[65.],[16.162956],[309.],[213.],[306.],[232.]
4431223580,2023-10-14T11:22,2023,Québec,Cystoderma amianthinum,https://www.inaturalist.org/observations/188384966,POINT (-74.246258 45.660204),31G,-74.2462658512336,45.6616603327294,"-447651,94+203120,54",P,,,,R,1,90,A,5S,20.0,R,85.0,24,90,"{'EV': 0.6, 'PS': 0.4}",0.0014563538926312407,2,0.6730116670092565,[5.2166667],[10.400001],[24.413145],[1154.8088],[25.9],[-16.7],[42.6],[18.75],[-3.2333333],[18.75],[-9.733334],[1069.],[107.],[63.],[16.256067],[302.],[207.],[302.],[230.]
4431215816,2023-10-21T10:17:11,2023,Québec,Cystoderma amianthinum,https://www.inaturalist.org/observations/188515159,POINT (-74.245963 45.660637),31G,-74.2462658512336,45.6616603327294,"-447651,94+203120,54",P,,,,R,1,90,A,5S,20.0,R,85.0,24,90,"{'EV': 0.6, 'PS': 0.4}",0.0010672060460592474,2,0.6730116670092565,[5.2166667],[10.400001],[24.413145],[1154.8088],[25.9],[-16.7],[42.6],[18.75],[-3.2333333],[18.75],[-9.733334],[1069.],[107.],[63.],[16.256067],[302.],[207.],[302.],[230.]
1135069111,1979-09-15,1979,Québec,Cystoderma amianthinum,CMMF007652,POINT (-74.003633 45.989333),31G,-74.0037398207613,45.9880375679074,"-426019,46+237738,62",,,,,F,2,VIR,D,1AY,31.0,F,75.0,19,VIN,"{'BP': 0.5, 'EO': 0.2, 'PE': 0.1, 'EB': 0.1, 'SB': 0.1}",0.0012998288278055054,5,1.3592367006650063,[3.6958332],[10.358334],[24.25839],[1151.8077],[24.2],[-18.5],[42.7],[17.233334],[-10.05],[17.233334],[-11.1],[1184.],[118.],[73.],[13.1053095],[326.],[242.],[326.],[264.]
1135068451,2010-10-14,2010,Québec,Cystoderma amianthinum,CMMF006975,POINT (-74.241983 45.66275),31G,-74.2394629589227,45.6643448234511,"-447111,50+203370,25",P,,,,R,3,JIR,A,5S,30.0,R,65.0,16,JIN,"{'PS': 0.5, 'PG': 0.3, 'RX': 0.1, 'FX': 0.1}",0.0029822925529661786,4,1.1682824501765625,[5.2166667],[10.400001],[24.413145],[1154.8088],[25.9],[-16.7],[42.6],[18.75],[-3.2333333],[18.75],[-9.733334],[1069.],[107.],[63.],[16.256067],[302.],[207.],[302.],[230.]
1135068431,2012-09-27,2012,Québec,Cystoderma amianthinum,CMMF006980,POINT (-74.241983 45.66275),31G,-74.2394629589227,45.6643448234511,"-447111,50+203370,25",P,,,,R,3,JIR,A,5S,30.0,R,65.0,16,JIN,"{'PS': 0.5, 'PG': 0.3, 'RX': 0.1, 'FX': 0.1}",0.0029822925529661786,4,1.1682824501765625,[5.2166667],[10.400001],[24.413145],[1154.8088],[25.9],[-16.7],[42.6],[18.75],[-3.2333333],[18.75],[-9.733334],[1069.],[107.],[63.],[16.256067],[302.],[207.],[302.],[230.]
1135068387,2009-10-06,2009,Québec,Cystoderma amianthinum,CMMF006964,POINT (-74.241983 45.66275),31G,-74.2394629589227,45.6643448234511,"-447111,50+203370,25",P,,,,R,3,JIR,A,5S,30.0,R,65.0,16,JIN,"{'PS': 0.5, 'PG': 0.3, 'RX': 0.1, 'FX': 0.1}",0.0029822925529661786,4,1.1682824501765625,[5.2166667],[10.400001],[24.413145],[1154.8088],[25.9],[-16.7],[42.6],[18.75],[-3.2333333],[18.75],[-9.733334],[1069.],[107.],[63.],[16.256067],[302.],[207.],[302.],[230.]
1135068365,1981-09-19,1981,Québec,Cystoderma amianthinum,CMMF006849,POINT (-74.241983 45.66275),31G,-74.2394629589227,45.6643448234511,"-447111,50+203370,25",P,,,,R,3,JIR,A,5S,30.0,R,65.0,16,JIN,"{'PS': 0.5, 'PG': 0.3, 'RX': 0.1, 'FX': 0.1}",0.0029822925529661786,4,1.1682824501765625,[5.2166667],[10.400001],[24.413145],[1154.8088],[25.9],[-16.7],[42.6],[18.75],[-3.2333333],[18.75],[-9.733334],[1069.],[107.],[63.],[16.256067],[302.],[207.],[302.],[230.]
1135068361,2004-10-12,2004,Québec,Cystoderma amianthinum,CMMF006878,POINT (-74.241983 45.66275),31G,-74.2394629589227,45.6643448234511,"-447111,50+203370,25",P,,,,R,3,JIR,A,5S,30.0,R,65.0,16,JIN,"{'PS': 0.5, 'PG': 0.3, 'RX': 0.1, 'FX': 0.1}",0.0029822925529661786,4,1.1682824501765625,[5.2166667],[10.400001],[24.413145],[1154.8088],[25.9],[-16.7],[42.6],[18.75],[-3.2333333],[18.75],[-9.733334],[1069.],[107.],[63.],[16.256067],[302.],[207.],[302.],[230.]
