gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
5007313812,2024-09-28T16:27,2024.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/252684918,POINT (-71.900713 45.798898),21E,-71.9025745033783,45.7989101756281,"-264468,40+206700,87",,,,,M,2,JIR,B,4GS,40.0,MM,65.0,17,JIN,"{'EB': 0.3, 'ML': 0.1, 'TO': 0.1, 'EO': 0.2, 'FH': 0.1, 'FX': 0.1, 'PE': 0.1}",0.0018615431967513006,7,1.8343719702816235,[4.6875],[10.375],[24.820574],[1131.7748],[24.9],[-16.9],[41.8],[18.016666],[-3.8],[18.016666],[-9.866667],[1162.],[126.],[65.],[20.142597],[364.],[216.],[364.],[240.]
4980670086,2024-09-09T16:42,2024.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/251115642,POINT (-71.397318 46.93351),21L,-71.3961068705808,46.9332346159053,"-220092,84+330857,22",,,CJ,2001.0,F,2,VIR,D,R1A,20.0,F,75.0,20,VIN,"{'ES': 0.5, 'HG': 0.3, 'BJ': 0.1, 'EO': 0.1}",0.0012420430224732626,4,1.1682824501765625,[3.3916667],[10.133333],[23.899372],[1147.2335],[24.],[-18.4],[42.4],[15.95],[-5.],[16.966667],[-11.416667],[1356.],[140.],[82.],[16.144337],[398.],[263.],[388.],[296.]
4133748436,2022-10-02T15:34:37,2022.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/137640224,POINT (-71.438776 46.729841),21L,-71.4407600375968,46.731676230152,"-224308,26+308545,46",,,,,F,2,50,A,5A,40.0,F,75.0,20,50,"{'FO': 0.7, 'EA': 0.2, 'PA': 0.1}",0.0027026792070664494,3,0.8018185525433372,[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38]
3398752952,2021-10-12T11:34:12,2021.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/98010990,POINT (-71.26924 46.784355),21L,-71.2680566526697,46.7838704778297,"-210999,73+313904,54",,,,,F,2,JIN,A,1A,30.0,F,85.0,19,JIN,"{'EO': 0.5, 'ES': 0.2, 'FT': 0.2, 'FI': 0.1}",0.001278699588500031,4,1.2206072645530173,[5.0958333],[10.408333],[23.601662],[1202.7251],[27.2],[-16.9],[44.1],[18.216667],[-8.966666],[19.633333],[-10.216666],[1253.],[133.],[71.],[16.758148],[375.],[252.],[370.],[258.]
3327768399,2016-10-04,2016.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/71154773,POINT (-71.403115 46.957908),21L,-71.4024783904748,46.9565999880289,"-220487,32+333426,12",,,,,M,2,VIR,D,1AY,20.0,MF,85.0,20,VIN,"{'BJ': 0.4, 'ER': 0.2, 'HG': 0.1, 'SB': 0.2, 'RX': 0.1}",0.0014547051261790045,5,1.4708084763221112,[3.4958334],[10.075],[23.931116],[1140.6765],[23.9],[-18.2],[42.1],[15.966666],[-4.85],[16.933332],[-11.266666],[1324.],[137.],[79.],[16.687054],[391.],[255.],[381.],[286.]
2460061251,2019-09-29T12:18:30,2019.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/33619372,POINT (-71.863695 46.983447),21L,-71.8627240717989,46.9841736811608,"-255255,47+338058,48",,,,,F,2,VIR,D,1A,40.0,F,75.0,18,VIN,"{'BJ': 0.3, 'ES': 0.3, 'EO': 0.1, 'HG': 0.1, 'EP': 0.1, 'SB': 0.1}",0.001212751862986346,6,1.6434177197931796,[2.5375],[10.441667],[24.396418],[1150.3145],[23.1],[-19.7],[42.800003],[15.1],[-11.016666],[16.083334],[-12.35],[1430.],[153.],[81.],[20.932152],[429.],[257.],[413.],[294.]
3988788318,2019-09-20T13:37:21,2019.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/33096129,POINT (-71.157183 47.060958),21M,-71.1585498384218,47.0598817812821,"-201663,03+344317,48",,,,,M,3,JIR,B,2BE,20.0,MR,75.0,16,JIN,"{'SB': 0.4, 'EB': 0.2, 'BJ': 0.1, 'BP': 0.1, 'EO': 0.1, 'PT': 0.1}",0.0017396821548976641,6,1.6094379124341,[2.4291668],[9.991667],[23.96083],[1121.5887],[22.6],[-19.1],[41.7],[14.75],[-5.7833333],[15.716667],[-12.033334],[1419.],[141.],[91.],[13.374838],[404.],[288.],[400.],[318.]
2609226525,2016-09-21,2016.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/42569903,POINT (-71.401479 47.006063),21M,-71.4007168844763,47.0062494879417,"-220065,85+338871,19",,,CP,,F,1,VIN,D,1A,30.0,F,65.0,23,VIN,"{'ES': 0.7, 'BJ': 0.2, 'HG': 0.1}",0.0007846004230587888,3,0.8018185525433372,[3.1583333],[10.],[23.866348],[1135.0768],[23.4],[-18.5],[41.9],[15.566667],[-5.1000004],[16.516666],[-11.533334],[1387.],[142.],[84.],[15.267341],[405.],[276.],[396.],[301.]
1412703206,1944-09-09,1944.0,Québec,Entoloma abortivum,CMMF011666,POINT (-70.033333 47.366667),21M,-70.0326861477456,47.3744305344126,"-115610,25+376450,58",,,,,M,3,JIR,D,6S,30.0,MR,65.0,12,50,"{'TO': 0.5, 'RX': 0.1, 'ER': 0.2, 'FI': 0.1, 'FT': 0.1}",0.0077904354444864685,5,1.3592367006650063,[4.2000003],[9.566667],[23.56322],[1111.9741],[24.3],[-16.3],[40.6],[16.516666],[-4.1666665],[17.466667],[-10.],[936.],[94.],[59.],[13.417938],[271.],[193.],[267.],[210.]
1412702912,1941-09-15,1941.0,Québec,Entoloma abortivum,CMMF011373,POINT (-70.033333 47.366667),21M,-70.0326861477456,47.3744305344126,"-115610,25+376450,58",,,,,M,3,JIR,D,6S,30.0,MR,65.0,12,50,"{'TO': 0.5, 'RX': 0.1, 'ER': 0.2, 'FI': 0.1, 'FT': 0.1}",0.0077904354444864685,5,1.3592367006650063,[4.2000003],[9.566667],[23.56322],[1111.9741],[24.3],[-16.3],[40.6],[16.516666],[-4.1666665],[17.466667],[-10.],[936.],[94.],[59.],[13.417938],[271.],[193.],[267.],[210.]
4953178441,2024-09-22T14:35,2024.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/244231772,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,27,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",0.0008042447836569114,5,1.4184836619456564,[4.0375],[11.091666],[25.151173],[1166.8082],[25.3],[-18.8],[44.1],[16.733334],[-9.983334],[17.583332],[-11.083333],[926.],[92.],[54.],[15.475691],[266.],[184.],[264.],[189.]
4953063200,2024-09-22T14:25,2024.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/244230955,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,27,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",0.0008042447836569114,5,1.4184836619456564,[4.0375],[11.091666],[25.151173],[1166.8082],[25.3],[-18.8],[44.1],[16.733334],[-9.983334],[17.583332],[-11.083333],[926.],[92.],[54.],[15.475691],[266.],[184.],[264.],[189.]
4950043192,2024-09-14T14:22,2024.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/242587537,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,27,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",0.0008042447836569114,5,1.4184836619456564,[4.0375],[11.091666],[25.151173],[1166.8082],[25.3],[-18.8],[44.1],[16.733334],[-9.983334],[17.583332],[-11.083333],[926.],[92.],[54.],[15.475691],[266.],[184.],[264.],[189.]
4946681405,2024-09-11T12:46:22,2024.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/241246648,POINT (-76.312589 45.60958),31F,-76.3126242833861,45.6089683298542,"-608728,03+212536,83",,,CP,,R,2,VIN,A,2A,10.0,R,45.0,21,VIN,"{'PU': 0.4, 'SB': 0.4, 'EO': 0.1, 'PE': 0.1}",0.000612686938492217,4,1.193549604098133,[4.545833],[10.925],[25.],[1165.2944],[25.8],[-17.9],[43.699997],[17.25],[-9.433333],[18.133333],[-10.55],[883.],[88.],[50.],[16.42572],[256.],[173.],[255.],[178.]
4946347543,2024-09-10T15:54:55,2024.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/241246659,POINT (-76.252023 45.78153),31F,-76.252101752973,45.7809911249431,"-602101,16+231021,61",,,,,F,2,JIN,A,1A,40.0,F,75.0,19,JIN,"{'ER': 0.2, 'FH': 0.2, 'FO': 0.2, 'BJ': 0.1, 'FT': 0.1, 'PU': 0.1, 'SE': 0.1}",0.0005445992634071254,7,1.8866967846580782,[4.079167],[10.875],[24.942661],[1158.1676],[25.1],[-18.5],[43.6],[17.533333],[-9.85],[17.533333],[-10.9],[964.],[95.],[57.],[14.850036],[277.],[194.],[277.],[198.]
4946050432,2024-09-11T12:46:10,2024.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/241246633,POINT (-76.299493 45.641411),31F,-76.3006407867108,45.641556246409,"-607501,84+216022,58",,,,,F,3,30,D,1AM,30.0,F,95.0,16,30,"{'ES': 0.4, 'PE': 0.2, 'CR': 0.1, 'EO': 0.1, 'FT': 0.1, 'RX': 0.1}",0.0011569402978651138,6,1.6094379124341,[4.4583335],[10.833333],[24.904215],[1160.3151],[25.6],[-17.9],[43.5],[17.983334],[-9.483334],[17.983334],[-10.566667],[907.],[90.],[52.],[16.379757],[262.],[178.],[262.],[184.]
4945603505,2024-09-05T12:57,2024.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/240246958,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,27,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",0.0008042447836569114,5,1.4184836619456564,[4.0375],[11.091666],[25.151173],[1166.8082],[25.3],[-18.8],[44.1],[16.733334],[-9.983334],[17.583332],[-11.083333],[926.],[92.],[54.],[15.475691],[266.],[184.],[264.],[189.]
3947438348,2022-10-12T11:33,2022.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/138738732,POINT (-76.546447 45.889724),31F,-76.5448138991622,45.8909524415435,"-623222,53+245712,69",,,CJ,2000.0,F,1,VIR,C,1AY,30.0,F,65.0,22,VIN,"{'BJ': 0.2, 'EO': 0.2, 'ES': 0.2, 'HG': 0.2, 'FT': 0.1, 'RX': 0.1}",0.0020435476437398537,6,1.7480673485460894,[3.8041668],[11.075],[25.170454],[1164.918],[25.],[-19.],[44.],[16.483334],[-10.2],[17.3],[-11.3],[945.],[94.],[57.],[14.653591],[271.],[191.],[267.],[195.]
3759803829,2021-10-08T12:59,2021.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/106286298,POINT (-76.474276 45.846126),31F,-76.4733089038517,45.8460388318395,"-618263,55+240123,09",,,CP,,F,2,JIN,D,1AM,20.0,F,65.0,21,JIN,"{'ES': 0.3, 'TA': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'FT': 0.1, 'RX': 0.1}",0.0009710166055548468,7,1.8343719702816235,[4.070833],[11.108334],[25.246212],[1163.8582],[25.3],[-18.7],[44.],[16.733334],[-9.9],[17.566666],[-11.016666],[916.],[92.],[54.],[15.510709],[265.],[182.],[262.],[188.]
3466457356,2021-09-26T10:16,2021.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/105643945,POINT (-76.513042 45.830805),31F,-76.5112466927087,45.8298146226538,"-621401,62+238657,56",CT,1996.0,,,F,3,30,D,1A,30.0,F,95.0,14,30,"{'FT': 0.4, 'PE': 0.3, 'ER': 0.2, 'BP': 0.1}",0.0020503598606267217,4,1.2798542258336674,[4.0416665],[11.066667],[25.151516],[1165.7495],[25.2],[-18.8],[44.],[16.716667],[-9.983334],[17.533333],[-11.099999],[924.],[91.],[55.],[14.658465],[264.],[185.],[260.],[190.]
3466057563,2021-10-01T08:54,2021.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/105995209,POINT (-76.43138 45.830382),31F,-76.4297682229517,45.8306829223168,"-615056,90+238020,08",,,,,F,1,VIN,D,2BE,20.0,F,85.0,22,VIN,"{'ES': 0.2, 'FT': 0.2, 'PE': 0.2, 'BJ': 0.1, 'BP': 0.1, 'EO': 0.1, 'RX': 0.1}",0.0016396278523515709,7,1.8866967846580782,[4.075],[11.066667],[25.094482],[1167.51],[25.3],[-18.8],[44.1],[16.783333],[-9.983334],[17.633333],[-11.033333],[921.],[91.],[54.],[15.120313],[264.],[183.],[263.],[189.]
3384788180,2021-10-01T08:51,2021.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/97072976,POINT (-76.471024 45.885908),31F,-76.4713560207617,45.8856533954475,"-617521,60+244662,69",,,,,F,1,VIN,D,1AM,20.0,F,75.0,22,VIN,"{'CR': 0.3, 'ES': 0.3, 'HG': 0.2, 'EO': 0.1, 'FT': 0.1}",0.00041840323177190264,5,1.5047882836811908,[3.875],[11.083333],[25.189394],[1164.8069],[25.1],[-18.9],[44.],[16.55],[-10.133333],[17.383333],[-11.216667],[944.],[94.],[56.],[15.018319],[270.],[189.],[269.],[194.]
5008249865,2024-09-22T10:29:44,2024.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/243342885,POINT (-75.784096 45.74585),31G,-75.7858941361898,45.7461296230109,"-566280,50+223379,57",,,,,R,1,VIN,F,R1A,20.0,R,95.0,24,VIN,"{'PU': 0.9, 'FT': 0.1}",0.001819748000483325,2,0.3250829733914482,[3.9458332],[10.725],[24.769053],[1161.5125],[24.8],[-18.5],[43.3],[12.7],[-10.016666],[17.433332],[-11.066667],[1061.],[106.],[68.],[14.069354],[301.],[212.],[298.],[225.]
5007994011,2024-09-22T11:47:13,2024.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/243364505,POINT (-75.672837 45.65992),31G,-75.6727802512833,45.6605920680257,"-558471,82+213030,83",,,CP,,F,2,JIN,D,1AY,30.0,F,65.0,21,JIN,"{'ES': 0.4, 'CR': 0.2, 'BP': 0.1, 'EO': 0.1, 'FT': 0.1, 'HG': 0.1}",0.0006744596711562161,6,1.6094379124341,[4.695833],[10.525],[24.419954],[1152.8196],[25.4],[-17.7],[43.1],[13.35],[-9.233334],[18.133333],[-10.183333],[1027.],[102.],[65.],[14.370307],[293.],[202.],[287.],[218.]
4980394974,2024-09-15T11:12:37,2024.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/241927488,POINT (-75.870438 45.535572),31G,-75.8715693448603,45.5355528398756,"-575330,27+200766,93",,,,,F,1,VIN,C,1AY,30.0,F,95.0,24,VIN,"{'ES': 0.5, 'CR': 0.2, 'FT': 0.1, 'HG': 0.1, 'TA': 0.1}",0.0011315070938006427,5,1.3592367006650063,[4.775],[10.349999],[24.238874],[1150.0662],[25.5],[-17.2],[42.7],[17.416666],[-9.05],[18.233334],[-10.05],[1010.],[97.],[64.],[14.09743],[284.],[199.],[280.],[214.]
4950439208,2024-09-10T11:20:49,2024.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/242673646,POINT (-75.778551 45.424938),31G,-75.7803467731389,45.4245654501753,"-569487,72+187753,98",,,CP,,F,1,VIR,A,5S,20.0,F,75.0,26,VIN,"{'EO': 0.4, 'FT': 0.2, 'ES': 0.1, 'FI': 0.1, 'FR': 0.1, 'HG': 0.1}",0.0018340105065969621,6,1.6094379124341,[5.6625],[10.225],[24.002348],[1158.8339],[26.4],[-16.2],[42.6],[19.266666],[-8.183333],[19.266666],[-9.316667],[916.],[88.],[57.],[14.602061],[261.],[181.],[261.],[199.]
4950140001,2024-09-19T14:52:46,2024.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/242986970,POINT (-75.994653 45.53412),31G,-75.9949339349034,45.5331009403237,"-584948,47+201496,92",,,,,F,1,JIN,A,5A,30.0,F,85.0,22,JIN,"{'ES': 0.4, 'FT': 0.2, 'BP': 0.1, 'EO': 0.1, 'TA': 0.1, 'PB': 0.1}",0.0010570747579119295,6,1.6094379124341,[4.7375],[10.775001],[24.94213],[1156.2225],[25.7],[-17.5],[43.2],[17.416666],[-9.183333],[18.25],[-10.2],[999.],[95.],[62.],[14.476334],[284.],[200.],[279.],[210.]
4946678452,2024-09-08T14:33,2024.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/240680090,POINT (-75.797075 45.508583),31G,-75.7977062597989,45.5081299529011,"-569790,14+197223,19",,,,,F,2,JIN,C,R1A,20.0,F,95.0,19,JIN,"{'ES': 0.4, 'CR': 0.2, 'EO': 0.2, 'FT': 0.1, 'TA': 0.1}",0.0007770074694120142,5,1.4708084763221112,[5.1083336],[10.216666],[24.039215],[1149.808],[25.7],[-16.8],[42.5],[18.583334],[-8.666666],[18.583334],[-9.716666],[973.],[93.],[62.],[13.510898],[272.],[194.],[272.],[214.]
4945863755,2024-09-14T11:31:50,2024.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/242133411,POINT (-75.937459 45.548664),31G,-75.9378501596976,45.5478860073684,"-580341,56+202667,37",,,,,M,2,VIN,F,1AM,20.0,MR,85.0,19,VIN,"{'PU': 0.5, 'PB': 0.1, 'SE': 0.1, 'CR': 0.1, 'ER': 0.1, 'FT': 0.1}",0.0008707918487546034,6,1.4978661367769952,[4.195833],[10.525],[24.591122],[1149.0063],[24.9],[-17.9],[42.8],[16.8],[-9.599999],[17.633333],[-10.616667],[1044.],[100.],[65.],[13.532663],[293.],[211.],[290.],[221.]
4597278535,2023-09-30T12:16:27,2023.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/192766496,POINT (-74.326683 45.204055),31G,-74.3273533242756,45.204186044259,"-458133,68+152791,39",,,,,F,1,50,A,5S,30.0,F,95.0,23,50,"{'EO': 0.6, 'FR': 0.3, 'FT': 0.1}",0.0006830133470742731,3,0.8979457248567797,[6.2],[9.599999],[23.703703],[1102.0394],[25.9],[-14.6],[40.5],[19.183332],[-7.25],[19.183332],[-7.7833333],[994.],[96.],[60.],[15.367304],[283.],[193.],[283.],[206.]
4516198423,2023-10-12T13:29:11,2023.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/192780627,POINT (-74.327422 45.204313),31G,-74.3273533242756,45.204186044259,"-458133,68+152791,39",,,,,F,1,50,A,5S,30.0,F,95.0,23,50,"{'EO': 0.6, 'FR': 0.3, 'FT': 0.1}",0.0001443402760582587,3,0.8979457248567797,[6.2],[9.599999],[23.703703],[1102.0394],[25.9],[-14.6],[40.5],[19.183332],[-7.25],[19.183332],[-7.7833333],[994.],[96.],[60.],[15.367304],[283.],[193.],[283.],[206.]
4416700428,2023-09-04T08:48:08,2023.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/181728210,POINT (-75.941333 45.527691),31G,-75.9421504941048,45.5282859899509,"-580903,10+200535,58",,,,,F,2,VIN,D,R1A,20.0,F,85.0,19,VIN,"{'CR': 0.4, 'ES': 0.3, 'FT': 0.1, 'HG': 0.1, 'PB': 0.1}",0.0010110932959181793,5,1.4184836619456564,[4.4166665],[10.633333],[24.786325],[1149.0062],[25.2],[-17.7],[42.9],[13.],[-9.383333],[17.833334],[-10.433333],[1041.],[99.],[65.],[13.667658],[296.],[212.],[288.],[219.]
4416693471,2023-09-04T08:47:45,2023.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/181728175,POINT (-75.941594 45.527691),31G,-75.9421504941048,45.5282859899509,"-580903,10+200535,58",,,,,F,2,VIN,D,R1A,20.0,F,85.0,19,VIN,"{'CR': 0.4, 'ES': 0.3, 'FT': 0.1, 'HG': 0.1, 'PB': 0.1}",0.000814677071209235,5,1.4184836619456564,[4.4166665],[10.633333],[24.786325],[1149.0062],[25.2],[-17.7],[42.9],[13.],[-9.383333],[17.833334],[-10.433333],[1041.],[99.],[65.],[13.667658],[296.],[212.],[288.],[219.]
4414267121,2023-09-19T11:33:30,2023.0,Québec,Entoloma abortivum,https://www.inaturalist.org/observations/184007354,POINT (-75.870387 45.535672),31G,-75.8715693448603,45.5355528398756,"-575330,27+200766,93",,,,,F,1,VIN,C,1AY,30.0,F,95.0,24,VIN,"{'ES': 0.5, 'CR': 0.2, 'FT': 0.1, 'HG': 0.1, 'TA': 0.1}",0.0011883343401377247,5,1.3592367006650063,[4.775],[10.349999],[24.238874],[1150.0662],[25.5],[-17.2],[42.7],[17.416666],[-9.05],[18.233334],[-10.05],[1010.],[97.],[64.],[14.09743],[284.],[199.],[280.],[214.]
