gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
5008010331,2024-10-01T10:11,2024.0,Québec,Ganoderma applanatum,https://www.inaturalist.org/observations/255531577,POINT (-71.194061 45.478797),21E,-71.1926543471084,45.4782767780305,"-210711,08+168701,34",,,,,F,2,VIN,D,1AY,30.0,F,95.0,20,VIN,"{'ES': 0.5, 'BJ': 0.3, 'EO': 0.1, 'FT': 0.1}",0.0014997677336869542,4,1.1682824501765625,[3.5041666],[10.325],[25.74813],[1074.467],[22.8],[-17.3],[40.1],[16.2],[-4.3999996],[16.2],[-10.316667],[1357.],[144.],[87.],[14.327654],[396.],[280.],[396.],[302.]
4923977077,2024-08-01T19:28:24,2024.0,Québec,Ganoderma applanatum,https://www.inaturalist.org/observations/233187094,POINT (-71.913567 45.384737),21E,-71.9136144098846,45.3842984578864,"-267600,61+160666,24",,,,,F,2,JIN,D,1AM,20.0,F,95.0,21,JIN,"{'ES': 0.6, 'PE': 0.2, 'FR': 0.1, 'FT': 0.1}",0.00044109736176725536,4,1.0888999753452235,[5.6833334],[10.866667],[25.996809],[1114.6327],[26.],[-15.8],[41.8],[18.866667],[-7.5166664],[18.866667],[-8.683333],[1048.],[127.],[48.],[27.748274],[354.],[167.],[354.],[182.]
4414389132,2023-09-18T14:17:19,2023.0,Québec,Ganoderma applanatum,https://www.inaturalist.org/observations/184018139,POINT (-71.924169 45.375078),21E,-71.9250148183397,45.3745303465594,"-268541,42+159620,00",P,,,,R,1,50,C,1A,30.0,R,95.0,25,50,"{'EB': 0.3, 'PB': 0.3, 'PR': 0.3, 'RZ': 0.1}",0.0010076373131088976,4,1.313834033192747,[5.383333],[10.616667],[25.644123],[1109.2756],[25.5],[-15.9],[41.4],[18.5],[-7.7166667],[18.5],[-8.916667],[1077.],[130.],[52.],[26.338058],[358.],[178.],[358.],[195.]
4014982539,2022-05-16T17:43:20,2022.0,Québec,Ganoderma applanatum,https://www.inaturalist.org/observations/117457211,POINT (-70.772493 45.690089),21E,-70.7719359895958,45.6876368520483,"-176945,58+190793,96",,,,,M,3,50,C,1A,30.0,MR,85.0,16,50,"{'SB': 0.4, 'EB': 0.1, 'EU': 0.1, 'BP': 0.2, 'EO': 0.1, 'PE': 0.1}",0.0025146153120128053,6,1.6094379124341003,[3.7333333],[11.016666],[26.674738],[1090.8302],[23.7],[-17.6],[41.300003],[16.633333],[-4.3],[16.633333],[-10.316667],[1099.],[119.],[69.],[17.364124],[344.],[220.],[344.],[235.]
1901032297,2018-08-14T17:19,2018.0,Québec,Ganoderma applanatum,https://www.inaturalist.org/observations/15438019,POINT (-71.927008 45.178953),21E,-71.9255557841004,45.1798563735895,"-269619,19+137981,79",,,,,M,2,JIN,C,1A,30.0,MF,85.0,20,JIN,"{'EO': 0.3, 'PE': 0.2, 'ES': 0.1, 'FT': 0.1, 'EB': 0.1, 'PR': 0.1, 'SB': 0.1}",0.001710267482376074,7,1.8343719702816235,[4.795833],[10.591666],[26.087849],[1077.6162],[24.5],[-16.1],[40.6],[17.516666],[-7.9333334],[17.516666],[-9.1],[1157.],[127.],[65.],[19.640688],[362.],[218.],[362.],[235.]
1850932406,2018-06-07T14:21,2018.0,Québec,Ganoderma applanatum,https://www.inaturalist.org/observations/13221227,POINT (-71.298333 45.368333),21E,-71.297566177248,45.3687816538138,"-219397,00+156842,33",,,,,F,1,VIN,C,1A,30.0,F,75.0,22,VIN,"{'ES': 0.8, 'EO': 0.1, 'HG': 0.1}",0.0008884297257624559,3,0.639031859650177,[3.575],[10.566667],[26.155115],[1078.0211],[23.1],[-17.3],[40.4],[16.333334],[-4.3166666],[16.333334],[-10.3],[1274.],[138.],[81.],[14.790633],[372.],[264.],[372.],[281.]
1848815860,2017-08-21T12:50:08,2017.0,Québec,Ganoderma applanatum,https://www.inaturalist.org/observations/7592064,POINT (-70.995184 45.666892),21E,-70.9935034126412,45.6671988161578,"-194406,23+189143,65",,,,,F,2,VIN,C,1AY,30.0,F,85.0,19,VIN,"{'ES': 0.6, 'EO': 0.2, 'BJ': 0.1, 'FT': 0.1}",0.0017083647225396427,4,1.0888999753452235,[3.3541667],[10.308333],[25.515676],[1088.9558],[22.9],[-17.5],[40.4],[16.25],[-4.8166666],[16.25],[-10.6],[1236.],[135.],[78.],[17.038506],[378.],[244.],[378.],[268.]
1841191855,2018-04-06T10:48:29,2018.0,Québec,Ganoderma applanatum,https://www.inaturalist.org/observations/10667478,POINT (-70.895554 45.493332),21E,-70.8928161773889,45.4961494398943,"-187193,65+169853,87",,,,,F,2,VIN,C,1AY,20.0,F,75.0,21,VIN,"{'ES': 0.6, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'HG': 0.1}",0.003928567195289044,5,1.2275294114572126,[3.7625],[10.758333],[26.368465],[1077.2168],[23.4],[-17.4],[40.8],[16.516666],[-4.4],[16.516666],[-10.033334],[1165.],[125.],[73.],[16.17571],[356.],[233.],[356.],[255.]
1841191303,2018-03-27T16:49:27,2018.0,Québec,Ganoderma applanatum,https://www.inaturalist.org/observations/10460822,POINT (-71.060687 45.636941),21E,-71.0615459974089,45.6366448208681,"-199830,63+185910,57",,,,,F,3,JIN,C,1AY,30.0,F,95.0,16,JIN,"{'ES': 0.5, 'EO': 0.3, 'BJ': 0.1, 'PE': 0.1}",0.0009086245796073288,4,1.1682824501765625,[3.3833332],[10.3],[25.495049],[1085.4729],[22.9],[-17.5],[40.4],[16.233334],[-4.7166667],[16.233334],[-10.533334],[1277.],[141.],[80.],[16.393343],[387.],[257.],[387.],[278.]
4525116470,2023-10-15T15:07:14,2023.0,Québec,Ganoderma applanatum,https://www.inaturalist.org/observations/188438679,POINT (-71.323196 46.757784),21L,-71.3232788534239,46.7576620400993,"-215323,09+311163,77",,,,,F,1,VIN,A,5S,20.0,F,85.0,22,VIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'RX': 0.1}",0.0001474411992362505,4,1.2798542258336674,[4.7166667],[9.983334],[23.380173],[1165.224],[25.8],[-16.9],[42.699997],[17.533333],[-9.033333],[18.633333],[-10.183333],[1232.],[130.],[70.],[16.618198],[368.],[246.],[363.],[258.]
