gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
694159443	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	31894	Fungi	Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Gloeophyllum	Gloeophyllum sepiarium		SPECIES	Gloeophyllum sepiarium (Wulfen) P.Karst.	Gloeophyllum sepiarium (Wulfen) P. Karst.	(Wulfen) P. Karst.	CA	Ottawa, Rockcliffe Park	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.45506	-75.70032							1897-09-23	23	9	1897	5249253	5249253	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC161304	146	Macoun, J.		CC0_1_0	Royal Ontario Museum	Macoun, J.;			2024-01-25T00:59:39.021Z		AMBIGUOUS_INSTITUTION
694159396	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	31804	Fungi	Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Gloeophyllum	Gloeophyllum sepiarium		SPECIES	Gloeophyllum sepiarium (Wulfen) P.Karst.	Gloeophyllum sepiarium (Wulfen) P. Karst.	(Wulfen) P. Karst.	CA	Forest Ranger School	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.159467	-78.8451	450.0						1961-09-08	8	9	1961	5249253	5249253	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC161302				CC0_1_0	Royal Ontario Museum	Hamley, J.;			2024-01-25T00:59:39.141Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694157253	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	15450	Fungi	Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Gloeophyllum	Gloeophyllum sepiarium		SPECIES	Gloeophyllum sepiarium (Wulfen) P.Karst.	Gloeophyllum sepiarium (Wulfen) P. Karst.	(Wulfen) P. Karst.	CA	University of Toronto Forest	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.183005	-78.85025	7575.0						1963-09-12	12	9	1963	5249253	5249253	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC161301				CC0_1_0	Royal Ontario Museum	Allin, J.T.			2024-01-25T00:59:40.285Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694157226	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	15345	Fungi	Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Gloeophyllum	Gloeophyllum sepiarium		SPECIES	Gloeophyllum sepiarium (Wulfen) P.Karst.	Gloeophyllum sepiarium (Wulfen) P. Karst.	(Wulfen) P. Karst.	CA	Sand Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.150357	-78.850486	332.0						1961-09-12	12	9	1961	5249253	5249253	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC037692		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.043Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156918	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13619	Fungi	Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Gloeophyllum	Gloeophyllum sepiarium		SPECIES	Gloeophyllum sepiarium (Wulfen) P.Karst.	Gloeophyllum sepiarium (Wulfen) P. Karst.	(Wulfen) P. Karst.	CA	Algonquin Provincial Park	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.759859	-78.376465	67511.0						1914-08		8	1914	5249253	5249253	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC161307	Faull 220			CC0_1_0	Royal Ontario Museum	Faull, J.H.			2024-01-25T00:59:41.528Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156917	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13618	Fungi	Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Gloeophyllum	Gloeophyllum sepiarium		SPECIES	Gloeophyllum sepiarium (Wulfen) P.Karst.	Gloeophyllum sepiarium (Wulfen) P. Karst.	(Wulfen) P. Karst.	CA	Algonquin Provincial Park, Zenobia Creek	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.625796	-78.411848	190.0						1950-09-23	23	9	1950	5249253	5249253	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC163330		Welch, Harold E.		CC0_1_0	Royal Ontario Museum	Welch, Harold E.			2024-01-25T00:59:41.526Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156916	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13617	Fungi	Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Gloeophyllum	Gloeophyllum sepiarium		SPECIES	Gloeophyllum sepiarium (Wulfen) P.Karst.	Gloeophyllum sepiarium (Wulfen) P. Karst.	(Wulfen) P. Karst.	CA	Algonquin Provincial Park, Wildlife Research Station, near the laboratory	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.590933	-78.521572	283.0						2003-02-20	20	2	2003	5249253	5249253	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC054935		Rivera, K.		CC0_1_0	Royal Ontario Museum	Rivera, K.			2024-01-25T00:59:41.522Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156824	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13081	Fungi	Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Gloeophyllum	Gloeophyllum sepiarium		SPECIES	Gloeophyllum sepiarium (Wulfen) P.Karst.	Gloeophyllum sepiarium (Wulfen) P. Karst.	(Wulfen) P. Karst.	CA	Algonquin Provincial Park, Opeongo Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.698027	-78.369598	8499.0						1951-09-18	18	9	1951	5249253	5249253	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC023544		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.592Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156753	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	12360	Fungi	Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Gloeophyllum	Gloeophyllum sepiarium		SPECIES	Gloeophyllum sepiarium (Wulfen) P.Karst.	Gloeophyllum sepiarium (Wulfen) P. Karst.	(Wulfen) P. Karst.	CA	Algonquin Provincial Park, Lake of Two Rivers	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.577222	-78.479547	1575.0						1939-09-13	13	9	1939	5249253	5249253	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC015724		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:38.173Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156751	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	12358	Fungi	Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Gloeophyllum	Gloeophyllum sepiarium		SPECIES	Gloeophyllum sepiarium (Wulfen) P.Karst.	Gloeophyllum sepiarium (Wulfen) P. Karst.	(Wulfen) P. Karst.	CA	Algonquin Provincial Park, Costello Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.597645	-78.32149	648.0						1939-09-05	5	9	1939	5249253	5249253	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC015722		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:38.170Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156747	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	12345	Fungi	Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Gloeophyllum	Gloeophyllum sepiarium		SPECIES	Gloeophyllum sepiarium (Wulfen) P.Karst.	Gloeophyllum sepiarium (Wulfen) P. Karst.	(Wulfen) P. Karst.	CA	Algonquin Provincial Park, Costello Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.597645	-78.32149	648.0						1939-09-17	17	9	1939	5249253	5249253	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC015573		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:38.187Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156733	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	12215	Fungi	Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Gloeophyllum	Gloeophyllum sepiarium		SPECIES	Gloeophyllum sepiarium (Wulfen) P.Karst.	Gloeophyllum sepiarium (Wulfen) P. Karst.	(Wulfen) P. Karst.	CA	Algonquin Provincial Park	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.759859	-78.376465	67511.0						1938-08-20	20	8	1938	5249253	5249253	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC015642		Sprules, W.M.		CC0_1_0	Royal Ontario Museum	Sprules, W.M.			2024-01-25T00:59:41.572Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
